relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,15.887896880135127,-21.34246608137793,,35.3678394950077,22.2585467151403,0.0191,5.200000000000003,2.4399089236189853
-29.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-29.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-28.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-28.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-27.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-27.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-26.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-26.0,,-2.2848628650464002,-18.559243744213152,,47.4730494986789,21.8405675372357,0.0191,5.200000000000003,2.4399089236189853
-25.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-25.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-24.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-24.0,,,3.0164031003009093,,,18.181039376001,0.0191,5.200000000000003,2.4399089236189853
-23.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-23.0,,-30.87385415194459,,,24.5017342127428,,0.0191,5.200000000000003,2.4399089236189853
-22.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-22.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-21.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-21.0,,51.029292142621884,,,23.659128331992,,0.0191,5.200000000000003,2.4399089236189853
-20.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-20.0,,-45.66095351952079,10.180290656788497,,22.015966362521965,19.364834801962207,0.0191,5.200000000000003,2.4399089236189853
-19.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-19.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-18.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-18.0,,-50.883655397697986,,,22.6740048576182,,0.0191,5.200000000000003,2.4399089236189853
-17.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-17.0,,,-9.43361183549105,,,17.514349144005088,0.0191,5.200000000000003,2.4399089236189853
-16.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-16.0,,,26.479420493085975,,,44.8577615982146,0.0191,5.200000000000003,2.4399089236189853
-15.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-15.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
-14.5,-220.05892110560274,,,257.2262603531621,,,0.0191,5.200000000000003,2.4399089236189853
-14.0,-112.39195155761632,-50.558504655829914,,254.4526586984954,62.5942542681795,,0.0191,5.200000000000003,2.4399089236189853
-13.5,-135.54262759425654,,,248.84715307173897,,,0.0191,5.200000000000003,2.4399089236189853
-13.0,-13.448783793419132,43.172159359143095,,240.57440856778666,90.2600059379549,,0.0191,5.200000000000003,2.4399089236189853
-12.5,-98.1583483323079,,,261.3860657912035,,,0.0191,5.200000000000003,2.4399089236189853
-12.0,-156.70359152642243,142.91433525003026,,255.3901931995012,102.460735588532,,0.0191,5.200000000000003,2.4399089236189853
-11.5,-173.65550218409408,,,252.2729758891907,,,0.0191,5.200000000000003,2.4399089236189853
-11.0,-52.87168145735371,,,252.5426450989068,,,0.0191,5.200000000000003,2.4399089236189853
-10.5,-101.40176859480994,,,255.92514036322513,,,0.0191,5.200000000000003,2.4399089236189853
-10.0,-217.69392819721605,,,254.43968201459543,,,0.0191,5.200000000000003,2.4399089236189853
-9.5,-211.6495841103582,,,260.11769040052314,,,0.0191,5.200000000000003,2.4399089236189853
-9.0,-98.70756565298072,194.78110832653635,,246.05270742410062,95.5691473997417,,0.0191,5.200000000000003,2.4399089236189853
-8.5,-28.38255451040996,,,251.14366077632167,,,0.0191,5.200000000000003,2.4399089236189853
-8.0,54.43069348828082,,97.38079976152882,260.9818995098795,,82.3779161706365,0.0191,5.200000000000003,2.4399089236189853
-7.5,65.08353520813051,,,255.1202301088145,,,0.0191,5.200000000000003,2.4399089236189853
-7.0,319.430625398002,225.16076226038564,,244.72525132820485,53.1839286798823,,0.0191,5.200000000000003,2.4399089236189853
-6.5,323.5215395948498,,,246.09943704147207,,,0.0191,5.200000000000003,2.4399089236189853
-6.0,402.0887053593081,305.94763271673764,,247.91005374129364,32.42058465218661,,0.0191,5.200000000000003,2.4399089236189853
-5.5,649.3588525135458,,,242.6640330856473,,,0.0191,5.200000000000003,2.4399089236189853
-5.0,662.9909590928352,348.16689986403185,369.5560339601098,248.46756611251595,36.0734010403659,45.3576145604069,0.0191,5.200000000000003,2.4399089236189853
-4.5,649.590273262039,,,239.59000501025446,,,0.0191,5.200000000000003,2.4399089236189853
-4.0,638.8136399160659,462.5714446079554,418.21199245500105,249.56792670316636,31.8487783059058,37.8147224664448,0.0191,5.200000000000003,2.4399089236189853
-3.5,601.5394540383113,,,249.15518113801957,,,0.0191,5.200000000000003,2.4399089236189853
-3.0,731.9607599429381,632.4896238877393,582.3363943123135,255.6958513456792,35.50716961550763,35.1803943526196,0.0191,5.200000000000003,2.4399089236189853
-2.5,746.1256247231601,,,258.99057874695586,,,0.0191,5.200000000000003,2.4399089236189853
-2.0,947.8448558433664,691.7786270731342,,261.78566522977445,25.2843641426329,,0.0191,5.200000000000003,2.4399089236189853
-1.5,899.5767328350953,,,248.46459453314074,,,0.0191,5.200000000000003,2.4399089236189853
-1.0,,703.6842666320738,789.0351599707441,,29.8446727659173,26.311478032269,0.0191,5.200000000000003,2.4399089236189853
-0.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
0.0,973.1602734402522,766.382770950567,761.0362863936678,192.55263718710026,29.704409126431372,25.8053595333115,0.0191,5.200000000000003,2.4399089236189853
0.5,814.3913457887967,,,207.21119520555243,,,0.0191,5.200000000000003,2.4399089236189853
1.0,1106.5544349030486,889.4388558739533,872.6009826336489,212.06333898872634,38.2545785202551,29.8123447992328,0.0191,5.200000000000003,2.4399089236189853
1.5,1098.2468952657132,,,213.07880706709133,,,0.0191,5.200000000000003,2.4399089236189853
2.0,943.1556646665929,827.2028855288091,923.0434604694144,214.0694624767113,35.1932240926019,31.2412987151217,0.0191,5.200000000000003,2.4399089236189853
2.5,951.3562033202965,,,217.229826549603,,,0.0191,5.200000000000003,2.4399089236189853
3.0,857.9117296322645,935.4195931023796,934.2200590317736,212.8502798334532,27.620207261252897,28.183726900851898,0.0191,5.200000000000003,2.4399089236189853
3.5,858.9121224889074,,,213.36448128692774,,,0.0191,5.200000000000003,2.4399089236189853
4.0,977.6557301255255,943.006255936409,916.7723842329576,208.68522706501358,34.3226029307353,34.1079111923662,0.0191,5.200000000000003,2.4399089236189853
4.5,736.1518908166762,,,209.57462960362855,,,0.0191,5.200000000000003,2.4399089236189853
5.0,858.3453737129408,855.2798893763409,958.0276098783338,212.97251151933605,45.78422892854,31.4749038105605,0.0191,5.200000000000003,2.4399089236189853
5.5,820.8767649051076,,,214.1354674688951,,,0.0191,5.200000000000003,2.4399089236189853
6.0,967.1148762662851,960.5129267915022,879.8080044545845,214.80443276831693,35.35744907490799,35.604937161048184,0.0191,5.200000000000003,2.4399089236189853
6.5,886.3814556603637,,,206.45210928522968,,,0.0191,5.200000000000003,2.4399089236189853
7.0,995.6907621316667,943.0931376293993,,204.77183033824667,31.9308823475099,,0.0191,5.200000000000003,2.4399089236189853
7.5,779.6103588091671,,,200.29278562067887,,,0.0191,5.200000000000003,2.4399089236189853
8.0,806.2861101931489,1046.6018649100258,938.0423048337649,192.2452863251868,30.596138893956,29.5862620383755,0.0191,5.200000000000003,2.4399089236189853
8.5,731.1104174708958,,,185.8937797754682,,,0.0191,5.200000000000003,2.4399089236189853
9.0,820.1655858575027,957.9146969499068,838.2556616844774,196.61427687494034,37.183796246862514,30.70512841295589,0.0191,5.200000000000003,2.4399089236189853
9.5,705.9983731617774,,,198.63553600272078,,,0.0191,5.200000000000003,2.4399089236189853
10.0,701.7596244154682,938.004587996037,857.4570827484504,195.1675956198668,39.8454067457716,30.503110116886,0.0191,5.200000000000003,2.4399089236189853
10.5,657.8073876107092,,,197.63462233595877,,,0.0191,5.200000000000003,2.4399089236189853
11.0,573.4976023352123,959.493139465075,,205.11660947277704,39.8100205460104,,0.0191,5.200000000000003,2.4399089236189853
11.5,636.6808162569143,,,216.178888802813,,,0.0191,5.200000000000003,2.4399089236189853
12.0,543.0944392349109,948.645221766759,767.2691690980465,232.5322075490574,40.36397264141444,40.9984414536748,0.0191,5.200000000000003,2.4399089236189853
12.5,538.3309339271979,,,235.67457801866757,,,0.0191,5.200000000000003,2.4399089236189853
13.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
13.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
14.0,,811.065933053237,713.7175484807312,,72.2022218517675,89.4271364333241,0.0191,5.200000000000003,2.4399089236189853
14.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
15.0,,783.3722876544493,583.3213862481354,,83.70323147264403,94.03819776883601,0.0191,5.200000000000003,2.4399089236189853
15.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
16.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
16.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
17.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
17.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
18.0,,714.9036372768323,,,104.34507779858143,,0.0191,5.200000000000003,2.4399089236189853
18.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
19.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
19.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
20.0,,652.9662832988816,,,73.2328010484006,,0.0191,5.200000000000003,2.4399089236189853
20.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
21.0,,556.7959780789113,360.8253322068146,,48.18753961113785,61.2906595467247,0.0191,5.200000000000003,2.4399089236189853
21.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
22.0,,491.8842867717638,299.6331232613071,,49.5941929818427,56.049878175936,0.0191,5.200000000000003,2.4399089236189853
22.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
23.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
23.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
24.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
24.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
25.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
25.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
26.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
26.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
27.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
27.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
28.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
28.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
29.0,,418.37035723676405,,,31.13320260882993,,0.0191,5.200000000000003,2.4399089236189853
29.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
30.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
30.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
31.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
31.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
32.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
32.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
33.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
33.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
34.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
34.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
35.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
35.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
36.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
36.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
37.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
37.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
38.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
38.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
39.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
39.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
40.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
40.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
41.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
41.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
42.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
42.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
43.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
43.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
44.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
44.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
45.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
45.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
46.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
46.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
47.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
47.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
48.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
48.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
49.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
49.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
50.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
50.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
51.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
51.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
52.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
52.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
53.0,,,,,,,0.0191,5.200000000000003,2.4399089236189853
53.5,,,,,,,0.0191,5.200000000000003,2.4399089236189853
