relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.039,11.5,3.900568334657571
-29.5,,,,,,,0.039,11.5,3.900568334657571
-29.0,,,,,,,0.039,11.5,3.900568334657571
-28.5,,,,,,,0.039,11.5,3.900568334657571
-28.0,,,,,,,0.039,11.5,3.900568334657571
-27.5,,,,,,,0.039,11.5,3.900568334657571
-27.0,,,,,,,0.039,11.5,3.900568334657571
-26.5,,,,,,,0.039,11.5,3.900568334657571
-26.0,,,,,,,0.039,11.5,3.900568334657571
-25.5,,,,,,,0.039,11.5,3.900568334657571
-25.0,,,,,,,0.039,11.5,3.900568334657571
-24.5,,,,,,,0.039,11.5,3.900568334657571
-24.0,,,,,,,0.039,11.5,3.900568334657571
-23.5,,,,,,,0.039,11.5,3.900568334657571
-23.0,,,,,,,0.039,11.5,3.900568334657571
-22.5,,,,,,,0.039,11.5,3.900568334657571
-22.0,,,,,,,0.039,11.5,3.900568334657571
-21.5,,,,,,,0.039,11.5,3.900568334657571
-21.0,,,,,,,0.039,11.5,3.900568334657571
-20.5,,,,,,,0.039,11.5,3.900568334657571
-20.0,,,,,,,0.039,11.5,3.900568334657571
-19.5,,,,,,,0.039,11.5,3.900568334657571
-19.0,,,,,,,0.039,11.5,3.900568334657571
-18.5,,,,,,,0.039,11.5,3.900568334657571
-18.0,,,,,,,0.039,11.5,3.900568334657571
-17.5,,,,,,,0.039,11.5,3.900568334657571
-17.0,,,,,,,0.039,11.5,3.900568334657571
-16.5,,,,,,,0.039,11.5,3.900568334657571
-16.0,,,,,,,0.039,11.5,3.900568334657571
-15.5,,,,,,,0.039,11.5,3.900568334657571
-15.0,,4.03501934500712,-17.428800294819126,,49.0000048974861,42.5698060436207,0.039,11.5,3.900568334657571
-14.5,,,,,,,0.039,11.5,3.900568334657571
-14.0,,,,,,,0.039,11.5,3.900568334657571
-13.5,,,,,,,0.039,11.5,3.900568334657571
-13.0,,35.484599828801606,,,42.9823098298367,,0.039,11.5,3.900568334657571
-12.5,,,,,,,0.039,11.5,3.900568334657571
-12.0,,-22.051626075852234,2.113615498357284,,38.3718174758337,20.284300844137,0.039,11.5,3.900568334657571
-11.5,,,,,,,0.039,11.5,3.900568334657571
-11.0,,,,,,,0.039,11.5,3.900568334657571
-10.5,,,,,,,0.039,11.5,3.900568334657571
-10.0,,,-7.236387808927425,,,44.932951056551325,0.039,11.5,3.900568334657571
-9.5,,,,,,,0.039,11.5,3.900568334657571
-9.0,,-65.3074908510856,-5.748774379567143,,38.2081592034769,23.6831730467544,0.039,11.5,3.900568334657571
-8.5,,,,,,,0.039,11.5,3.900568334657571
-8.0,,-31.02909880043131,,,30.002821426386344,,0.039,11.5,3.900568334657571
-7.5,,,,,,,0.039,11.5,3.900568334657571
-7.0,,,26.011597184853013,,,18.133788002710357,0.039,11.5,3.900568334657571
-6.5,,,,,,,0.039,11.5,3.900568334657571
-6.0,,24.5504480542744,19.50231566999429,,60.0559226927785,34.760710745267,0.039,11.5,3.900568334657571
-5.5,,,,,,,0.039,11.5,3.900568334657571
-5.0,,50.90816695082654,,,38.08802514100288,,0.039,11.5,3.900568334657571
-4.5,,,,,,,0.039,11.5,3.900568334657571
-4.0,,,,,,,0.039,11.5,3.900568334657571
-3.5,,,,,,,0.039,11.5,3.900568334657571
-3.0,,90.0154020493405,44.52565328675041,,39.2149816000447,29.2481027967871,0.039,11.5,3.900568334657571
-2.5,,,,,,,0.039,11.5,3.900568334657571
-2.0,,,,,,,0.039,11.5,3.900568334657571
-1.5,,,,,,,0.039,11.5,3.900568334657571
-1.0,,127.01005111225483,,,66.42818803573162,,0.039,11.5,3.900568334657571
