relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0475,9.1,2.726615728945561
-29.5,,,,,,,0.0475,9.1,2.726615728945561
-29.0,,,,,,,0.0475,9.1,2.726615728945561
-28.5,,,,,,,0.0475,9.1,2.726615728945561
-28.0,,,,,,,0.0475,9.1,2.726615728945561
-27.5,,,,,,,0.0475,9.1,2.726615728945561
-27.0,,,,,,,0.0475,9.1,2.726615728945561
-26.5,,,,,,,0.0475,9.1,2.726615728945561
-26.0,,,,,,,0.0475,9.1,2.726615728945561
-25.5,,,,,,,0.0475,9.1,2.726615728945561
-25.0,,,,,,,0.0475,9.1,2.726615728945561
-24.5,,,,,,,0.0475,9.1,2.726615728945561
-24.0,,,,,,,0.0475,9.1,2.726615728945561
-23.5,,,,,,,0.0475,9.1,2.726615728945561
-23.0,,,,,,,0.0475,9.1,2.726615728945561
-22.5,,,,,,,0.0475,9.1,2.726615728945561
-22.0,,,,,,,0.0475,9.1,2.726615728945561
-21.5,,,,,,,0.0475,9.1,2.726615728945561
-21.0,,,,,,,0.0475,9.1,2.726615728945561
-20.5,,,,,,,0.0475,9.1,2.726615728945561
-20.0,,,,,,,0.0475,9.1,2.726615728945561
-19.5,,,,,,,0.0475,9.1,2.726615728945561
-19.0,,10.21211698785427,-132.1395399599715,,50.379465073062,44.4140547794196,0.0475,9.1,2.726615728945561
-18.5,,,,,,,0.0475,9.1,2.726615728945561
-18.0,,6.222847708716077,15.397081291212748,,32.71698228527641,36.1279193125072,0.0475,9.1,2.726615728945561
-17.5,,,,,,,0.0475,9.1,2.726615728945561
-17.0,,0.0,,,44.6206662002031,,0.0475,9.1,2.726615728945561
-16.5,,,,,,,0.0475,9.1,2.726615728945561
-16.0,,-7.676221045334658,13.49061465918254,,32.05084601433437,23.5392614702095,0.0475,9.1,2.726615728945561
-15.5,,,,,,,0.0475,9.1,2.726615728945561
-15.0,,-21.31205025235732,11.97865737381709,,26.292588176408,20.9791627741481,0.0475,9.1,2.726615728945561
-14.5,,,,,,,0.0475,9.1,2.726615728945561
-14.0,,43.08057833662452,30.058033623318657,,37.4436026825992,45.544946189231034,0.0475,9.1,2.726615728945561
-13.5,,,,,,,0.0475,9.1,2.726615728945561
-13.0,,7.311004580791938,-6.244975715949713,,29.886973548600132,23.367962708717688,0.0475,9.1,2.726615728945561
-12.5,,,,,,,0.0475,9.1,2.726615728945561
-12.0,,14.039728260638412,-23.272540107388263,,24.722714425266343,17.1616224899575,0.0475,9.1,2.726615728945561
-11.5,,,,,,,0.0475,9.1,2.726615728945561
-11.0,,-20.840177832305123,-21.358107977731773,,22.9321928126041,20.619890496317964,0.0475,9.1,2.726615728945561
-10.5,,,,,,,0.0475,9.1,2.726615728945561
-10.0,,-14.995848000429268,28.143275488618944,,57.17287010362721,37.52222776784208,0.0475,9.1,2.726615728945561
-9.5,,,,,,,0.0475,9.1,2.726615728945561
-9.0,,-1.516776393628609,27.87155421343524,,38.253905567278366,31.6808935429739,0.0475,9.1,2.726615728945561
-8.5,,,,,,,0.0475,9.1,2.726615728945561
-8.0,,,,,,,0.0475,9.1,2.726615728945561
-7.5,,,,,,,0.0475,9.1,2.726615728945561
-7.0,,24.090577038649617,34.01925501345658,,44.59769546492239,35.25079253072234,0.0475,9.1,2.726615728945561
-6.5,,,,,,,0.0475,9.1,2.726615728945561
-6.0,,11.937133405207392,31.575130022657113,,53.7630910182615,47.964529165408,0.0475,9.1,2.726615728945561
-5.5,,,,,,,0.0475,9.1,2.726615728945561
-5.0,,88.1242013435598,,,45.24276951317272,,0.0475,9.1,2.726615728945561
-4.5,,,,,,,0.0475,9.1,2.726615728945561
-4.0,,142.92328225487486,180.74808507244265,,35.4523941024078,29.756803471081962,0.0475,9.1,2.726615728945561
-3.5,-340.5173491011269,,,265.37550780229463,,,0.0475,9.1,2.726615728945561
-3.0,-110.82233661552243,-41.4600444168814,155.50437529473058,263.0609610288259,56.3607939942479,31.3842069020387,0.0475,9.1,2.726615728945561
-2.5,-0.7446824709236353,,,263.13732347737204,,,0.0475,9.1,2.726615728945561
-2.0,17.44345714990544,184.8049190814414,,260.9037143013575,34.7172880472381,,0.0475,9.1,2.726615728945561
-1.5,150.56315434853008,,,260.49450220665017,,,0.0475,9.1,2.726615728945561
-1.0,144.42078022251445,,,260.9926852274436,,,0.0475,9.1,2.726615728945561
-0.5,304.3162719884491,,,261.10855561939775,,,0.0475,9.1,2.726615728945561
0.0,143.3147379042395,419.8736495011441,473.7846057449448,262.3867217189412,50.09521751099932,39.226731376941444,0.0475,9.1,2.726615728945561
0.5,348.2019918548243,,,263.0013927069879,,,0.0475,9.1,2.726615728945561
1.0,349.3375789785441,,,263.81650654997446,,,0.0475,9.1,2.726615728945561
1.5,528.9349735463527,,,264.24780314451573,,,0.0475,9.1,2.726615728945561
2.0,707.7519744962228,596.2507528171567,673.3343545398009,264.4699453530007,61.0387914441139,65.51233714364511,0.0475,9.1,2.726615728945561
2.5,816.832482384109,,,263.42348358368184,,,0.0475,9.1,2.726615728945561
3.0,1017.1032900895987,,,262.85334667370165,,,0.0475,9.1,2.726615728945561
3.5,968.244298422983,,,261.99371909667457,,,0.0475,9.1,2.726615728945561
4.0,755.8952741248402,,,262.82930386669295,,,0.0475,9.1,2.726615728945561
