relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,0.15818844661733067,334.01691737559696,,46.791967716955845,24.007950177699573,0.2902,17.0,5.36707141330871
-29.5,,,,,,,0.2902,17.0,5.36707141330871
-29.0,,105.07098796921271,49.31403758272789,,44.39437681364814,18.19810296050615,0.2902,17.0,5.36707141330871
-28.5,,,,,,,0.2902,17.0,5.36707141330871
-28.0,,,29.18135663217426,,,16.5787946762775,0.2902,17.0,5.36707141330871
-27.5,,,,,,,0.2902,17.0,5.36707141330871
-27.0,,-97.36426639286361,,,41.0314531665438,,0.2902,17.0,5.36707141330871
-26.5,,,,,,,0.2902,17.0,5.36707141330871
-26.0,,,,,,,0.2902,17.0,5.36707141330871
-25.5,,,,,,,0.2902,17.0,5.36707141330871
-25.0,,8.09784135683818,-36.29136258884013,,35.8144163550494,58.386085707887815,0.2902,17.0,5.36707141330871
-24.5,,,,,,,0.2902,17.0,5.36707141330871
-24.0,,,,,,,0.2902,17.0,5.36707141330871
-23.5,,,,,,,0.2902,17.0,5.36707141330871
-23.0,,,,,,,0.2902,17.0,5.36707141330871
-22.5,,,,,,,0.2902,17.0,5.36707141330871
-22.0,,,,,,,0.2902,17.0,5.36707141330871
-21.5,,,,,,,0.2902,17.0,5.36707141330871
-21.0,,,,,,,0.2902,17.0,5.36707141330871
-20.5,,,,,,,0.2902,17.0,5.36707141330871
-20.0,,9.849395553722527,,,66.18287037529234,,0.2902,17.0,5.36707141330871
-19.5,,,,,,,0.2902,17.0,5.36707141330871
-19.0,,-80.96574686301521,,,73.7029914839284,,0.2902,17.0,5.36707141330871
-18.5,,,,,,,0.2902,17.0,5.36707141330871
-18.0,,,,,,,0.2902,17.0,5.36707141330871
-17.5,,,,,,,0.2902,17.0,5.36707141330871
-17.0,,,,,,,0.2902,17.0,5.36707141330871
-16.5,,,,,,,0.2902,17.0,5.36707141330871
-16.0,,,,,,,0.2902,17.0,5.36707141330871
-15.5,,,,,,,0.2902,17.0,5.36707141330871
-15.0,,,,,,,0.2902,17.0,5.36707141330871
-14.5,,,,,,,0.2902,17.0,5.36707141330871
-14.0,,,,,,,0.2902,17.0,5.36707141330871
-13.5,,,,,,,0.2902,17.0,5.36707141330871
-13.0,,-6.700953066590569,,,28.816781527044583,,0.2902,17.0,5.36707141330871
-12.5,,,,,,,0.2902,17.0,5.36707141330871
-12.0,,,,,,,0.2902,17.0,5.36707141330871
-11.5,,,,,,,0.2902,17.0,5.36707141330871
-11.0,,,,,,,0.2902,17.0,5.36707141330871
-10.5,,,,,,,0.2902,17.0,5.36707141330871
-10.0,,,,,,,0.2902,17.0,5.36707141330871
-9.5,,,,,,,0.2902,17.0,5.36707141330871
-9.0,,,,,,,0.2902,17.0,5.36707141330871
-8.5,,,,,,,0.2902,17.0,5.36707141330871
-8.0,,,,,,,0.2902,17.0,5.36707141330871
-7.5,,,,,,,0.2902,17.0,5.36707141330871
-7.0,,,,,,,0.2902,17.0,5.36707141330871
-6.5,,,,,,,0.2902,17.0,5.36707141330871
-6.0,,43.580528236533056,81.39273656658425,,26.0117572318162,22.1372796603612,0.2902,17.0,5.36707141330871
-5.5,,,,,,,0.2902,17.0,5.36707141330871
-5.0,,,,,,,0.2902,17.0,5.36707141330871
-4.5,,,,,,,0.2902,17.0,5.36707141330871
-4.0,,,,,,,0.2902,17.0,5.36707141330871
-3.5,,,,,,,0.2902,17.0,5.36707141330871
-3.0,,,51.483067498305445,,,29.3386263692096,0.2902,17.0,5.36707141330871
-2.5,,,,,,,0.2902,17.0,5.36707141330871
-2.0,,,,,,,0.2902,17.0,5.36707141330871
-1.5,,,,,,,0.2902,17.0,5.36707141330871
-1.0,,,,,,,0.2902,17.0,5.36707141330871
-0.5,2288.577475595262,,,191.68835957405142,,,0.2902,17.0,5.36707141330871
0.0,2309.797749407244,1116.5797675035315,1204.1429760175456,191.85947468270592,29.1640837681063,24.321907987939,0.2902,17.0,5.36707141330871
0.5,2414.8398110313383,,,191.72619262008857,,,0.2902,17.0,5.36707141330871
1.0,2283.219966721239,,,192.16183067336354,,,0.2902,17.0,5.36707141330871
1.5,2550.8213236343245,,,192.2640417749442,,,0.2902,17.0,5.36707141330871
2.0,3189.9344644556686,,,192.3682070792132,,,0.2902,17.0,5.36707141330871
2.5,3322.8476704439427,,,192.19884306321978,,,0.2902,17.0,5.36707141330871
3.0,3850.6222019498246,2934.1173364103797,,191.99680767700121,54.915669399072,,0.2902,17.0,5.36707141330871
3.5,3743.2560618321486,,,191.52968415382054,,,0.2902,17.0,5.36707141330871
4.0,3952.7612649303755,,,191.47825984819895,,,0.2902,17.0,5.36707141330871
4.5,4883.388298411582,,,192.35879006983814,,,0.2902,17.0,5.36707141330871
5.0,5122.517895706139,,,192.5028404144584,,,0.2902,17.0,5.36707141330871
5.5,5707.380089869789,,,192.68301122072563,,,0.2902,17.0,5.36707141330871
6.0,5902.880951644793,,,192.11847836525175,,,0.2902,17.0,5.36707141330871
6.5,5927.582733044638,,,192.2797532182804,,,0.2902,17.0,5.36707141330871
7.0,6464.270166274295,,,192.50630605784053,,,0.2902,17.0,5.36707141330871
7.5,6566.3962808730885,,,193.8603385299806,,,0.2902,17.0,5.36707141330871
8.0,7007.2202542817895,,7726.548355821019,196.01516880714382,,65.1546890140564,0.2902,17.0,5.36707141330871
8.5,,,,,,,0.2902,17.0,5.36707141330871
9.0,,,,,,,0.2902,17.0,5.36707141330871
9.5,7668.245712680551,,,193.62591679671212,,,0.2902,17.0,5.36707141330871
10.0,7796.466552162479,,,191.76970267058573,,,0.2902,17.0,5.36707141330871
10.5,7694.935946628473,,,191.1239003000695,,,0.2902,17.0,5.36707141330871
11.0,7879.13960141061,,,191.08172164359206,,,0.2902,17.0,5.36707141330871
11.5,8124.278908331441,,,191.17893329331767,,,0.2902,17.0,5.36707141330871
12.0,7976.409317342556,,8445.239854185873,191.0908084848848,,54.4675933988762,0.2902,17.0,5.36707141330871
12.5,8136.107606799485,,,190.14056066850867,,,0.2902,17.0,5.36707141330871
13.0,7739.391335317717,,9707.64685054225,189.49755612710794,,42.706836823796,0.2902,17.0,5.36707141330871
13.5,7769.08459756117,,,189.21931318197585,,,0.2902,17.0,5.36707141330871
14.0,7771.876438204205,,,189.25971407848192,,,0.2902,17.0,5.36707141330871
14.5,7722.907722418667,,,189.68653341765503,,,0.2902,17.0,5.36707141330871
15.0,7563.057910098155,,,188.85622036926085,,,0.2902,17.0,5.36707141330871
15.5,7288.430601319322,,,189.06246286847283,,,0.2902,17.0,5.36707141330871
16.0,7307.914236333361,,,189.06493932863893,,,0.2902,17.0,5.36707141330871
16.5,7226.320275705459,,,188.37321687773567,,,0.2902,17.0,5.36707141330871
17.0,7536.76718731499,,,187.7327284634317,,,0.2902,17.0,5.36707141330871
17.5,7214.810591134859,,,188.18504905354558,,,0.2902,17.0,5.36707141330871
18.0,6828.126671124056,,,188.35577777839555,,,0.2902,17.0,5.36707141330871
18.5,7072.10547273379,,,187.90028040415666,,,0.2902,17.0,5.36707141330871
19.0,6962.529067918914,9072.25191536207,9310.838086148982,188.5077529920241,45.9207708149894,39.8998721910025,0.2902,17.0,5.36707141330871
19.5,7209.074424957972,,,188.19365334962748,,,0.2902,17.0,5.36707141330871
20.0,6540.160389752751,,8778.623002056298,188.16084309886358,,34.98524061457081,0.2902,17.0,5.36707141330871
20.5,6778.889778763339,,,187.35261773977805,,,0.2902,17.0,5.36707141330871
21.0,6515.240400148947,,,186.45545228291775,,,0.2902,17.0,5.36707141330871
