relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-18.74845957456294,-20.897146984222708,,18.3345116796329,13.88626382657813,0.0451,10.1,1.9533447098644816
-29.5,,,,,,,0.0451,10.1,1.9533447098644816
-29.0,,57.2710325109806,-19.522216767119453,,18.9858754145083,14.031912618483972,0.0451,10.1,1.9533447098644816
-28.5,,,,,,,0.0451,10.1,1.9533447098644816
-28.0,,-13.756673422348026,4.9814046984186895,,22.4770460207101,18.408539157853244,0.0451,10.1,1.9533447098644816
-27.5,,,,,,,0.0451,10.1,1.9533447098644816
-27.0,,-8.344794873616763,15.732787817358988,,22.747427453444526,25.153804580226065,0.0451,10.1,1.9533447098644816
-26.5,,,,,,,0.0451,10.1,1.9533447098644816
-26.0,,22.264598165039367,1.188673432025599,,28.19941050043595,35.68890292533109,0.0451,10.1,1.9533447098644816
-25.5,,,,,,,0.0451,10.1,1.9533447098644816
-25.0,,-15.560927126439577,-14.710959599193997,,27.40821075019042,30.253317883090492,0.0451,10.1,1.9533447098644816
-24.5,,,,,,,0.0451,10.1,1.9533447098644816
-24.0,,42.74754681024875,-18.103628530887143,,30.12158183736954,38.65443392663051,0.0451,10.1,1.9533447098644816
-23.5,,,,,,,0.0451,10.1,1.9533447098644816
-23.0,,12.551976389064393,20.40830241645251,,31.8994803249816,41.7768009269639,0.0451,10.1,1.9533447098644816
-22.5,,,,,,,0.0451,10.1,1.9533447098644816
-22.0,,87.78273466673731,-11.024962814440697,,41.000066223374425,50.472906500570765,0.0451,10.1,1.9533447098644816
-21.5,,,,,,,0.0451,10.1,1.9533447098644816
-21.0,,26.48653540543726,69.1768689881304,,40.7644430329634,59.83217103014375,0.0451,10.1,1.9533447098644816
-20.5,,,,,,,0.0451,10.1,1.9533447098644816
-20.0,,1.1046223290630788,-17.12502433613356,,31.082681003312675,38.53052571429944,0.0451,10.1,1.9533447098644816
-19.5,,,,,,,0.0451,10.1,1.9533447098644816
-19.0,,-21.29025815349948,-19.455170433706343,,26.52992848323435,36.69926730573328,0.0451,10.1,1.9533447098644816
-18.5,,,,,,,0.0451,10.1,1.9533447098644816
-18.0,,19.33371998288986,10.063016959176714,,31.480228149453474,37.408326591476744,0.0451,10.1,1.9533447098644816
-17.5,,,,,,,0.0451,10.1,1.9533447098644816
-17.0,,64.8178305746867,10.655156448177443,,25.160021063473568,29.994075353781934,0.0451,10.1,1.9533447098644816
-16.5,,,,,,,0.0451,10.1,1.9533447098644816
-16.0,,57.629417990892634,-1.1801477946566197,,22.266092254027,19.494570733861227,0.0451,10.1,1.9533447098644816
-15.5,,,,,,,0.0451,10.1,1.9533447098644816
-15.0,,,,,,,0.0451,10.1,1.9533447098644816
-14.5,,,,,,,0.0451,10.1,1.9533447098644816
-14.0,,28.29202281542336,9.663911323470652,,22.127377480644952,17.94042461700201,0.0451,10.1,1.9533447098644816
-13.5,,,,,,,0.0451,10.1,1.9533447098644816
-13.0,,,,,,,0.0451,10.1,1.9533447098644816
-12.5,,,,,,,0.0451,10.1,1.9533447098644816
-12.0,,15.759533270712772,-16.900520083196582,,18.583186956727964,14.676748108557087,0.0451,10.1,1.9533447098644816
-11.5,,,,,,,0.0451,10.1,1.9533447098644816
-11.0,,6.20791604967048,-9.898528002629071,,17.25971187947422,15.504644955399876,0.0451,10.1,1.9533447098644816
-10.5,,,,,,,0.0451,10.1,1.9533447098644816
-10.0,,34.99396437137349,-29.654842519525772,,19.90552597017313,16.0397477523614,0.0451,10.1,1.9533447098644816
-9.5,,,,,,,0.0451,10.1,1.9533447098644816
-9.0,,36.145507197804534,-9.237850103838584,,21.116934943919674,17.26367675557071,0.0451,10.1,1.9533447098644816
-8.5,,,,,,,0.0451,10.1,1.9533447098644816
-8.0,,-18.79408728157261,-22.905854721258383,,18.284277191584966,17.1113185077982,0.0451,10.1,1.9533447098644816
-7.5,,,,,,,0.0451,10.1,1.9533447098644816
-7.0,,28.079055101624796,65.42263528077427,,29.584606698138845,17.185260346937948,0.0451,10.1,1.9533447098644816
-6.5,,,,,,,0.0451,10.1,1.9533447098644816
-6.0,,83.31249332686004,55.56561446120988,,17.162292675376452,16.173119790817424,0.0451,10.1,1.9533447098644816
-5.5,,,,,,,0.0451,10.1,1.9533447098644816
-5.0,,131.63144769702058,98.66807298140145,,19.78659267542273,16.94994471109347,0.0451,10.1,1.9533447098644816
-4.5,,,,,,,0.0451,10.1,1.9533447098644816
-4.0,,126.17660878734914,12.826050319506479,,24.092603114676947,20.5602827687833,0.0451,10.1,1.9533447098644816
-3.5,,,,,,,0.0451,10.1,1.9533447098644816
