relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,17.33024592559641,-18.71098378523374,,39.6627314395027,47.0387507249382,0.0269,11.1,1.4918296000400166
-29.5,,,,,,,0.0269,11.1,1.4918296000400166
-29.0,,-39.24714364889601,-41.527385334501915,,33.7002289797846,48.9738278200271,0.0269,11.1,1.4918296000400166
-28.5,,,,,,,0.0269,11.1,1.4918296000400166
-28.0,,,,,,,0.0269,11.1,1.4918296000400166
-27.5,,,,,,,0.0269,11.1,1.4918296000400166
-27.0,,,,,,,0.0269,11.1,1.4918296000400166
-26.5,,,,,,,0.0269,11.1,1.4918296000400166
-26.0,,,-16.734339995004074,,,22.2628117922366,0.0269,11.1,1.4918296000400166
-25.5,,,,,,,0.0269,11.1,1.4918296000400166
-25.0,,,,,,,0.0269,11.1,1.4918296000400166
-24.5,,,,,,,0.0269,11.1,1.4918296000400166
-24.0,,,13.568113578339913,,,16.7860136355826,0.0269,11.1,1.4918296000400166
-23.5,,,,,,,0.0269,11.1,1.4918296000400166
-23.0,,-17.1259265514133,,,22.8226808001155,,0.0269,11.1,1.4918296000400166
-22.5,,,,,,,0.0269,11.1,1.4918296000400166
-22.0,,,,,,,0.0269,11.1,1.4918296000400166
-21.5,,,,,,,0.0269,11.1,1.4918296000400166
-21.0,,50.20258320928948,-0.5618109894165078,,24.3869918186887,21.6705236924691,0.0269,11.1,1.4918296000400166
-20.5,,,,,,,0.0269,11.1,1.4918296000400166
-20.0,,,36.96648989296737,,,22.0562832622811,0.0269,11.1,1.4918296000400166
-19.5,,,,,,,0.0269,11.1,1.4918296000400166
-19.0,,-45.576737053147276,-44.9576321533808,,46.5449000020564,26.9407319707874,0.0269,11.1,1.4918296000400166
-18.5,,,,,,,0.0269,11.1,1.4918296000400166
-18.0,,0.00276373334349585,-38.464640502936284,,21.4758251566672,23.5304467458231,0.0269,11.1,1.4918296000400166
-17.5,,,,,,,0.0269,11.1,1.4918296000400166
-17.0,,-23.049032012929306,15.629523424339958,,21.2010550753358,21.5901687765207,0.0269,11.1,1.4918296000400166
-16.5,,,,,,,0.0269,11.1,1.4918296000400166
-16.0,,39.50829428858071,,,39.8523352751475,,0.0269,11.1,1.4918296000400166
-15.5,,,,,,,0.0269,11.1,1.4918296000400166
-15.0,,23.782971659229872,-10.60583258279751,,23.2318383823946,25.1009039732208,0.0269,11.1,1.4918296000400166
-14.5,,,,,,,0.0269,11.1,1.4918296000400166
-14.0,,-21.125479285255626,-21.327436194587314,,20.7048933575247,21.4074886289286,0.0269,11.1,1.4918296000400166
-13.5,,,,,,,0.0269,11.1,1.4918296000400166
-13.0,,-42.61752663496206,2.853279401419251,,35.2922017851659,20.2694635891489,0.0269,11.1,1.4918296000400166
-12.5,,,,,,,0.0269,11.1,1.4918296000400166
-12.0,,-44.275838838167935,24.89561638514064,,25.335793728907,22.1087095316254,0.0269,11.1,1.4918296000400166
-11.5,,,,,,,0.0269,11.1,1.4918296000400166
-11.0,,-4.483577810340145,35.83504538067477,,27.6699126893929,23.3759322570077,0.0269,11.1,1.4918296000400166
-10.5,,,,,,,0.0269,11.1,1.4918296000400166
-10.0,,-9.705787339453579,59.734617544704435,,31.7632939472211,43.4863789013276,0.0269,11.1,1.4918296000400166
-9.5,,,,,,,0.0269,11.1,1.4918296000400166
-9.0,,18.065630661801283,22.81778647520444,,32.11566120529635,34.245982206008605,0.0269,11.1,1.4918296000400166
-8.5,,,,,,,0.0269,11.1,1.4918296000400166
-8.0,,25.923999375949446,-69.95783167429101,,27.1921629358368,36.9247038985165,0.0269,11.1,1.4918296000400166
-7.5,,,,,,,0.0269,11.1,1.4918296000400166
-7.0,,52.04575267841501,22.182334789219354,,37.1686673896472,47.546411977649406,0.0269,11.1,1.4918296000400166
-6.5,,,,,,,0.0269,11.1,1.4918296000400166
-6.0,,47.962447566681625,50.59246101373617,,39.4143812459189,52.48352718314453,0.0269,11.1,1.4918296000400166
-5.5,,,,,,,0.0269,11.1,1.4918296000400166
-5.0,,,44.498923317003644,,,47.901836968719,0.0269,11.1,1.4918296000400166
-4.5,,,,,,,0.0269,11.1,1.4918296000400166
-4.0,,192.0335418718557,252.4522855166827,,48.5514613026533,65.9000205433805,0.0269,11.1,1.4918296000400166
-3.5,,,,,,,0.0269,11.1,1.4918296000400166
-3.0,,207.9488417634774,278.1975089758512,,44.352507031801416,58.46504573427976,0.0269,11.1,1.4918296000400166
-2.5,,,,,,,0.0269,11.1,1.4918296000400166
-2.0,,,,,,,0.0269,11.1,1.4918296000400166
-1.5,,,,,,,0.0269,11.1,1.4918296000400166
-1.0,,,369.8450641886961,,,50.3859053821813,0.0269,11.1,1.4918296000400166
-0.5,,,,,,,0.0269,11.1,1.4918296000400166
0.0,,415.56981216442836,476.2130948667706,,29.0693366316271,34.3686776811134,0.0269,11.1,1.4918296000400166
0.5,,,,,,,0.0269,11.1,1.4918296000400166
1.0,,507.91807190241366,497.2267815149859,,32.4904969136358,40.1066695115205,0.0269,11.1,1.4918296000400166
1.5,,,,,,,0.0269,11.1,1.4918296000400166
2.0,,500.8864738871469,554.8932207119054,,36.5835630857089,40.6586238145032,0.0269,11.1,1.4918296000400166
2.5,,,,,,,0.0269,11.1,1.4918296000400166
3.0,,578.8463248160064,672.0055561323147,,30.8861238929604,38.7979039856443,0.0269,11.1,1.4918296000400166
3.5,,,,,,,0.0269,11.1,1.4918296000400166
4.0,,677.1573787936039,678.6391618892558,,36.7737602864933,39.7948687898524,0.0269,11.1,1.4918296000400166
4.5,,,,,,,0.0269,11.1,1.4918296000400166
5.0,,584.7023846923008,674.82326385317,,42.5704726204396,35.8097992840992,0.0269,11.1,1.4918296000400166
5.5,,,,,,,0.0269,11.1,1.4918296000400166
6.0,,582.4011682392339,666.5455175564722,,26.7866051291685,28.7950298258808,0.0269,11.1,1.4918296000400166
6.5,,,,,,,0.0269,11.1,1.4918296000400166
7.0,,102.10243783299528,275.3041670092581,,46.6388582613719,35.7164017947011,0.0269,11.1,1.4918296000400166
7.5,,,,,,,0.0269,11.1,1.4918296000400166
8.0,,721.5175632879692,783.0359475625514,,28.9402353414132,29.3515436516053,0.0269,11.1,1.4918296000400166
8.5,,,,,,,0.0269,11.1,1.4918296000400166
9.0,,713.7477348476633,752.5868736033373,,30.1847970313529,26.6598072279764,0.0269,11.1,1.4918296000400166
9.5,,,,,,,0.0269,11.1,1.4918296000400166
10.0,,751.8281952833186,824.7257566549217,,34.4595515081294,30.7574918192706,0.0269,11.1,1.4918296000400166
10.5,,,,,,,0.0269,11.1,1.4918296000400166
11.0,,807.8586781065292,844.1427318607929,,30.1922046108203,28.146937304823595,0.0269,11.1,1.4918296000400166
11.5,,,,,,,0.0269,11.1,1.4918296000400166
12.0,,810.1131775100849,749.2467063066473,,32.8435126831788,33.8969701042193,0.0269,11.1,1.4918296000400166
12.5,,,,,,,0.0269,11.1,1.4918296000400166
13.0,,744.5023550536514,796.9414733552562,,31.217283274434646,27.741943891439128,0.0269,11.1,1.4918296000400166
13.5,,,,,,,0.0269,11.1,1.4918296000400166
14.0,,723.3399085627746,784.0496587872633,,32.6292482315892,25.2801369185409,0.0269,11.1,1.4918296000400166
14.5,,,,,,,0.0269,11.1,1.4918296000400166
15.0,,,473.64774506257953,,,27.0640766952329,0.0269,11.1,1.4918296000400166
15.5,,,,,,,0.0269,11.1,1.4918296000400166
16.0,,683.9159097729437,596.9739035981097,,38.07864871238737,33.4570571142285,0.0269,11.1,1.4918296000400166
16.5,,,,,,,0.0269,11.1,1.4918296000400166
17.0,,,70.87624439180145,,,44.1999153986695,0.0269,11.1,1.4918296000400166
17.5,,,,,,,0.0269,11.1,1.4918296000400166
18.0,,666.7422846379839,635.727643239213,,33.18777524435653,29.356942803562525,0.0269,11.1,1.4918296000400166
18.5,,,,,,,0.0269,11.1,1.4918296000400166
19.0,,648.930891014783,614.8457619695236,,37.80039813223591,36.76881679943519,0.0269,11.1,1.4918296000400166
19.5,,,,,,,0.0269,11.1,1.4918296000400166
20.0,,574.5326383676259,551.4167722755967,,44.669295457360406,47.26138180585063,0.0269,11.1,1.4918296000400166
20.5,,,,,,,0.0269,11.1,1.4918296000400166
21.0,,558.5462564681786,561.7311170174557,,45.25442577767253,45.48142548514578,0.0269,11.1,1.4918296000400166
21.5,,,,,,,0.0269,11.1,1.4918296000400166
22.0,,474.2302588940954,,,56.8500873658097,,0.0269,11.1,1.4918296000400166
22.5,,,,,,,0.0269,11.1,1.4918296000400166
23.0,,,364.1999421841547,,,49.8392638260883,0.0269,11.1,1.4918296000400166
23.5,,,,,,,0.0269,11.1,1.4918296000400166
24.0,,567.9633596276938,414.70024367693827,,51.9103656313889,81.0769404180329,0.0269,11.1,1.4918296000400166
24.5,,,,,,,0.0269,11.1,1.4918296000400166
25.0,,482.52034454493304,367.40714568039454,,54.7089308182235,57.2757086258901,0.0269,11.1,1.4918296000400166
25.5,,,,,,,0.0269,11.1,1.4918296000400166
26.0,,499.1050852587296,421.04317169903277,,52.7413057872854,73.922841024397,0.0269,11.1,1.4918296000400166
26.5,,,,,,,0.0269,11.1,1.4918296000400166
27.0,,423.960751044162,379.6164654105041,,44.5352811696184,59.3827812519665,0.0269,11.1,1.4918296000400166
27.5,,,,,,,0.0269,11.1,1.4918296000400166
28.0,,,,,,,0.0269,11.1,1.4918296000400166
28.5,,,,,,,0.0269,11.1,1.4918296000400166
29.0,,323.9531040208358,197.56145820103487,,34.484504923685,44.5335024887095,0.0269,11.1,1.4918296000400166
29.5,,,,,,,0.0269,11.1,1.4918296000400166
30.0,,421.49351099660953,229.5580596192706,,29.015780284968,31.3902137564093,0.0269,11.1,1.4918296000400166
30.5,,,,,,,0.0269,11.1,1.4918296000400166
31.0,,,241.09999037535997,,,27.8231835636985,0.0269,11.1,1.4918296000400166
31.5,,,,,,,0.0269,11.1,1.4918296000400166
32.0,,328.13693972716794,180.05677372124023,,26.7453697026725,33.5295905337476,0.0269,11.1,1.4918296000400166
32.5,,,,,,,0.0269,11.1,1.4918296000400166
33.0,,324.31253894192827,188.1877525969486,,30.0627303130157,24.8122429187238,0.0269,11.1,1.4918296000400166
33.5,,,,,,,0.0269,11.1,1.4918296000400166
34.0,,340.9218637936372,176.00373751767293,,33.1997471293399,35.4415786352106,0.0269,11.1,1.4918296000400166
34.5,,,,,,,0.0269,11.1,1.4918296000400166
35.0,,357.25281297052686,141.50462766078726,,25.0853189334706,28.5865859904738,0.0269,11.1,1.4918296000400166
35.5,,,,,,,0.0269,11.1,1.4918296000400166
36.0,,242.30375263261033,179.58560216379084,,38.9610250251003,44.7715823000458,0.0269,11.1,1.4918296000400166
36.5,,,,,,,0.0269,11.1,1.4918296000400166
37.0,,282.5901511946743,174.37287365309936,,35.0301729649093,31.7727706802302,0.0269,11.1,1.4918296000400166
