relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,10.186630391205492,,,23.893557840578787,,0.1054,1.1000000000000014,0.0
-29.5,,,,,,,0.1054,1.1000000000000014,0.0
-29.0,,,,,,,0.1054,1.1000000000000014,0.0
-28.5,,,,,,,0.1054,1.1000000000000014,0.0
-28.0,,-30.85953394991984,16.224761294397457,,22.202665769931592,19.336195453261375,0.1054,1.1000000000000014,0.0
-27.5,,,,,,,0.1054,1.1000000000000014,0.0
-27.0,,,,,,,0.1054,1.1000000000000014,0.0
-26.5,,,,,,,0.1054,1.1000000000000014,0.0
-26.0,,-6.118108301316646,8.23884782319894,,18.093270459406536,19.940322687014795,0.1054,1.1000000000000014,0.0
-25.5,,,,,,,0.1054,1.1000000000000014,0.0
-25.0,,-9.596127569296799,-0.6671047067591106,,17.834700893266945,16.73946660951628,0.1054,1.1000000000000014,0.0
-24.5,,,,,,,0.1054,1.1000000000000014,0.0
-24.0,,-17.668976457149533,,,24.291096086812527,,0.1054,1.1000000000000014,0.0
-23.5,,,,,,,0.1054,1.1000000000000014,0.0
-23.0,,-5.08684506199702,3.9515341496636815,,22.12140615382298,20.07652318489969,0.1054,1.1000000000000014,0.0
-22.5,,,,,,,0.1054,1.1000000000000014,0.0
-22.0,,-21.446503121632137,1.9891394541212648,,21.548809227839904,18.9158365726924,0.1054,1.1000000000000014,0.0
-21.5,,,,,,,0.1054,1.1000000000000014,0.0
-21.0,,-21.091020854309757,24.39663692849133,,31.05175073771079,18.803107152338065,0.1054,1.1000000000000014,0.0
-20.5,,,,,,,0.1054,1.1000000000000014,0.0
-20.0,,-16.33594622502177,10.021710354986379,,17.071737684864843,18.56502760051834,0.1054,1.1000000000000014,0.0
-19.5,,,,,,,0.1054,1.1000000000000014,0.0
-19.0,,-32.53555459559005,-27.94967098309284,,18.668009808385104,17.4932281829399,0.1054,1.1000000000000014,0.0
-18.5,,,,,,,0.1054,1.1000000000000014,0.0
-18.0,,4.884191595081314,-21.899300602946298,,29.820934889324192,21.7467639540152,0.1054,1.1000000000000014,0.0
-17.5,,,,,,,0.1054,1.1000000000000014,0.0
-17.0,,-3.7540026825919686,-3.5543682676055255,,19.412879396856138,21.600406254618992,0.1054,1.1000000000000014,0.0
-16.5,,,,,,,0.1054,1.1000000000000014,0.0
-16.0,,0.4489859111733878,-4.700586766667904,,17.679100492165286,15.909555050432406,0.1054,1.1000000000000014,0.0
-15.5,,,,,,,0.1054,1.1000000000000014,0.0
-15.0,,-40.49778509332577,12.994142739774048,,20.55401854077949,16.05128212771433,0.1054,1.1000000000000014,0.0
-14.5,,,,,,,0.1054,1.1000000000000014,0.0
-14.0,,17.917770781713248,22.39245930334125,,20.930199266429007,19.561644892121773,0.1054,1.1000000000000014,0.0
-13.5,,,,,,,0.1054,1.1000000000000014,0.0
-13.0,,15.773713227435982,20.154237465638225,,20.97826976036054,17.615681549859794,0.1054,1.1000000000000014,0.0
-12.5,,,,,,,0.1054,1.1000000000000014,0.0
-12.0,,-8.016056379226868,67.89888601086776,,30.408636902091242,34.531430341606494,0.1054,1.1000000000000014,0.0
-11.5,,,,,,,0.1054,1.1000000000000014,0.0
-11.0,,-1.0463299632520418,11.224231632091069,,30.606425220240006,31.39497440625686,0.1054,1.1000000000000014,0.0
-10.5,,,,,,,0.1054,1.1000000000000014,0.0
-10.0,,-11.298050368196058,25.372550754411392,,36.63129727394144,31.859415047277388,0.1054,1.1000000000000014,0.0
-9.5,,,,,,,0.1054,1.1000000000000014,0.0
-9.0,,19.4503519519987,47.9041142746083,,32.480684310183484,49.276833389518536,0.1054,1.1000000000000014,0.0
-8.5,,,,,,,0.1054,1.1000000000000014,0.0
-8.0,,-2.8667587955736087,9.17731224928981,,33.62311891897284,54.02926624653897,0.1054,1.1000000000000014,0.0
-7.5,,,,,,,0.1054,1.1000000000000014,0.0
-7.0,,-6.6033773888876235,-26.172264852337026,,40.513223375791235,52.26558893224778,0.1054,1.1000000000000014,0.0
-6.5,,,,,,,0.1054,1.1000000000000014,0.0
-6.0,,5.463072623990158,25.437774251322484,,41.750760046945096,60.531715138554816,0.1054,1.1000000000000014,0.0
-5.5,32.29131239342955,,,114.59374488595415,,,0.1054,1.1000000000000014,0.0
-5.0,-61.559639775338326,-3.4311320877841625,42.16580679690313,114.92158565395683,39.7606538404243,51.877402867572364,0.1054,1.1000000000000014,0.0
-4.5,-16.2106662757856,,,113.56287210843718,,,0.1054,1.1000000000000014,0.0
-4.0,46.984089161002615,13.35292830831323,-56.88088122403568,115.31150159196918,45.1655067032243,47.479557397645415,0.1054,1.1000000000000014,0.0
-3.5,-281.49197097897706,,,121.12574726448621,,,0.1054,1.1000000000000014,0.0
-3.0,-406.0375785955186,6.104640964808279,-117.00308689415563,123.47651843204488,37.772254498517384,57.88583305451556,0.1054,1.1000000000000014,0.0
-2.5,-377.5415932705513,,,121.65857594780906,,,0.1054,1.1000000000000014,0.0
-2.0,-287.9109765057413,11.898965889243735,-17.391934075239785,122.14213652951032,24.68874269434188,31.95449640445877,0.1054,1.1000000000000014,0.0
-1.5,-201.8183985842808,,,118.51169311467746,,,0.1054,1.1000000000000014,0.0
-1.0,-181.17145461796972,5.138038842711596,27.578045339131666,118.63654498340975,26.933514444647322,36.03565435076088,0.1054,1.1000000000000014,0.0
-0.5,-217.4647056549839,,,124.59525486580395,,,0.1054,1.1000000000000014,0.0
0.0,,4326.399289653451,5747.822753086937,,42.79413375113821,46.80369619347214,0.1054,1.1000000000000014,0.0
0.5,13976.195295331216,,,128.38067433487797,,,0.1054,1.1000000000000014,0.0
1.0,16611.174757462515,18223.188755706607,29488.37533895461,143.01581892885426,70.29342136099024,83.79940512893023,0.1054,1.1000000000000014,0.0
1.5,16557.664178893294,,,150.66102964744462,,,0.1054,1.1000000000000014,0.0
2.0,14705.221366322201,15294.497929643368,23273.438445949352,157.15476802140554,64.2212941083439,75.26061235915587,0.1054,1.1000000000000014,0.0
2.5,12968.483332893917,,,143.82994369083517,,,0.1054,1.1000000000000014,0.0
3.0,12010.569995875212,12592.287087634642,18200.854395608138,158.3557241522847,64.69733763659268,67.45371346422961,0.1054,1.1000000000000014,0.0
3.5,11047.007230540168,,,165.02301507121084,,,0.1054,1.1000000000000014,0.0
4.0,10483.984536754064,11553.396005233555,16414.860443390146,186.36110858748992,56.12748553454851,62.69361146507933,0.1054,1.1000000000000014,0.0
4.5,9924.55742426077,,,194.22871463445173,,,0.1054,1.1000000000000014,0.0
5.0,8639.410573048433,1967.5329754427883,6416.331013633829,205.8664040328599,44.83573027436907,43.81700953000197,0.1054,1.1000000000000014,0.0
5.5,8469.37215354063,,,206.84000762594655,,,0.1054,1.1000000000000014,0.0
6.0,6699.579280085437,8870.212752492938,12567.327139103094,185.87067974921115,49.87053238751455,54.48317034323217,0.1054,1.1000000000000014,0.0
6.5,7713.15223598944,,,198.94699159185595,,,0.1054,1.1000000000000014,0.0
7.0,7065.551017270288,7687.8059556918915,10849.572355942497,133.118954884792,45.774027560519016,50.8506523183993,0.1054,1.1000000000000014,0.0
7.5,,,,,,,0.1054,1.1000000000000014,0.0
8.0,7010.126630369669,6822.813741817075,9297.200069318209,114.84285128273139,46.16408502268648,50.61954378288802,0.1054,1.1000000000000014,0.0
8.5,6673.943877472112,,,115.42506503798336,,,0.1054,1.1000000000000014,0.0
9.0,6490.617361819884,6431.874654570431,8392.599738836376,112.40340073926433,43.90770131717967,47.51580566279558,0.1054,1.1000000000000014,0.0
9.5,6342.913427563183,,,120.33788780067836,,,0.1054,1.1000000000000014,0.0
10.0,6070.9399231841835,5601.904139206191,7929.979266967019,124.8479986783702,43.498711236623805,47.133327155135035,0.1054,1.1000000000000014,0.0
10.5,5763.431944452446,,,123.06097616098094,,,0.1054,1.1000000000000014,0.0
11.0,5531.925883244657,5819.981811675409,7215.535933895612,129.8286612043332,41.98082045046413,43.98758861182912,0.1054,1.1000000000000014,0.0
11.5,5617.187637993197,,,132.94580832529337,,,0.1054,1.1000000000000014,0.0
12.0,5302.812001866181,,,136.27514558912918,,,0.1054,1.1000000000000014,0.0
12.5,4404.390408010164,,,130.43944725624914,,,0.1054,1.1000000000000014,0.0
13.0,3802.8974687366726,,,114.70956419966181,,,0.1054,1.1000000000000014,0.0
13.5,3557.4758589177486,,,115.15682743263098,,,0.1054,1.1000000000000014,0.0
14.0,3298.382957756374,3576.6030945962307,4703.458782253861,116.81470198256234,40.38379770556118,38.926143878483444,0.1054,1.1000000000000014,0.0
14.5,3202.4264886079086,,,125.57374635919312,,,0.1054,1.1000000000000014,0.0
15.0,2838.792208036316,797.2939528081519,,121.87668115738539,52.547839354433385,,0.1054,1.1000000000000014,0.0
15.5,2755.202965353621,,,104.49495871729638,,,0.1054,1.1000000000000014,0.0
16.0,2898.02054642418,3471.85564591273,4563.664129169795,98.16330639092098,38.27383162496914,36.54008970026502,0.1054,1.1000000000000014,0.0
16.5,2656.086527163079,,,104.43155035060563,,,0.1054,1.1000000000000014,0.0
17.0,2745.6756979969687,3086.2814177994446,3815.866482265645,117.74199992864673,39.85139659287781,40.436343880951746,0.1054,1.1000000000000014,0.0
17.5,2644.68198669561,,,118.12226922686341,,,0.1054,1.1000000000000014,0.0
18.0,2735.7701023338045,2736.1605847158685,3274.050532428106,143.90621985193596,43.405828459063144,43.41403387446075,0.1054,1.1000000000000014,0.0
18.5,2565.057651509191,,,147.19836592069905,,,0.1054,1.1000000000000014,0.0
19.0,2430.5186831200976,2418.526578072454,3050.471781104168,160.6754487857551,46.51955058097067,48.35132218465769,0.1054,1.1000000000000014,0.0
19.5,1993.0773447675513,,,204.42998785708454,,,0.1054,1.1000000000000014,0.0
20.0,1119.1235191926041,1510.4089550262513,1781.3480628957336,219.20426279672955,46.08172236805461,56.8885038137899,0.1054,1.1000000000000014,0.0
20.5,1119.7157615749445,,,157.06269421865056,,,0.1054,1.1000000000000014,0.0
