relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,41.81861078196254,10.574377794107397,,31.4609942622766,17.050347489391,0.0069,8.0,4.301393830944673
-29.5,,,,,,,0.0069,8.0,4.301393830944673
-29.0,,,-52.1659703839901,,,18.1750101714263,0.0069,8.0,4.301393830944673
-28.5,,,,,,,0.0069,8.0,4.301393830944673
-28.0,,25.58091430880206,23.5578945938538,,24.1963270205999,16.8651515042177,0.0069,8.0,4.301393830944673
-27.5,,,,,,,0.0069,8.0,4.301393830944673
-27.0,,29.24800310352581,-9.731442454285604,,51.1649095077996,33.7344591535152,0.0069,8.0,4.301393830944673
-26.5,,,,,,,0.0069,8.0,4.301393830944673
-26.0,,76.51830269546765,-5.3894472685515415,,24.714386282549,28.3913971791198,0.0069,8.0,4.301393830944673
-25.5,,,,,,,0.0069,8.0,4.301393830944673
-25.0,,-33.17583685954331,-10.28392599959527,,26.7586177347384,27.4513734323799,0.0069,8.0,4.301393830944673
-24.5,,,,,,,0.0069,8.0,4.301393830944673
-24.0,,,,,,,0.0069,8.0,4.301393830944673
-23.5,,,,,,,0.0069,8.0,4.301393830944673
-23.0,,61.96633751575931,-37.43611821740395,,26.5658549139654,30.0081777365501,0.0069,8.0,4.301393830944673
-22.5,,,,,,,0.0069,8.0,4.301393830944673
-22.0,,41.64710318031846,51.51089812397693,,23.545969785945,26.8273542343513,0.0069,8.0,4.301393830944673
-21.5,,,,,,,0.0069,8.0,4.301393830944673
-21.0,,16.533441626523178,-10.593217380320299,,44.9791186505413,28.3414542433578,0.0069,8.0,4.301393830944673
-20.5,,,,,,,0.0069,8.0,4.301393830944673
-20.0,,-8.765177640566503,-34.562120180257516,,63.9631512641761,31.1561434751219,0.0069,8.0,4.301393830944673
-19.5,,,,,,,0.0069,8.0,4.301393830944673
-19.0,,50.106406446612816,-42.0060428094036,,32.9032447640603,34.2009800779605,0.0069,8.0,4.301393830944673
-18.5,,,,,,,0.0069,8.0,4.301393830944673
-18.0,,53.70405902446369,35.26716090587891,,42.846364707158,47.6766189559736,0.0069,8.0,4.301393830944673
-17.5,,,,,,,0.0069,8.0,4.301393830944673
-17.0,,49.41851348861741,72.07618884927207,,31.4074866123366,34.7809670855431,0.0069,8.0,4.301393830944673
-16.5,,,,,,,0.0069,8.0,4.301393830944673
-16.0,,90.17948597464418,32.857283540158335,,37.033728113361,34.7839423171833,0.0069,8.0,4.301393830944673
-15.5,,,,,,,0.0069,8.0,4.301393830944673
-15.0,,-95.89003845183379,74.4809515705276,,32.9980115208543,49.7245622534555,0.0069,8.0,4.301393830944673
-14.5,,,,,,,0.0069,8.0,4.301393830944673
-14.0,,-41.77632272608025,24.247621834049447,,44.1633756932114,68.4152279831488,0.0069,8.0,4.301393830944673
-13.5,,,,,,,0.0069,8.0,4.301393830944673
-13.0,,-70.37174903432629,47.59085179850792,,50.1218571524765,52.5151812661756,0.0069,8.0,4.301393830944673
-12.5,,,,,,,0.0069,8.0,4.301393830944673
-12.0,,17.683458394037213,-8.508077689531476,,36.8335592813423,53.2945755087426,0.0069,8.0,4.301393830944673
-11.5,,,,,,,0.0069,8.0,4.301393830944673
-11.0,,14.960554591436846,22.157638364243493,,50.60292597507649,49.59809802437624,0.0069,8.0,4.301393830944673
-10.5,,,,,,,0.0069,8.0,4.301393830944673
-10.0,,,,,,,0.0069,8.0,4.301393830944673
-9.5,,,,,,,0.0069,8.0,4.301393830944673
-9.0,,30.565009955604626,54.676477633369416,,64.7242185367676,47.4439243048808,0.0069,8.0,4.301393830944673
