relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-22.710822180724232,-124.5406557943295,,19.6216326418368,15.7431998252071,0.4354,2.0,5.864449391602477
-29.5,,,,,,,0.4354,2.0,5.864449391602477
-29.0,,,,,,,0.4354,2.0,5.864449391602477
-28.5,,,,,,,0.4354,2.0,5.864449391602477
-28.0,,,,,,,0.4354,2.0,5.864449391602477
-27.5,,,,,,,0.4354,2.0,5.864449391602477
-27.0,,-12.50918713398377,,,21.3479103131458,,0.4354,2.0,5.864449391602477
-26.5,,,,,,,0.4354,2.0,5.864449391602477
-26.0,,,,,,,0.4354,2.0,5.864449391602477
-25.5,,,,,,,0.4354,2.0,5.864449391602477
-25.0,,,,,,,0.4354,2.0,5.864449391602477
-24.5,,,,,,,0.4354,2.0,5.864449391602477
-24.0,,-44.68586791811143,,,20.8112424292708,,0.4354,2.0,5.864449391602477
-23.5,,,,,,,0.4354,2.0,5.864449391602477
-23.0,,,,,,,0.4354,2.0,5.864449391602477
-22.5,,,,,,,0.4354,2.0,5.864449391602477
-22.0,,,,,,,0.4354,2.0,5.864449391602477
-21.5,,,,,,,0.4354,2.0,5.864449391602477
-21.0,,145.5413758518312,50.65867663710599,,24.1965569341516,12.8258003112631,0.4354,2.0,5.864449391602477
-20.5,,,,,,,0.4354,2.0,5.864449391602477
-20.0,,,,,,,0.4354,2.0,5.864449391602477
-19.5,,,,,,,0.4354,2.0,5.864449391602477
-19.0,,,,,,,0.4354,2.0,5.864449391602477
-18.5,,,,,,,0.4354,2.0,5.864449391602477
-18.0,,,136.77677198744087,,,22.5325678521987,0.4354,2.0,5.864449391602477
-17.5,,,,,,,0.4354,2.0,5.864449391602477
-17.0,,,-151.38075052117594,,,31.016716026396807,0.4354,2.0,5.864449391602477
-16.5,,,,,,,0.4354,2.0,5.864449391602477
-16.0,,,165.7683472927167,,,45.9943817962292,0.4354,2.0,5.864449391602477
-15.5,,,,,,,0.4354,2.0,5.864449391602477
-15.0,,,145.12411536377354,,,43.7992710203167,0.4354,2.0,5.864449391602477
-14.5,,,,,,,0.4354,2.0,5.864449391602477
-14.0,,-44.068161747000694,-16.888373631345303,,42.5883734835358,43.1266917455281,0.4354,2.0,5.864449391602477
-13.5,,,,,,,0.4354,2.0,5.864449391602477
-13.0,,147.7289655693564,-237.79214703573842,,36.12978662510959,36.2055462761759,0.4354,2.0,5.864449391602477
-12.5,,,,,,,0.4354,2.0,5.864449391602477
-12.0,,23.46267281813418,,,45.39703873245628,,0.4354,2.0,5.864449391602477
-11.5,,,,,,,0.4354,2.0,5.864449391602477
-11.0,,,-160.1571413482744,,,58.2525402513893,0.4354,2.0,5.864449391602477
-10.5,,,,,,,0.4354,2.0,5.864449391602477
-10.0,,116.73923086288657,234.67095658980517,,22.348326457269,26.1741764860432,0.4354,2.0,5.864449391602477
-9.5,,,,,,,0.4354,2.0,5.864449391602477
-9.0,,29.29314380139847,110.2484971807644,,26.399030445995955,27.153494837437574,0.4354,2.0,5.864449391602477
-8.5,,,,,,,0.4354,2.0,5.864449391602477
-8.0,,186.90611208414802,310.77337008497284,,29.0139302512687,29.449053494364904,0.4354,2.0,5.864449391602477
-7.5,,,,,,,0.4354,2.0,5.864449391602477
-7.0,,360.4504624511183,383.948687315459,,25.916883279501082,29.96478957359836,0.4354,2.0,5.864449391602477
-6.5,,,,,,,0.4354,2.0,5.864449391602477
-6.0,,522.9912092159767,546.1769837478157,,26.1640282321363,31.1709476670497,0.4354,2.0,5.864449391602477
-5.5,,,,,,,0.4354,2.0,5.864449391602477
-5.0,,433.0364021200518,404.4418559450625,,37.49398612025042,30.089567334012084,0.4354,2.0,5.864449391602477
-4.5,,,,,,,0.4354,2.0,5.864449391602477
-4.0,,549.6904305127146,736.7615392875036,,25.2481886809243,19.4183783896882,0.4354,2.0,5.864449391602477
-3.5,,,,,,,0.4354,2.0,5.864449391602477
-3.0,,-51.18949648030855,525.1776836161381,,48.1685743567951,18.3638294534476,0.4354,2.0,5.864449391602477
-2.5,,,,,,,0.4354,2.0,5.864449391602477
-2.0,,825.393963867846,673.7076106298082,,23.3631777028581,16.6546628434484,0.4354,2.0,5.864449391602477
-1.5,,,,,,,0.4354,2.0,5.864449391602477
-1.0,,723.1995931032674,1054.7439471216119,,21.4861514402408,21.8062851078865,0.4354,2.0,5.864449391602477
-0.5,,,,,,,0.4354,2.0,5.864449391602477
0.0,,911.1892383683972,965.2947221488452,,20.5132373294141,19.0492875276793,0.4354,2.0,5.864449391602477
0.5,,,,,,,0.4354,2.0,5.864449391602477
1.0,,915.4198582391266,1019.904565243404,,18.6841742912036,19.7953821402257,0.4354,2.0,5.864449391602477
1.5,,,,,,,0.4354,2.0,5.864449391602477
2.0,,932.3126630608998,932.9282036019534,,23.6290467150292,20.8841719927662,0.4354,2.0,5.864449391602477
2.5,,,,,,,0.4354,2.0,5.864449391602477
3.0,,864.6797129613119,968.1499521913815,,22.6322656246331,19.041612949707307,0.4354,2.0,5.864449391602477
3.5,,,,,,,0.4354,2.0,5.864449391602477
4.0,,,,,,,0.4354,2.0,5.864449391602477
4.5,,,,,,,0.4354,2.0,5.864449391602477
5.0,,,,,,,0.4354,2.0,5.864449391602477
5.5,,,,,,,0.4354,2.0,5.864449391602477
6.0,,889.1663839999751,485.15795087427233,,26.695434025666962,27.3275208420517,0.4354,2.0,5.864449391602477
6.5,,,,,,,0.4354,2.0,5.864449391602477
7.0,,,,,,,0.4354,2.0,5.864449391602477
7.5,,,,,,,0.4354,2.0,5.864449391602477
8.0,,863.0076766266362,794.8411199589326,,20.7393050727691,21.335731838762545,0.4354,2.0,5.864449391602477
8.5,,,,,,,0.4354,2.0,5.864449391602477
