relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-106.08011756539655,,,23.244318057103456,,0.0693,13.0,3.878251324158007
-29.5,,,,,,,0.0693,13.0,3.878251324158007
-29.0,,-226.93940303056877,-5.361003477175366,,29.466954524496206,23.6984836917685,0.0693,13.0,3.878251324158007
-28.5,,,,,,,0.0693,13.0,3.878251324158007
-28.0,,-146.83228010266637,-7.082359166083112,,23.8486807217175,23.8903165994454,0.0693,13.0,3.878251324158007
-27.5,,,,,,,0.0693,13.0,3.878251324158007
-27.0,,-81.76972632216057,-56.65767892611702,,22.458469644591766,20.926532387147223,0.0693,13.0,3.878251324158007
-26.5,,,,,,,0.0693,13.0,3.878251324158007
-26.0,,-73.29054006662611,-47.55115747896571,,24.438032940248156,20.8024731607414,0.0693,13.0,3.878251324158007
-25.5,,,,,,,0.0693,13.0,3.878251324158007
-25.0,,-71.3705804908331,-31.89184404835055,,24.122695544686202,22.1560231938648,0.0693,13.0,3.878251324158007
-24.5,,,,,,,0.0693,13.0,3.878251324158007
-24.0,,-59.20878903946447,-20.569254215554107,,25.99287783955523,20.4544704515281,0.0693,13.0,3.878251324158007
-23.5,,,,,,,0.0693,13.0,3.878251324158007
-23.0,,-49.24299823488896,-6.483274536438642,,31.4844995040628,31.70005298023228,0.0693,13.0,3.878251324158007
-22.5,,,,,,,0.0693,13.0,3.878251324158007
-22.0,,-72.45199291676775,-7.011415838715768,,33.74649474549058,37.06080359103804,0.0693,13.0,3.878251324158007
-21.5,,,,,,,0.0693,13.0,3.878251324158007
-21.0,,-114.17180569995766,-0.2763298815327886,,34.2123942108547,31.104316392929388,0.0693,13.0,3.878251324158007
-20.5,,,,,,,0.0693,13.0,3.878251324158007
-20.0,,-89.35510419650265,-23.317755773261037,,34.86432308656317,41.64280700272167,0.0693,13.0,3.878251324158007
-19.5,,,,,,,0.0693,13.0,3.878251324158007
-19.0,,-173.15022522953723,-15.661775328643522,,39.1654557191027,53.00962562579317,0.0693,13.0,3.878251324158007
-18.5,,,,,,,0.0693,13.0,3.878251324158007
-18.0,,-189.1856116094451,-76.85891482836377,,40.5897548927948,54.18965572414021,0.0693,13.0,3.878251324158007
-17.5,,,,,,,0.0693,13.0,3.878251324158007
-17.0,,35.38536721928928,-40.24540347970026,,43.0326244018568,55.37704036265411,0.0693,13.0,3.878251324158007
-16.5,,,,,,,0.0693,13.0,3.878251324158007
-16.0,,-171.7942653169867,-52.42224554096373,,39.4475197119682,50.153134204366,0.0693,13.0,3.878251324158007
-15.5,,,,,,,0.0693,13.0,3.878251324158007
-15.0,,,,,,,0.0693,13.0,3.878251324158007
-14.5,,,,,,,0.0693,13.0,3.878251324158007
-14.0,,,51.006046175158474,,,45.770111565340414,0.0693,13.0,3.878251324158007
-13.5,,,,,,,0.0693,13.0,3.878251324158007
-13.0,,-116.14209992690735,-27.049770312565894,,32.16469629899923,31.871025500850124,0.0693,13.0,3.878251324158007
-12.5,,,,,,,0.0693,13.0,3.878251324158007
-12.0,,-60.028255962083904,-109.7431641022933,,34.0468908222265,35.2278206540036,0.0693,13.0,3.878251324158007
-11.5,,,,,,,0.0693,13.0,3.878251324158007
-11.0,,-61.14761976021591,-72.54945159362684,,30.0348701845638,27.606515885703203,0.0693,13.0,3.878251324158007
-10.5,,,,,,,0.0693,13.0,3.878251324158007
-10.0,,-100.27571894695176,3.6384588252808783,,34.581715970024554,28.55785660666175,0.0693,13.0,3.878251324158007
-9.5,,,,,,,0.0693,13.0,3.878251324158007
-9.0,,-19.839304785833036,46.46017298772297,,27.725432921741,30.6124656949385,0.0693,13.0,3.878251324158007
-8.5,,,,,,,0.0693,13.0,3.878251324158007
-8.0,,-37.39449715722921,-25.410436081726658,,42.716820446619366,26.724705281875384,0.0693,13.0,3.878251324158007
-7.5,,,,,,,0.0693,13.0,3.878251324158007
-7.0,,-61.843433467496325,-70.52598875875816,,25.64921608608492,21.82939915285674,0.0693,13.0,3.878251324158007
-6.5,,,,,,,0.0693,13.0,3.878251324158007
