relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-29.5,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-29.0,,-32.46135020435684,,,42.7824264234481,,0.0122,1.4500000000000028,2.348756172010104
-28.5,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-28.0,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-27.5,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-27.0,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-26.5,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-26.0,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-25.5,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-25.0,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-24.5,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-24.0,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-23.5,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-23.0,118.87840111570391,,,124.63993750088294,,,0.0122,1.4500000000000028,2.348756172010104
-22.5,89.12362484071438,,,125.36617942577703,,,0.0122,1.4500000000000028,2.348756172010104
-22.0,149.50061920518647,,,128.7078385477075,,,0.0122,1.4500000000000028,2.348756172010104
-21.5,21.835994223585935,,,143.00765797351897,,,0.0122,1.4500000000000028,2.348756172010104
-21.0,30.851014681963154,,,144.158772595221,,,0.0122,1.4500000000000028,2.348756172010104
-20.5,-28.56640163228392,,,149.4947784623431,,,0.0122,1.4500000000000028,2.348756172010104
-20.0,-125.42157781679467,,-54.73211381049322,149.01849548973482,,30.3055774550061,0.0122,1.4500000000000028,2.348756172010104
-19.5,-55.894687045066654,,,148.61147091475968,,,0.0122,1.4500000000000028,2.348756172010104
-19.0,-153.93654765961614,,,145.27837812201702,,,0.0122,1.4500000000000028,2.348756172010104
-18.5,-18.672265150509826,,,147.9019391252394,,,0.0122,1.4500000000000028,2.348756172010104
-18.0,-101.00296069147926,,,148.05245616808682,,,0.0122,1.4500000000000028,2.348756172010104
-17.5,-74.75735439113274,,,145.9942634233394,,,0.0122,1.4500000000000028,2.348756172010104
-17.0,-42.36003330980762,,,145.81263682519176,,,0.0122,1.4500000000000028,2.348756172010104
-16.5,6.834308180121973,,,147.30036419716814,,,0.0122,1.4500000000000028,2.348756172010104
-16.0,-7.54137528387396,,,147.0125714271948,,,0.0122,1.4500000000000028,2.348756172010104
-15.5,68.24025681311663,,,150.41690160124193,,,0.0122,1.4500000000000028,2.348756172010104
-15.0,33.622604402312966,,,150.67143763857177,,,0.0122,1.4500000000000028,2.348756172010104
-14.5,-184.86613642794205,,,155.5528844413068,,,0.0122,1.4500000000000028,2.348756172010104
-14.0,-222.07601187236088,,17.042976400540834,160.35849445374947,,25.4697293833994,0.0122,1.4500000000000028,2.348756172010104
-13.5,-196.4565244293217,,,173.87301791080586,,,0.0122,1.4500000000000028,2.348756172010104
-13.0,-209.96574805382627,,,176.45342650938764,,,0.0122,1.4500000000000028,2.348756172010104
-12.5,-442.19578338573217,,,196.92201145597085,,,0.0122,1.4500000000000028,2.348756172010104
-12.0,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-11.5,,,,,,,0.0122,1.4500000000000028,2.348756172010104
-11.0,,-6.668607038387304,,,35.7004780552457,,0.0122,1.4500000000000028,2.348756172010104
-10.5,-195.80781123477988,,-34.57951215215219,155.49458820364924,,34.1704978499861,0.0122,1.4500000000000028,2.348756172010104
