relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,8.909221791736035,-5.671486164468459,,35.21724297805609,32.18566898972005,0.0207,-1.0,6.959881863620643
-29.5,,,,,,,0.0207,-1.0,6.959881863620643
-29.0,,-68.10049153285169,19.065665483256673,,36.1427538239202,33.68492891163041,0.0207,-1.0,6.959881863620643
-28.5,,,,,,,0.0207,-1.0,6.959881863620643
-28.0,,-20.265086827325064,-6.659061772211421,,36.41866511989671,53.38537806657062,0.0207,-1.0,6.959881863620643
-27.5,,,,,,,0.0207,-1.0,6.959881863620643
-27.0,,-33.58570724671927,31.447707947378696,,42.5076825014785,48.72897745634979,0.0207,-1.0,6.959881863620643
-26.5,,,,,,,0.0207,-1.0,6.959881863620643
-26.0,,-33.93217639353014,10.08383237533269,,46.13139935122743,48.296931809207706,0.0207,-1.0,6.959881863620643
-25.5,,,,,,,0.0207,-1.0,6.959881863620643
-25.0,,-73.0643570369664,-78.90655449229548,,50.1380658081841,57.208959917858415,0.0207,-1.0,6.959881863620643
-24.5,,,,,,,0.0207,-1.0,6.959881863620643
-24.0,,38.29476531705265,-21.924596189230147,,46.08522686675542,48.18842439522941,0.0207,-1.0,6.959881863620643
-23.5,,,,,,,0.0207,-1.0,6.959881863620643
-23.0,,,32.57347763730496,,,38.420001770315295,0.0207,-1.0,6.959881863620643
-22.5,,,,,,,0.0207,-1.0,6.959881863620643
-22.0,,114.24239422737698,15.059112882063165,,56.0833897777799,43.18626428110515,0.0207,-1.0,6.959881863620643
-21.5,,,,,,,0.0207,-1.0,6.959881863620643
-21.0,,82.69097674393055,83.74827131665675,,45.8736002120848,30.30904924745807,0.0207,-1.0,6.959881863620643
-20.5,,,,,,,0.0207,-1.0,6.959881863620643
-20.0,,125.25942031021017,127.05468276090974,,38.7458381013166,38.1449544931992,0.0207,-1.0,6.959881863620643
-19.5,,,,,,,0.0207,-1.0,6.959881863620643
-19.0,,133.56213179853347,174.5949013867017,,42.8686825471098,40.2627833379585,0.0207,-1.0,6.959881863620643
-18.5,,,,,,,0.0207,-1.0,6.959881863620643
-18.0,,191.63620434374013,183.20809497855112,,33.4618269752039,28.6574230468551,0.0207,-1.0,6.959881863620643
-17.5,,,,,,,0.0207,-1.0,6.959881863620643
-17.0,,165.18306876270677,171.54941293475244,,35.3334678918963,38.3941880614253,0.0207,-1.0,6.959881863620643
-16.5,,,,,,,0.0207,-1.0,6.959881863620643
-16.0,,185.90514789096704,224.07546717062507,,49.1051908372277,37.357944268330606,0.0207,-1.0,6.959881863620643
-15.5,,,,,,,0.0207,-1.0,6.959881863620643
-15.0,,220.25904411359835,258.8157883457167,,31.5563780766326,26.3310466758262,0.0207,-1.0,6.959881863620643
-14.5,,,,,,,0.0207,-1.0,6.959881863620643
-14.0,,130.13040070353745,66.70617385075691,,48.8602331401011,37.3320437015937,0.0207,-1.0,6.959881863620643
-13.5,,,,,,,0.0207,-1.0,6.959881863620643
-13.0,,282.3862264227376,294.90867713312974,,29.5010865487155,24.3162205012115,0.0207,-1.0,6.959881863620643
-12.5,,,,,,,0.0207,-1.0,6.959881863620643
-12.0,,352.56827961443764,319.9028159653647,,30.7431967899728,30.6980902903153,0.0207,-1.0,6.959881863620643
-11.5,,,,,,,0.0207,-1.0,6.959881863620643
-11.0,,340.1063332172037,241.49993939808837,,32.157635600248,30.9144498966313,0.0207,-1.0,6.959881863620643
-10.5,,,,,,,0.0207,-1.0,6.959881863620643
-10.0,,359.75253019385195,392.05259185132417,,30.3282907591764,24.31814072091046,0.0207,-1.0,6.959881863620643
-9.5,,,,,,,0.0207,-1.0,6.959881863620643
-9.0,,364.84057319767174,318.1880557967101,,31.6909506642318,34.4726691895396,0.0207,-1.0,6.959881863620643
-8.5,,,,,,,0.0207,-1.0,6.959881863620643
-8.0,,391.1419392749112,398.42326368638794,,36.52410340479054,23.903990882626953,0.0207,-1.0,6.959881863620643
-7.5,,,,,,,0.0207,-1.0,6.959881863620643
-7.0,,410.90110608775746,435.03855255400083,,30.8664269344946,21.1844565024148,0.0207,-1.0,6.959881863620643
-6.5,,,,,,,0.0207,-1.0,6.959881863620643
-6.0,,,221.07776604091555,,,24.0347964933505,0.0207,-1.0,6.959881863620643
-5.5,,,,,,,0.0207,-1.0,6.959881863620643
-5.0,,393.4692922184922,317.68582859213876,,35.37992551334223,33.9991234273986,0.0207,-1.0,6.959881863620643
-4.5,,,,,,,0.0207,-1.0,6.959881863620643
-4.0,,9.69581658077212,83.45300630612874,,72.87262636000135,45.6453385960227,0.0207,-1.0,6.959881863620643
-3.5,,,,,,,0.0207,-1.0,6.959881863620643
-3.0,,400.42066113200895,427.28043768810585,,33.583872286261595,27.945513070802452,0.0207,-1.0,6.959881863620643
-2.5,,,,,,,0.0207,-1.0,6.959881863620643
-2.0,,380.6642439953059,382.69986451152135,,37.79020182034865,35.4912388726539,0.0207,-1.0,6.959881863620643
-1.5,,,,,,,0.0207,-1.0,6.959881863620643
-1.0,,370.4580192453268,423.43441356420317,,42.72085555638734,44.59131128256508,0.0207,-1.0,6.959881863620643
-0.5,,,,,,,0.0207,-1.0,6.959881863620643
0.0,,362.37243354627,386.7374480875342,,48.27194450412984,46.399057271704116,0.0207,-1.0,6.959881863620643
0.5,,,,,,,0.0207,-1.0,6.959881863620643
1.0,,377.1183360853916,389.4745956228594,,62.1333376125334,68.546322950185,0.0207,-1.0,6.959881863620643
1.5,,,,,,,0.0207,-1.0,6.959881863620643
2.0,,283.60357738517985,332.5243012053079,,68.0410138962272,51.4115772696897,0.0207,-1.0,6.959881863620643
2.5,,,,,,,0.0207,-1.0,6.959881863620643
3.0,,326.7697338274008,230.62500782623653,,55.0885959857996,67.3849618866906,0.0207,-1.0,6.959881863620643
3.5,,,,,,,0.0207,-1.0,6.959881863620643
4.0,,399.68237200767237,363.03057210625997,,60.1720867394654,48.7937208580438,0.0207,-1.0,6.959881863620643
4.5,,,,,,,0.0207,-1.0,6.959881863620643
5.0,,329.01479411114434,342.52140629409763,,72.9475493450055,67.89597500940863,0.0207,-1.0,6.959881863620643
5.5,,,,,,,0.0207,-1.0,6.959881863620643
6.0,,311.6564309558093,411.7444983384784,,49.588047880738,46.805671510992305,0.0207,-1.0,6.959881863620643
6.5,,,,,,,0.0207,-1.0,6.959881863620643
7.0,,,60.4100735711284,,,39.6742126368954,0.0207,-1.0,6.959881863620643
7.5,,,,,,,0.0207,-1.0,6.959881863620643
8.0,,347.8155323443677,305.6187807759785,,39.3715427584545,35.91669423204588,0.0207,-1.0,6.959881863620643
8.5,,,,,,,0.0207,-1.0,6.959881863620643
9.0,,267.2834770075101,317.09079765804336,,36.6729048903719,26.977584868752356,0.0207,-1.0,6.959881863620643
9.5,,,,,,,0.0207,-1.0,6.959881863620643
10.0,,352.9411013158731,359.0684719631313,,32.421121312741754,23.99347632428893,0.0207,-1.0,6.959881863620643
10.5,,,,,,,0.0207,-1.0,6.959881863620643
11.0,,274.52297741177983,318.86549457994823,,31.4049140712826,34.9794461194606,0.0207,-1.0,6.959881863620643
11.5,,,,,,,0.0207,-1.0,6.959881863620643
12.0,,246.93830600473206,265.24045155585947,,36.47495336564785,31.179042390358788,0.0207,-1.0,6.959881863620643
12.5,,,,,,,0.0207,-1.0,6.959881863620643
13.0,,253.2196252864165,225.26540137974501,,39.329966539653896,38.25625583814144,0.0207,-1.0,6.959881863620643
13.5,,,,,,,0.0207,-1.0,6.959881863620643
14.0,,289.6905271383079,313.10136503971387,,27.8084285356762,24.2664479725789,0.0207,-1.0,6.959881863620643
14.5,,,,,,,0.0207,-1.0,6.959881863620643
15.0,,265.809642866362,145.06263977889193,,35.3170423101659,38.5820340210456,0.0207,-1.0,6.959881863620643
15.5,,,,,,,0.0207,-1.0,6.959881863620643
16.0,,287.0241455789038,250.12762869381064,,34.0337040190848,33.0868165501977,0.0207,-1.0,6.959881863620643
16.5,,,,,,,0.0207,-1.0,6.959881863620643
17.0,,,,,,,0.0207,-1.0,6.959881863620643
17.5,,,,,,,0.0207,-1.0,6.959881863620643
18.0,,,,,,,0.0207,-1.0,6.959881863620643
18.5,,,,,,,0.0207,-1.0,6.959881863620643
19.0,,280.44479602040656,253.29330872761514,,25.481299683417,30.2431034117083,0.0207,-1.0,6.959881863620643
19.5,,,,,,,0.0207,-1.0,6.959881863620643
20.0,,,,,,,0.0207,-1.0,6.959881863620643
20.5,,,,,,,0.0207,-1.0,6.959881863620643
21.0,,,,,,,0.0207,-1.0,6.959881863620643
21.5,,,,,,,0.0207,-1.0,6.959881863620643
22.0,,,,,,,0.0207,-1.0,6.959881863620643
22.5,,,,,,,0.0207,-1.0,6.959881863620643
23.0,,130.61125939912353,124.3738413835701,,41.1503867732821,43.9809322713913,0.0207,-1.0,6.959881863620643
23.5,,,,,,,0.0207,-1.0,6.959881863620643
24.0,,,,,,,0.0207,-1.0,6.959881863620643
24.5,,,,,,,0.0207,-1.0,6.959881863620643
25.0,,121.13126384121713,100.61117391046618,,34.0072677863636,34.9055854516942,0.0207,-1.0,6.959881863620643
25.5,,,,,,,0.0207,-1.0,6.959881863620643
26.0,,151.33619474723926,50.348368596641244,,36.5393570793262,35.6660980561741,0.0207,-1.0,6.959881863620643
26.5,,,,,,,0.0207,-1.0,6.959881863620643
27.0,,137.63913697559286,68.24625192976053,,42.9855109677899,38.163115552557,0.0207,-1.0,6.959881863620643
27.5,,,,,,,0.0207,-1.0,6.959881863620643
28.0,,108.71251101122651,91.51225281315897,,40.8761334042072,35.1831703838677,0.0207,-1.0,6.959881863620643
28.5,,,,,,,0.0207,-1.0,6.959881863620643
29.0,,61.06567211819468,-20.18607385101043,,43.8010403490237,38.7464668144742,0.0207,-1.0,6.959881863620643
29.5,,,,,,,0.0207,-1.0,6.959881863620643
30.0,,85.28425225401624,-4.671920909456457,,41.0825121207801,41.0841340667613,0.0207,-1.0,6.959881863620643
30.5,,,,,,,0.0207,-1.0,6.959881863620643
31.0,,68.9899417045586,-22.016322589628057,,57.6649981031218,59.274800880089,0.0207,-1.0,6.959881863620643
31.5,,,,,,,0.0207,-1.0,6.959881863620643
32.0,,29.218641110940485,,,66.9820404209041,,0.0207,-1.0,6.959881863620643
32.5,,,,,,,0.0207,-1.0,6.959881863620643
33.0,,-30.595951497960748,142.86665662057555,,61.1311887533661,65.3860863129857,0.0207,-1.0,6.959881863620643
33.5,,,,,,,0.0207,-1.0,6.959881863620643
34.0,,85.01294984156812,,,69.6544877238463,,0.0207,-1.0,6.959881863620643
34.5,,,,,,,0.0207,-1.0,6.959881863620643
35.0,,119.44053957108746,,,62.701030584657,,0.0207,-1.0,6.959881863620643
35.5,,,,,,,0.0207,-1.0,6.959881863620643
36.0,,5.704369083218997,,,60.8750801465994,,0.0207,-1.0,6.959881863620643
36.5,,,,,,,0.0207,-1.0,6.959881863620643
37.0,,98.646877484499,56.20391135081539,,51.7619160567374,68.4639319718518,0.0207,-1.0,6.959881863620643
37.5,,,,,,,0.0207,-1.0,6.959881863620643
38.0,,70.19285525428107,6.564492066410545,,52.7993056704484,53.3470915154313,0.0207,-1.0,6.959881863620643
38.5,,,,,,,0.0207,-1.0,6.959881863620643
39.0,,36.36281939519395,53.88524987077782,,44.303664257696,33.2786813819581,0.0207,-1.0,6.959881863620643
39.5,,,,,,,0.0207,-1.0,6.959881863620643
40.0,,42.32915481516915,-15.240522059913594,,34.1832151684341,26.2198434152207,0.0207,-1.0,6.959881863620643
40.5,,,,,,,0.0207,-1.0,6.959881863620643
41.0,,117.79571424861044,-48.06032061444952,,38.6863889841212,27.2447037418146,0.0207,-1.0,6.959881863620643
41.5,,,,,,,0.0207,-1.0,6.959881863620643
42.0,,4.181485464489206,14.922666514064769,,48.9687116968284,48.2343001693782,0.0207,-1.0,6.959881863620643
42.5,,,,,,,0.0207,-1.0,6.959881863620643
43.0,,46.172762225500115,44.1432923954009,,41.9868821556225,33.7690945737899,0.0207,-1.0,6.959881863620643
43.5,,,,,,,0.0207,-1.0,6.959881863620643
44.0,,-5.022313877569175,7.6019096229224985,,47.2698913175456,30.8736287140375,0.0207,-1.0,6.959881863620643
44.5,,,,,,,0.0207,-1.0,6.959881863620643
45.0,,,,,,,0.0207,-1.0,6.959881863620643
45.5,,,,,,,0.0207,-1.0,6.959881863620643
46.0,,,53.921971853438095,,,63.7046146148387,0.0207,-1.0,6.959881863620643
46.5,,,,,,,0.0207,-1.0,6.959881863620643
47.0,,100.4316717505581,,,42.2528073138798,,0.0207,-1.0,6.959881863620643
47.5,,,,,,,0.0207,-1.0,6.959881863620643
48.0,,83.2588229203534,35.72628664363587,,42.373973986185895,36.95609717680909,0.0207,-1.0,6.959881863620643
48.5,,,,,,,0.0207,-1.0,6.959881863620643
49.0,,,,,,,0.0207,-1.0,6.959881863620643
49.5,,,,,,,0.0207,-1.0,6.959881863620643
50.0,,30.027656044709552,22.297312492236415,,48.5662928598457,40.0720216613303,0.0207,-1.0,6.959881863620643
50.5,,,,,,,0.0207,-1.0,6.959881863620643
51.0,,-29.247824307508385,85.97736459973632,,52.1062814358692,43.8027526451809,0.0207,-1.0,6.959881863620643
51.5,,,,,,,0.0207,-1.0,6.959881863620643
52.0,,6.784683833743033,18.6414125145735,,80.4081742958138,55.5941835572718,0.0207,-1.0,6.959881863620643
52.5,,,,,,,0.0207,-1.0,6.959881863620643
53.0,,123.98789883764248,-35.15782642742281,,60.5401721966505,49.30143904404587,0.0207,-1.0,6.959881863620643
53.5,,,,,,,0.0207,-1.0,6.959881863620643
54.0,,30.861981344213206,-12.845690523673818,,61.8992393931854,43.43562540553321,0.0207,-1.0,6.959881863620643
54.5,,,,,,,0.0207,-1.0,6.959881863620643
55.0,,44.35998603130568,,,56.5778347613505,,0.0207,-1.0,6.959881863620643
55.5,,,,,,,0.0207,-1.0,6.959881863620643
56.0,,9.074396817579355,-5.672149319419853,,46.1617966839925,35.131897573005,0.0207,-1.0,6.959881863620643
56.5,,,,,,,0.0207,-1.0,6.959881863620643
57.0,,7.25130400785549,,,50.2822609116995,,0.0207,-1.0,6.959881863620643
