relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,16.532176494151557,-6.4671624885463865,,28.832011217771377,24.885863773252293,0.0355,24.4,3.019227274209965
-29.5,,,,,,,0.0355,24.4,3.019227274209965
-29.0,,22.91489881577108,4.866824500092767,,31.431304492391725,23.664222851972706,0.0355,24.4,3.019227274209965
-28.5,,,,,,,0.0355,24.4,3.019227274209965
-28.0,,-0.619820633779773,3.1471644604501425,,29.341270497496463,26.684600611814457,0.0355,24.4,3.019227274209965
-27.5,,,,,,,0.0355,24.4,3.019227274209965
-27.0,,-9.08634680163494,-0.04540302613720885,,26.432909859811822,22.3644043386505,0.0355,24.4,3.019227274209965
-26.5,,,,,,,0.0355,24.4,3.019227274209965
-26.0,,6.18368611318504,2.1749692342699727,,21.6317494169222,19.1260132939726,0.0355,24.4,3.019227274209965
-25.5,,,,,,,0.0355,24.4,3.019227274209965
-25.0,,,35.84163277120794,,,26.8457112001511,0.0355,24.4,3.019227274209965
-24.5,,,,,,,0.0355,24.4,3.019227274209965
-24.0,,23.76076663044298,-9.896879492817519,,34.009311527902085,26.31013264042999,0.0355,24.4,3.019227274209965
-23.5,,,,,,,0.0355,24.4,3.019227274209965
-23.0,,-32.343600416232235,3.471836747086183,,56.668438457902795,40.172721191372865,0.0355,24.4,3.019227274209965
-22.5,,,,,,,0.0355,24.4,3.019227274209965
-22.0,,5.852370843021112,-1.1109543677960911,,27.771229939623534,24.93185255469365,0.0355,24.4,3.019227274209965
-21.5,,,,,,,0.0355,24.4,3.019227274209965
-21.0,,19.66016513364739,-0.7827229119324585,,33.756293410301254,29.462868025498754,0.0355,24.4,3.019227274209965
-20.5,,,,,,,0.0355,24.4,3.019227274209965
-20.0,,23.861083631995523,-16.484040484839834,,38.7645926559658,37.4455233123256,0.0355,24.4,3.019227274209965
-19.5,,,,,,,0.0355,24.4,3.019227274209965
-19.0,,1.132838179772331,-10.832565181440458,,38.33170174764815,41.72123290468556,0.0355,24.4,3.019227274209965
-18.5,,,,,,,0.0355,24.4,3.019227274209965
-18.0,,-5.133916316069177,-4.57032674672158,,46.901344398458654,53.47203193978507,0.0355,24.4,3.019227274209965
-17.5,,,,,,,0.0355,24.4,3.019227274209965
-17.0,,3.0648807246554406,-10.698915118508646,,60.55371103146386,62.67229101252063,0.0355,24.4,3.019227274209965
-16.5,,,,,,,0.0355,24.4,3.019227274209965
-16.0,,-6.640458844023205,40.23959442770483,,53.512585884588695,64.32285966385254,0.0355,24.4,3.019227274209965
-15.5,,,,,,,0.0355,24.4,3.019227274209965
-15.0,,14.15142168932456,-11.876199646097692,,48.71809433947465,58.52451970788133,0.0355,24.4,3.019227274209965
-14.5,,,,,,,0.0355,24.4,3.019227274209965
-14.0,,49.37427535909295,15.05452911503735,,53.027148454296324,66.12766697745764,0.0355,24.4,3.019227274209965
-13.5,,,,,,,0.0355,24.4,3.019227274209965
-13.0,,38.35730614099048,14.307031791982151,,40.57469375780445,56.44922153745778,0.0355,24.4,3.019227274209965
-12.5,,,,,,,0.0355,24.4,3.019227274209965
-12.0,,,-22.850243142238117,,,33.48130904141218,0.0355,24.4,3.019227274209965
-11.5,,,,,,,0.0355,24.4,3.019227274209965
-11.0,,11.296074947607668,19.32619721762405,,44.61009388588087,42.95690998302645,0.0355,24.4,3.019227274209965
-10.5,,,,,,,0.0355,24.4,3.019227274209965
-10.0,,1.3232246400281873,16.68804994380528,,39.21613240875306,35.098634172544166,0.0355,24.4,3.019227274209965
-9.5,,,,,,,0.0355,24.4,3.019227274209965
-9.0,,24.86640468766181,9.223840850169159,,35.829221887149124,28.081198264498873,0.0355,24.4,3.019227274209965
-8.5,,,,,,,0.0355,24.4,3.019227274209965
-8.0,,22.262619312391525,4.424083122113398,,33.94312655414114,29.825375281381863,0.0355,24.4,3.019227274209965
-7.5,,,,,,,0.0355,24.4,3.019227274209965
-7.0,,31.42261228283939,10.291217214724055,,28.476027623090154,28.15467131756622,0.0355,24.4,3.019227274209965
-6.5,,,,,,,0.0355,24.4,3.019227274209965
-6.0,,72.93097283692632,33.698540028145665,,37.17775791294892,30.803866078534273,0.0355,24.4,3.019227274209965
-5.5,,,,,,,0.0355,24.4,3.019227274209965
-5.0,,112.50433004357006,57.48849477188479,,28.505658887368647,22.35237215157102,0.0355,24.4,3.019227274209965
-4.5,,,,,,,0.0355,24.4,3.019227274209965
-4.0,,120.44361554360837,93.6857669989047,,44.07305161674855,32.52136536485242,0.0355,24.4,3.019227274209965
-3.5,,,,,,,0.0355,24.4,3.019227274209965
-3.0,,160.59018725365505,98.91977682489333,,34.91074592039208,30.034613292574058,0.0355,24.4,3.019227274209965
-2.5,,,,,,,0.0355,24.4,3.019227274209965
-2.0,,,,,,,0.0355,24.4,3.019227274209965
-1.5,,,,,,,0.0355,24.4,3.019227274209965
-1.0,,,,,,,0.0355,24.4,3.019227274209965
-0.5,,,,,,,0.0355,24.4,3.019227274209965
0.0,,302.5477078333884,165.7177801729803,,25.679931134882853,23.77185347288593,0.0355,24.4,3.019227274209965
0.5,,,,,,,0.0355,24.4,3.019227274209965
1.0,,,,,,,0.0355,24.4,3.019227274209965
1.5,,,,,,,0.0355,24.4,3.019227274209965
2.0,,,,,,,0.0355,24.4,3.019227274209965
2.5,,,,,,,0.0355,24.4,3.019227274209965
3.0,,506.25013660344774,267.7106027223014,,41.6860110337962,23.192500198606783,0.0355,24.4,3.019227274209965
3.5,,,,,,,0.0355,24.4,3.019227274209965
4.0,,436.89064600038273,260.6276275357243,,33.964360738417575,26.363125673959708,0.0355,24.4,3.019227274209965
4.5,,,,,,,0.0355,24.4,3.019227274209965
5.0,,515.201813306865,270.92696284887194,,32.34240764316017,30.339982191327362,0.0355,24.4,3.019227274209965
5.5,,,,,,,0.0355,24.4,3.019227274209965
6.0,,503.3164831064949,288.7077009400874,,36.406572805404096,29.156990333698822,0.0355,24.4,3.019227274209965
6.5,,,,,,,0.0355,24.4,3.019227274209965
7.0,,553.2348350842983,270.4705293666246,,33.91923995675354,32.205122122143415,0.0355,24.4,3.019227274209965
7.5,,,,,,,0.0355,24.4,3.019227274209965
8.0,,558.3494850825595,305.88817948489805,,34.789103832637025,37.88745697099615,0.0355,24.4,3.019227274209965
8.5,,,,,,,0.0355,24.4,3.019227274209965
9.0,,545.0560847118901,321.3342716705141,,42.28401190336634,40.140374064634074,0.0355,24.4,3.019227274209965
9.5,,,,,,,0.0355,24.4,3.019227274209965
10.0,,592.3662617689366,322.8260580303906,,34.438032325486915,39.28795107439351,0.0355,24.4,3.019227274209965
10.5,,,,,,,0.0355,24.4,3.019227274209965
11.0,,658.8943628750204,326.8656560492884,,38.06649618185859,44.037257035545025,0.0355,24.4,3.019227274209965
11.5,,,,,,,0.0355,24.4,3.019227274209965
12.0,,607.1040290453008,316.02206508739425,,46.866819427175926,57.777378534379444,0.0355,24.4,3.019227274209965
12.5,,,,,,,0.0355,24.4,3.019227274209965
13.0,,571.8301618917261,,,62.581425973258675,,0.0355,24.4,3.019227274209965
13.5,,,,,,,0.0355,24.4,3.019227274209965
14.0,,628.5093997868963,360.90511747566677,,53.454992305157774,68.7507443572281,0.0355,24.4,3.019227274209965
14.5,,,,,,,0.0355,24.4,3.019227274209965
15.0,,733.8221769628917,356.06247032018695,,51.31767907404581,78.83724090783629,0.0355,24.4,3.019227274209965
15.5,,,,,,,0.0355,24.4,3.019227274209965
16.0,,711.3210149831656,352.64709993178604,,54.93721804680123,74.23936075176731,0.0355,24.4,3.019227274209965
16.5,,,,,,,0.0355,24.4,3.019227274209965
17.0,,644.2722627673375,332.32427254242833,,51.46816318238699,64.72825597767762,0.0355,24.4,3.019227274209965
17.5,,,,,,,0.0355,24.4,3.019227274209965
18.0,,751.6898283530959,333.14099570759674,,45.89566753354367,54.76555953863806,0.0355,24.4,3.019227274209965
18.5,,,,,,,0.0355,24.4,3.019227274209965
19.0,,655.6359280368399,287.58608667960925,,40.015414867725084,45.02641339796065,0.0355,24.4,3.019227274209965
19.5,,,,,,,0.0355,24.4,3.019227274209965
20.0,,734.7305714454114,358.15155422214207,,39.393038624978985,35.98386595758875,0.0355,24.4,3.019227274209965
20.5,,,,,,,0.0355,24.4,3.019227274209965
21.0,,811.0064509398237,373.77890015033483,,32.51058108219717,24.143893304333233,0.0355,24.4,3.019227274209965
21.5,,,,,,,0.0355,24.4,3.019227274209965
22.0,,795.6044530856669,374.23184507457245,,31.662624812876956,25.88777662641533,0.0355,24.4,3.019227274209965
22.5,,,,,,,0.0355,24.4,3.019227274209965
23.0,,803.0229156367776,358.8207335795842,,40.00625379677995,33.64240023954726,0.0355,24.4,3.019227274209965
23.5,,,,,,,0.0355,24.4,3.019227274209965
24.0,,837.3354954300744,378.53385772527383,,33.3113314833354,30.66458354220725,0.0355,24.4,3.019227274209965
24.5,,,,,,,0.0355,24.4,3.019227274209965
25.0,,840.3923211780714,395.1243469107201,,31.98830090562495,27.50778010041218,0.0355,24.4,3.019227274209965
25.5,,,,,,,0.0355,24.4,3.019227274209965
26.0,,,,,,,0.0355,24.4,3.019227274209965
26.5,,,,,,,0.0355,24.4,3.019227274209965
27.0,,739.0862438099983,351.33071576068585,,57.9230966974712,50.64672699972366,0.0355,24.4,3.019227274209965
27.5,,,,,,,0.0355,24.4,3.019227274209965
