relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,8.694299644357253,,,17.2079214821745,0.1962,10.1,2.1766845328516387
-29.5,,,,,,,0.1962,10.1,2.1766845328516387
-29.0,,-2.601222184330874,,,23.73121499798396,,0.1962,10.1,2.1766845328516387
-28.5,,,,,,,0.1962,10.1,2.1766845328516387
-28.0,,33.056932748775246,13.536152879927,,22.3971833683648,19.753762156567,0.1962,10.1,2.1766845328516387
-27.5,,,17.08692410241406,,,25.626213842463432,0.1962,10.1,2.1766845328516387
-27.0,,2.2911175305825764,38.13700560216031,,34.673217062941255,20.9043295573008,0.1962,10.1,2.1766845328516387
-26.5,,,,,,,0.1962,10.1,2.1766845328516387
-26.0,,12.054554324666825,,,29.7681701945705,,0.1962,10.1,2.1766845328516387
-25.5,,0.17657895815000835,59.55027879941723,,26.556930786768405,19.83863292416648,0.1962,10.1,2.1766845328516387
-25.0,,18.181355581714847,48.91662620449662,,43.679180281627474,48.95401869418749,0.1962,10.1,2.1766845328516387
-24.5,,,10.374346773203653,,,19.4880829023849,0.1962,10.1,2.1766845328516387
-24.0,,-5.797278628662896,5.325714595560203,,45.76906429102132,61.30038744757551,0.1962,10.1,2.1766845328516387
-23.5,,,69.3627588069093,,,48.3578745983242,0.1962,10.1,2.1766845328516387
-23.0,,-21.735579363355235,-31.119417227905917,,54.23001996493246,60.85213029454387,0.1962,10.1,2.1766845328516387
-22.5,,,,,,,0.1962,10.1,2.1766845328516387
-22.0,,-16.3607540213866,-3.780261264776373,,58.05768011324711,68.28610770346349,0.1962,10.1,2.1766845328516387
-21.5,,-17.091026789595574,,,62.53779350644746,,0.1962,10.1,2.1766845328516387
-21.0,,-32.235973347205594,-4.118799920293415,,55.35789269287484,61.1532687443486,0.1962,10.1,2.1766845328516387
-20.5,,,,,,,0.1962,10.1,2.1766845328516387
-20.0,,,-111.60942299087829,,,65.8901651680492,0.1962,10.1,2.1766845328516387
-19.5,,,,,,,0.1962,10.1,2.1766845328516387
-19.0,,38.716021938942596,30.264146348319066,,51.41833771946463,54.8113300223649,0.1962,10.1,2.1766845328516387
-18.5,,,,,,,0.1962,10.1,2.1766845328516387
-18.0,,3.822242062980099,61.395745937498674,,41.62418128701445,37.28181289375545,0.1962,10.1,2.1766845328516387
-17.5,,,,,,,0.1962,10.1,2.1766845328516387
-17.0,,0.9875812876076295,23.208142338462814,,34.813089442104335,29.353630293532476,0.1962,10.1,2.1766845328516387
-16.5,,,,,,,0.1962,10.1,2.1766845328516387
-16.0,,-14.081893600611023,,,30.211434106437007,,0.1962,10.1,2.1766845328516387
-15.5,,,65.74279225165893,,,40.80480551381527,0.1962,10.1,2.1766845328516387
-15.0,,-2.4473528132626945,42.58508867287576,,24.255306727595112,21.65093836909289,0.1962,10.1,2.1766845328516387
-14.5,,,,,,,0.1962,10.1,2.1766845328516387
-14.0,,39.79211574250281,15.64769534368536,,31.36404113862388,21.789634461103596,0.1962,10.1,2.1766845328516387
-13.5,,,,,,,0.1962,10.1,2.1766845328516387
-13.0,,4.977112242095063,48.94405033121429,,26.06675785186384,20.14753091709157,0.1962,10.1,2.1766845328516387
-12.5,,,,,,,0.1962,10.1,2.1766845328516387
-12.0,,-11.261014398086706,-1.850641692684123,,33.93885124277432,22.74119244883231,0.1962,10.1,2.1766845328516387
-11.5,,,,,,,0.1962,10.1,2.1766845328516387
-11.0,,18.486511402237817,-16.762428231403632,,26.879948028897946,26.534889877855314,0.1962,10.1,2.1766845328516387
-10.5,,,,,,,0.1962,10.1,2.1766845328516387
-10.0,,,,,,,0.1962,10.1,2.1766845328516387
-9.5,,,,,,,0.1962,10.1,2.1766845328516387
-9.0,,,,,,,0.1962,10.1,2.1766845328516387
-8.5,,,,,,,0.1962,10.1,2.1766845328516387
-8.0,,19.05274473451315,34.91780203960644,,20.709289694546854,17.464663234277776,0.1962,10.1,2.1766845328516387
-7.5,,,,,,,0.1962,10.1,2.1766845328516387
-7.0,,,,,,,0.1962,10.1,2.1766845328516387
-6.5,,,,,,,0.1962,10.1,2.1766845328516387
-6.0,,,,,,,0.1962,10.1,2.1766845328516387
-5.5,,,,,,,0.1962,10.1,2.1766845328516387
-5.0,,-19.49772603211629,,,23.74511001221,,0.1962,10.1,2.1766845328516387
-4.5,,,,,,,0.1962,10.1,2.1766845328516387
-4.0,,7.124868504871736,34.19118060706798,,27.1591737399838,21.037513288725723,0.1962,10.1,2.1766845328516387
-3.5,,,,,,,0.1962,10.1,2.1766845328516387
-3.0,,47.84790791786874,67.99582655626959,,24.082119891894138,21.941943176281104,0.1962,10.1,2.1766845328516387
-2.5,,,,,,,0.1962,10.1,2.1766845328516387
-2.0,,123.10026768030245,90.2582043320617,,26.074174505200517,21.85358018243487,0.1962,10.1,2.1766845328516387
-1.5,,,,,,,0.1962,10.1,2.1766845328516387
-1.0,,150.47726466236443,190.62239672588953,,31.24831619591318,26.418344580926195,0.1962,10.1,2.1766845328516387
-0.5,,,,,,,0.1962,10.1,2.1766845328516387
0.0,,266.87356579507707,307.4155050916524,,31.37251387752691,27.69916254976475,0.1962,10.1,2.1766845328516387
0.5,,,,,,,0.1962,10.1,2.1766845328516387
1.0,,334.45415073178543,362.14878529821016,,31.765209248691274,32.80872046911095,0.1962,10.1,2.1766845328516387
1.5,,,,,,,0.1962,10.1,2.1766845328516387
2.0,,330.13668094565566,546.5108105348527,,32.4888736982336,32.66065506933479,0.1962,10.1,2.1766845328516387
2.5,,,,,,,0.1962,10.1,2.1766845328516387
3.0,,489.4523308802064,506.5388172028804,,32.8696648263041,37.35984927393968,0.1962,10.1,2.1766845328516387
3.5,,,,,,,0.1962,10.1,2.1766845328516387
4.0,,528.3510085770369,596.6566467799654,,39.7399137107759,46.14884781200863,0.1962,10.1,2.1766845328516387
4.5,,,,,,,0.1962,10.1,2.1766845328516387
5.0,,643.6241244962441,,,62.1710307095938,,0.1962,10.1,2.1766845328516387
5.5,,,,,,,0.1962,10.1,2.1766845328516387
6.0,,781.7683843051102,745.4138788347518,,51.6959013028353,61.31017508586801,0.1962,10.1,2.1766845328516387
6.5,,,,,,,0.1962,10.1,2.1766845328516387
7.0,,821.6079697319548,618.1359389194198,,58.7088163129064,75.9415056309693,0.1962,10.1,2.1766845328516387
7.5,,,,,,,0.1962,10.1,2.1766845328516387
8.0,,956.3567194459199,821.2816834155799,,52.5494854378598,69.2314660852354,0.1962,10.1,2.1766845328516387
8.5,,,,,,,0.1962,10.1,2.1766845328516387
9.0,,925.1232924175355,799.5877586099964,,55.5864756581315,61.7584608832606,0.1962,10.1,2.1766845328516387
9.5,,,,,,,0.1962,10.1,2.1766845328516387
10.0,,963.0955383133388,793.5251986611856,,41.6875105417827,50.45132354640848,0.1962,10.1,2.1766845328516387
