relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-15.424294647869482,-88.40186748440937,,25.5300281115892,21.5624863435744,0.2339,2.700000000000003,0.2049119051907157
-29.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-29.0,,10.077713684139994,-173.00893650901577,,37.0341429522621,26.1430324858746,0.2339,2.700000000000003,0.2049119051907157
-28.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-28.0,,-72.55475887659848,-62.36675130271203,,23.4113801883322,19.4994981228325,0.2339,2.700000000000003,0.2049119051907157
-27.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-27.0,,-87.60872630957675,-117.56737632910597,,27.5902938516963,27.3599947827517,0.2339,2.700000000000003,0.2049119051907157
-26.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-26.0,,-6.36129754769264,-28.35074769812497,,24.6757649332589,21.7642501097553,0.2339,2.700000000000003,0.2049119051907157
-25.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-25.0,,-156.37419460158725,-261.5064107943384,,46.7038196474166,29.404293446314,0.2339,2.700000000000003,0.2049119051907157
-24.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-24.0,,17.564896070521538,-90.01393546669436,,26.4080048541118,23.0191291164142,0.2339,2.700000000000003,0.2049119051907157
-23.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-23.0,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-22.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-22.0,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-21.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-21.0,,-116.93033195437577,-119.0948551230659,,20.3504302174349,15.9776531543952,0.2339,2.700000000000003,0.2049119051907157
-20.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-20.0,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-19.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-19.0,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-18.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-18.0,,-82.3198701940681,,,32.2558012856041,,0.2339,2.700000000000003,0.2049119051907157
-17.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-17.0,,-69.59931676789493,-87.83298781550215,,25.617193721460986,24.496554456530063,0.2339,2.700000000000003,0.2049119051907157
-16.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-16.0,,-86.92716723566336,,,31.2376354504566,,0.2339,2.700000000000003,0.2049119051907157
-15.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-15.0,,-48.58680206925304,-71.46466753314091,,32.02813316013694,26.4881249380096,0.2339,2.700000000000003,0.2049119051907157
-14.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-14.0,,-16.10875633708822,-50.41595202986515,,29.3101036131714,31.5405848027453,0.2339,2.700000000000003,0.2049119051907157
-13.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-13.0,,-70.79589586391575,-37.698753438010364,,28.1432118249051,32.5114583401192,0.2339,2.700000000000003,0.2049119051907157
-12.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-12.0,,-35.27420611108205,-69.85736599593088,,33.599584968166,30.7085334601543,0.2339,2.700000000000003,0.2049119051907157
-11.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
-11.0,43.30942870599814,-75.67405817088387,15.219759018210942,99.82436603442382,30.0251953456057,34.747278332911,0.2339,2.700000000000003,0.2049119051907157
-10.5,-147.52955010817564,,,99.78861182456943,,,0.2339,2.700000000000003,0.2049119051907157
-10.0,-28.710585044046585,-31.57305593822717,-12.97068728869434,99.8518830248657,38.1998470691372,37.9369004521932,0.2339,2.700000000000003,0.2049119051907157
-9.5,-53.8076828444639,,,99.88226771193662,,,0.2339,2.700000000000003,0.2049119051907157
-9.0,-26.903916120009626,-178.0847874010352,-46.24826629821119,99.89416628189852,45.3899845095999,41.0806681078754,0.2339,2.700000000000003,0.2049119051907157
-8.5,-95.1504484647568,,,99.94080347808314,,,0.2339,2.700000000000003,0.2049119051907157
-8.0,5.390042289759471,7.783487198181391,,100.05977898624977,57.7164065151242,,0.2339,2.700000000000003,0.2049119051907157
-7.5,6.878280777043329,,,100.25729313832106,,,0.2339,2.700000000000003,0.2049119051907157
-7.0,-22.276021501140907,-72.78529575400093,-182.5605643653736,100.27069664601211,41.8934130890335,59.40585268634,0.2339,2.700000000000003,0.2049119051907157
-6.5,-9.694056930357569,,,100.31131115420953,,,0.2339,2.700000000000003,0.2049119051907157
-6.0,-91.48159706595027,136.95213279709344,-402.40689140720895,100.86941555967132,51.518836875799,61.4510052863703,0.2339,2.700000000000003,0.2049119051907157
-5.5,-122.91778711368508,,,102.56790432841117,,,0.2339,2.700000000000003,0.2049119051907157
-5.0,-64.56572623636009,-274.49993138409695,46.63318312707283,104.38337653615729,50.4083722356901,74.7156714017001,0.2339,2.700000000000003,0.2049119051907157
-4.5,-85.47233885418619,,,106.2668446694131,,,0.2339,2.700000000000003,0.2049119051907157
-4.0,111.208432256572,0.6328096925544644,-263.29907450321264,108.82900247266839,50.7163478452653,65.6630376549926,0.2339,2.700000000000003,0.2049119051907157
-3.5,150.5116525446965,,,111.638054781721,,,0.2339,2.700000000000003,0.2049119051907157
-3.0,244.42597160878674,-62.34362473154442,-191.3896482272289,116.06159102004605,37.9180464961252,47.3717270304484,0.2339,2.700000000000003,0.2049119051907157
-2.5,271.67787830662854,,,119.7062920708221,,,0.2339,2.700000000000003,0.2049119051907157
-2.0,-81.97107454889144,-37.29048231657088,-110.1516421906742,126.32951182318949,33.9222489744634,38.4035177771454,0.2339,2.700000000000003,0.2049119051907157
-1.5,-69.64495096474684,,,133.9156168251039,,,0.2339,2.700000000000003,0.2049119051907157
-1.0,-194.0819564658646,-36.070471615698104,22.322440283426193,141.5487290096988,30.6668462338855,32.282614176973,0.2339,2.700000000000003,0.2049119051907157
-0.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
0.0,,792.8067815702252,917.0721441479783,,27.5550979226713,25.1262523550348,0.2339,2.700000000000003,0.2049119051907157
0.5,,,,,,,0.2339,2.700000000000003,0.2049119051907157
1.0,,1164.1420299967936,1673.568946241004,,33.52281406778766,27.251814399262848,0.2339,2.700000000000003,0.2049119051907157
