relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.495,4.549999999999997,0.784573486395988
-29.5,,,-256.33799376929545,,,57.229626343270816,0.495,4.549999999999997,0.784573486395988
-29.0,,,-68.88446601506348,,,51.88563489155135,0.495,4.549999999999997,0.784573486395988
-28.5,,30.745675566688913,,,70.3055474147572,,0.495,4.549999999999997,0.784573486395988
-28.0,,130.46317545803268,-107.27014712374992,,63.16172529872891,46.3306176582326,0.495,4.549999999999997,0.784573486395988
-27.5,,,-258.22488932644103,,,58.5442562667202,0.495,4.549999999999997,0.784573486395988
-27.0,,-48.472673330781845,99.0722149972757,,62.904795685153246,41.76176071881489,0.495,4.549999999999997,0.784573486395988
-26.5,,,,,,,0.495,4.549999999999997,0.784573486395988
-26.0,,223.94027291302982,-246.11872679930067,,68.44716823877971,55.242442083686264,0.495,4.549999999999997,0.784573486395988
-25.5,,,327.67104934761363,,,58.7199502880876,0.495,4.549999999999997,0.784573486395988
-25.0,,8.632566211795483,313.2499930415457,,61.90695408185379,48.6257958005849,0.495,4.549999999999997,0.784573486395988
-24.5,,,155.0241675092123,,,54.95502609143384,0.495,4.549999999999997,0.784573486395988
-24.0,,,,,,,0.495,4.549999999999997,0.784573486395988
-23.5,,,,,,,0.495,4.549999999999997,0.784573486395988
-23.0,,,,,,,0.495,4.549999999999997,0.784573486395988
-22.5,,,,,,,0.495,4.549999999999997,0.784573486395988
-22.0,,,-243.7984026463283,,,65.908218344088,0.495,4.549999999999997,0.784573486395988
-21.5,,,,,,,0.495,4.549999999999997,0.784573486395988
-21.0,,,,,,,0.495,4.549999999999997,0.784573486395988
-20.5,,,,,,,0.495,4.549999999999997,0.784573486395988
-20.0,,,,,,,0.495,4.549999999999997,0.784573486395988
-19.5,,425.4418000203229,-455.4131688597024,,69.8190410845577,51.7405737980495,0.495,4.549999999999997,0.784573486395988
-19.0,,,,,,,0.495,4.549999999999997,0.784573486395988
-18.5,,,-4.346601718704295,,,63.5409410703649,0.495,4.549999999999997,0.784573486395988
-18.0,,34.47764852139176,-114.99474409132583,,59.09744797275708,46.02993543184883,0.495,4.549999999999997,0.784573486395988
-17.5,,,,,,,0.495,4.549999999999997,0.784573486395988
-17.0,,,,,,,0.495,4.549999999999997,0.784573486395988
-16.5,,,,,,,0.495,4.549999999999997,0.784573486395988
-16.0,,-91.31163820998817,-243.72673342109783,,64.7511749261249,52.421378939873996,0.495,4.549999999999997,0.784573486395988
-15.5,,,,,,,0.495,4.549999999999997,0.784573486395988
-15.0,,-36.18460329533113,-87.68843419525899,,66.54940178325208,57.28407216391199,0.495,4.549999999999997,0.784573486395988
-14.5,,-160.7647005288652,,,62.6259438392696,,0.495,4.549999999999997,0.784573486395988
-14.0,,,,,,,0.495,4.549999999999997,0.784573486395988
-13.5,,,,,,,0.495,4.549999999999997,0.784573486395988
-13.0,,-51.35200768255491,,,66.22942174994816,,0.495,4.549999999999997,0.784573486395988
-12.5,,,-189.60074572611074,,,50.07977567268491,0.495,4.549999999999997,0.784573486395988
-12.0,-27.14717599777333,-180.51196130435358,28.802087799009485,423.2437112210367,77.4954371223244,50.91994117323232,0.495,4.549999999999997,0.784573486395988
-11.5,128.8523099384792,77.5636700321345,112.72104687260567,423.13410291589497,65.12969737572281,41.1129163788422,0.495,4.549999999999997,0.784573486395988
-11.0,308.8754526842884,-34.783870498565776,-173.4555539553659,423.76493810435136,71.10843318122215,57.5949200685728,0.495,4.549999999999997,0.784573486395988
-10.5,803.5723614503049,110.33100925412127,55.34278342397956,423.3406443685596,65.03916626458103,46.222553778546235,0.495,4.549999999999997,0.784573486395988
-10.0,427.4032352229343,93.04391518668348,-5.1146171605021635,422.8724432333484,100.3068367019647,71.49579464715364,0.495,4.549999999999997,0.784573486395988
-9.5,-372.15673699099654,,-96.7332920984257,422.9464794167543,,59.18410092248721,0.495,4.549999999999997,0.784573486395988
-9.0,560.5549639917685,-654.2214320028196,,423.2026933450095,123.646861349226,,0.495,4.549999999999997,0.784573486395988
-8.5,763.0197298654076,402.9114788023591,-239.9002755297535,423.6914345949648,92.3003945131958,86.8958662514064,0.495,4.549999999999997,0.784573486395988
-8.0,596.7623557433895,4.858185154867139,-491.98300135374683,423.68594286776033,98.63491464033864,90.03827013056699,0.495,4.549999999999997,0.784573486395988
