relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0646,2.5,2.500079998720041
-29.5,,,,,,,0.0646,2.5,2.500079998720041
-29.0,,,,,,,0.0646,2.5,2.500079998720041
-28.5,,,,,,,0.0646,2.5,2.500079998720041
-28.0,,,,,,,0.0646,2.5,2.500079998720041
-27.5,,,,,,,0.0646,2.5,2.500079998720041
-27.0,,,,,,,0.0646,2.5,2.500079998720041
-26.5,,,,,,,0.0646,2.5,2.500079998720041
-26.0,,,,,,,0.0646,2.5,2.500079998720041
-25.5,,,,,,,0.0646,2.5,2.500079998720041
-25.0,,0.26633336160555143,,,25.7675861995746,,0.0646,2.5,2.500079998720041
-24.5,,,1.8165181006709235,,,25.371383261152353,0.0646,2.5,2.500079998720041
-24.0,,30.3160580227188,-13.134367933065427,,21.0759118544894,19.391986502848887,0.0646,2.5,2.500079998720041
-23.5,,,,,,,0.0646,2.5,2.500079998720041
-23.0,,24.929680693011612,-15.494263952167175,,18.7623858480628,17.3983445948437,0.0646,2.5,2.500079998720041
-22.5,,,,,,,0.0646,2.5,2.500079998720041
-22.0,,48.67627031623171,-8.143411730410543,,24.279384591321225,23.498230473999612,0.0646,2.5,2.500079998720041
-21.5,,,,,,,0.0646,2.5,2.500079998720041
-21.0,,5.976698318382356,,,23.4295375717061,,0.0646,2.5,2.500079998720041
-20.5,,,,,,,0.0646,2.5,2.500079998720041
-20.0,,,25.585124623505262,,,25.606005708580593,0.0646,2.5,2.500079998720041
-19.5,,,,,,,0.0646,2.5,2.500079998720041
-19.0,,-33.945137197087206,-30.557961772312588,,21.668712728833363,22.06908643015969,0.0646,2.5,2.500079998720041
-18.5,,,,,,,0.0646,2.5,2.500079998720041
-18.0,-268.98346089265556,18.228592995892782,38.20704960590255,108.58006496058151,28.567244523026318,30.00552532629024,0.0646,2.5,2.500079998720041
-17.5,-178.616202282479,,,107.49290341787624,,,0.0646,2.5,2.500079998720041
