relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-29.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-29.0,,-39.50718657914615,-9.787408642649979,,24.072162555516083,24.611783648539827,0.1179,3.1000000000000014,0.9636216408252084
-28.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-28.0,,-22.831959668804398,-105.15494374036159,,29.00846604360172,34.7660427575774,0.1179,3.1000000000000014,0.9636216408252084
-27.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-27.0,,-49.38004900887238,-6.2138015535334725,,29.0812946097724,29.35008444165265,0.1179,3.1000000000000014,0.9636216408252084
-26.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-26.0,,9.085593630206144,-34.58908346657894,,27.5993165472102,33.815731520403,0.1179,3.1000000000000014,0.9636216408252084
-25.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-25.0,,-76.696971331076,-87.91366190984994,,29.1128088410513,37.0765554703816,0.1179,3.1000000000000014,0.9636216408252084
-24.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-24.0,,-113.00765126537007,-86.74506397046268,,35.3138592384493,37.325118323453,0.1179,3.1000000000000014,0.9636216408252084
-23.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-23.0,,-89.36387715001933,-28.972447884058646,,42.3836421580558,51.0832633830808,0.1179,3.1000000000000014,0.9636216408252084
-22.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-22.0,,-90.91232367723009,,,79.3018015062408,,0.1179,3.1000000000000014,0.9636216408252084
-21.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-21.0,,17.915430460427572,-38.07183100066157,,58.2457876066359,73.8597559664181,0.1179,3.1000000000000014,0.9636216408252084
-20.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-20.0,,-67.55099739868395,-204.70996945130148,,67.0259956628172,79.9609223800104,0.1179,3.1000000000000014,0.9636216408252084
-19.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-19.0,,-75.47803877747312,149.1461698307124,,69.7341108644193,86.5874211483302,0.1179,3.1000000000000014,0.9636216408252084
-18.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-18.0,,-93.43223402844876,159.4887836810997,,73.2349504303064,77.2083327192345,0.1179,3.1000000000000014,0.9636216408252084
-17.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-17.0,,23.476991802603862,49.57044485022739,,46.677605186338,59.6231776828367,0.1179,3.1000000000000014,0.9636216408252084
-16.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-16.0,,-176.87687431798034,96.09892359158616,,53.3669728236997,71.5056538816488,0.1179,3.1000000000000014,0.9636216408252084
-15.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-15.0,,-37.886272804786685,20.89638565912183,,41.8452263442244,39.6589413220657,0.1179,3.1000000000000014,0.9636216408252084
-14.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-14.0,,-11.32804795876413,55.15236542497103,,22.7479646125042,19.9265200743289,0.1179,3.1000000000000014,0.9636216408252084
-13.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-13.0,,-12.431737559515893,5.70878938550694,,22.6240526697272,23.2357262824228,0.1179,3.1000000000000014,0.9636216408252084
-12.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-12.0,,0.07433891541501206,-24.39091809635769,,36.5224168884299,32.3223315295654,0.1179,3.1000000000000014,0.9636216408252084
-11.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-11.0,,52.91976376250612,-7.93841839812942,,30.961832748205,26.9584502772676,0.1179,3.1000000000000014,0.9636216408252084
-10.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-10.0,,23.671189384455506,77.92141701385687,,28.6943272866748,23.7027780460854,0.1179,3.1000000000000014,0.9636216408252084
-9.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-9.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-8.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-8.0,,-13.847684805125077,16.78699140787183,,48.960378643839,43.3734859331194,0.1179,3.1000000000000014,0.9636216408252084
-7.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-7.0,,-36.28431261148231,-67.63494227158694,,27.2136624947933,27.0409081184247,0.1179,3.1000000000000014,0.9636216408252084
-6.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-6.0,,-2.6488929925431024,-42.81116426237215,,24.2640830799071,25.2550466515875,0.1179,3.1000000000000014,0.9636216408252084
-5.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-5.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-4.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-4.0,,-49.46041783964133,-19.3898529050839,,28.4481097744546,25.6798318577998,0.1179,3.1000000000000014,0.9636216408252084
-3.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-3.0,,-62.277171189226316,4.825574206535196,,23.4553580527088,27.5674928428544,0.1179,3.1000000000000014,0.9636216408252084
-2.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-2.0,,-19.067882688789062,44.935182783589276,,38.0052263170812,34.419265264149,0.1179,3.1000000000000014,0.9636216408252084
-1.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
-1.0,,-72.18210670974904,-13.32805729494502,,39.0056993769774,30.8877350332427,0.1179,3.1000000000000014,0.9636216408252084
-0.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
0.0,,4577.948081598381,6220.00923615762,,49.87142263720794,47.8087345395371,0.1179,3.1000000000000014,0.9636216408252084
0.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
1.0,,12088.520318507075,16328.365266009416,,62.34236445535037,65.3757647532727,0.1179,3.1000000000000014,0.9636216408252084
1.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
2.0,,,19416.983587470455,,,71.2048676809555,0.1179,3.1000000000000014,0.9636216408252084
2.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
3.0,,16182.800150915278,,,67.4489943820888,,0.1179,3.1000000000000014,0.9636216408252084
3.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
4.0,,14590.440497590798,19659.434170045504,,68.8829006438558,73.47659802283331,0.1179,3.1000000000000014,0.9636216408252084
4.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
5.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
5.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
6.0,,,19107.03640809265,,,84.0166215020507,0.1179,3.1000000000000014,0.9636216408252084
6.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
7.0,,11821.283834917705,15092.050554942121,,70.4357780575543,85.4624570040648,0.1179,3.1000000000000014,0.9636216408252084
7.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
8.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
8.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
9.0,,9648.79294327317,14222.818545914226,,86.1452063902306,89.3670749580248,0.1179,3.1000000000000014,0.9636216408252084
9.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
10.0,,9373.88480493674,,,82.0944712723036,,0.1179,3.1000000000000014,0.9636216408252084
10.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
11.0,,8323.354406766714,12094.036714503838,,71.92929668017281,84.2909602015659,0.1179,3.1000000000000014,0.9636216408252084
11.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
12.0,,6161.697813824801,,,77.9750880862976,,0.1179,3.1000000000000014,0.9636216408252084
12.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
13.0,,,9189.37651026851,,,61.6674155936208,0.1179,3.1000000000000014,0.9636216408252084
13.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
14.0,,6558.562922812703,4375.508490489915,,52.906907638013,56.1813339996279,0.1179,3.1000000000000014,0.9636216408252084
14.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
15.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
15.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
16.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
16.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
17.0,,4210.080476077076,4951.343136506385,,44.7500512487259,42.6111051474178,0.1179,3.1000000000000014,0.9636216408252084
17.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
18.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
18.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
19.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
19.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
20.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
20.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
21.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
21.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
22.0,,169.6817458654508,206.25535074035457,,43.4524195792928,32.2110399625781,0.1179,3.1000000000000014,0.9636216408252084
22.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
23.0,,195.87418299802636,,,24.4520939796525,,0.1179,3.1000000000000014,0.9636216408252084
23.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
24.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
24.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
25.0,,50.85106640752382,9.459461817516626,,55.83704160919771,39.8123460189426,0.1179,3.1000000000000014,0.9636216408252084
25.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
26.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
26.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
27.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
27.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
28.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
28.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
29.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
29.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
30.0,,91.25925096338683,,,44.40562313638589,,0.1179,3.1000000000000014,0.9636216408252084
30.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
31.0,,,2121.081507505276,,,45.0276027562716,0.1179,3.1000000000000014,0.9636216408252084
31.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
32.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
32.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
33.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
33.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
34.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
34.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
35.0,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
35.5,,,,,,,0.1179,3.1000000000000014,0.9636216408252084
