relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,33.92011988291576,80.70462738244755,,28.743330420512,33.3989920443385,0.1661,-1.2000000000000028,6.506518953241348
-29.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-29.0,,123.53123422148951,5.493205495650756,,36.1957056817471,35.0644642888459,0.1661,-1.2000000000000028,6.506518953241348
-28.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-28.0,,26.101070092866287,46.2167458720013,,50.2085115096982,43.3899748546246,0.1661,-1.2000000000000028,6.506518953241348
-27.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-27.0,,-9.44765641732521,,,63.9828006188527,,0.1661,-1.2000000000000028,6.506518953241348
-26.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-26.0,,93.81223568435107,111.77852817811345,,47.4622988798134,59.1112878095009,0.1661,-1.2000000000000028,6.506518953241348
-25.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-25.0,,54.132926148929144,256.4331702753289,,53.4503626077919,63.1811738931776,0.1661,-1.2000000000000028,6.506518953241348
-24.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-24.0,,57.641341666167165,-108.09175853426353,,47.3317348063642,82.6792490579744,0.1661,-1.2000000000000028,6.506518953241348
-23.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-23.0,,76.38078998489654,14.89767110686407,,52.9923123962928,66.9380237308499,0.1661,-1.2000000000000028,6.506518953241348
-22.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-22.0,,138.38155316755672,66.41028309561531,,40.3598128164793,52.8891239597971,0.1661,-1.2000000000000028,6.506518953241348
-21.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-21.0,,-25.911676005870657,0.16534067414270867,,34.7426223737759,43.5187101135641,0.1661,-1.2000000000000028,6.506518953241348
-20.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-20.0,,58.024661764463154,20.50194806339411,,31.3026251995527,35.9923584116421,0.1661,-1.2000000000000028,6.506518953241348
-19.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-19.0,,15.649044444785124,30.418026337340127,,27.1867034728037,25.0381008190558,0.1661,-1.2000000000000028,6.506518953241348
-18.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-18.0,,90.83073845069748,29.493272747637786,,29.618233101437355,24.197025466254058,0.1661,-1.2000000000000028,6.506518953241348
-17.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-17.0,,62.03830960466847,157.1751193899373,,38.65378213858686,31.9764438735064,0.1661,-1.2000000000000028,6.506518953241348
-16.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-16.0,,9.01355954458866,97.80898460288809,,25.7250268195627,25.4594427171419,0.1661,-1.2000000000000028,6.506518953241348
-15.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-15.0,,27.050774341489934,87.53359639514763,,26.4192941135944,30.509807340195,0.1661,-1.2000000000000028,6.506518953241348
-14.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-14.0,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-13.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-13.0,,149.19445026073694,93.45906966895183,,59.211694412179,52.5196359663036,0.1661,-1.2000000000000028,6.506518953241348
-12.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-12.0,,12.092150636142422,129.5894848240496,,30.9599676329984,31.455290705803307,0.1661,-1.2000000000000028,6.506518953241348
-11.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-11.0,,54.99944647994745,98.55935723920194,,31.01791275114797,33.22753277093818,0.1661,-1.2000000000000028,6.506518953241348
-10.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-10.0,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-9.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-9.0,,215.8760910484599,321.82623566065865,,28.7371267148294,29.9815185725063,0.1661,-1.2000000000000028,6.506518953241348
-8.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-8.0,,67.45993808235153,123.88056739935007,,43.2221346213248,34.7633692483877,0.1661,-1.2000000000000028,6.506518953241348
-7.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-7.0,,348.3994455010102,205.05533542346805,,60.6063597973516,44.4479148881609,0.1661,-1.2000000000000028,6.506518953241348
-6.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-6.0,,287.17210377312927,220.58337545204375,,46.9736276582473,39.79822125581304,0.1661,-1.2000000000000028,6.506518953241348
-5.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-5.0,,238.48760554591018,135.06045017084872,,46.00181829818337,38.8079897699091,0.1661,-1.2000000000000028,6.506518953241348
-4.5,,,,,,,0.1661,-1.2000000000000028,6.506518953241348
-4.0,453.4940349603909,246.76655333593982,,19.312466670231114,38.895754263622045,,0.1661,-1.2000000000000028,6.506518953241348
-3.5,484.33330614679016,,,19.288047066406417,,,0.1661,-1.2000000000000028,6.506518953241348
-3.0,324.49588944383123,329.9216561830582,158.6499114445674,18.750476299945124,33.58525024563255,33.66710277735482,0.1661,-1.2000000000000028,6.506518953241348
-2.5,316.1981657882067,,,19.026151550398367,,,0.1661,-1.2000000000000028,6.506518953241348
-2.0,361.1893290913297,334.2295297582299,210.60559350600653,19.155082725687695,39.60403502526612,39.21289501664971,0.1661,-1.2000000000000028,6.506518953241348
-1.5,447.76352683493474,,,19.059995530845978,,,0.1661,-1.2000000000000028,6.506518953241348
-1.0,455.75539979147493,338.79581522071464,195.08984685460166,19.292408847400313,57.1124962238776,42.64439144251018,0.1661,-1.2000000000000028,6.506518953241348
