relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-5.72283542165539,,,18.83094807522097,,0.0556,11.0,3.550561770887656
-29.5,,,,,,,0.0556,11.0,3.550561770887656
-29.0,,,-13.988299532383738,,,19.878750707139474,0.0556,11.0,3.550561770887656
-28.5,,,,,,,0.0556,11.0,3.550561770887656
-28.0,,28.76037728242735,,,24.848427897143313,,0.0556,11.0,3.550561770887656
-27.5,,,,,,,0.0556,11.0,3.550561770887656
-27.0,,,19.667628084885727,,,22.82489711146825,0.0556,11.0,3.550561770887656
-26.5,,,,,,,0.0556,11.0,3.550561770887656
-26.0,,3.442990093263452,15.395012799247029,,27.95046596818654,24.7618640957228,0.0556,11.0,3.550561770887656
-25.5,,,,,,,0.0556,11.0,3.550561770887656
-25.0,,4.790424862476033,4.8388811572543595,,20.29457192210699,25.44381808468159,0.0556,11.0,3.550561770887656
-24.5,,,,,,,0.0556,11.0,3.550561770887656
-24.0,,0.6348866597383571,10.75546489369732,,22.5138352483765,19.7119471511693,0.0556,11.0,3.550561770887656
-23.5,,,,,,,0.0556,11.0,3.550561770887656
-23.0,,,-32.80689033968447,,,46.328642726218945,0.0556,11.0,3.550561770887656
-22.5,,,,,,,0.0556,11.0,3.550561770887656
-22.0,,-25.487466423122626,-17.86816681095276,,34.1104426638015,50.6377652587413,0.0556,11.0,3.550561770887656
-21.5,,,,,,,0.0556,11.0,3.550561770887656
-21.0,,,-87.75066587747685,,,63.72413157444013,0.0556,11.0,3.550561770887656
-20.5,,,,,,,0.0556,11.0,3.550561770887656
-20.0,,-49.05925181583373,-31.009606265832733,,59.710269968783,89.3457849184641,0.0556,11.0,3.550561770887656
-19.5,,,,,,,0.0556,11.0,3.550561770887656
-19.0,,,,,,,0.0556,11.0,3.550561770887656
-18.5,,,,,,,0.0556,11.0,3.550561770887656
-18.0,,,,,,,0.0556,11.0,3.550561770887656
-17.5,,,,,,,0.0556,11.0,3.550561770887656
-17.0,,,-83.25360444184142,,,88.99290971211566,0.0556,11.0,3.550561770887656
-16.5,,,,,,,0.0556,11.0,3.550561770887656
-16.0,,,,,,,0.0556,11.0,3.550561770887656
-15.5,,,,,,,0.0556,11.0,3.550561770887656
-15.0,,,,,,,0.0556,11.0,3.550561770887656
-14.5,,,,,,,0.0556,11.0,3.550561770887656
-14.0,,-18.1481904393805,,,17.3666139782071,,0.0556,11.0,3.550561770887656
-13.5,,,,,,,0.0556,11.0,3.550561770887656
-13.0,,,,,,,0.0556,11.0,3.550561770887656
-12.5,,,,,,,0.0556,11.0,3.550561770887656
-12.0,,,,,,,0.0556,11.0,3.550561770887656
-11.5,,,,,,,0.0556,11.0,3.550561770887656
-11.0,,-33.11258575594583,,,29.606326043516297,,0.0556,11.0,3.550561770887656
-10.5,,,,,,,0.0556,11.0,3.550561770887656
-10.0,,-7.400089381864713,,,15.7232985737318,,0.0556,11.0,3.550561770887656
-9.5,,,,,,,0.0556,11.0,3.550561770887656
-9.0,,,,,,,0.0556,11.0,3.550561770887656
-8.5,,,,,,,0.0556,11.0,3.550561770887656
-8.0,,-8.885868205996001,-18.05313396569404,,35.84406000189589,43.6028738064589,0.0556,11.0,3.550561770887656
-7.5,,,,,,,0.0556,11.0,3.550561770887656
-7.0,,-16.633493552283664,45.898177127406804,,18.4618205046406,21.4197572550761,0.0556,11.0,3.550561770887656
-6.5,,,,,,,0.0556,11.0,3.550561770887656
-6.0,,-13.642916376528222,50.476739985698856,,21.676205098362,27.741829570070248,0.0556,11.0,3.550561770887656
-5.5,,,,,,,0.0556,11.0,3.550561770887656
-5.0,,,,,,,0.0556,11.0,3.550561770887656
-4.5,,,,,,,0.0556,11.0,3.550561770887656
-4.0,,,54.3845194435822,,,26.532383415162744,0.0556,11.0,3.550561770887656
-3.5,,,,,,,0.0556,11.0,3.550561770887656
-3.0,,,84.73400503232796,,,26.33273990568795,0.0556,11.0,3.550561770887656
-2.5,,,,,,,0.0556,11.0,3.550561770887656
-2.0,,,,,,,0.0556,11.0,3.550561770887656
-1.5,,,,,,,0.0556,11.0,3.550561770887656
-1.0,,138.4529024059351,133.3798205841916,,32.28091256021761,27.198651584054026,0.0556,11.0,3.550561770887656
-0.5,,,,,,,0.0556,11.0,3.550561770887656
0.0,,164.35973745879738,188.8452148611472,,31.568382128184524,28.430015377829104,0.0556,11.0,3.550561770887656
0.5,,,,,,,0.0556,11.0,3.550561770887656
1.0,,,298.93101698494723,,,28.4810005337233,0.0556,11.0,3.550561770887656
1.5,,,,,,,0.0556,11.0,3.550561770887656
2.0,,288.9490793652651,340.80594753004226,,25.3871770029158,22.79438711723464,0.0556,11.0,3.550561770887656
2.5,,,,,,,0.0556,11.0,3.550561770887656
3.0,,,,,,,0.0556,11.0,3.550561770887656
3.5,,,,,,,0.0556,11.0,3.550561770887656
4.0,,353.1698589059644,,,31.2614973072675,,0.0556,11.0,3.550561770887656
4.5,,,,,,,0.0556,11.0,3.550561770887656
5.0,,419.19682330922984,,,23.2632139239121,,0.0556,11.0,3.550561770887656
5.5,,,,,,,0.0556,11.0,3.550561770887656
6.0,,519.3655800387763,476.91127828255884,,29.6471410650102,47.63488749382431,0.0556,11.0,3.550561770887656
6.5,,,,,,,0.0556,11.0,3.550561770887656
7.0,,445.0127866687583,,,53.6593357717971,,0.0556,11.0,3.550561770887656
7.5,,,,,,,0.0556,11.0,3.550561770887656
8.0,,473.3315607690397,720.3811450271579,,44.5198958397019,64.4750241284578,0.0556,11.0,3.550561770887656
8.5,,,,,,,0.0556,11.0,3.550561770887656
9.0,,676.7378237617995,663.6454508528068,,53.4729670471442,81.4987219005212,0.0556,11.0,3.550561770887656
9.5,,,,,,,0.0556,11.0,3.550561770887656
10.0,,,,,,,0.0556,11.0,3.550561770887656
10.5,,,,,,,0.0556,11.0,3.550561770887656
11.0,,606.4218359115289,636.7999934305793,,62.292016523867,88.1192086519849,0.0556,11.0,3.550561770887656
11.5,,,,,,,0.0556,11.0,3.550561770887656
12.0,,488.4560515753418,622.8262238917748,,76.9079628354635,68.43778732725345,0.0556,11.0,3.550561770887656
12.5,,,,,,,0.0556,11.0,3.550561770887656
13.0,,,713.3944502727658,,,48.85889647745863,0.0556,11.0,3.550561770887656
13.5,,,,,,,0.0556,11.0,3.550561770887656
14.0,,556.2912122319792,563.9870295072395,,43.6752792276321,46.6388235434011,0.0556,11.0,3.550561770887656
14.5,,,,,,,0.0556,11.0,3.550561770887656
15.0,,574.3619100099075,,,41.9914083668086,,0.0556,11.0,3.550561770887656
15.5,,,,,,,0.0556,11.0,3.550561770887656
16.0,,593.1421961624139,,,28.8136604643961,,0.0556,11.0,3.550561770887656
16.5,,,,,,,0.0556,11.0,3.550561770887656
17.0,,648.454854382413,572.7538634426246,,25.2953686548432,27.3145610252044,0.0556,11.0,3.550561770887656
17.5,,,,,,,0.0556,11.0,3.550561770887656
18.0,,,,,,,0.0556,11.0,3.550561770887656
18.5,,,,,,,0.0556,11.0,3.550561770887656
19.0,,,,,,,0.0556,11.0,3.550561770887656
19.5,,,,,,,0.0556,11.0,3.550561770887656
20.0,,,,,,,0.0556,11.0,3.550561770887656
20.5,,,,,,,0.0556,11.0,3.550561770887656
21.0,,,,,,,0.0556,11.0,3.550561770887656
21.5,,,,,,,0.0556,11.0,3.550561770887656
22.0,,494.4635140683914,433.47450458368706,,29.6392562368253,28.7449257664749,0.0556,11.0,3.550561770887656
22.5,,,,,,,0.0556,11.0,3.550561770887656
23.0,,456.51092870737955,361.60107074269047,,31.0529580171592,23.6179427306309,0.0556,11.0,3.550561770887656
23.5,,,,,,,0.0556,11.0,3.550561770887656
24.0,,,331.1438841205278,,,33.886732370968154,0.0556,11.0,3.550561770887656
24.5,,,,,,,0.0556,11.0,3.550561770887656
25.0,,344.13957294461824,139.91638187925258,,35.934187225626324,29.7859916131768,0.0556,11.0,3.550561770887656
25.5,,,,,,,0.0556,11.0,3.550561770887656
26.0,,,,,,,0.0556,11.0,3.550561770887656
26.5,,,,,,,0.0556,11.0,3.550561770887656
27.0,,,,,,,0.0556,11.0,3.550561770887656
27.5,,,,,,,0.0556,11.0,3.550561770887656
28.0,,,,,,,0.0556,11.0,3.550561770887656
28.5,,,,,,,0.0556,11.0,3.550561770887656
29.0,,,,,,,0.0556,11.0,3.550561770887656
29.5,,,,,,,0.0556,11.0,3.550561770887656
30.0,,362.72665827545137,114.64781803626391,,25.5766297420627,26.0724949667326,0.0556,11.0,3.550561770887656
30.5,,,,,,,0.0556,11.0,3.550561770887656
31.0,,,88.68802083010286,,,36.492291508322,0.0556,11.0,3.550561770887656
31.5,,,,,,,0.0556,11.0,3.550561770887656
32.0,,,,,,,0.0556,11.0,3.550561770887656
32.5,,,,,,,0.0556,11.0,3.550561770887656
33.0,,,,,,,0.0556,11.0,3.550561770887656
33.5,,,,,,,0.0556,11.0,3.550561770887656
34.0,,,,,,,0.0556,11.0,3.550561770887656
34.5,,,,,,,0.0556,11.0,3.550561770887656
35.0,,,,,,,0.0556,11.0,3.550561770887656
35.5,,,,,,,0.0556,11.0,3.550561770887656
36.0,,,,,,,0.0556,11.0,3.550561770887656
36.5,,,,,,,0.0556,11.0,3.550561770887656
37.0,,,,,,,0.0556,11.0,3.550561770887656
37.5,,,,,,,0.0556,11.0,3.550561770887656
38.0,,,,,,,0.0556,11.0,3.550561770887656
38.5,,,,,,,0.0556,11.0,3.550561770887656
39.0,,,-134.40122622499183,,,93.4484745944974,0.0556,11.0,3.550561770887656
39.5,,,,,,,0.0556,11.0,3.550561770887656
40.0,,,,,,,0.0556,11.0,3.550561770887656
40.5,,,,,,,0.0556,11.0,3.550561770887656
41.0,,283.86967991777544,46.37989401410864,,40.994863365857,67.59550364266552,0.0556,11.0,3.550561770887656
41.5,,197.54386491910617,,,38.365299766207,,0.0556,11.0,3.550561770887656
42.0,,,83.26942142790784,,,58.3098984731261,0.0556,11.0,3.550561770887656
42.5,,,,,,,0.0556,11.0,3.550561770887656
43.0,,,,,,,0.0556,11.0,3.550561770887656
43.5,,173.48503263088162,,,32.6046858816653,,0.0556,11.0,3.550561770887656
44.0,,153.2432086692804,25.62880065757859,,44.6036306573768,30.1726854207953,0.0556,11.0,3.550561770887656
44.5,,,,,,,0.0556,11.0,3.550561770887656
45.0,,,,,,,0.0556,11.0,3.550561770887656
45.5,,,,,,,0.0556,11.0,3.550561770887656
46.0,,,,,,,0.0556,11.0,3.550561770887656
46.5,,161.99346532478899,,,44.8859403316053,,0.0556,11.0,3.550561770887656
47.0,,,81.16232671275587,,,29.0220557175766,0.0556,11.0,3.550561770887656
47.5,,,,,,,0.0556,11.0,3.550561770887656
48.0,,,,,,,0.0556,11.0,3.550561770887656
48.5,,,,,,,0.0556,11.0,3.550561770887656
49.0,,,,,,,0.0556,11.0,3.550561770887656
49.5,,-23.935081363779116,,,55.2304256363097,,0.0556,11.0,3.550561770887656
50.0,,,33.68715325724349,,,48.121867408874,0.0556,11.0,3.550561770887656
50.5,,,,,,,0.0556,11.0,3.550561770887656
51.0,,,,,,,0.0556,11.0,3.550561770887656
51.5,,,,,,,0.0556,11.0,3.550561770887656
52.0,,,,,,,0.0556,11.0,3.550561770887656
52.5,,,,,,,0.0556,11.0,3.550561770887656
53.0,,,,,,,0.0556,11.0,3.550561770887656
53.5,,,,,,,0.0556,11.0,3.550561770887656
54.0,,,,,,,0.0556,11.0,3.550561770887656
54.5,,,,,,,0.0556,11.0,3.550561770887656
55.0,,,,,,,0.0556,11.0,3.550561770887656
55.5,,,,,,,0.0556,11.0,3.550561770887656
56.0,,,,,,,0.0556,11.0,3.550561770887656
56.5,,,,,,,0.0556,11.0,3.550561770887656
57.0,,66.58153523216653,,,33.9826944210508,,0.0556,11.0,3.550561770887656
57.5,,,,,,,0.0556,11.0,3.550561770887656
58.0,,,,,,,0.0556,11.0,3.550561770887656
58.5,,,,,,,0.0556,11.0,3.550561770887656
59.0,,,,,,,0.0556,11.0,3.550561770887656
59.5,,,65.6576534930806,,,26.4788648209562,0.0556,11.0,3.550561770887656
60.0,,,,,,,0.0556,11.0,3.550561770887656
60.5,,71.06003127134348,,,57.22041090374416,,0.0556,11.0,3.550561770887656
61.0,,,9.791240705982947,,,37.05744298459278,0.0556,11.0,3.550561770887656
61.5,,,,,,,0.0556,11.0,3.550561770887656
62.0,,,,,,,0.0556,11.0,3.550561770887656
62.5,,,-39.39446470821187,,,42.8863013489187,0.0556,11.0,3.550561770887656
63.0,,,,,,,0.0556,11.0,3.550561770887656
63.5,,,-70.63224701712558,,,57.0449046824725,0.0556,11.0,3.550561770887656
64.0,,173.78844800243803,,,68.348212735536,,0.0556,11.0,3.550561770887656
64.5,,,,,,,0.0556,11.0,3.550561770887656
65.0,,,,,,,0.0556,11.0,3.550561770887656
65.5,,,,,,,0.0556,11.0,3.550561770887656
66.0,,,-69.99025680272487,,,69.1086999168583,0.0556,11.0,3.550561770887656
66.5,,,9.022654317732737,,,56.6699108130607,0.0556,11.0,3.550561770887656
67.0,,56.42720566035299,,,38.42446759282292,,0.0556,11.0,3.550561770887656
67.5,,,,,,,0.0556,11.0,3.550561770887656
68.0,,,,,,,0.0556,11.0,3.550561770887656
68.5,,,,,,,0.0556,11.0,3.550561770887656
69.0,,,,,,,0.0556,11.0,3.550561770887656
69.5,,,,,,,0.0556,11.0,3.550561770887656
70.0,,35.81091680801881,,,43.420152287018865,,0.0556,11.0,3.550561770887656
