relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-19.729435970024806,,,36.75421268518088,,0.0521,10.1,4.889920471973161
-29.5,,,,,,,0.0521,10.1,4.889920471973161
-29.0,,-50.44794205783563,,,27.5168571030667,,0.0521,10.1,4.889920471973161
-28.5,,,,,,,0.0521,10.1,4.889920471973161
-28.0,,,,,,,0.0521,10.1,4.889920471973161
-27.5,,,,,,,0.0521,10.1,4.889920471973161
-27.0,,-17.344827981406006,-56.05839546915116,,43.6031481739341,48.81941881350408,0.0521,10.1,4.889920471973161
-26.5,,,,,,,0.0521,10.1,4.889920471973161
-26.0,,,-40.19688294605528,,,23.4005438280556,0.0521,10.1,4.889920471973161
-25.5,,,,,,,0.0521,10.1,4.889920471973161
-25.0,,36.815904890560034,-19.402288589198218,,25.4116782066296,29.237320482617843,0.0521,10.1,4.889920471973161
-24.5,,,,,,,0.0521,10.1,4.889920471973161
-24.0,,,,,,,0.0521,10.1,4.889920471973161
-23.5,,,,,,,0.0521,10.1,4.889920471973161
-23.0,,,-79.24361110855601,,,26.8340077612423,0.0521,10.1,4.889920471973161
-22.5,,,,,,,0.0521,10.1,4.889920471973161
-22.0,,,-25.69564033556111,,,29.346922513014093,0.0521,10.1,4.889920471973161
-21.5,,,,,,,0.0521,10.1,4.889920471973161
-21.0,,,,,,,0.0521,10.1,4.889920471973161
-20.5,,,,,,,0.0521,10.1,4.889920471973161
-20.0,,-76.35453101531249,-6.4779142665017115,,32.54274542260302,26.121858876807995,0.0521,10.1,4.889920471973161
-19.5,,,,,,,0.0521,10.1,4.889920471973161
-19.0,,-24.043330151651503,-46.33596440556464,,34.86459450141622,29.491555294554622,0.0521,10.1,4.889920471973161
-18.5,,,,,,,0.0521,10.1,4.889920471973161
-18.0,,,-54.370345256281226,,,21.9211678588267,0.0521,10.1,4.889920471973161
-17.5,,,,,,,0.0521,10.1,4.889920471973161
-17.0,,-35.70422776343533,-39.74674162609185,,25.3058099301515,25.121622119244755,0.0521,10.1,4.889920471973161
-16.5,,,,,,,0.0521,10.1,4.889920471973161
-16.0,,-16.991035197252387,,,32.8075924110758,,0.0521,10.1,4.889920471973161
-15.5,,,,,,,0.0521,10.1,4.889920471973161
-15.0,,-25.87539377879056,-16.340582629075758,,29.0468189007188,37.509810289802,0.0521,10.1,4.889920471973161
-14.5,,,,,,,0.0521,10.1,4.889920471973161
-14.0,,-15.448499791990415,,,32.2434093595562,,0.0521,10.1,4.889920471973161
-13.5,,,,,,,0.0521,10.1,4.889920471973161
-13.0,,11.392452136427764,43.056106503498704,,43.0106553837129,51.07297110341612,0.0521,10.1,4.889920471973161
-12.5,,,,,,,0.0521,10.1,4.889920471973161
-12.0,,,,,,,0.0521,10.1,4.889920471973161
-11.5,,,,,,,0.0521,10.1,4.889920471973161
-11.0,,-38.823509271030055,22.225193418937952,,57.3905842168406,75.0093215998143,0.0521,10.1,4.889920471973161
-10.5,,,,,,,0.0521,10.1,4.889920471973161
-10.0,,-17.73366635612868,-19.022969847787568,,65.65434033327483,86.876072621353,0.0521,10.1,4.889920471973161
-9.5,,,,,,,0.0521,10.1,4.889920471973161
-9.0,,-71.69982061518448,,,84.7815249158063,,0.0521,10.1,4.889920471973161
-8.5,,,,,,,0.0521,10.1,4.889920471973161
-8.0,,147.011001643471,41.87597319274143,,75.9692827759844,79.8344112114557,0.0521,10.1,4.889920471973161
-7.5,,,,,,,0.0521,10.1,4.889920471973161
-7.0,,35.090158644465795,3.392285708856948,,66.14958423189563,81.55636370918698,0.0521,10.1,4.889920471973161
-6.5,,,,,,,0.0521,10.1,4.889920471973161
-6.0,,,71.21195149741885,,,56.45612026278797,0.0521,10.1,4.889920471973161
-5.5,,,,,,,0.0521,10.1,4.889920471973161
-5.0,,82.15610031952696,115.41356487109823,,49.72916838456598,50.7242665580233,0.0521,10.1,4.889920471973161
-4.5,,,,,,,0.0521,10.1,4.889920471973161
-4.0,,121.81284250268544,,,49.2273142504997,,0.0521,10.1,4.889920471973161
-3.5,,,,,,,0.0521,10.1,4.889920471973161
-3.0,,123.85906972246305,,,29.9733681688861,,0.0521,10.1,4.889920471973161
-2.5,,,,,,,0.0521,10.1,4.889920471973161
-2.0,,190.53908060031367,197.07570541912608,,29.9479848170348,25.228256122341,0.0521,10.1,4.889920471973161
-1.5,,,,,,,0.0521,10.1,4.889920471973161
-1.0,,,,,,,0.0521,10.1,4.889920471973161
-0.5,,,,,,,0.0521,10.1,4.889920471973161
0.0,,,,,,,0.0521,10.1,4.889920471973161
0.5,,,,,,,0.0521,10.1,4.889920471973161
1.0,,,,,,,0.0521,10.1,4.889920471973161
1.5,,,,,,,0.0521,10.1,4.889920471973161
2.0,,,,,,,0.0521,10.1,4.889920471973161
2.5,,,,,,,0.0521,10.1,4.889920471973161
3.0,,395.24808248391395,403.3631414214815,,35.1367155546967,30.8882546860227,0.0521,10.1,4.889920471973161
3.5,,,,,,,0.0521,10.1,4.889920471973161
4.0,,418.7767702732748,409.281640284656,,31.146669603903725,24.4422787416714,0.0521,10.1,4.889920471973161
4.5,,,,,,,0.0521,10.1,4.889920471973161
5.0,,,407.2350446937092,,,37.5969753018808,0.0521,10.1,4.889920471973161
5.5,,,,,,,0.0521,10.1,4.889920471973161
6.0,,356.9543795128437,360.30190726810855,,41.9969942161248,29.2440776339788,0.0521,10.1,4.889920471973161
6.5,,,,,,,0.0521,10.1,4.889920471973161
7.0,,,,,,,0.0521,10.1,4.889920471973161
7.5,,,,,,,0.0521,10.1,4.889920471973161
8.0,,,,,,,0.0521,10.1,4.889920471973161
8.5,,,,,,,0.0521,10.1,4.889920471973161
9.0,,,,,,,0.0521,10.1,4.889920471973161
9.5,,,,,,,0.0521,10.1,4.889920471973161
10.0,,,,,,,0.0521,10.1,4.889920471973161
10.5,,,,,,,0.0521,10.1,4.889920471973161
11.0,,503.4812710458709,512.3035024304565,,31.4994911782617,26.632554476409,0.0521,10.1,4.889920471973161
11.5,,,,,,,0.0521,10.1,4.889920471973161
12.0,,,385.11728489011887,,,37.993210281090505,0.0521,10.1,4.889920471973161
12.5,,,,,,,0.0521,10.1,4.889920471973161
13.0,,,,,,,0.0521,10.1,4.889920471973161
13.5,,,,,,,0.0521,10.1,4.889920471973161
14.0,,,,,,,0.0521,10.1,4.889920471973161
14.5,,,,,,,0.0521,10.1,4.889920471973161
15.0,,,,,,,0.0521,10.1,4.889920471973161
