relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0508,7.399999999999999,4.103141073210458
-29.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-29.0,,,-60.64640008704765,,,67.9515321459103,0.0508,7.399999999999999,4.103141073210458
-28.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-28.0,,-63.96188600695594,165.79759077572785,,89.01283050638,70.0136034675454,0.0508,7.399999999999999,4.103141073210458
-27.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-27.0,,,-61.16661210908436,,,53.8784770082213,0.0508,7.399999999999999,4.103141073210458
-26.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-26.0,,-27.674532256707586,37.91069701577116,,63.5567791861184,60.5743112261449,0.0508,7.399999999999999,4.103141073210458
-25.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-25.0,,119.6331007214189,58.980272217485194,,90.730358145543,46.9390140601203,0.0508,7.399999999999999,4.103141073210458
-24.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-24.0,,-37.800729547837065,40.35883751634135,,38.3725871376088,39.9178543120966,0.0508,7.399999999999999,4.103141073210458
-23.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-23.0,,78.2696183792995,,,47.5383946591261,,0.0508,7.399999999999999,4.103141073210458
-22.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-22.0,,,,,,,0.0508,7.399999999999999,4.103141073210458
-21.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-21.0,,,,,,,0.0508,7.399999999999999,4.103141073210458
-20.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-20.0,,,,,,,0.0508,7.399999999999999,4.103141073210458
-19.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-19.0,,,,,,,0.0508,7.399999999999999,4.103141073210458
-18.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-18.0,,53.156208970100664,-4.57530654818177,,63.0464345621617,51.7451061273322,0.0508,7.399999999999999,4.103141073210458
-17.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-17.0,,0.5434050896133437,-4.471289665984721,,39.1239800434917,29.920242403474,0.0508,7.399999999999999,4.103141073210458
-16.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-16.0,,,-92.87490776299028,,,66.4560750216056,0.0508,7.399999999999999,4.103141073210458
-15.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-15.0,,134.09417329268481,-12.202501739055425,,84.4330426458896,54.9521577587199,0.0508,7.399999999999999,4.103141073210458
-14.5,,,,,,,0.0508,7.399999999999999,4.103141073210458
-14.0,,,,,,,0.0508,7.399999999999999,4.103141073210458
-13.5,-149.00147154354568,,,146.45196292089062,,,0.0508,7.399999999999999,4.103141073210458
-13.0,11.715518439175133,,,146.96623683750934,,,0.0508,7.399999999999999,4.103141073210458
-12.5,45.4204314681102,,,147.3151134165341,,,0.0508,7.399999999999999,4.103141073210458
-12.0,-79.68590167993695,,,148.89382243987396,,,0.0508,7.399999999999999,4.103141073210458
-11.5,-71.75503108075219,,,147.4004684120625,,,0.0508,7.399999999999999,4.103141073210458
-11.0,-11.408298891345435,,,146.90904064958974,,,0.0508,7.399999999999999,4.103141073210458
-10.5,-68.17861143901582,,,145.7808009663957,,,0.0508,7.399999999999999,4.103141073210458
-10.0,-75.91192393824171,-18.131289990526998,100.155733936506,146.82723796886958,91.8420219049173,46.971816877729815,0.0508,7.399999999999999,4.103141073210458
-9.5,60.56073739445749,,,147.56375435649906,,,0.0508,7.399999999999999,4.103141073210458
-9.0,-29.77902436175231,-28.771262464176793,10.27985589303616,147.17563477258602,91.2729179236564,55.3675846269515,0.0508,7.399999999999999,4.103141073210458
-8.5,40.927396495875485,,,148.255535322786,,,0.0508,7.399999999999999,4.103141073210458
-8.0,97.67316433542804,,,147.55614676816515,,,0.0508,7.399999999999999,4.103141073210458
-7.5,-34.351518811667816,,,146.91240339344057,,,0.0508,7.399999999999999,4.103141073210458
-7.0,48.89603334243514,,,146.8542871814871,,,0.0508,7.399999999999999,4.103141073210458
-6.5,-26.727950295654775,,,147.66403660837454,,,0.0508,7.399999999999999,4.103141073210458
-6.0,170.35454454338011,,,147.0424685880541,,,0.0508,7.399999999999999,4.103141073210458
-5.5,177.88379456551633,,,147.57637875805165,,,0.0508,7.399999999999999,4.103141073210458
-5.0,181.14271262493972,,,144.44293978917761,,,0.0508,7.399999999999999,4.103141073210458
