relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.1004,18.8,2.16
-29.5,,,,,,,0.1004,18.8,2.16
-29.0,,,,,,,0.1004,18.8,2.16
-28.5,,,,,,,0.1004,18.8,2.16
-28.0,,,,,,,0.1004,18.8,2.16
-27.5,,,,,,,0.1004,18.8,2.16
-27.0,,,,,,,0.1004,18.8,2.16
-26.5,,,,,,,0.1004,18.8,2.16
-26.0,,,,,,,0.1004,18.8,2.16
-25.5,,,,,,,0.1004,18.8,2.16
-25.0,,,,,,,0.1004,18.8,2.16
-24.5,,,,,,,0.1004,18.8,2.16
-24.0,,,,,,,0.1004,18.8,2.16
-23.5,,,,,,,0.1004,18.8,2.16
-23.0,,,,,,,0.1004,18.8,2.16
-22.5,,,,,,,0.1004,18.8,2.16
-22.0,,,,,,,0.1004,18.8,2.16
-21.5,,,,,,,0.1004,18.8,2.16
-21.0,,,,,,,0.1004,18.8,2.16
-20.5,,,,,,,0.1004,18.8,2.16
-20.0,,,,,,,0.1004,18.8,2.16
-19.5,,,,,,,0.1004,18.8,2.16
-19.0,,,,,,,0.1004,18.8,2.16
-18.5,,,,,,,0.1004,18.8,2.16
-18.0,,,,,,,0.1004,18.8,2.16
-17.5,,,,,,,0.1004,18.8,2.16
-17.0,,,,,,,0.1004,18.8,2.16
-16.5,,,,,,,0.1004,18.8,2.16
-16.0,,,,,,,0.1004,18.8,2.16
-15.5,,,,,,,0.1004,18.8,2.16
-15.0,,,,,,,0.1004,18.8,2.16
-14.5,,,,,,,0.1004,18.8,2.16
-14.0,,,,,,,0.1004,18.8,2.16
-13.5,,,,,,,0.1004,18.8,2.16
-13.0,,,,,,,0.1004,18.8,2.16
-12.5,,,,,,,0.1004,18.8,2.16
-12.0,,,,,,,0.1004,18.8,2.16
-11.5,,,,,,,0.1004,18.8,2.16
-11.0,,,,,,,0.1004,18.8,2.16
-10.5,,,,,,,0.1004,18.8,2.16
-10.0,,,,,,,0.1004,18.8,2.16
-9.5,,,,,,,0.1004,18.8,2.16
-9.0,,,,,,,0.1004,18.8,2.16
-8.5,,,,,,,0.1004,18.8,2.16
-8.0,,,,,,,0.1004,18.8,2.16
-7.5,,,,,,,0.1004,18.8,2.16
-7.0,,,,,,,0.1004,18.8,2.16
-6.5,,,,,,,0.1004,18.8,2.16
-6.0,,,,,,,0.1004,18.8,2.16
-5.5,,,,,,,0.1004,18.8,2.16
-5.0,,,,,,,0.1004,18.8,2.16
-4.5,,,,,,,0.1004,18.8,2.16
-4.0,,,,,,,0.1004,18.8,2.16
-3.5,,,,,,,0.1004,18.8,2.16
-3.0,,,,,,,0.1004,18.8,2.16
-2.5,,,,,,,0.1004,18.8,2.16
-2.0,-674.0535982471492,,,195.19389647551543,,,0.1004,18.8,2.16
-1.5,-737.6363772120371,,,194.16362610211206,,,0.1004,18.8,2.16
-1.0,-647.5654053721902,,,194.37062377570456,,,0.1004,18.8,2.16
-0.5,-482.7787117414389,,,195.16252491837577,,,0.1004,18.8,2.16
0.0,-412.61778775136804,,,195.4523329034964,,,0.1004,18.8,2.16
0.5,-304.24072532469074,,,196.2585304259539,,,0.1004,18.8,2.16
1.0,-462.7156184460315,,,195.60091168736125,,,0.1004,18.8,2.16
1.5,-221.88063863051522,,,195.19359357900066,,,0.1004,18.8,2.16
2.0,-390.4624920168775,-0.8232272190211335,,195.42810156558133,66.6905186461495,,0.1004,18.8,2.16
2.5,-128.9823201547279,,,195.1889047190839,,,0.1004,18.8,2.16
3.0,-198.34854878808696,,,194.29592379802565,,,0.1004,18.8,2.16
3.5,-109.95860823216262,,,194.05126932480653,,,0.1004,18.8,2.16
4.0,100.96138950458348,,,194.96293592620464,,,0.1004,18.8,2.16
4.5,-120.25168285987704,,,193.51127513751135,,,0.1004,18.8,2.16
5.0,34.00170293793903,,,195.60307550614883,,,0.1004,18.8,2.16
5.5,92.61164384164479,,,194.8986083887333,,,0.1004,18.8,2.16
6.0,119.8318325121895,,,194.1239337205514,,,0.1004,18.8,2.16
6.5,334.17858740201075,,,193.5947761577646,,,0.1004,18.8,2.16
7.0,286.48676663520774,,,194.55269541633493,,,0.1004,18.8,2.16
7.5,227.95545524780698,,,195.80652032293378,,,0.1004,18.8,2.16
8.0,568.4884018174732,,,198.16228171820183,,,0.1004,18.8,2.16
8.5,575.5841519629855,,,202.24373082348203,,,0.1004,18.8,2.16
9.0,,,,,,,0.1004,18.8,2.16
9.5,,,,,,,0.1004,18.8,2.16
10.0,,,,,,,0.1004,18.8,2.16
10.5,,,,,,,0.1004,18.8,2.16
11.0,732.6245686862513,,,201.6269819793833,,,0.1004,18.8,2.16
11.5,691.9259413381361,,,202.10238811201742,,,0.1004,18.8,2.16
12.0,782.1058526530145,,,200.91769377156177,,,0.1004,18.8,2.16
12.5,811.1991077840412,,,200.76600455519326,,,0.1004,18.8,2.16
13.0,969.7565602110807,,1231.1458982347178,199.66955115744292,,78.7896256581409,0.1004,18.8,2.16
13.5,987.7161318303727,,,198.7211312521785,,,0.1004,18.8,2.16
14.0,804.4197206027985,,1335.6453124817274,197.2000501902204,,89.8024185476615,0.1004,18.8,2.16
