relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,26.30481279350992,,,36.26906328128454,,0.033,10.0,3.6561591869063914
-29.5,,,,,,,0.033,10.0,3.6561591869063914
-29.0,,,,,,,0.033,10.0,3.6561591869063914
-28.5,,,,,,,0.033,10.0,3.6561591869063914
-28.0,,,,,,,0.033,10.0,3.6561591869063914
-27.5,,,,,,,0.033,10.0,3.6561591869063914
-27.0,,,,,,,0.033,10.0,3.6561591869063914
-26.5,,,,,,,0.033,10.0,3.6561591869063914
-26.0,,,,,,,0.033,10.0,3.6561591869063914
-25.5,,,,,,,0.033,10.0,3.6561591869063914
-25.0,,-8.847619887342763,-70.93363507126554,,31.60978267960306,29.6202521994739,0.033,10.0,3.6561591869063914
-24.5,,,,,,,0.033,10.0,3.6561591869063914
-24.0,,,,,,,0.033,10.0,3.6561591869063914
-23.5,,,,,,,0.033,10.0,3.6561591869063914
-23.0,,,,,,,0.033,10.0,3.6561591869063914
-22.5,,,,,,,0.033,10.0,3.6561591869063914
-22.0,,,-17.583642393352694,,,38.3822373239442,0.033,10.0,3.6561591869063914
-21.5,,,,,,,0.033,10.0,3.6561591869063914
-21.0,,,,,,,0.033,10.0,3.6561591869063914
-20.5,,,,,,,0.033,10.0,3.6561591869063914
-20.0,,,,,,,0.033,10.0,3.6561591869063914
-19.5,,,,,,,0.033,10.0,3.6561591869063914
-19.0,,,,,,,0.033,10.0,3.6561591869063914
-18.5,,,,,,,0.033,10.0,3.6561591869063914
-18.0,,,,,,,0.033,10.0,3.6561591869063914
-17.5,,,,,,,0.033,10.0,3.6561591869063914
-17.0,,,,,,,0.033,10.0,3.6561591869063914
-16.5,,,,,,,0.033,10.0,3.6561591869063914
-16.0,,-3.9667994566604143,-94.71936503111459,,52.7089354959808,44.2135521262865,0.033,10.0,3.6561591869063914
-15.5,,,,,,,0.033,10.0,3.6561591869063914
-15.0,,,,,,,0.033,10.0,3.6561591869063914
-14.5,,,,,,,0.033,10.0,3.6561591869063914
-14.0,,,,,,,0.033,10.0,3.6561591869063914
-13.5,,,,,,,0.033,10.0,3.6561591869063914
-13.0,,86.00594191830905,-50.369491295285954,,56.6185342326133,28.3009353086692,0.033,10.0,3.6561591869063914
-12.5,,,,,,,0.033,10.0,3.6561591869063914
-12.0,,,,,,,0.033,10.0,3.6561591869063914
-11.5,,,,,,,0.033,10.0,3.6561591869063914
-11.0,,,,,,,0.033,10.0,3.6561591869063914
-10.5,,,,,,,0.033,10.0,3.6561591869063914
-10.0,,,,,,,0.033,10.0,3.6561591869063914
-9.5,,,,,,,0.033,10.0,3.6561591869063914
-9.0,,58.266924782599524,,,57.4818049490584,,0.033,10.0,3.6561591869063914
-8.5,,,,,,,0.033,10.0,3.6561591869063914
-8.0,,,,,,,0.033,10.0,3.6561591869063914
-7.5,,,,,,,0.033,10.0,3.6561591869063914
-7.0,,,,,,,0.033,10.0,3.6561591869063914
