relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-31.469939507711793,20.585146895062866,,61.18278619081834,76.85612554526506,0.1109,3.0,3.041994959452322
-29.5,,,,,,,0.1109,3.0,3.041994959452322
-29.0,,-75.41560662285552,56.97743501874284,,62.46278974566528,80.37131649039551,0.1109,3.0,3.041994959452322
-28.5,,,,,,,0.1109,3.0,3.041994959452322
-28.0,,10.932874853711343,-20.965654348219463,,62.7325966911283,73.3037140288086,0.1109,3.0,3.041994959452322
-27.5,,,,,,,0.1109,3.0,3.041994959452322
-27.0,,-20.819592786841504,22.22455375865912,,92.80557166305441,74.13417932949486,0.1109,3.0,3.041994959452322
-26.5,,,,,,,0.1109,3.0,3.041994959452322
-26.0,,,,,,,0.1109,3.0,3.041994959452322
-25.5,,,,,,,0.1109,3.0,3.041994959452322
-25.0,,,,,,,0.1109,3.0,3.041994959452322
-24.5,,,,,,,0.1109,3.0,3.041994959452322
-24.0,,,,,,,0.1109,3.0,3.041994959452322
-23.5,,,,,,,0.1109,3.0,3.041994959452322
-23.0,,,,,,,0.1109,3.0,3.041994959452322
-22.5,,,,,,,0.1109,3.0,3.041994959452322
-22.0,,,,,,,0.1109,3.0,3.041994959452322
-21.5,,,,,,,0.1109,3.0,3.041994959452322
-21.0,,-6.128884960500853,-19.838292348966437,,38.1697112253497,28.8370301631549,0.1109,3.0,3.041994959452322
-20.5,,,,,,,0.1109,3.0,3.041994959452322
-20.0,,0.639560515055992,-3.565890270335176,,28.354075374012528,23.34080197620788,0.1109,3.0,3.041994959452322
-19.5,,,,,,,0.1109,3.0,3.041994959452322
-19.0,,-8.989352158833643,-38.46326419254192,,27.4402000896755,24.2153847386525,0.1109,3.0,3.041994959452322
-18.5,,,,,,,0.1109,3.0,3.041994959452322
-18.0,,-11.005416384509939,-24.855197946523376,,35.29798969015452,44.30652258610258,0.1109,3.0,3.041994959452322
-17.5,,,,,,,0.1109,3.0,3.041994959452322
-17.0,,-19.139564628193966,-2.4338331761959293,,37.1015684925425,25.7470620344651,0.1109,3.0,3.041994959452322
-16.5,,,,,,,0.1109,3.0,3.041994959452322
-16.0,,-13.788187570681307,23.703081123274117,,37.268637743944765,26.178430049822033,0.1109,3.0,3.041994959452322
-15.5,,,,,,,0.1109,3.0,3.041994959452322
-15.0,,,,,,,0.1109,3.0,3.041994959452322
-14.5,,,,,,,0.1109,3.0,3.041994959452322
-14.0,,-14.314601267902223,-7.557547566567008,,29.21978300298639,23.603602225228528,0.1109,3.0,3.041994959452322
-13.5,,,,,,,0.1109,3.0,3.041994959452322
-13.0,,,37.28614877690467,,,29.5292033917785,0.1109,3.0,3.041994959452322
-12.5,,,,,,,0.1109,3.0,3.041994959452322
-12.0,,,9.54955783050352,,,38.3447033513875,0.1109,3.0,3.041994959452322
-11.5,,,,,,,0.1109,3.0,3.041994959452322
-11.0,,19.957828192539846,67.46754735552534,,12.415306543156,24.340936805306978,0.1109,3.0,3.041994959452322
-10.5,,,,,,,0.1109,3.0,3.041994959452322
-10.0,,,70.97399695516985,,,33.3016191742985,0.1109,3.0,3.041994959452322
-9.5,,,,,,,0.1109,3.0,3.041994959452322
-9.0,,147.07000782815172,230.5913759055951,,29.2503131626051,19.9609547798415,0.1109,3.0,3.041994959452322
-8.5,,,,,,,0.1109,3.0,3.041994959452322
-8.0,,,227.21322617803958,,,26.0028984858326,0.1109,3.0,3.041994959452322
-7.5,,,,,,,0.1109,3.0,3.041994959452322
-7.0,,,,,,,0.1109,3.0,3.041994959452322
-6.5,,,,,,,0.1109,3.0,3.041994959452322
-6.0,,470.0329810704916,570.9534037293757,,62.49568433952561,65.92979132927901,0.1109,3.0,3.041994959452322
-5.5,,,,,,,0.1109,3.0,3.041994959452322
-5.0,,,,,,,0.1109,3.0,3.041994959452322
-4.5,,,,,,,0.1109,3.0,3.041994959452322
-4.0,,771.5084294464917,692.5272783472053,,72.0759336233401,124.099874231773,0.1109,3.0,3.041994959452322
-3.5,,,,,,,0.1109,3.0,3.041994959452322
-3.0,,,,,,,0.1109,3.0,3.041994959452322
-2.5,,,,,,,0.1109,3.0,3.041994959452322
-2.0,,,,,,,0.1109,3.0,3.041994959452322
-1.5,,,,,,,0.1109,3.0,3.041994959452322
-1.0,,1162.3636263224748,1023.6990396158557,,101.31654022548551,128.56523711287176,0.1109,3.0,3.041994959452322
-0.5,,,,,,,0.1109,3.0,3.041994959452322
0.0,,1348.2736921662217,1434.2955344562627,,68.03344187171079,98.30148961327517,0.1109,3.0,3.041994959452322
0.5,,,,,,,0.1109,3.0,3.041994959452322
1.0,,,,,,,0.1109,3.0,3.041994959452322
1.5,,,,,,,0.1109,3.0,3.041994959452322
2.0,,1502.34517241796,1718.7325454768134,,89.36653047730961,79.3993404813351,0.1109,3.0,3.041994959452322
2.5,,,,,,,0.1109,3.0,3.041994959452322
3.0,,1558.9006706926443,1657.1862241574804,,48.36916802127702,66.4981892579536,0.1109,3.0,3.041994959452322
3.5,,,,,,,0.1109,3.0,3.041994959452322
4.0,,1576.9485308108121,1928.212745350006,,40.39404051460392,41.30762770649549,0.1109,3.0,3.041994959452322
4.5,,,,,,,0.1109,3.0,3.041994959452322
5.0,,623.165520819082,1325.7234237446823,,67.97248640106267,54.93488992175944,0.1109,3.0,3.041994959452322
5.5,,,,,,,0.1109,3.0,3.041994959452322
6.0,,,,,,,0.1109,3.0,3.041994959452322
6.5,,,,,,,0.1109,3.0,3.041994959452322
7.0,,1519.0160526154941,1285.9366953635392,,48.0337471010874,42.77666870471144,0.1109,3.0,3.041994959452322
7.5,,,,,,,0.1109,3.0,3.041994959452322
8.0,,1560.3930620025906,1607.624015205186,,32.93082135391103,37.01423966586203,0.1109,3.0,3.041994959452322
8.5,,,,,,,0.1109,3.0,3.041994959452322
9.0,,1523.0040596229871,1565.7973051885892,,38.21511803109748,34.06208148414373,0.1109,3.0,3.041994959452322
9.5,,,,,,,0.1109,3.0,3.041994959452322
10.0,,1146.4003861712536,1152.5895368274441,,49.43005583601863,45.228797828520406,0.1109,3.0,3.041994959452322
10.5,,,,,,,0.1109,3.0,3.041994959452322
11.0,,1468.8803628716944,1517.3367888873074,,58.457323041207836,47.94836486651579,0.1109,3.0,3.041994959452322
11.5,,,,,,,0.1109,3.0,3.041994959452322
12.0,,,,,,,0.1109,3.0,3.041994959452322
12.5,,,,,,,0.1109,3.0,3.041994959452322
