relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,16.342982446243866,4.8546900000476505,,41.86418402120673,51.832554946374806,0.0527,8.0,4.513745672941709
-29.5,,,,,,,0.0527,8.0,4.513745672941709
-29.0,,-62.78913241007718,-18.542984672775255,,38.835229440391785,36.22763699839687,0.0527,8.0,4.513745672941709
-28.5,,,,,,,0.0527,8.0,4.513745672941709
-28.0,,13.33087385796305,0.8167509174141762,,39.6416455043907,40.1643623546009,0.0527,8.0,4.513745672941709
-27.5,,,,,,,0.0527,8.0,4.513745672941709
-27.0,,0.8391133267652977,1.5704014942648037,,25.8232751630744,25.862619792780727,0.0527,8.0,4.513745672941709
-26.5,,,,,,,0.0527,8.0,4.513745672941709
-26.0,,,,,,,0.0527,8.0,4.513745672941709
-25.5,,,,,,,0.0527,8.0,4.513745672941709
-25.0,,,,,,,0.0527,8.0,4.513745672941709
-24.5,,,,,,,0.0527,8.0,4.513745672941709
-24.0,,-57.63555866152868,97.81490768949358,,42.2081277515609,34.62299885717057,0.0527,8.0,4.513745672941709
-23.5,,,,,,,0.0527,8.0,4.513745672941709
-23.0,,45.78030434314975,,,29.7344626210664,,0.0527,8.0,4.513745672941709
-22.5,,,,,,,0.0527,8.0,4.513745672941709
-22.0,,,,,,,0.0527,8.0,4.513745672941709
-21.5,,,,,,,0.0527,8.0,4.513745672941709
-21.0,,-25.86446861001602,25.039403449818195,,40.200323787520496,22.374532436016846,0.0527,8.0,4.513745672941709
-20.5,,,,,,,0.0527,8.0,4.513745672941709
-20.0,,,,,,,0.0527,8.0,4.513745672941709
-19.5,,,,,,,0.0527,8.0,4.513745672941709
-19.0,,-21.81407090483433,31.03840911066224,,42.77818202622997,23.45246303167169,0.0527,8.0,4.513745672941709
-18.5,,,,,,,0.0527,8.0,4.513745672941709
-18.0,,-61.56941796247352,,,63.3083664221501,,0.0527,8.0,4.513745672941709
-17.5,,,,,,,0.0527,8.0,4.513745672941709
-17.0,,-39.235731063282586,96.13093067003436,,120.12203337181906,108.92050331054551,0.0527,8.0,4.513745672941709
-16.5,,,,,,,0.0527,8.0,4.513745672941709
