relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-327.9969954189607,-14.383852163435229,,319.2780535391869,85.99054888956091,0.0727,10.6,6.530757145147023
-29.5,,,,,,,0.0727,10.6,6.530757145147023
-29.0,,-50.14393973265977,2.767397195994088,,313.1890663536052,82.63897885222964,0.0727,10.6,6.530757145147023
-28.5,,,,,,,0.0727,10.6,6.530757145147023
-28.0,,-138.05538644345583,40.8273907464422,,296.5292697217404,76.1859593073152,0.0727,10.6,6.530757145147023
-27.5,,,,,,,0.0727,10.6,6.530757145147023
-27.0,,-52.81793284561772,-202.3891850791617,,271.1807809703059,71.9937689382533,0.0727,10.6,6.530757145147023
-26.5,,,,,,,0.0727,10.6,6.530757145147023
-26.0,,,-147.45472571519835,,,73.01150508611778,0.0727,10.6,6.530757145147023
-25.5,,,,,,,0.0727,10.6,6.530757145147023
-25.0,,-56.58789736009883,-50.920627476327915,,405.7298897428029,64.77372024622997,0.0727,10.6,6.530757145147023
-24.5,79.24258369407744,,,128.96011652141914,,,0.0727,10.6,6.530757145147023
-24.0,44.40076853236172,,-26.112834404225104,128.34079169097458,,70.51796788274338,0.0727,10.6,6.530757145147023
-23.5,-13.013959272299768,,,128.37716533627867,,,0.0727,10.6,6.530757145147023
-23.0,-31.182025868813643,30.236816193831125,-17.005192909616095,128.89603564454953,293.6360561461071,78.5748852475705,0.0727,10.6,6.530757145147023
-22.5,-30.20407512554884,,,129.01293090217075,,,0.0727,10.6,6.530757145147023
-22.0,-3.04739000100853,-137.2078217358417,16.015355715994605,127.9379716761196,300.98354162266395,64.9785069439926,0.0727,10.6,6.530757145147023
-21.5,-48.37193349037146,,,128.47332363034684,,,0.0727,10.6,6.530757145147023
-21.0,-37.486850366165754,68.95820891012389,-124.61573186081914,129.13238069450125,324.5612503977309,75.69735957044611,0.0727,10.6,6.530757145147023
-20.5,-37.156476618681836,,,128.7245291764666,,,0.0727,10.6,6.530757145147023
-20.0,-71.63030003342861,72.00244891313788,-163.41661845261476,128.49906607126474,365.5895198110949,91.3577702536949,0.0727,10.6,6.530757145147023
-19.5,-1.4401188366905657,,,128.5879566037057,,,0.0727,10.6,6.530757145147023
-19.0,-65.35223001035878,-109.81032916960687,18.083882421594396,128.46821431965643,413.6497762962745,166.66030336619048,0.0727,10.6,6.530757145147023
-18.5,10.505902429541386,,,128.1175182031845,,,0.0727,10.6,6.530757145147023
-18.0,-16.08952127056515,,,128.17958235406567,,,0.0727,10.6,6.530757145147023
-17.5,-39.34802819941727,,,128.28884887419883,,,0.0727,10.6,6.530757145147023
-17.0,-47.22084787830923,84.1061815922891,-800.6880139106374,128.5256365516217,567.5037780325785,271.5753726266742,0.0727,10.6,6.530757145147023
-16.5,-62.11659678023188,,,128.06250257528214,,,0.0727,10.6,6.530757145147023
-16.0,-32.730684817756824,,,127.42251546026061,,,0.0727,10.6,6.530757145147023
-15.5,-43.98692071200007,,,128.73155551946488,,,0.0727,10.6,6.530757145147023
-15.0,-48.151465560499695,,,129.88155219369327,,,0.0727,10.6,6.530757145147023
-14.5,-50.8600260262738,,,129.44417484241453,,,0.0727,10.6,6.530757145147023
