relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-3.276394311234705,5.5685265734812015,,36.82703078163025,31.297017731698,0.0428,18.1,6.039503290834437
-29.5,,,,,,,0.0428,18.1,6.039503290834437
-29.0,,1.306898258470984,-30.395750927576177,,28.7557957481111,30.2180682823734,0.0428,18.1,6.039503290834437
-28.5,,,,,,,0.0428,18.1,6.039503290834437
-28.0,,23.292530049241627,16.312325198247585,,33.404029550419494,29.186556847076393,0.0428,18.1,6.039503290834437
-27.5,,,,,,,0.0428,18.1,6.039503290834437
-27.0,,-128.06094972823564,-2.6348940585797194,,58.0580288965665,29.05924546453129,0.0428,18.1,6.039503290834437
-26.5,,,,,,,0.0428,18.1,6.039503290834437
-26.0,,,5.047213083095615,,,31.36212042780965,0.0428,18.1,6.039503290834437
-25.5,,,,,,,0.0428,18.1,6.039503290834437
-25.0,,-22.908332963608185,-11.042149071279743,,40.5945155395,36.2233309644379,0.0428,18.1,6.039503290834437
-24.5,,,,,,,0.0428,18.1,6.039503290834437
-24.0,,-33.16502924200383,-33.32955177965932,,40.2519262214687,48.84129852339269,0.0428,18.1,6.039503290834437
-23.5,,,,,,,0.0428,18.1,6.039503290834437
-23.0,,-59.610115286097525,-18.771119147850452,,47.6543925406806,31.95437203169576,0.0428,18.1,6.039503290834437
-22.5,,,,,,,0.0428,18.1,6.039503290834437
-22.0,,17.834191398555436,-10.83490775919551,,43.4256371692556,43.5338064605987,0.0428,18.1,6.039503290834437
-21.5,,,,,,,0.0428,18.1,6.039503290834437
-21.0,,33.68005113755396,-53.10396810198371,,56.73722319465528,75.06905336614084,0.0428,18.1,6.039503290834437
-20.5,,,,,,,0.0428,18.1,6.039503290834437
-20.0,,,,,,,0.0428,18.1,6.039503290834437
-19.5,,,,,,,0.0428,18.1,6.039503290834437
-19.0,,202.768657280231,-0.4583999365782745,,82.8820324911373,122.69775979082107,0.0428,18.1,6.039503290834437
-18.5,,,,,,,0.0428,18.1,6.039503290834437
-18.0,,,-58.581125565696155,,,104.68716388817256,0.0428,18.1,6.039503290834437
-17.5,,,,,,,0.0428,18.1,6.039503290834437
-17.0,,,77.68026547132385,,,132.29654210568856,0.0428,18.1,6.039503290834437
-16.5,,,,,,,0.0428,18.1,6.039503290834437
-16.0,,62.70959658722885,-18.700176010324512,,72.85427989148633,120.88654514513794,0.0428,18.1,6.039503290834437
-15.5,,,,,,,0.0428,18.1,6.039503290834437
-15.0,,1.8607711856100964,82.58747333001105,,66.26665193038768,94.23458758747336,0.0428,18.1,6.039503290834437
-14.5,,,,,,,0.0428,18.1,6.039503290834437
-14.0,,,,,,,0.0428,18.1,6.039503290834437
-13.5,,,,,,,0.0428,18.1,6.039503290834437
-13.0,,-1.9016260957597395,28.597758362759066,,90.86108256956224,77.72521214062132,0.0428,18.1,6.039503290834437
-12.5,,,,,,,0.0428,18.1,6.039503290834437
-12.0,,26.10823603448118,35.354302566248016,,47.65158399621324,70.15459328344114,0.0428,18.1,6.039503290834437
-11.5,,,,,,,0.0428,18.1,6.039503290834437
-11.0,,96.06621609435754,70.64627574851791,,37.90558006674887,39.16935918098835,0.0428,18.1,6.039503290834437
-10.5,,,,,,,0.0428,18.1,6.039503290834437
-10.0,,96.97015670784299,-18.942968384477716,,56.64265596736253,43.98496221110904,0.0428,18.1,6.039503290834437
-9.5,,,,,,,0.0428,18.1,6.039503290834437
-9.0,,,,,,,0.0428,18.1,6.039503290834437
-8.5,,,,,,,0.0428,18.1,6.039503290834437
-8.0,,200.80054886676373,-43.19393316853183,,55.5545430260769,48.73819142487592,0.0428,18.1,6.039503290834437
-7.5,,,,,,,0.0428,18.1,6.039503290834437
-7.0,,153.24378588833025,69.17462857001448,,28.42117814116532,30.785147850559426,0.0428,18.1,6.039503290834437
-6.5,,,,,,,0.0428,18.1,6.039503290834437
-6.0,,229.99950758087607,55.42441411701623,,41.078744940193275,34.207082952114696,0.0428,18.1,6.039503290834437
-5.5,,,,,,,0.0428,18.1,6.039503290834437
-5.0,,111.36112283483277,73.7750641241094,,56.70091622649284,48.3737581937917,0.0428,18.1,6.039503290834437
-4.5,,,,,,,0.0428,18.1,6.039503290834437
-4.0,,326.6485802498239,122.5609348658907,,55.87155300509532,49.55056602638818,0.0428,18.1,6.039503290834437
-3.5,,,,,,,0.0428,18.1,6.039503290834437
-3.0,,147.10450865261168,,,62.1786245497723,,0.0428,18.1,6.039503290834437
-2.5,,,,,,,0.0428,18.1,6.039503290834437
