relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-12.641460930402147,,,50.46765167124832,,0.0211,15.200000000000005,1.9416230324138617
-29.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-29.0,,-16.580927691988133,65.60714466101527,,51.3140982278444,41.9794359156473,0.0211,15.200000000000005,1.9416230324138617
-28.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-28.0,,,13.946433225832056,,,33.774894571986685,0.0211,15.200000000000005,1.9416230324138617
-27.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-27.0,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-26.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-26.0,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-25.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-25.0,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-24.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-24.0,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-23.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-23.0,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-22.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-22.0,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-21.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-21.0,,7.107334415187659,-10.996111337854574,,23.792082347535228,23.29353988987127,0.0211,15.200000000000005,1.9416230324138617
-20.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-20.0,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-19.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-19.0,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-18.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-18.0,,-3.0136240942673735,-20.2893134909185,,26.933327163004233,24.194925385145332,0.0211,15.200000000000005,1.9416230324138617
-17.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-17.0,,-50.53646942453262,29.07253063106073,,36.01809236366079,36.8694471755167,0.0211,15.200000000000005,1.9416230324138617
-16.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-16.0,,-31.29613566060763,24.67564408577161,,31.10806952855462,31.458532802844676,0.0211,15.200000000000005,1.9416230324138617
-15.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-15.0,,-30.395941044140013,-20.033115942577698,,22.20654638471979,20.249602665865506,0.0211,15.200000000000005,1.9416230324138617
-14.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
-14.0,,-19.336906776608703,-15.70777129195882,,23.656850602521793,18.536809160533043,0.0211,15.200000000000005,1.9416230324138617
-13.5,,,,,,,0.0211,15.200000000000005,1.9416230324138617
