relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0699,9.4,4.855433382648076
-29.5,,,,,,,0.0699,9.4,4.855433382648076
-29.0,,,,,,,0.0699,9.4,4.855433382648076
-28.5,,,,,,,0.0699,9.4,4.855433382648076
-28.0,,,,,,,0.0699,9.4,4.855433382648076
-27.5,,,,,,,0.0699,9.4,4.855433382648076
-27.0,,-7.445469457661798,11.219118521039022,,35.34708414874688,25.831042017996367,0.0699,9.4,4.855433382648076
-26.5,,-149.93659865056856,,,105.478739829654,,0.0699,9.4,4.855433382648076
-26.0,,,,,,,0.0699,9.4,4.855433382648076
-25.5,,,,,,,0.0699,9.4,4.855433382648076
-25.0,,,,,,,0.0699,9.4,4.855433382648076
-24.5,,,,,,,0.0699,9.4,4.855433382648076
-24.0,,-11.32522636602093,,,27.167684856123696,,0.0699,9.4,4.855433382648076
-23.5,,,14.482395914809588,,,31.5497366022526,0.0699,9.4,4.855433382648076
-23.0,,,,,,,0.0699,9.4,4.855433382648076
-22.5,,-127.45043930661966,,,44.2837279737589,,0.0699,9.4,4.855433382648076
-22.0,,,,,,,0.0699,9.4,4.855433382648076
-21.5,,41.626558436106464,,,37.41460339986223,,0.0699,9.4,4.855433382648076
-21.0,,,,,,,0.0699,9.4,4.855433382648076
-20.5,,,-19.896458092790954,,,24.314053024266244,0.0699,9.4,4.855433382648076
-20.0,,,,,,,0.0699,9.4,4.855433382648076
-19.5,,,-52.63342999299517,,,25.048872652717236,0.0699,9.4,4.855433382648076
-19.0,,,,,,,0.0699,9.4,4.855433382648076
-18.5,,-66.39409864389054,-49.974064761987336,,70.4566461712487,58.9231725569561,0.0699,9.4,4.855433382648076
-18.0,,,171.04218873217175,,,86.6235418410054,0.0699,9.4,4.855433382648076
-17.5,,,,,,,0.0699,9.4,4.855433382648076
-17.0,,,138.24885120451265,,,94.3439608747099,0.0699,9.4,4.855433382648076
-16.5,,,,,,,0.0699,9.4,4.855433382648076
-16.0,,,,,,,0.0699,9.4,4.855433382648076
-15.5,,,,,,,0.0699,9.4,4.855433382648076
-15.0,,,,,,,0.0699,9.4,4.855433382648076
-14.5,,,,,,,0.0699,9.4,4.855433382648076
-14.0,,,,,,,0.0699,9.4,4.855433382648076
-13.5,,-5.584168612776939,,,103.292708447614,,0.0699,9.4,4.855433382648076
-13.0,,98.6906465851097,,,83.42856161241585,,0.0699,9.4,4.855433382648076
-12.5,,,,,,,0.0699,9.4,4.855433382648076
-12.0,,29.349752701396554,3.7742407787732333,,74.881237805337,36.472394141698565,0.0699,9.4,4.855433382648076
-11.5,,,,,,,0.0699,9.4,4.855433382648076
-11.0,,-6.210761049434344,,,42.26381685618075,,0.0699,9.4,4.855433382648076
-10.5,,,,,,,0.0699,9.4,4.855433382648076
-10.0,,-18.69482263405652,-43.225500156516695,,71.92640968846572,37.7166333649762,0.0699,9.4,4.855433382648076
-9.5,,,,,,,0.0699,9.4,4.855433382648076
-9.0,,-0.35891441300440713,-21.434362363560645,,25.6834427262037,23.021608896855653,0.0699,9.4,4.855433382648076
-8.5,,,,,,,0.0699,9.4,4.855433382648076
-8.0,,,,,,,0.0699,9.4,4.855433382648076
-7.5,,,,,,,0.0699,9.4,4.855433382648076
-7.0,,,,,,,0.0699,9.4,4.855433382648076
-6.5,,,,,,,0.0699,9.4,4.855433382648076
-6.0,,38.010393253081524,10.012932676025018,,28.1713490074424,26.9804280048928,0.0699,9.4,4.855433382648076
-5.5,,,,,,,0.0699,9.4,4.855433382648076
-5.0,,,,,,,0.0699,9.4,4.855433382648076
