relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0147,9.6,1.7849338612085572
-29.5,,,,,,,0.0147,9.6,1.7849338612085572
-29.0,,,,,,,0.0147,9.6,1.7849338612085572
-28.5,,,,,,,0.0147,9.6,1.7849338612085572
-28.0,,,,,,,0.0147,9.6,1.7849338612085572
-27.5,,,,,,,0.0147,9.6,1.7849338612085572
-27.0,,,,,,,0.0147,9.6,1.7849338612085572
-26.5,,,,,,,0.0147,9.6,1.7849338612085572
-26.0,,,-24.483900883136158,,,33.1297522622018,0.0147,9.6,1.7849338612085572
-25.5,,,,,,,0.0147,9.6,1.7849338612085572
-25.0,,,-29.853749588060985,,,26.9322036108575,0.0147,9.6,1.7849338612085572
-24.5,,,,,,,0.0147,9.6,1.7849338612085572
-24.0,,-72.78773245264209,28.041062716317878,,26.9093607663942,28.1688529883237,0.0147,9.6,1.7849338612085572
-23.5,,,,,,,0.0147,9.6,1.7849338612085572
-23.0,,,-8.61077761914067,,,29.1561253641496,0.0147,9.6,1.7849338612085572
-22.5,,,,,,,0.0147,9.6,1.7849338612085572
-22.0,,,22.49183809182481,,,49.0840642501306,0.0147,9.6,1.7849338612085572
-21.5,,,,,,,0.0147,9.6,1.7849338612085572
-21.0,,,,,,,0.0147,9.6,1.7849338612085572
-20.5,,,,,,,0.0147,9.6,1.7849338612085572
-20.0,,,,,,,0.0147,9.6,1.7849338612085572
-19.5,,,,,,,0.0147,9.6,1.7849338612085572
-19.0,,,,,,,0.0147,9.6,1.7849338612085572
-18.5,,,,,,,0.0147,9.6,1.7849338612085572
-18.0,,,,,,,0.0147,9.6,1.7849338612085572
-17.5,,,,,,,0.0147,9.6,1.7849338612085572
-17.0,,,,,,,0.0147,9.6,1.7849338612085572
-16.5,,,,,,,0.0147,9.6,1.7849338612085572
-16.0,,,,,,,0.0147,9.6,1.7849338612085572
-15.5,,,,,,,0.0147,9.6,1.7849338612085572
-15.0,,-95.94268614315774,,,56.64919681180164,,0.0147,9.6,1.7849338612085572
-14.5,,,,,,,0.0147,9.6,1.7849338612085572
-14.0,,,,,,,0.0147,9.6,1.7849338612085572
-13.5,,,,,,,0.0147,9.6,1.7849338612085572
-13.0,,,,,,,0.0147,9.6,1.7849338612085572
-12.5,,,,,,,0.0147,9.6,1.7849338612085572
-12.0,,,,,,,0.0147,9.6,1.7849338612085572
-11.5,,,,,,,0.0147,9.6,1.7849338612085572
-11.0,,,,,,,0.0147,9.6,1.7849338612085572
-10.5,,,,,,,0.0147,9.6,1.7849338612085572
-10.0,,-67.81299264180592,-51.406351971602156,,33.4165454603672,46.1371095099522,0.0147,9.6,1.7849338612085572
-9.5,,,,,,,0.0147,9.6,1.7849338612085572
-9.0,,,,,,,0.0147,9.6,1.7849338612085572
-8.5,,,,,,,0.0147,9.6,1.7849338612085572
-8.0,,,,,,,0.0147,9.6,1.7849338612085572
-7.5,,,,,,,0.0147,9.6,1.7849338612085572
-7.0,,,,,,,0.0147,9.6,1.7849338612085572
-6.5,,,,,,,0.0147,9.6,1.7849338612085572
-6.0,-72.57381088100142,,,75.05177098563918,,,0.0147,9.6,1.7849338612085572
-5.5,-40.282490771998745,,,73.74385433875884,,,0.0147,9.6,1.7849338612085572
-5.0,79.41317362562995,,,70.68619484101781,,,0.0147,9.6,1.7849338612085572
-4.5,123.35061756151977,,,70.388648582147,,,0.0147,9.6,1.7849338612085572
-4.0,60.52622122274976,,,72.07663494796529,,,0.0147,9.6,1.7849338612085572
-3.5,84.74516746643413,,,73.2492729235739,,,0.0147,9.6,1.7849338612085572
-3.0,84.39423029373032,-38.83264252959407,-48.91439879158546,72.44819271834474,28.0596128314686,19.9667209135943,0.0147,9.6,1.7849338612085572
-2.5,98.923822277568,,,72.34603768175272,,,0.0147,9.6,1.7849338612085572
-2.0,109.80309361011834,,,70.49702111188846,,,0.0147,9.6,1.7849338612085572
-1.5,210.59364031609311,,,70.92478379343326,,,0.0147,9.6,1.7849338612085572
-1.0,277.0886240711002,283.2787023065038,226.02975662243193,71.29180643877865,31.5860437008497,30.1056110281909,0.0147,9.6,1.7849338612085572
-0.5,439.6035921702161,,,70.7342776256596,,,0.0147,9.6,1.7849338612085572
0.0,537.3823842009407,566.0152942037032,613.7116685052712,71.215510442182,27.2625566856292,24.1078399574859,0.0147,9.6,1.7849338612085572
0.5,564.5504630942722,,,72.68564615889305,,,0.0147,9.6,1.7849338612085572
1.0,636.8857360761114,634.4236208892254,684.6844798699847,73.21652196778317,30.9779464991316,32.9008479049657,0.0147,9.6,1.7849338612085572
1.5,766.5741890324231,,,73.20815318161931,,,0.0147,9.6,1.7849338612085572
2.0,841.5922171616273,728.2660435809256,879.0752491933174,72.17918787570379,45.4116096150876,34.1361020982878,0.0147,9.6,1.7849338612085572
2.5,894.3601022100987,,,72.21284233995873,,,0.0147,9.6,1.7849338612085572
3.0,922.6053374550233,642.0814864286054,960.612275508536,71.5301174926631,60.0524114375773,35.2997187078636,0.0147,9.6,1.7849338612085572
3.5,917.9851251536794,,,70.55272466017284,,,0.0147,9.6,1.7849338612085572
4.0,949.4132170527134,1009.4597693904739,1027.8950354490607,71.85597049497407,37.2397278004082,30.338306430071,0.0147,9.6,1.7849338612085572
4.5,1062.9425685308306,,,73.53215428903661,,,0.0147,9.6,1.7849338612085572
5.0,1110.963820442347,1225.9741191930452,1251.6742413819784,71.28149619090395,33.6127749570409,28.2672850067103,0.0147,9.6,1.7849338612085572
5.5,1187.2878093849388,,,71.08495158988148,,,0.0147,9.6,1.7849338612085572
6.0,1143.890205136244,,,71.48279052524812,,,0.0147,9.6,1.7849338612085572
6.5,1169.6645772974182,,,73.15142847590155,,,0.0147,9.6,1.7849338612085572
7.0,1157.1076765943474,1123.6482749873774,1111.7613745753692,73.39351226215607,45.2162321756308,45.2613672727702,0.0147,9.6,1.7849338612085572
7.5,,,,,,,0.0147,9.6,1.7849338612085572
8.0,,,,,,,0.0147,9.6,1.7849338612085572
8.5,,,,,,,0.0147,9.6,1.7849338612085572
9.0,,1415.9861526336783,,,36.4500922134931,,0.0147,9.6,1.7849338612085572
9.5,1106.8859374359254,,,76.56523014059164,,,0.0147,9.6,1.7849338612085572
10.0,1127.4445312743535,1390.9599923089063,1391.8385387156432,73.32187377322704,38.973209522696,50.858406561883,0.0147,9.6,1.7849338612085572
10.5,1165.748521616098,,,71.73998061157333,,,0.0147,9.6,1.7849338612085572
11.0,1168.4926724904176,,1262.5417620787223,71.15541962230617,,59.5754401981975,0.0147,9.6,1.7849338612085572
11.5,1151.2747420255378,,,72.7456269322267,,,0.0147,9.6,1.7849338612085572
12.0,1148.9506467117249,,,73.64291952789164,,,0.0147,9.6,1.7849338612085572
12.5,1125.591692144407,,,75.80708434850978,,,0.0147,9.6,1.7849338612085572
13.0,1076.420359902731,,,73.97695248291939,,,0.0147,9.6,1.7849338612085572
13.5,1127.2798118422309,,,75.35211593432457,,,0.0147,9.6,1.7849338612085572
14.0,1133.7553205168385,,,74.3623932309605,,,0.0147,9.6,1.7849338612085572
14.5,1105.155261308224,,,73.23399851693485,,,0.0147,9.6,1.7849338612085572
15.0,1079.3277743612357,,1048.7766117319477,73.79000451719705,,46.4415980088371,0.0147,9.6,1.7849338612085572
15.5,1078.319990588287,,,74.14561226864039,,,0.0147,9.6,1.7849338612085572
16.0,1006.1670744746176,1019.0991649991821,996.0252220722275,74.45110189205741,39.7596785195469,37.3269257401092,0.0147,9.6,1.7849338612085572
16.5,1031.4975033236744,,,73.28394789278222,,,0.0147,9.6,1.7849338612085572
17.0,1041.0514519959193,1054.7085744838541,926.4949289726064,73.4811464319747,33.9723309163904,34.8462779201001,0.0147,9.6,1.7849338612085572
17.5,995.74510809672,,,72.12072720701278,,,0.0147,9.6,1.7849338612085572
18.0,977.9950471644323,1022.0384696585937,851.9280932788822,73.27732242327224,33.1671734280752,33.2519168162423,0.0147,9.6,1.7849338612085572
18.5,996.7000760656149,,,72.67413355495322,,,0.0147,9.6,1.7849338612085572
19.0,969.0108229041417,977.9813012606036,842.4656649041526,74.46975022775412,32.4201226970321,28.999233202538,0.0147,9.6,1.7849338612085572
19.5,1027.8954319930526,,,73.8365498047225,,,0.0147,9.6,1.7849338612085572
20.0,988.9268240748191,,,74.67378953611984,,,0.0147,9.6,1.7849338612085572
20.5,967.494241148551,,,74.53532016608729,,,0.0147,9.6,1.7849338612085572
21.0,,,,,,,0.0147,9.6,1.7849338612085572
21.5,,,,,,,0.0147,9.6,1.7849338612085572
22.0,,917.5325271236911,663.621550679968,,25.7773117630028,21.0756233599822,0.0147,9.6,1.7849338612085572
22.5,,,,,,,0.0147,9.6,1.7849338612085572
23.0,,807.5239244238261,563.1136673226177,,31.61217975993,25.0697496770105,0.0147,9.6,1.7849338612085572
23.5,,,,,,,0.0147,9.6,1.7849338612085572
24.0,,433.09595779038597,325.5288672833954,,37.6573761842273,23.8354817744764,0.0147,9.6,1.7849338612085572
24.5,,,,,,,0.0147,9.6,1.7849338612085572
25.0,,,,,,,0.0147,9.6,1.7849338612085572
25.5,,,,,,,0.0147,9.6,1.7849338612085572
26.0,,,,,,,0.0147,9.6,1.7849338612085572
26.5,,,,,,,0.0147,9.6,1.7849338612085572
27.0,,711.149423675921,442.42038439908686,,28.1921994237087,19.980516037001,0.0147,9.6,1.7849338612085572
27.5,,,,,,,0.0147,9.6,1.7849338612085572
28.0,,600.142486274703,460.1700855342153,,33.7817118226653,53.2556568075933,0.0147,9.6,1.7849338612085572
28.5,,,,,,,0.0147,9.6,1.7849338612085572
29.0,,,279.7246697372734,,,45.5973652649011,0.0147,9.6,1.7849338612085572
29.5,,,,,,,0.0147,9.6,1.7849338612085572
30.0,,428.2572119799636,240.4411086903541,,37.4285903717252,34.8033399760041,0.0147,9.6,1.7849338612085572
30.5,,,,,,,0.0147,9.6,1.7849338612085572
31.0,,,,,,,0.0147,9.6,1.7849338612085572
31.5,,,,,,,0.0147,9.6,1.7849338612085572
32.0,,543.9147427970319,343.84381753521825,,27.3233133771193,33.7313493219632,0.0147,9.6,1.7849338612085572
32.5,,,,,,,0.0147,9.6,1.7849338612085572
33.0,,,,,,,0.0147,9.6,1.7849338612085572
33.5,,,,,,,0.0147,9.6,1.7849338612085572
34.0,,,,,,,0.0147,9.6,1.7849338612085572
34.5,,,,,,,0.0147,9.6,1.7849338612085572
35.0,,355.7888032335995,222.2687996915122,,37.0857276703711,29.7234618775888,0.0147,9.6,1.7849338612085572
35.5,,,,,,,0.0147,9.6,1.7849338612085572
36.0,,396.7892649235929,225.17985739803268,,26.7701545800156,20.0603920453623,0.0147,9.6,1.7849338612085572
36.5,,,,,,,0.0147,9.6,1.7849338612085572
37.0,,338.54153763107075,227.38819857433506,,26.7488092406587,19.4784270508348,0.0147,9.6,1.7849338612085572
37.5,,,,,,,0.0147,9.6,1.7849338612085572
38.0,,380.89321501359683,133.45780482946955,,23.1138952859301,26.0857211841726,0.0147,9.6,1.7849338612085572
38.5,,,,,,,0.0147,9.6,1.7849338612085572
39.0,,107.1601834113142,,,54.5651971102025,,0.0147,9.6,1.7849338612085572
39.5,,,,,,,0.0147,9.6,1.7849338612085572
40.0,,,,,,,0.0147,9.6,1.7849338612085572
40.5,,,,,,,0.0147,9.6,1.7849338612085572
41.0,,,,,,,0.0147,9.6,1.7849338612085572
41.5,,,,,,,0.0147,9.6,1.7849338612085572
42.0,,,,,,,0.0147,9.6,1.7849338612085572
42.5,,,,,,,0.0147,9.6,1.7849338612085572
43.0,,,,,,,0.0147,9.6,1.7849338612085572
43.5,,,,,,,0.0147,9.6,1.7849338612085572
44.0,,,,,,,0.0147,9.6,1.7849338612085572
44.5,,,,,,,0.0147,9.6,1.7849338612085572
45.0,,,,,,,0.0147,9.6,1.7849338612085572
45.5,,,,,,,0.0147,9.6,1.7849338612085572
46.0,,,,,,,0.0147,9.6,1.7849338612085572
46.5,,,,,,,0.0147,9.6,1.7849338612085572
47.0,,,,,,,0.0147,9.6,1.7849338612085572
47.5,,,,,,,0.0147,9.6,1.7849338612085572
48.0,,,,,,,0.0147,9.6,1.7849338612085572
48.5,,,,,,,0.0147,9.6,1.7849338612085572
49.0,,,,,,,0.0147,9.6,1.7849338612085572
49.5,,,,,,,0.0147,9.6,1.7849338612085572
50.0,,,,,,,0.0147,9.6,1.7849338612085572
50.5,,,,,,,0.0147,9.6,1.7849338612085572
51.0,,,,,,,0.0147,9.6,1.7849338612085572
51.5,,,,,,,0.0147,9.6,1.7849338612085572
52.0,,,,,,,0.0147,9.6,1.7849338612085572
52.5,,,,,,,0.0147,9.6,1.7849338612085572
53.0,,,,,,,0.0147,9.6,1.7849338612085572
53.5,,,,,,,0.0147,9.6,1.7849338612085572
54.0,,,,,,,0.0147,9.6,1.7849338612085572
54.5,,,,,,,0.0147,9.6,1.7849338612085572
55.0,,,,,,,0.0147,9.6,1.7849338612085572
55.5,,,,,,,0.0147,9.6,1.7849338612085572
56.0,,,,,,,0.0147,9.6,1.7849338612085572
56.5,,,,,,,0.0147,9.6,1.7849338612085572
57.0,,,,,,,0.0147,9.6,1.7849338612085572
57.5,,,,,,,0.0147,9.6,1.7849338612085572
58.0,,,,,,,0.0147,9.6,1.7849338612085572
58.5,,,,,,,0.0147,9.6,1.7849338612085572
59.0,,,,,,,0.0147,9.6,1.7849338612085572
59.5,,,,,,,0.0147,9.6,1.7849338612085572
60.0,,206.89606332898424,87.9088379996506,,24.881843388744,20.7649294468492,0.0147,9.6,1.7849338612085572
60.5,,,,,,,0.0147,9.6,1.7849338612085572
61.0,,,,,,,0.0147,9.6,1.7849338612085572
61.5,,,,,,,0.0147,9.6,1.7849338612085572
62.0,,,,,,,0.0147,9.6,1.7849338612085572
62.5,,,,,,,0.0147,9.6,1.7849338612085572
63.0,,-74.5882944702178,88.45773625301887,,44.952065289475,30.1477068584215,0.0147,9.6,1.7849338612085572
63.5,,,,,,,0.0147,9.6,1.7849338612085572
64.0,,73.13515128384464,52.32664578367597,,31.3082298029117,24.2969860486023,0.0147,9.6,1.7849338612085572
64.5,,,,,,,0.0147,9.6,1.7849338612085572
65.0,,65.70903737635773,34.33712930997756,,32.4132109565354,23.0684128871188,0.0147,9.6,1.7849338612085572
65.5,,,,,,,0.0147,9.6,1.7849338612085572
66.0,,,,,,,0.0147,9.6,1.7849338612085572
66.5,,,,,,,0.0147,9.6,1.7849338612085572
67.0,,117.00186019363544,73.0221024191662,,30.6000391534003,43.0681661054823,0.0147,9.6,1.7849338612085572
67.5,,,,,,,0.0147,9.6,1.7849338612085572
68.0,,114.00203240528631,99.35072920120169,,28.1302632352981,31.2373153855082,0.0147,9.6,1.7849338612085572
68.5,,,,,,,0.0147,9.6,1.7849338612085572
