relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0513,16.1,3.3721341742120656
-29.5,,,,,,,0.0513,16.1,3.3721341742120656
-29.0,,16.077729225410756,-34.32941651980007,,29.3512983299084,26.4824031138235,0.0513,16.1,3.3721341742120656
-28.5,,,,,,,0.0513,16.1,3.3721341742120656
-28.0,,,,,,,0.0513,16.1,3.3721341742120656
-27.5,,,,,,,0.0513,16.1,3.3721341742120656
-27.0,,,,,,,0.0513,16.1,3.3721341742120656
-26.5,,,,,,,0.0513,16.1,3.3721341742120656
-26.0,,8.192672544644305,,,27.094498966128587,,0.0513,16.1,3.3721341742120656
-25.5,,,,,,,0.0513,16.1,3.3721341742120656
-25.0,,16.925766774828087,1.0441323746580322,,55.947713912637,48.9694751168608,0.0513,16.1,3.3721341742120656
-24.5,,,,,,,0.0513,16.1,3.3721341742120656
-24.0,,18.379372621281686,,,41.81311766847518,,0.0513,16.1,3.3721341742120656
-23.5,,,,,,,0.0513,16.1,3.3721341742120656
-23.0,,,,,,,0.0513,16.1,3.3721341742120656
-22.5,,,18.030650112763183,,,23.9900982661591,0.0513,16.1,3.3721341742120656
-22.0,,14.757335773907588,-9.288604748305827,,33.912991516481945,24.8745265814923,0.0513,16.1,3.3721341742120656
-21.5,,,,,,,0.0513,16.1,3.3721341742120656
-21.0,,55.644022606418645,,,67.2916958726191,,0.0513,16.1,3.3721341742120656
-20.5,,,93.35475202466132,,,55.7259031769974,0.0513,16.1,3.3721341742120656
-20.0,,24.317703274282938,121.68859987679808,,61.3922127224241,92.9944403543692,0.0513,16.1,3.3721341742120656
-19.5,,,,,,,0.0513,16.1,3.3721341742120656
-19.0,,,,,,,0.0513,16.1,3.3721341742120656
-18.5,,,,,,,0.0513,16.1,3.3721341742120656
-18.0,,,,,,,0.0513,16.1,3.3721341742120656
-17.5,,,,,,,0.0513,16.1,3.3721341742120656
-17.0,,,,,,,0.0513,16.1,3.3721341742120656
-16.5,,,,,,,0.0513,16.1,3.3721341742120656
-16.0,,,,,,,0.0513,16.1,3.3721341742120656
-15.5,,,,,,,0.0513,16.1,3.3721341742120656
-15.0,,,,,,,0.0513,16.1,3.3721341742120656
-14.5,,,,,,,0.0513,16.1,3.3721341742120656
-14.0,,,62.884989773997646,,,43.0149072545286,0.0513,16.1,3.3721341742120656
-13.5,,,,,,,0.0513,16.1,3.3721341742120656
-13.0,,29.058257208358757,-131.8327576225542,,39.43194758609046,95.7015186076997,0.0513,16.1,3.3721341742120656
-12.5,,,,,,,0.0513,16.1,3.3721341742120656
-12.0,,-39.76342786449538,-33.40491163792484,,43.6146596376107,36.4313125183893,0.0513,16.1,3.3721341742120656
-11.5,,,,,,,0.0513,16.1,3.3721341742120656
-11.0,,31.94666386043526,2.378852426565332,,27.7446908307691,19.895222121073388,0.0513,16.1,3.3721341742120656
-10.5,,,,,,,0.0513,16.1,3.3721341742120656
-10.0,,,,,,,0.0513,16.1,3.3721341742120656
-9.5,,,,,,,0.0513,16.1,3.3721341742120656
-9.0,,,,,,,0.0513,16.1,3.3721341742120656
-8.5,,,,,,,0.0513,16.1,3.3721341742120656
-8.0,,24.056713298375882,32.684193505786226,,28.0881702571489,25.8165471649727,0.0513,16.1,3.3721341742120656
-7.5,,,,,,,0.0513,16.1,3.3721341742120656
-7.0,,,,,,,0.0513,16.1,3.3721341742120656
-6.5,,,,,,,0.0513,16.1,3.3721341742120656
-6.0,,,,,,,0.0513,16.1,3.3721341742120656
-5.5,,,,,,,0.0513,16.1,3.3721341742120656
-5.0,,,,,,,0.0513,16.1,3.3721341742120656
-4.5,,,,,,,0.0513,16.1,3.3721341742120656
-4.0,,54.26553406219218,,,32.033829070158006,,0.0513,16.1,3.3721341742120656
-3.5,,,,,,,0.0513,16.1,3.3721341742120656
-3.0,,102.81599305694874,94.92573274830619,,26.3651034125042,21.7306121121396,0.0513,16.1,3.3721341742120656
-2.5,,,,,,,0.0513,16.1,3.3721341742120656
-2.0,,153.81454477162106,174.51874354991304,,25.813802409646634,24.1548239896514,0.0513,16.1,3.3721341742120656
-1.5,,,,,,,0.0513,16.1,3.3721341742120656
-1.0,,179.74304178109963,277.45513405854643,,27.97130015206724,19.9186903939312,0.0513,16.1,3.3721341742120656
-0.5,,,,,,,0.0513,16.1,3.3721341742120656
0.0,,344.8204062733415,348.21557965020276,,35.45155578851208,25.4715868189105,0.0513,16.1,3.3721341742120656
