relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-5.921615491711631,,,28.21281771442083,,0.0374,13.5,2.881085829258746
-29.5,,,,,,,0.0374,13.5,2.881085829258746
-29.0,,,-19.70548755619902,,,43.3685096350391,0.0374,13.5,2.881085829258746
-28.5,,-0.9995551860772658,,,50.0586734381413,,0.0374,13.5,2.881085829258746
-28.0,,-7.363610934657979,,,44.369037043421855,,0.0374,13.5,2.881085829258746
-27.5,,,,,,,0.0374,13.5,2.881085829258746
-27.0,,35.97464251864869,,,27.2743415810016,,0.0374,13.5,2.881085829258746
-26.5,,,-2.1889090985546886,,,23.1000162173527,0.0374,13.5,2.881085829258746
-26.0,,4.03665644490655,,,34.45298451905653,,0.0374,13.5,2.881085829258746
-25.5,,,7.710068663862636,,,23.6922905799404,0.0374,13.5,2.881085829258746
-25.0,,,,,,,0.0374,13.5,2.881085829258746
-24.5,,,22.043935976341125,,,57.8647860267688,0.0374,13.5,2.881085829258746
-24.0,,-9.06320132447283,59.54852367813096,,44.156911338208,84.8474778285725,0.0374,13.5,2.881085829258746
-23.5,,,,,,,0.0374,13.5,2.881085829258746
-23.0,,-61.129739297162416,,,68.6744459421458,,0.0374,13.5,2.881085829258746
-22.5,,,,,,,0.0374,13.5,2.881085829258746
-22.0,,,,,,,0.0374,13.5,2.881085829258746
-21.5,,,,,,,0.0374,13.5,2.881085829258746
-21.0,,,,,,,0.0374,13.5,2.881085829258746
-20.5,,,,,,,0.0374,13.5,2.881085829258746
-20.0,,,,,,,0.0374,13.5,2.881085829258746
-19.5,,,,,,,0.0374,13.5,2.881085829258746
-19.0,,121.71583920110253,,,85.4982630251161,,0.0374,13.5,2.881085829258746
-18.5,,,,,,,0.0374,13.5,2.881085829258746
-18.0,,47.957399583257875,-13.429103405705066,,88.8094506442172,51.4499660340815,0.0374,13.5,2.881085829258746
-17.5,,,,,,,0.0374,13.5,2.881085829258746
-17.0,,-16.340696465484353,,,44.36374966056265,,0.0374,13.5,2.881085829258746
-16.5,,,,,,,0.0374,13.5,2.881085829258746
-16.0,,16.86981264729247,-8.808760715427352,,43.927240061343,39.2291263693416,0.0374,13.5,2.881085829258746
-15.5,,,,,,,0.0374,13.5,2.881085829258746
-15.0,,-30.482735984512228,36.86364272979353,,26.1148549216603,27.806358264511,0.0374,13.5,2.881085829258746
-14.5,,,,,,,0.0374,13.5,2.881085829258746
-14.0,,,,,,,0.0374,13.5,2.881085829258746
-13.5,,,,,,,0.0374,13.5,2.881085829258746
-13.0,,,,,,,0.0374,13.5,2.881085829258746
-12.5,,,,,,,0.0374,13.5,2.881085829258746
-12.0,,1.2519784016020232,16.7595255555404,,32.189326685021,26.8485385100859,0.0374,13.5,2.881085829258746
-11.5,,,,,,,0.0374,13.5,2.881085829258746
-11.0,,,,,,,0.0374,13.5,2.881085829258746
-10.5,,,,,,,0.0374,13.5,2.881085829258746
-10.0,,,,,,,0.0374,13.5,2.881085829258746
-9.5,,,,,,,0.0374,13.5,2.881085829258746
-9.0,,,,,,,0.0374,13.5,2.881085829258746
-8.5,,,,,,,0.0374,13.5,2.881085829258746
-8.0,,11.49144140597773,,,29.41135151673581,,0.0374,13.5,2.881085829258746
-7.5,,,,,,,0.0374,13.5,2.881085829258746
-7.0,,,,,,,0.0374,13.5,2.881085829258746
-6.5,,,,,,,0.0374,13.5,2.881085829258746
-6.0,,31.987020066318983,,,27.0462731040218,,0.0374,13.5,2.881085829258746
-5.5,,,,,,,0.0374,13.5,2.881085829258746
-5.0,,86.60798905976225,,,29.7827377503106,,0.0374,13.5,2.881085829258746
-4.5,,,,,,,0.0374,13.5,2.881085829258746
-4.0,,176.01266128106272,,,30.2217938405556,,0.0374,13.5,2.881085829258746
-3.5,,,,,,,0.0374,13.5,2.881085829258746
-3.0,,239.91933169694,283.64079133628695,,25.6728284705812,23.9187497507418,0.0374,13.5,2.881085829258746
-2.5,,,,,,,0.0374,13.5,2.881085829258746
-2.0,,304.81057032631674,350.07986659023584,,30.2805848503733,28.2210403951366,0.0374,13.5,2.881085829258746
-1.5,,,,,,,0.0374,13.5,2.881085829258746
-1.0,,371.0770142425363,473.889456472927,,48.46444319807998,41.2332226686527,0.0374,13.5,2.881085829258746
-0.5,,,,,,,0.0374,13.5,2.881085829258746
0.0,,440.6161071046676,595.3511677707406,,44.23820414768603,38.56770335735749,0.0374,13.5,2.881085829258746
0.5,,,,,,,0.0374,13.5,2.881085829258746
1.0,,595.8508497010928,792.9543194695964,,34.63732093970654,34.1147183344279,0.0374,13.5,2.881085829258746
1.5,,,,,,,0.0374,13.5,2.881085829258746
2.0,,712.5999530741519,898.5243807656361,,35.81278619430537,42.163808887148434,0.0374,13.5,2.881085829258746
2.5,,,,,,,0.0374,13.5,2.881085829258746
3.0,,674.4664550981076,,,63.33522086284721,,0.0374,13.5,2.881085829258746
3.5,,,,,,,0.0374,13.5,2.881085829258746
4.0,,534.4705927057202,,,81.5233144245864,,0.0374,13.5,2.881085829258746
4.5,,,,,,,0.0374,13.5,2.881085829258746
5.0,,1023.310423893199,,,81.28269891390548,,0.0374,13.5,2.881085829258746
5.5,,,,,,,0.0374,13.5,2.881085829258746
6.0,,,,,,,0.0374,13.5,2.881085829258746
6.5,,,,,,,0.0374,13.5,2.881085829258746
7.0,,,,,,,0.0374,13.5,2.881085829258746
7.5,,,,,,,0.0374,13.5,2.881085829258746
8.0,,,,,,,0.0374,13.5,2.881085829258746
8.5,,,,,,,0.0374,13.5,2.881085829258746
9.0,,,,,,,0.0374,13.5,2.881085829258746
9.5,,,,,,,0.0374,13.5,2.881085829258746
10.0,,,,,,,0.0374,13.5,2.881085829258746
10.5,,,,,,,0.0374,13.5,2.881085829258746
11.0,,1239.0783155327285,1498.9871057178955,,66.6603229268203,69.1893176845363,0.0374,13.5,2.881085829258746
11.5,,,,,,,0.0374,13.5,2.881085829258746
12.0,,1252.409593419387,1633.3109510714482,,36.4189131340134,42.00035453154413,0.0374,13.5,2.881085829258746
12.5,,,,,,,0.0374,13.5,2.881085829258746
13.0,,1276.118273909889,,,43.5358353099156,,0.0374,13.5,2.881085829258746
13.5,,,,,,,0.0374,13.5,2.881085829258746
14.0,,1341.0178815849108,1519.646987682739,,29.8852252974519,29.5757918253144,0.0374,13.5,2.881085829258746
14.5,,,,,,,0.0374,13.5,2.881085829258746
15.0,,1226.3983241730862,1477.7667384558206,,34.418969732404996,29.1228470356706,0.0374,13.5,2.881085829258746
15.5,,,,,,,0.0374,13.5,2.881085829258746
16.0,,1237.1654409329697,1385.9779628907836,,31.3263531719336,31.464067596327265,0.0374,13.5,2.881085829258746
16.5,,,,,,,0.0374,13.5,2.881085829258746
17.0,,1254.4129663279662,1394.8503832902684,,32.5334920739419,30.7376030700353,0.0374,13.5,2.881085829258746
17.5,,,,,,,0.0374,13.5,2.881085829258746
18.0,,,,,,,0.0374,13.5,2.881085829258746
18.5,,,,,,,0.0374,13.5,2.881085829258746
19.0,,1186.0301711928737,1202.8935980187161,,29.538814934416457,25.8658123618974,0.0374,13.5,2.881085829258746
19.5,,,,,,,0.0374,13.5,2.881085829258746
20.0,,1093.9993553474444,1147.0157973520813,,29.85902148391533,28.978638769243,0.0374,13.5,2.881085829258746
20.5,,,,,,,0.0374,13.5,2.881085829258746
21.0,,812.7521279593713,988.0711989230126,,36.61638676682821,31.232372249344543,0.0374,13.5,2.881085829258746
21.5,,,,,,,0.0374,13.5,2.881085829258746
22.0,,,,,,,0.0374,13.5,2.881085829258746
22.5,,,,,,,0.0374,13.5,2.881085829258746
23.0,,,,,,,0.0374,13.5,2.881085829258746
