relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,14.850480149975471,,,62.8535151451676,0.0175,14.0,4.6620584390255
-29.5,,,,,,,0.0175,14.0,4.6620584390255
-29.0,,,-1.3736111472470611,,,32.315687588917925,0.0175,14.0,4.6620584390255
-28.5,,,,,,,0.0175,14.0,4.6620584390255
-28.0,,,,,,,0.0175,14.0,4.6620584390255
-27.5,,,,,,,0.0175,14.0,4.6620584390255
-27.0,,,,,,,0.0175,14.0,4.6620584390255
-26.5,,,,,,,0.0175,14.0,4.6620584390255
-26.0,,,,,,,0.0175,14.0,4.6620584390255
-25.5,,,,,,,0.0175,14.0,4.6620584390255
-25.0,,-37.7145918769519,,,61.56365494874534,,0.0175,14.0,4.6620584390255
-24.5,,,,,,,0.0175,14.0,4.6620584390255
-24.0,,,,,,,0.0175,14.0,4.6620584390255
-23.5,,,,,,,0.0175,14.0,4.6620584390255
-23.0,,17.49751771325505,,,68.5124589190281,,0.0175,14.0,4.6620584390255
-22.5,,,,,,,0.0175,14.0,4.6620584390255
-22.0,,,,,,,0.0175,14.0,4.6620584390255
-21.5,,,,,,,0.0175,14.0,4.6620584390255
-21.0,,,,,,,0.0175,14.0,4.6620584390255
-20.5,,,,,,,0.0175,14.0,4.6620584390255
-20.0,,-50.90642617889193,-19.95788932531443,,30.8465887498635,43.8527265615966,0.0175,14.0,4.6620584390255
-19.5,,,,,,,0.0175,14.0,4.6620584390255
-19.0,,,,,,,0.0175,14.0,4.6620584390255
-18.5,,,,,,,0.0175,14.0,4.6620584390255
-18.0,,-21.52798829619571,-63.716066956000816,,32.799701393912,30.2260440746582,0.0175,14.0,4.6620584390255
-17.5,,,,,,,0.0175,14.0,4.6620584390255
-17.0,,10.84818148131974,-70.81433022656752,,43.0259337968023,36.1845339827496,0.0175,14.0,4.6620584390255
-16.5,,,,,,,0.0175,14.0,4.6620584390255
-16.0,,,,,,,0.0175,14.0,4.6620584390255
-15.5,,,,,,,0.0175,14.0,4.6620584390255
-15.0,,,,,,,0.0175,14.0,4.6620584390255
-14.5,,,,,,,0.0175,14.0,4.6620584390255
-14.0,,,,,,,0.0175,14.0,4.6620584390255
-13.5,221.74670914299412,,,134.740613784393,,,0.0175,14.0,4.6620584390255
-13.0,40.27288605982232,-19.013178198422075,32.48972222108189,132.14310530427954,41.840163876205295,38.07042414019965,0.0175,14.0,4.6620584390255
-12.5,-1.5517633331802205,,,132.16724920194477,,,0.0175,14.0,4.6620584390255
-12.0,28.784359197654506,-17.429153243281924,22.43211685106253,131.6173181417346,24.9875383158316,29.078203993302,0.0175,14.0,4.6620584390255
-11.5,42.81029488767741,,,130.19333808982472,,,0.0175,14.0,4.6620584390255
-11.0,6.309376180710054,-67.96934140930662,-35.46249666306141,130.63865593314415,26.8226816803991,22.3772318394473,0.0175,14.0,4.6620584390255
-10.5,64.46726682201552,,,130.93833180895226,,,0.0175,14.0,4.6620584390255
-10.0,72.49576676510291,,,130.76023308404567,,,0.0175,14.0,4.6620584390255
-9.5,45.47317525412313,,,130.41750801524643,,,0.0175,14.0,4.6620584390255
-9.0,-51.64459422840234,-36.18592950811369,-15.445617883108635,130.80668247584288,35.965537983469,25.7577789263673,0.0175,14.0,4.6620584390255
