relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-7.559471182517728,15.361753417860825,,49.9449931565838,53.5601771324467,0.0079,14.0,1.9957593932023856
-29.5,,,,,,,0.0079,14.0,1.9957593932023856
-29.0,,19.520165947113906,-15.58326658912607,,46.52064790731415,36.6652971091905,0.0079,14.0,1.9957593932023856
-28.5,,,,,,,0.0079,14.0,1.9957593932023856
-28.0,,,,,,,0.0079,14.0,1.9957593932023856
-27.5,,,,,,,0.0079,14.0,1.9957593932023856
-27.0,,,,,,,0.0079,14.0,1.9957593932023856
-26.5,,,,,,,0.0079,14.0,1.9957593932023856
-26.0,,,,,,,0.0079,14.0,1.9957593932023856
-25.5,,,,,,,0.0079,14.0,1.9957593932023856
-25.0,,-15.117971946325204,-67.43161835160399,,57.28252210162634,72.26003470656832,0.0079,14.0,1.9957593932023856
-24.5,,,,,,,0.0079,14.0,1.9957593932023856
-24.0,,-7.65725106861999,,,61.679877307065816,,0.0079,14.0,1.9957593932023856
-23.5,,,,,,,0.0079,14.0,1.9957593932023856
-23.0,,-12.720837902146304,-3.3162700674509864,,67.0732827106416,81.98972757575399,0.0079,14.0,1.9957593932023856
-22.5,,,,,,,0.0079,14.0,1.9957593932023856
-22.0,,-17.263823161276015,29.082890106970048,,47.82543512279639,49.08253174479575,0.0079,14.0,1.9957593932023856
-21.5,,,,,,,0.0079,14.0,1.9957593932023856
-21.0,,-27.420579879998964,19.246771448056922,,35.65254061394196,41.85485606504324,0.0079,14.0,1.9957593932023856
-20.5,,,,,,,0.0079,14.0,1.9957593932023856
-20.0,,-21.807309645927287,-31.33028994733196,,27.657436808934946,30.249415672242378,0.0079,14.0,1.9957593932023856
-19.5,,,,,,,0.0079,14.0,1.9957593932023856
-19.0,,,,,,,0.0079,14.0,1.9957593932023856
-18.5,,,,,,,0.0079,14.0,1.9957593932023856
-18.0,,0.6283031582703084,-7.576133203357527,,26.538371207695274,28.5645871483638,0.0079,14.0,1.9957593932023856
-17.5,,,,,,,0.0079,14.0,1.9957593932023856
-17.0,,10.463746690398029,20.095199967122745,,33.765878781136095,24.69801181879574,0.0079,14.0,1.9957593932023856
-16.5,,,,,,,0.0079,14.0,1.9957593932023856
-16.0,,,,,,,0.0079,14.0,1.9957593932023856
-15.5,,,,,,,0.0079,14.0,1.9957593932023856
-15.0,,,,,,,0.0079,14.0,1.9957593932023856
-14.5,348.23968814389127,,,119.19275210669632,,,0.0079,14.0,1.9957593932023856
-14.0,294.64406029549485,,,122.8946986334957,,,0.0079,14.0,1.9957593932023856
-13.5,98.00794902666358,,,119.66930380148555,,,0.0079,14.0,1.9957593932023856
-13.0,-15.236272954194522,6.510884082807188,35.04952781638635,116.75888258847729,34.87677281434228,27.552709443299502,0.0079,14.0,1.9957593932023856
-12.5,-54.96625679660919,,,117.2874127237219,,,0.0079,14.0,1.9957593932023856
-12.0,15.96811506313372,,-20.09797706240907,117.6005091105383,,19.8536330798957,0.0079,14.0,1.9957593932023856
-11.5,-64.72394087218912,,,115.99451540077295,,,0.0079,14.0,1.9957593932023856
-11.0,-3.5106042331965712,-43.19176513538832,-3.822933600465356,115.37324971062647,25.813733218868247,20.425603744445233,0.0079,14.0,1.9957593932023856
-10.5,22.21137201141204,,,114.46010514744327,,,0.0079,14.0,1.9957593932023856
-10.0,-12.691625078093544,10.30624483128923,-15.933585910882394,114.3947326753979,30.9586063878876,18.26158031889,0.0079,14.0,1.9957593932023856
-9.5,-37.201546757955235,,,115.43047549022806,,,0.0079,14.0,1.9957593932023856
-9.0,29.561654300327486,-6.885105602120144,-0.06729775088498909,114.61439653810253,34.71279505784458,25.344019313728374,0.0079,14.0,1.9957593932023856
-8.5,25.782193562246924,,,114.81699523120886,,,0.0079,14.0,1.9957593932023856
-8.0,-21.63133663630422,-22.356054672572032,8.943502287777543,114.66117805576098,24.029976579618896,22.896964223227954,0.0079,14.0,1.9957593932023856
-7.5,-17.612547987323875,,,115.14773728213066,,,0.0079,14.0,1.9957593932023856
-7.0,-120.17848251184915,-10.44531501722813,-3.302875430354772,116.27184135174285,33.79458645803569,29.985540561488722,0.0079,14.0,1.9957593932023856
-6.5,-75.77792578633401,,,118.20557709653751,,,0.0079,14.0,1.9957593932023856
-6.0,20.140301526377794,2.0030509163311865,3.336034587603495,116.87592045711861,38.10236872216019,46.29219668299724,0.0079,14.0,1.9957593932023856
-5.5,-62.3368030208028,,,117.24085513011914,,,0.0079,14.0,1.9957593932023856
-5.0,42.73932228519157,-17.805365947912964,-26.796580793127543,117.272676533457,47.415201584617726,55.10661194523333,0.0079,14.0,1.9957593932023856
-4.5,-78.49908448361195,,,117.49346590099078,,,0.0079,14.0,1.9957593932023856
-4.0,-54.833048796063345,27.88010754020659,18.597725491167562,117.8156520615802,36.440464021685486,32.49765836426592,0.0079,14.0,1.9957593932023856
-3.5,-39.36418099993118,,,117.24177359534464,,,0.0079,14.0,1.9957593932023856
-3.0,-50.80455621612224,112.11481001146429,42.82782588757886,116.19768241867226,28.3335548220044,22.0740770744746,0.0079,14.0,1.9957593932023856
-2.5,4.2840982700343,,,116.75529131250308,,,0.0079,14.0,1.9957593932023856
-2.0,46.58588952516047,,,120.52333298740209,,,0.0079,14.0,1.9957593932023856
-1.5,-12.190348290489197,,,119.21317035520306,,,0.0079,14.0,1.9957593932023856
-1.0,112.12652946542248,137.8210672867226,140.84280580028073,118.58111545271947,57.723596305784035,37.24621223504243,0.0079,14.0,1.9957593932023856
-0.5,,,,,,,0.0079,14.0,1.9957593932023856
0.0,,188.7415431983778,207.37233523174896,,72.74378868978766,65.83607111065105,0.0079,14.0,1.9957593932023856
0.5,,,,,,,0.0079,14.0,1.9957593932023856
1.0,776.6276570645788,195.69829758400837,234.13714174491056,119.66774139037202,77.427150354662,68.36477089253565,0.0079,14.0,1.9957593932023856
1.5,761.998247150001,,,119.90614555991769,,,0.0079,14.0,1.9957593932023856
2.0,631.3101986534991,435.12785442895847,410.66223176697946,119.98615646575516,48.519987982328665,68.73890316303414,0.0079,14.0,1.9957593932023856
2.5,658.5463592211942,,,118.5679945340919,,,0.0079,14.0,1.9957593932023856
3.0,518.0700596861556,,629.036184548599,118.05761831221695,,88.30395089924974,0.0079,14.0,1.9957593932023856
3.5,582.9798658338076,,,119.78394877580435,,,0.0079,14.0,1.9957593932023856
4.0,694.1501959601684,648.3060477970187,,118.50432514581648,76.06580724825714,,0.0079,14.0,1.9957593932023856
4.5,727.4068407618967,,,117.1468505963411,,,0.0079,14.0,1.9957593932023856
5.0,771.317209881189,,,117.72517663066408,,,0.0079,14.0,1.9957593932023856
5.5,826.7843446801651,,,119.05644730351533,,,0.0079,14.0,1.9957593932023856
6.0,811.5097527896647,821.9024600483367,1015.4067255156958,118.07431660070331,66.40057618754732,75.8317703680575,0.0079,14.0,1.9957593932023856
6.5,925.2292268185329,,,117.68692614137426,,,0.0079,14.0,1.9957593932023856
7.0,867.0313216649464,961.9693951705411,1078.335775527761,118.18361035831327,42.049080752295275,50.40330467822787,0.0079,14.0,1.9957593932023856
7.5,888.0821727560788,,,117.21098113159897,,,0.0079,14.0,1.9957593932023856
8.0,960.2363229644479,966.6517571366678,1244.5572779557117,117.27406320321504,53.0924695515433,40.1496854528469,0.0079,14.0,1.9957593932023856
8.5,1016.6239093095386,,,116.71282091258112,,,0.0079,14.0,1.9957593932023856
9.0,909.781584009473,1124.1113972113583,1198.1407229630734,119.26422263466648,32.20940134143241,27.423296546750542,0.0079,14.0,1.9957593932023856
9.5,1042.8319625039003,,,118.90390198863307,,,0.0079,14.0,1.9957593932023856
10.0,1128.3299793694132,1162.140222218891,1413.538554265385,117.82438835257639,35.038607118114335,29.32713724480566,0.0079,14.0,1.9957593932023856
10.5,1139.6049237677794,,,119.94542638061476,,,0.0079,14.0,1.9957593932023856
11.0,1081.220697037918,1168.2287697781924,1332.734460199769,117.93406364489692,35.481600929280624,30.867293548446348,0.0079,14.0,1.9957593932023856
11.5,1025.9357402973635,,,117.03000789188916,,,0.0079,14.0,1.9957593932023856
12.0,1053.7192729124645,1218.9984089005493,,117.96485388722502,31.910096115454763,,0.0079,14.0,1.9957593932023856
12.5,1078.5101549774222,,,117.28416599326034,,,0.0079,14.0,1.9957593932023856
13.0,1132.2517563128981,,,116.24627303203022,,,0.0079,14.0,1.9957593932023856
13.5,,,,,,,0.0079,14.0,1.9957593932023856
14.0,,1308.4446997805817,1444.5396479940148,,26.68344056943962,27.24243402551434,0.0079,14.0,1.9957593932023856
14.5,,,,,,,0.0079,14.0,1.9957593932023856
15.0,,1292.4492436107982,1428.1663028214305,,29.236748443000298,28.75724994453892,0.0079,14.0,1.9957593932023856
15.5,,,,,,,0.0079,14.0,1.9957593932023856
