relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0338,15.0,2.4912825790923216
-29.5,,,,,,,0.0338,15.0,2.4912825790923216
-29.0,,,,,,,0.0338,15.0,2.4912825790923216
-28.5,,,,,,,0.0338,15.0,2.4912825790923216
-28.0,,,,,,,0.0338,15.0,2.4912825790923216
-27.5,,,,,,,0.0338,15.0,2.4912825790923216
-27.0,,,,,,,0.0338,15.0,2.4912825790923216
-26.5,,,,,,,0.0338,15.0,2.4912825790923216
-26.0,,,,,,,0.0338,15.0,2.4912825790923216
-25.5,,,,,,,0.0338,15.0,2.4912825790923216
-25.0,,,,,,,0.0338,15.0,2.4912825790923216
-24.5,,,,,,,0.0338,15.0,2.4912825790923216
-24.0,,,,,,,0.0338,15.0,2.4912825790923216
-23.5,,,,,,,0.0338,15.0,2.4912825790923216
-23.0,,,,,,,0.0338,15.0,2.4912825790923216
-22.5,,,,,,,0.0338,15.0,2.4912825790923216
-22.0,,,,,,,0.0338,15.0,2.4912825790923216
-21.5,,,,,,,0.0338,15.0,2.4912825790923216
-21.0,,78.65911890394855,53.66535693766645,,40.0597089963418,49.4798128841063,0.0338,15.0,2.4912825790923216
-20.5,,,,,,,0.0338,15.0,2.4912825790923216
-20.0,,,,,,,0.0338,15.0,2.4912825790923216
-19.5,,,,,,,0.0338,15.0,2.4912825790923216
-19.0,,,,,,,0.0338,15.0,2.4912825790923216
-18.5,,,,,,,0.0338,15.0,2.4912825790923216
-18.0,,,,,,,0.0338,15.0,2.4912825790923216
-17.5,738.6684711661837,,,202.72276969714116,,,0.0338,15.0,2.4912825790923216
-17.0,392.65961836681925,,,185.42938126978314,,,0.0338,15.0,2.4912825790923216
-16.5,151.84115848861984,,,177.5365375370934,,,0.0338,15.0,2.4912825790923216
-16.0,-62.60231593593181,,,174.72612234906467,,,0.0338,15.0,2.4912825790923216
-15.5,-79.55255317994796,,,167.25326730966026,,,0.0338,15.0,2.4912825790923216
-15.0,-92.83368173673858,,,158.69065973112617,,,0.0338,15.0,2.4912825790923216
-14.5,-145.47224463781174,,,161.11055963602197,,,0.0338,15.0,2.4912825790923216
-14.0,-166.78334345882723,,,156.41964868738782,,,0.0338,15.0,2.4912825790923216
-13.5,-27.286583181875535,,,163.37913231785814,,,0.0338,15.0,2.4912825790923216
-13.0,-175.57243920758447,,,165.65455420994644,,,0.0338,15.0,2.4912825790923216
-12.5,-189.5840460797745,,,167.19628052536137,,,0.0338,15.0,2.4912825790923216
-12.0,-96.15980708291771,,,162.91485631336283,,,0.0338,15.0,2.4912825790923216
-11.5,-157.1890358017729,,,162.84378464997545,,,0.0338,15.0,2.4912825790923216
-11.0,-161.77641342959942,,,173.68334525847837,,,0.0338,15.0,2.4912825790923216
-10.5,-220.5685709785351,,,174.5919227872171,,,0.0338,15.0,2.4912825790923216
-10.0,-210.49401715753615,-83.03232158881195,36.51778088469497,178.1976706649245,34.9194361152372,35.576423640248,0.0338,15.0,2.4912825790923216
-9.5,-149.12039114876674,,,178.33203063639849,,,0.0338,15.0,2.4912825790923216
-9.0,-118.97201411459694,10.618154056656625,37.28589682445028,172.38622607831104,56.9514988745741,38.2192389222638,0.0338,15.0,2.4912825790923216
-8.5,-216.28938742651656,,,165.14188592999864,,,0.0338,15.0,2.4912825790923216
-8.0,-108.91467739842393,,60.15372668698365,163.1363289318484,,46.2175829369716,0.0338,15.0,2.4912825790923216
-7.5,-51.98883296092089,,,162.96844135110922,,,0.0338,15.0,2.4912825790923216
-7.0,173.17581234844005,,,161.68433941584388,,,0.0338,15.0,2.4912825790923216
-6.5,-29.742221613101115,,,159.47804361109033,,,0.0338,15.0,2.4912825790923216
-6.0,142.06890366766362,-9.537826795096521,18.63830228626691,157.69993767117955,29.3550466214025,22.6031672850717,0.0338,15.0,2.4912825790923216
-5.5,64.09044256651748,,,157.9098653275882,,,0.0338,15.0,2.4912825790923216
-5.0,141.99218054618035,,,158.00352492964709,,,0.0338,15.0,2.4912825790923216
-4.5,128.88982460873072,,,153.64109214472603,,,0.0338,15.0,2.4912825790923216
-4.0,157.782281102224,,,161.18922804611202,,,0.0338,15.0,2.4912825790923216
-3.5,,,,,,,0.0338,15.0,2.4912825790923216
-3.0,,,,,,,0.0338,15.0,2.4912825790923216
-2.5,1010.1545574932804,,,192.66669051231392,,,0.0338,15.0,2.4912825790923216
-2.0,680.7142024797599,,9.689861604628073,172.76985943350525,,75.8410215757896,0.0338,15.0,2.4912825790923216
-1.5,810.5497071095979,,,154.66751671863827,,,0.0338,15.0,2.4912825790923216
-1.0,727.7522320978112,371.90164131005565,262.64264637178337,153.5388408899266,40.5371115929103,60.5123684245146,0.0338,15.0,2.4912825790923216
-0.5,829.6922825278639,,,143.62825592865713,,,0.0338,15.0,2.4912825790923216
0.0,868.4147002278255,671.0612075570552,561.5927596951799,154.08431456287818,54.7841567538026,71.6347427313983,0.0338,15.0,2.4912825790923216
0.5,1071.44090616062,,,147.19942220330603,,,0.0338,15.0,2.4912825790923216
1.0,1036.788820346168,,,141.70111740376768,,,0.0338,15.0,2.4912825790923216
1.5,1255.6636179693623,,,142.3948508694207,,,0.0338,15.0,2.4912825790923216
2.0,1319.6712119996923,,,142.86552316996796,,,0.0338,15.0,2.4912825790923216
2.5,1590.2659894667347,,,143.7525579431103,,,0.0338,15.0,2.4912825790923216
3.0,1750.8725650842664,,,137.56812176820947,,,0.0338,15.0,2.4912825790923216
3.5,1889.899947126828,,,136.72924110826165,,,0.0338,15.0,2.4912825790923216
4.0,2024.129682723377,,1482.5051159615705,132.6608301694646,,61.9751246345822,0.0338,15.0,2.4912825790923216
4.5,2184.668052236945,,,131.62556960659853,,,0.0338,15.0,2.4912825790923216
5.0,2392.089297070986,2629.6892858973233,1959.8554096469536,133.10097290543484,48.7417141986618,48.5440150752844,0.0338,15.0,2.4912825790923216
5.5,2896.0303152912243,,,141.79951749892444,,,0.0338,15.0,2.4912825790923216
6.0,2966.242150530038,3301.065573915266,2302.8609516291945,138.47775110958045,40.8242042119946,44.4259231731566,0.0338,15.0,2.4912825790923216
6.5,3452.4043319825532,,,144.29267277871585,,,0.0338,15.0,2.4912825790923216
7.0,3678.0235360888587,3690.731879824014,2824.4297543749303,148.7088681478156,43.835003267814,40.0163521743399,0.0338,15.0,2.4912825790923216
7.5,3799.5038894206186,,,142.54766285260493,,,0.0338,15.0,2.4912825790923216
