relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,65.24588073564824,,,28.0594426602118,,0.0268,19.0,6.391253572048462
-29.5,,,,,,,0.0268,19.0,6.391253572048462
-29.0,,,,,,,0.0268,19.0,6.391253572048462
-28.5,,,,,,,0.0268,19.0,6.391253572048462
-28.0,,37.14395967780604,-57.84379370912628,,34.2052089606082,26.4837681220606,0.0268,19.0,6.391253572048462
-27.5,,,,,,,0.0268,19.0,6.391253572048462
-27.0,,37.64245711985629,-3.016862799360752,,25.272629530066,28.2622945401865,0.0268,19.0,6.391253572048462
-26.5,,,,,,,0.0268,19.0,6.391253572048462
-26.0,,26.90197723637846,,,32.6537884377565,,0.0268,19.0,6.391253572048462
-25.5,,,,,,,0.0268,19.0,6.391253572048462
-25.0,,115.97900479404765,21.325363155549773,,58.2489310502254,41.5056614977998,0.0268,19.0,6.391253572048462
-24.5,,,,,,,0.0268,19.0,6.391253572048462
-24.0,,,-8.579896308396846,,,39.3174947223911,0.0268,19.0,6.391253572048462
-23.5,,,,,,,0.0268,19.0,6.391253572048462
-23.0,,-22.2603030436702,-53.804810624696465,,35.2985083384752,34.3375369780055,0.0268,19.0,6.391253572048462
-22.5,,,,,,,0.0268,19.0,6.391253572048462
-22.0,,11.799866232994685,-38.71496336574829,,30.2899958804556,23.3296298104668,0.0268,19.0,6.391253572048462
-21.5,,,,,,,0.0268,19.0,6.391253572048462
-21.0,,,,,,,0.0268,19.0,6.391253572048462
-20.5,,,,,,,0.0268,19.0,6.391253572048462
-20.0,,,,,,,0.0268,19.0,6.391253572048462
-19.5,,,,,,,0.0268,19.0,6.391253572048462
-19.0,,,,,,,0.0268,19.0,6.391253572048462
-18.5,,,,,,,0.0268,19.0,6.391253572048462
-18.0,,77.17741907768682,,,36.7990234125105,,0.0268,19.0,6.391253572048462
-17.5,,,,,,,0.0268,19.0,6.391253572048462
-17.0,,36.84639385340968,13.138441828701882,,38.6699100925375,55.2365520642182,0.0268,19.0,6.391253572048462
-16.5,,,,,,,0.0268,19.0,6.391253572048462
-16.0,,78.33266037842114,4.280400346506692,,54.0039121700922,69.6552272684764,0.0268,19.0,6.391253572048462
-15.5,,,,,,,0.0268,19.0,6.391253572048462
-15.0,,,,,,,0.0268,19.0,6.391253572048462
-14.5,,,,,,,0.0268,19.0,6.391253572048462
-14.0,,,,,,,0.0268,19.0,6.391253572048462
-13.5,,,,,,,0.0268,19.0,6.391253572048462
-13.0,,,,,,,0.0268,19.0,6.391253572048462
-12.5,,,,,,,0.0268,19.0,6.391253572048462
-12.0,,,88.59001338891042,,,60.2668605780468,0.0268,19.0,6.391253572048462
-11.5,,,,,,,0.0268,19.0,6.391253572048462
-11.0,,-25.65354579288627,19.043058542739793,,36.7804240508924,43.3923683983893,0.0268,19.0,6.391253572048462
-10.5,,,,,,,0.0268,19.0,6.391253572048462
-10.0,,17.4565635133254,12.89318373876919,,37.9953756940844,35.8267128379989,0.0268,19.0,6.391253572048462
-9.5,,,,,,,0.0268,19.0,6.391253572048462
-9.0,,33.95227925625666,-39.121963894381,,28.4508736163261,35.9562420140078,0.0268,19.0,6.391253572048462
-8.5,,,,,,,0.0268,19.0,6.391253572048462
-8.0,,33.978672219948145,43.958595974498884,,28.6192799738428,35.4063274822961,0.0268,19.0,6.391253572048462
-7.5,,,,,,,0.0268,19.0,6.391253572048462
-7.0,,,,,,,0.0268,19.0,6.391253572048462
-6.5,,,,,,,0.0268,19.0,6.391253572048462
-6.0,,,,,,,0.0268,19.0,6.391253572048462
-5.5,,,,,,,0.0268,19.0,6.391253572048462
-5.0,,21.506388622367375,-16.986173639472902,,23.3806226282131,18.8846231753101,0.0268,19.0,6.391253572048462
-4.5,,,,,,,0.0268,19.0,6.391253572048462
-4.0,,-27.93495734046091,33.71850221050196,,32.8637467239472,26.0083161532206,0.0268,19.0,6.391253572048462
-3.5,-209.7379261314897,,,153.21745117313964,,,0.0268,19.0,6.391253572048462
-3.0,-132.02837012217293,10.021608272441652,17.60894667107767,144.4964363806169,29.149314886385,27.7496078080655,0.0268,19.0,6.391253572048462
-2.5,-195.09942776918143,,,135.55840891414843,,,0.0268,19.0,6.391253572048462
-2.0,-100.99623465588883,,,129.3218259885289,,,0.0268,19.0,6.391253572048462
-1.5,-36.19488156387757,,,127.00560622400472,,,0.0268,19.0,6.391253572048462
-1.0,181.43396087071136,,,123.15528674315719,,,0.0268,19.0,6.391253572048462
-0.5,126.59738395468605,,,122.2931632135039,,,0.0268,19.0,6.391253572048462
0.0,205.38466520015663,359.68150529764637,435.58713556620387,121.48310295036177,27.6642284842924,23.1676725439145,0.0268,19.0,6.391253572048462
0.5,203.5453018733587,,,118.53095137751012,,,0.0268,19.0,6.391253572048462
1.0,141.0552953833436,,,118.2792780336584,,,0.0268,19.0,6.391253572048462
1.5,331.70615798205023,,,118.42087954199515,,,0.0268,19.0,6.391253572048462
2.0,407.2003038968607,,486.28800656345317,118.3649972725334,,53.5068308311736,0.0268,19.0,6.391253572048462
2.5,320.59492386000517,,,119.10610400420164,,,0.0268,19.0,6.391253572048462
3.0,330.3732152352946,,,119.75416452288701,,,0.0268,19.0,6.391253572048462
3.5,389.4537373367031,,,119.27767364591573,,,0.0268,19.0,6.391253572048462
4.0,443.807197536267,,,117.82253689125898,,,0.0268,19.0,6.391253572048462
4.5,408.10464647563765,,,118.24970695862686,,,0.0268,19.0,6.391253572048462
