relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,15.946845194822782,10.515943608053856,,57.5543362646798,69.8957207459057,0.0106,-1.0,2.463734744019512
-29.5,,,,,,,0.0106,-1.0,2.463734744019512
-29.0,,-56.42726534388918,-15.998643708568425,,50.251781137543944,59.711704708697006,0.0106,-1.0,2.463734744019512
-28.5,,,,,,,0.0106,-1.0,2.463734744019512
-28.0,,93.10257350759193,1.9159546019434899,,60.150307816965,65.40807381258928,0.0106,-1.0,2.463734744019512
-27.5,,,,,,,0.0106,-1.0,2.463734744019512
-27.0,,6.367498945329541,,,83.14044986819256,,0.0106,-1.0,2.463734744019512
-26.5,,,,,,,0.0106,-1.0,2.463734744019512
-26.0,,,,,,,0.0106,-1.0,2.463734744019512
-25.5,,,,,,,0.0106,-1.0,2.463734744019512
-25.0,,6.478752440793223,89.18473499226647,,83.55561237166286,89.0916490102793,0.0106,-1.0,2.463734744019512
-24.5,,,,,,,0.0106,-1.0,2.463734744019512
-24.0,,-14.836364834170894,32.388882921114494,,43.621464526566264,58.063531183415364,0.0106,-1.0,2.463734744019512
-23.5,,,,,,,0.0106,-1.0,2.463734744019512
-23.0,,27.299494333194197,22.77426078206338,,47.160288764998135,47.457844377356885,0.0106,-1.0,2.463734744019512
-22.5,,,,,,,0.0106,-1.0,2.463734744019512
-22.0,,-17.53625177931053,-24.039956057748753,,31.354953298005213,33.8334470917822,0.0106,-1.0,2.463734744019512
-21.5,,,,,,,0.0106,-1.0,2.463734744019512
-21.0,,-3.5879426201472797,-14.527659127356,,31.55898772398245,28.099851205228322,0.0106,-1.0,2.463734744019512
-20.5,,,,,,,0.0106,-1.0,2.463734744019512
-20.0,,-16.708327330827032,-21.46173554022619,,29.35201787452019,26.693039857994922,0.0106,-1.0,2.463734744019512
-19.5,,,,,,,0.0106,-1.0,2.463734744019512
-19.0,,2.5325976829344037,,,32.0923310177677,,0.0106,-1.0,2.463734744019512
-18.5,,,,,,,0.0106,-1.0,2.463734744019512
-18.0,,,,,,,0.0106,-1.0,2.463734744019512
-17.5,,,,,,,0.0106,-1.0,2.463734744019512
-17.0,,-12.612525570012156,-32.76420560650015,,20.033255094298354,17.718259637902175,0.0106,-1.0,2.463734744019512
-16.5,,,,,,,0.0106,-1.0,2.463734744019512
-16.0,,-22.775793592714678,-11.383148964048692,,25.686155933335968,21.626034532209303,0.0106,-1.0,2.463734744019512
-15.5,,,,,,,0.0106,-1.0,2.463734744019512
-15.0,15.08194636189855,10.768447303030685,-4.211553331364014,362.0681861952375,32.607934598771024,23.150037011731055,0.0106,-1.0,2.463734744019512
-14.5,-46.38069309987602,,,331.1626334841856,,,0.0106,-1.0,2.463734744019512
-14.0,-248.83197196616672,18.90785659652875,,314.1710736051352,27.478409937136774,,0.0106,-1.0,2.463734744019512
-13.5,-204.35849097774596,,,305.3153506414579,,,0.0106,-1.0,2.463734744019512
-13.0,-31.217546231598106,,,299.2462294497959,,,0.0106,-1.0,2.463734744019512
-12.5,-17.330842419396852,,,295.6888265472371,,,0.0106,-1.0,2.463734744019512
-12.0,-121.11811366841474,80.18507017393216,105.25719534141042,292.5618169165883,22.604504490804906,21.57675511036572,0.0106,-1.0,2.463734744019512
-11.5,-33.110040831858306,,,290.9906135065724,,,0.0106,-1.0,2.463734744019512
-11.0,-138.7298588946331,116.09842598290375,126.72064136851007,290.27280431908616,29.152090721887898,28.851689787295047,0.0106,-1.0,2.463734744019512
-10.5,-47.03982961099571,,,289.38988166079764,,,0.0106,-1.0,2.463734744019512
-10.0,90.30415549749114,154.18431051422846,147.17910379480156,289.037997235974,45.47364939222383,37.50944460233111,0.0106,-1.0,2.463734744019512
-9.5,-104.69456644796121,,,287.9042973217175,,,0.0106,-1.0,2.463734744019512
-9.0,98.24812508600445,183.2978815102401,227.9801308896384,288.5344437699973,38.20351865053986,29.902251680391164,0.0106,-1.0,2.463734744019512
-8.5,39.157023747310774,,,288.23535025367846,,,0.0106,-1.0,2.463734744019512
-8.0,51.056699704900566,,,288.127658728559,,,0.0106,-1.0,2.463734744019512
