relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0452,12.6,4.822235535055868
-29.5,,,,,,,0.0452,12.6,4.822235535055868
-29.0,,,-49.531979079450984,,,28.1760703319587,0.0452,12.6,4.822235535055868
-28.5,,,,,,,0.0452,12.6,4.822235535055868
-28.0,,,,,,,0.0452,12.6,4.822235535055868
-27.5,,,,,,,0.0452,12.6,4.822235535055868
-27.0,,,,,,,0.0452,12.6,4.822235535055868
-26.5,,,,,,,0.0452,12.6,4.822235535055868
-26.0,,,,,,,0.0452,12.6,4.822235535055868
-25.5,,,,,,,0.0452,12.6,4.822235535055868
-25.0,,6.25168644925197,,,64.58022800595062,,0.0452,12.6,4.822235535055868
-24.5,,,,,,,0.0452,12.6,4.822235535055868
-24.0,,,,,,,0.0452,12.6,4.822235535055868
-23.5,,,,,,,0.0452,12.6,4.822235535055868
-23.0,,,,,,,0.0452,12.6,4.822235535055868
-22.5,,,,,,,0.0452,12.6,4.822235535055868
-22.0,,,,,,,0.0452,12.6,4.822235535055868
-21.5,,,,,,,0.0452,12.6,4.822235535055868
-21.0,,,,,,,0.0452,12.6,4.822235535055868
-20.5,,,,,,,0.0452,12.6,4.822235535055868
-20.0,,,,,,,0.0452,12.6,4.822235535055868
-19.5,,,,,,,0.0452,12.6,4.822235535055868
-19.0,,34.05355585372039,,,71.17341089691568,,0.0452,12.6,4.822235535055868
-18.5,,,,,,,0.0452,12.6,4.822235535055868
-18.0,,,,,,,0.0452,12.6,4.822235535055868
-17.5,,,,,,,0.0452,12.6,4.822235535055868
-17.0,,,,,,,0.0452,12.6,4.822235535055868
-16.5,,,,,,,0.0452,12.6,4.822235535055868
-16.0,,5.442261403438963,,,30.860197785596238,,0.0452,12.6,4.822235535055868
-15.5,,,,,,,0.0452,12.6,4.822235535055868
-15.0,,24.802533783668924,40.14825638639144,,38.60031833217327,40.73555057667,0.0452,12.6,4.822235535055868
-14.5,,,,,,,0.0452,12.6,4.822235535055868
-14.0,,14.423093982919116,-5.551944658164332,,52.56894288989202,38.4493713547725,0.0452,12.6,4.822235535055868
-13.5,,,,,,,0.0452,12.6,4.822235535055868
-13.0,,,-13.666197509697836,,,45.9153213267163,0.0452,12.6,4.822235535055868
-12.5,,,,,,,0.0452,12.6,4.822235535055868
-12.0,,,,,,,0.0452,12.6,4.822235535055868
-11.5,,,,,,,0.0452,12.6,4.822235535055868
-11.0,,,,,,,0.0452,12.6,4.822235535055868
-10.5,-36.94794423888348,,,209.2024830050172,,,0.0452,12.6,4.822235535055868
-10.0,-99.23767644303548,,,209.57962521609915,,,0.0452,12.6,4.822235535055868
-9.5,-88.22003425565899,,,209.76497405262987,,,0.0452,12.6,4.822235535055868
-9.0,-85.2871473543939,,,208.70038758364532,,,0.0452,12.6,4.822235535055868
-8.5,-20.376177530389533,,,208.27618941417535,,,0.0452,12.6,4.822235535055868
-8.0,-116.12172406218257,,,208.31349711820042,,,0.0452,12.6,4.822235535055868
-7.5,53.475903043347316,,,207.32462201385707,,,0.0452,12.6,4.822235535055868
-7.0,168.27596335397047,,,208.41948974804623,,,0.0452,12.6,4.822235535055868
-6.5,10.088464893294864,,,207.63514925068708,,,0.0452,12.6,4.822235535055868
-6.0,41.12167407830411,212.10747792826146,204.10707665358734,210.01256025165085,27.7682544620577,31.1954482859927,0.0452,12.6,4.822235535055868
-5.5,48.192929830531725,,,210.4444113975309,,,0.0452,12.6,4.822235535055868
-5.0,156.5816140426509,,,211.39499805407786,,,0.0452,12.6,4.822235535055868
-4.5,284.03535685829934,,,210.52491835131787,,,0.0452,12.6,4.822235535055868
-4.0,326.1106946362308,,,210.5010071823677,,,0.0452,12.6,4.822235535055868
-3.5,284.2971920521413,,,210.58715157115418,,,0.0452,12.6,4.822235535055868
-3.0,403.11272321823014,412.0671722226131,397.2313526702667,209.75324082408244,27.745248598780993,29.0836503350248,0.0452,12.6,4.822235535055868
-2.5,339.58700961869096,,,212.71391977882854,,,0.0452,12.6,4.822235535055868
-2.0,377.2176963641812,453.54682395900375,460.18794985682354,214.33876998568252,48.4458743701179,40.0436810644998,0.0452,12.6,4.822235535055868
-1.5,358.84134263490887,,,215.025000254075,,,0.0452,12.6,4.822235535055868
-1.0,455.39928372296174,443.9907466509491,,214.55445165898064,45.199608991684315,,0.0452,12.6,4.822235535055868
-0.5,473.72593390282515,,,212.83986669947666,,,0.0452,12.6,4.822235535055868
0.0,612.0998911618535,596.0696770081732,581.9028742493656,213.41239766983222,29.5056074826612,24.1268898979244,0.0452,12.6,4.822235535055868
0.5,588.1948922236502,,,214.90023577339207,,,0.0452,12.6,4.822235535055868
1.0,457.31168167482275,595.4889753691625,643.8037519969286,215.209932953811,35.030351787182674,25.1482658925305,0.0452,12.6,4.822235535055868
1.5,429.6594702895198,,,215.9332356865283,,,0.0452,12.6,4.822235535055868
2.0,681.332611903083,652.9116297278023,669.5513601804481,219.9623833203303,56.7253125985957,55.9309672735932,0.0452,12.6,4.822235535055868
2.5,,,,,,,0.0452,12.6,4.822235535055868
3.0,,634.5516411644835,639.0561007246566,,50.9442099163985,96.7262265716567,0.0452,12.6,4.822235535055868
3.5,,,,,,,0.0452,12.6,4.822235535055868
4.0,,641.8856330973708,,,80.057385431588,,0.0452,12.6,4.822235535055868
4.5,,,,,,,0.0452,12.6,4.822235535055868
5.0,,,,,,,0.0452,12.6,4.822235535055868
5.5,258.0097205616787,,,224.51566516472647,,,0.0452,12.6,4.822235535055868
6.0,540.2255476412431,,,220.17437526579755,,,0.0452,12.6,4.822235535055868
