relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,28.161097427604023,,,49.2875241149993,,0.018,3.5,1.0683112322206898
-29.5,,,,,,,0.018,3.5,1.0683112322206898
-29.0,,,,,,,0.018,3.5,1.0683112322206898
-28.5,,,,,,,0.018,3.5,1.0683112322206898
-28.0,,,,,,,0.018,3.5,1.0683112322206898
-27.5,,,,,,,0.018,3.5,1.0683112322206898
-27.0,,,,,,,0.018,3.5,1.0683112322206898
-26.5,,,,,,,0.018,3.5,1.0683112322206898
-26.0,,,,,,,0.018,3.5,1.0683112322206898
-25.5,,,,,,,0.018,3.5,1.0683112322206898
-25.0,,,,,,,0.018,3.5,1.0683112322206898
-24.5,,,,,,,0.018,3.5,1.0683112322206898
-24.0,,,,,,,0.018,3.5,1.0683112322206898
-23.5,,,,,,,0.018,3.5,1.0683112322206898
-23.0,,,,,,,0.018,3.5,1.0683112322206898
-22.5,,,,,,,0.018,3.5,1.0683112322206898
-22.0,,-34.81808621715017,,,60.93966920200334,,0.018,3.5,1.0683112322206898
-21.5,,,,,,,0.018,3.5,1.0683112322206898
-21.0,,,,,,,0.018,3.5,1.0683112322206898
-20.5,,,,,,,0.018,3.5,1.0683112322206898
-20.0,,,,,,,0.018,3.5,1.0683112322206898
-19.5,,,,,,,0.018,3.5,1.0683112322206898
-19.0,,7.518212399718992,16.59225731676542,,49.909991028364125,59.13601203503315,0.018,3.5,1.0683112322206898
-18.5,,,,,,,0.018,3.5,1.0683112322206898
-18.0,,1.2334502672169314,-40.47076864891266,,101.840846538406,91.2395001273024,0.018,3.5,1.0683112322206898
-17.5,,,,,,,0.018,3.5,1.0683112322206898
-17.0,,,,,,,0.018,3.5,1.0683112322206898
-16.5,,,,,,,0.018,3.5,1.0683112322206898
-16.0,,-8.180858280584951,27.59062980856819,,70.39304058719007,81.24253583680871,0.018,3.5,1.0683112322206898
-15.5,,,,,,,0.018,3.5,1.0683112322206898
-15.0,,,,,,,0.018,3.5,1.0683112322206898
-14.5,,,,,,,0.018,3.5,1.0683112322206898
-14.0,,12.131485691675131,21.283862748071048,,62.331047282026475,53.130092903897385,0.018,3.5,1.0683112322206898
-13.5,,,,,,,0.018,3.5,1.0683112322206898
-13.0,,-1.1738016391186479,,,31.781406793272435,,0.018,3.5,1.0683112322206898
-12.5,,,,,,,0.018,3.5,1.0683112322206898
-12.0,,2.952774047732566,-15.027188973742499,,56.62538403256759,51.373883991426574,0.018,3.5,1.0683112322206898
-11.5,,,,,,,0.018,3.5,1.0683112322206898
-11.0,,-6.696712788621733,-0.9159327036078935,,52.55841957925106,50.33415756050109,0.018,3.5,1.0683112322206898
-10.5,,,,,,,0.018,3.5,1.0683112322206898
-10.0,,,,,,,0.018,3.5,1.0683112322206898
-9.5,,,,,,,0.018,3.5,1.0683112322206898
-9.0,,,,,,,0.018,3.5,1.0683112322206898
-8.5,,,,,,,0.018,3.5,1.0683112322206898
-8.0,,,,,,,0.018,3.5,1.0683112322206898
-7.5,-9.538062412058672,,,77.46254135872155,,,0.018,3.5,1.0683112322206898
-7.0,-1.460297040520289,,,77.07367902859289,,,0.018,3.5,1.0683112322206898
-6.5,6.164280173203297,,,77.28285053911172,,,0.018,3.5,1.0683112322206898
-6.0,-13.45179639860021,,,77.94812591901737,,,0.018,3.5,1.0683112322206898
-5.5,-29.26411525810167,,,77.67399727909444,,,0.018,3.5,1.0683112322206898
-5.0,24.025836666642732,,,77.42206347506273,,,0.018,3.5,1.0683112322206898
-4.5,66.90303861239974,,,77.55543581020754,,,0.018,3.5,1.0683112322206898
-4.0,37.217356151895316,,,78.20205668996539,,,0.018,3.5,1.0683112322206898
-3.5,150.39978954970258,,,78.17890774721353,,,0.018,3.5,1.0683112322206898
-3.0,150.9906015310463,,,77.79443849149497,,,0.018,3.5,1.0683112322206898
-2.5,272.85283231888445,,,77.10595286846082,,,0.018,3.5,1.0683112322206898
-2.0,275.6313947061806,,,77.48302267271627,,,0.018,3.5,1.0683112322206898
-1.5,337.81886942309814,,,77.46426930202033,,,0.018,3.5,1.0683112322206898
-1.0,297.5816443936581,,,77.62392938394707,,,0.018,3.5,1.0683112322206898
-0.5,305.45391940345604,,,77.13690826000688,,,0.018,3.5,1.0683112322206898
0.0,356.5355732015692,,558.9409716763677,76.89264828465205,,30.604367701076246,0.018,3.5,1.0683112322206898
0.5,373.65362204423707,,,77.17459081384915,,,0.018,3.5,1.0683112322206898
