relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0355,16.0,6.763546078467682
-29.5,,,,,,,0.0355,16.0,6.763546078467682
-29.0,,,,,,,0.0355,16.0,6.763546078467682
-28.5,,,,,,,0.0355,16.0,6.763546078467682
-28.0,,,,,,,0.0355,16.0,6.763546078467682
-27.5,,,,,,,0.0355,16.0,6.763546078467682
-27.0,,,,,,,0.0355,16.0,6.763546078467682
-26.5,,,,,,,0.0355,16.0,6.763546078467682
-26.0,,,,,,,0.0355,16.0,6.763546078467682
-25.5,,,,,,,0.0355,16.0,6.763546078467682
-25.0,,,,,,,0.0355,16.0,6.763546078467682
-24.5,,,,,,,0.0355,16.0,6.763546078467682
-24.0,,,,,,,0.0355,16.0,6.763546078467682
-23.5,,,,,,,0.0355,16.0,6.763546078467682
-23.0,,,,,,,0.0355,16.0,6.763546078467682
-22.5,,,,,,,0.0355,16.0,6.763546078467682
-22.0,,,,,,,0.0355,16.0,6.763546078467682
-21.5,,,,,,,0.0355,16.0,6.763546078467682
-21.0,,,,,,,0.0355,16.0,6.763546078467682
-20.5,,,,,,,0.0355,16.0,6.763546078467682
-20.0,,-48.141749875158105,7.590875140001054,,31.2068201057918,23.5347076158532,0.0355,16.0,6.763546078467682
-19.5,,,,,,,0.0355,16.0,6.763546078467682
-19.0,,,,,,,0.0355,16.0,6.763546078467682
-18.5,,,,,,,0.0355,16.0,6.763546078467682
-18.0,,,,,,,0.0355,16.0,6.763546078467682
-17.5,,,,,,,0.0355,16.0,6.763546078467682
-17.0,,-6.7769088390907015,-8.137836661201055,,52.6430844771624,32.4886060449112,0.0355,16.0,6.763546078467682
-16.5,,,,,,,0.0355,16.0,6.763546078467682
-16.0,,,-14.526297737449273,,,27.2647746399907,0.0355,16.0,6.763546078467682
-15.5,,,,,,,0.0355,16.0,6.763546078467682
-15.0,,-17.12029225305208,-38.73164998498231,,39.56127155273,28.1272201836113,0.0355,16.0,6.763546078467682
-14.5,,,,,,,0.0355,16.0,6.763546078467682
-14.0,,,,,,,0.0355,16.0,6.763546078467682
-13.5,,,,,,,0.0355,16.0,6.763546078467682
-13.0,,46.74529502647503,-49.195039661954254,,37.5286590930415,62.1554745270773,0.0355,16.0,6.763546078467682
-12.5,,,,,,,0.0355,16.0,6.763546078467682
-12.0,,-32.34631923941349,-46.802410307244664,,36.7555081264002,37.4950571379128,0.0355,16.0,6.763546078467682
-11.5,,,,,,,0.0355,16.0,6.763546078467682
-11.0,,,,,,,0.0355,16.0,6.763546078467682
-10.5,,,,,,,0.0355,16.0,6.763546078467682
-10.0,,,,,,,0.0355,16.0,6.763546078467682
-9.5,,,,,,,0.0355,16.0,6.763546078467682
-9.0,,,,,,,0.0355,16.0,6.763546078467682
-8.5,,,,,,,0.0355,16.0,6.763546078467682
-8.0,,,,,,,0.0355,16.0,6.763546078467682
-7.5,,,,,,,0.0355,16.0,6.763546078467682
-7.0,,,,,,,0.0355,16.0,6.763546078467682
-6.5,,,,,,,0.0355,16.0,6.763546078467682
-6.0,,,,,,,0.0355,16.0,6.763546078467682
-5.5,,,,,,,0.0355,16.0,6.763546078467682
-5.0,,,,,,,0.0355,16.0,6.763546078467682
-4.5,,,,,,,0.0355,16.0,6.763546078467682
-4.0,,,,,,,0.0355,16.0,6.763546078467682
-3.5,,,,,,,0.0355,16.0,6.763546078467682
-3.0,,,,,,,0.0355,16.0,6.763546078467682
-2.5,,,,,,,0.0355,16.0,6.763546078467682
-2.0,,13.132213916977486,-102.65206175530162,,27.8718146070073,37.2794680804458,0.0355,16.0,6.763546078467682
-1.5,,,,,,,0.0355,16.0,6.763546078467682
-1.0,,94.53723259941432,42.15094449882938,,36.2505922082401,24.8676931042982,0.0355,16.0,6.763546078467682
-0.5,,,,,,,0.0355,16.0,6.763546078467682
0.0,,383.031152570019,248.94762052952728,,29.5709390348784,24.537326796425,0.0355,16.0,6.763546078467682
0.5,,,,,,,0.0355,16.0,6.763546078467682
1.0,,,,,,,0.0355,16.0,6.763546078467682
1.5,,,,,,,0.0355,16.0,6.763546078467682
2.0,,,,,,,0.0355,16.0,6.763546078467682
2.5,,,,,,,0.0355,16.0,6.763546078467682
3.0,,,,,,,0.0355,16.0,6.763546078467682
3.5,,,,,,,0.0355,16.0,6.763546078467682
4.0,,,,,,,0.0355,16.0,6.763546078467682
4.5,,,,,,,0.0355,16.0,6.763546078467682
5.0,,,,,,,0.0355,16.0,6.763546078467682
5.5,,,,,,,0.0355,16.0,6.763546078467682
6.0,,6955.638273431273,6079.660236515446,,53.6546903998599,48.6840035225299,0.0355,16.0,6.763546078467682
6.5,,,,,,,0.0355,16.0,6.763546078467682
7.0,,,7732.836844313155,,,50.100857525477295,0.0355,16.0,6.763546078467682
7.5,,,,,,,0.0355,16.0,6.763546078467682
8.0,,10944.618846793108,8966.107687897069,,59.9678618776881,52.1791898085481,0.0355,16.0,6.763546078467682
8.5,,,,,,,0.0355,16.0,6.763546078467682
9.0,,11362.20173068857,10568.221186956162,,60.149468675067,55.6809776268768,0.0355,16.0,6.763546078467682
9.5,,,,,,,0.0355,16.0,6.763546078467682
10.0,,12753.718065413092,11611.265388765776,,62.8200778439574,57.3514377968784,0.0355,16.0,6.763546078467682
10.5,,,,,,,0.0355,16.0,6.763546078467682
11.0,,13779.074007046844,,,65.5987452733379,,0.0355,16.0,6.763546078467682
11.5,,,,,,,0.0355,16.0,6.763546078467682
12.0,,15599.46783530642,13972.887868093763,,67.7847739501078,63.0720963514157,0.0355,16.0,6.763546078467682
12.5,,,,,,,0.0355,16.0,6.763546078467682
13.0,,4034.9719189419143,412.91448839462964,,47.92624772377395,31.3920243726375,0.0355,16.0,6.763546078467682
13.5,,,,,,,0.0355,16.0,6.763546078467682
14.0,,16793.535393273683,14345.357032846787,,70.35908966054028,68.90469298352225,0.0355,16.0,6.763546078467682
14.5,,,,,,,0.0355,16.0,6.763546078467682
15.0,,16488.01550376985,14813.452459393335,,72.88598956267174,63.94374883947199,0.0355,16.0,6.763546078467682
15.5,,,,,,,0.0355,16.0,6.763546078467682
16.0,,18312.849287207056,15088.548609014284,,77.0107226572842,64.2141057932337,0.0355,16.0,6.763546078467682
16.5,,,,,,,0.0355,16.0,6.763546078467682
17.0,,16990.593837639077,14887.572610849837,,81.67541327048404,67.06956659770579,0.0355,16.0,6.763546078467682
17.5,,,,,,,0.0355,16.0,6.763546078467682
18.0,,16746.687765425006,14400.870125243584,,87.27634681232462,77.11948698638928,0.0355,16.0,6.763546078467682
18.5,,,,,,,0.0355,16.0,6.763546078467682
19.0,,16946.893582406286,,,87.4378250383523,,0.0355,16.0,6.763546078467682
