relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-5.332428784605791,,,31.8052017813464,,0.0201,10.0,4.21215173304835
-29.5,,,,,,,0.0201,10.0,4.21215173304835
-29.0,,-52.27457705394478,,,46.8394111117471,,0.0201,10.0,4.21215173304835
-28.5,,,,,,,0.0201,10.0,4.21215173304835
-28.0,,,,,,,0.0201,10.0,4.21215173304835
-27.5,,,,,,,0.0201,10.0,4.21215173304835
-27.0,,,,,,,0.0201,10.0,4.21215173304835
-26.5,,,,,,,0.0201,10.0,4.21215173304835
-26.0,,,,,,,0.0201,10.0,4.21215173304835
-25.5,,,,,,,0.0201,10.0,4.21215173304835
-25.0,,,,,,,0.0201,10.0,4.21215173304835
-24.5,,,,,,,0.0201,10.0,4.21215173304835
-24.0,,,,,,,0.0201,10.0,4.21215173304835
-23.5,,,,,,,0.0201,10.0,4.21215173304835
-23.0,,,,,,,0.0201,10.0,4.21215173304835
-22.5,,,,,,,0.0201,10.0,4.21215173304835
-22.0,,,,,,,0.0201,10.0,4.21215173304835
-21.5,,,,,,,0.0201,10.0,4.21215173304835
-21.0,,,,,,,0.0201,10.0,4.21215173304835
-20.5,,,,,,,0.0201,10.0,4.21215173304835
-20.0,,,,,,,0.0201,10.0,4.21215173304835
-19.5,,,,,,,0.0201,10.0,4.21215173304835
-19.0,,-3.8914983397050724,,,31.7364653659444,,0.0201,10.0,4.21215173304835
-18.5,,,,,,,0.0201,10.0,4.21215173304835
-18.0,-99.13257754334899,22.532802816757783,-13.928075177145699,68.75090144879992,25.5881630493447,18.9102360250896,0.0201,10.0,4.21215173304835
-17.5,-82.4361146678863,,,75.50800182468895,,,0.0201,10.0,4.21215173304835
-17.0,-32.591810795501544,-25.202721850659824,-22.453190362082168,106.16272463791442,22.42802457857254,17.4260800617313,0.0201,10.0,4.21215173304835
-16.5,,,,,,,0.0201,10.0,4.21215173304835
-16.0,,,,,,,0.0201,10.0,4.21215173304835
-15.5,-90.23119426161004,,,110.7221336718053,,,0.0201,10.0,4.21215173304835
-15.0,-35.66873325748111,,,110.49835366531859,,,0.0201,10.0,4.21215173304835
-14.5,90.19552632748798,,,101.84699970272936,,,0.0201,10.0,4.21215173304835
-14.0,6.989016168096548,,,100.27260173194482,,,0.0201,10.0,4.21215173304835
