relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0376,6.5,1.852157900636144
-29.5,,,,,,,0.0376,6.5,1.852157900636144
-29.0,,,,,,,0.0376,6.5,1.852157900636144
-28.5,,,,,,,0.0376,6.5,1.852157900636144
-28.0,,,,,,,0.0376,6.5,1.852157900636144
-27.5,,,,,,,0.0376,6.5,1.852157900636144
-27.0,,-46.53112697832759,27.199331619160944,,37.9211152758153,28.9847934332739,0.0376,6.5,1.852157900636144
-26.5,,,,,,,0.0376,6.5,1.852157900636144
-26.0,,-136.4419393556141,,,33.1889362198592,,0.0376,6.5,1.852157900636144
-25.5,,,,,,,0.0376,6.5,1.852157900636144
-25.0,,-125.70223873737206,24.371491022437578,,28.53148788892705,27.8965479994289,0.0376,6.5,1.852157900636144
-24.5,,,,,,,0.0376,6.5,1.852157900636144
-24.0,,,,,,,0.0376,6.5,1.852157900636144
-23.5,,,,,,,0.0376,6.5,1.852157900636144
-23.0,,,,,,,0.0376,6.5,1.852157900636144
-22.5,,,,,,,0.0376,6.5,1.852157900636144
-22.0,,,,,,,0.0376,6.5,1.852157900636144
-21.5,,,,,,,0.0376,6.5,1.852157900636144
-21.0,,,,,,,0.0376,6.5,1.852157900636144
-20.5,,,,,,,0.0376,6.5,1.852157900636144
-20.0,,-181.35415271333954,,,42.73322023222313,,0.0376,6.5,1.852157900636144
-19.5,,,,,,,0.0376,6.5,1.852157900636144
-19.0,,-88.1928864556371,29.872825259465216,,32.15121706924375,23.7830080502497,0.0376,6.5,1.852157900636144
-18.5,,,,,,,0.0376,6.5,1.852157900636144
-18.0,,,-23.29812735259134,,,23.223256683937983,0.0376,6.5,1.852157900636144
-17.5,,,,,,,0.0376,6.5,1.852157900636144
-17.0,,-163.07161566608323,-15.20188016672075,,26.204703883340123,22.306861025416037,0.0376,6.5,1.852157900636144
-16.5,,,,,,,0.0376,6.5,1.852157900636144
-16.0,,-203.4606083731251,-42.50867907103196,,26.13607824266905,18.92544274129223,0.0376,6.5,1.852157900636144
-15.5,,,,,,,0.0376,6.5,1.852157900636144
-15.0,,-152.2146797415064,7.806437358673682,,28.96257841865856,21.794387089986603,0.0376,6.5,1.852157900636144
-14.5,,,,,,,0.0376,6.5,1.852157900636144
-14.0,,-62.761910113319516,106.40967149953102,,26.942473827224728,24.97896012891541,0.0376,6.5,1.852157900636144
-13.5,,,,,,,0.0376,6.5,1.852157900636144
-13.0,,-27.37402577987079,71.67922260900642,,24.609574642898263,22.735212907805145,0.0376,6.5,1.852157900636144
-12.5,,,,,,,0.0376,6.5,1.852157900636144
-12.0,,-13.21091547783905,-23.26530506446516,,31.9529361624097,24.85357530176604,0.0376,6.5,1.852157900636144
-11.5,,,,,,,0.0376,6.5,1.852157900636144
-11.0,,-88.35050626030653,53.174164317390925,,28.453048172518237,31.71274909579804,0.0376,6.5,1.852157900636144
-10.5,,,,,,,0.0376,6.5,1.852157900636144
-10.0,,-75.60175553023025,53.214964952687964,,38.38347419077636,23.4590350485769,0.0376,6.5,1.852157900636144
-9.5,,,,,,,0.0376,6.5,1.852157900636144
-9.0,,-37.25779961494039,76.40973129868061,,49.375577213893386,46.18264231883089,0.0376,6.5,1.852157900636144
-8.5,,,,,,,0.0376,6.5,1.852157900636144
-8.0,,3.743512361630634,60.050932091724356,,47.65419960489074,59.21813759759092,0.0376,6.5,1.852157900636144
-7.5,,,,,,,0.0376,6.5,1.852157900636144
-7.0,,17.49068174522537,148.65459297984896,,55.0867838763935,69.9576531381328,0.0376,6.5,1.852157900636144
-6.5,,,,,,,0.0376,6.5,1.852157900636144
-6.0,,127.2171692032975,151.57970512268508,,79.72209153281447,85.0884336420551,0.0376,6.5,1.852157900636144
-5.5,,,,,,,0.0376,6.5,1.852157900636144
-5.0,,175.56464339960863,66.29441688791437,,80.44686798371151,100.23673545828917,0.0376,6.5,1.852157900636144
-4.5,,,,,,,0.0376,6.5,1.852157900636144
-4.0,,245.84148844067676,,,100.84538298944038,,0.0376,6.5,1.852157900636144
-3.5,,,,,,,0.0376,6.5,1.852157900636144
-3.0,,268.3279119351938,222.25059268772102,,52.70036109070862,77.79496638751554,0.0376,6.5,1.852157900636144
-2.5,,,,,,,0.0376,6.5,1.852157900636144
-2.0,,216.20010314728333,302.6800220195729,,47.28998373398368,50.042938995111605,0.0376,6.5,1.852157900636144
-1.5,,,,,,,0.0376,6.5,1.852157900636144
-1.0,,304.31776474546183,412.106829017328,,32.29485027645776,48.34292170870611,0.0376,6.5,1.852157900636144
-0.5,,,,,,,0.0376,6.5,1.852157900636144
0.0,,305.9895824474351,383.83623423508215,,36.83038670624061,35.102055120671515,0.0376,6.5,1.852157900636144
0.5,,,,,,,0.0376,6.5,1.852157900636144
1.0,,,,,,,0.0376,6.5,1.852157900636144
1.5,,,,,,,0.0376,6.5,1.852157900636144
2.0,,,,,,,0.0376,6.5,1.852157900636144
2.5,,,,,,,0.0376,6.5,1.852157900636144
3.0,,507.3573208776062,,,32.9816097841401,,0.0376,6.5,1.852157900636144
3.5,,,,,,,0.0376,6.5,1.852157900636144
4.0,,518.7470695259369,508.4183132771432,,29.472726801170687,25.5281797134317,0.0376,6.5,1.852157900636144
4.5,,,,,,,0.0376,6.5,1.852157900636144
5.0,,481.34781447475905,475.13693325893587,,29.3558101712604,26.348344736593667,0.0376,6.5,1.852157900636144
5.5,,,,,,,0.0376,6.5,1.852157900636144
6.0,,542.8624766432732,510.5242902110547,,23.7296081190417,23.93590387632351,0.0376,6.5,1.852157900636144
6.5,,,,,,,0.0376,6.5,1.852157900636144
7.0,,,,,,,0.0376,6.5,1.852157900636144
7.5,,,,,,,0.0376,6.5,1.852157900636144
8.0,,,,,,,0.0376,6.5,1.852157900636144
8.5,,,,,,,0.0376,6.5,1.852157900636144
9.0,,,,,,,0.0376,6.5,1.852157900636144
9.5,,,,,,,0.0376,6.5,1.852157900636144
10.0,,453.54110571179166,425.8900748306497,,27.969070228814807,24.766367289801074,0.0376,6.5,1.852157900636144
10.5,,,,,,,0.0376,6.5,1.852157900636144
11.0,,472.9351351630039,310.39718298677485,,26.27627526141012,26.193815283022378,0.0376,6.5,1.852157900636144
11.5,,,,,,,0.0376,6.5,1.852157900636144
12.0,,395.19762661937443,,,28.604910736978,,0.0376,6.5,1.852157900636144
12.5,,,,,,,0.0376,6.5,1.852157900636144
13.0,,457.29806830297167,307.928664930191,,28.636759047882,26.644647739355513,0.0376,6.5,1.852157900636144
13.5,,,,,,,0.0376,6.5,1.852157900636144
14.0,,376.60640648756885,234.92849353988635,,27.80257023465752,23.261668355128425,0.0376,6.5,1.852157900636144
14.5,,,,,,,0.0376,6.5,1.852157900636144
15.0,,329.43428442067204,224.53657987853967,,25.806881010904586,23.725486714028182,0.0376,6.5,1.852157900636144
15.5,,,,,,,0.0376,6.5,1.852157900636144
16.0,,285.0973992829058,201.2908424591551,,26.920034505879546,24.400268241371464,0.0376,6.5,1.852157900636144
16.5,,,,,,,0.0376,6.5,1.852157900636144
17.0,,293.80060337822573,158.8401133277211,,27.054274571043766,22.678765532959584,0.0376,6.5,1.852157900636144
17.5,,,,,,,0.0376,6.5,1.852157900636144
18.0,,229.56261123222333,112.1924606922157,,37.12594832231475,38.12978102411829,0.0376,6.5,1.852157900636144
18.5,,,,,,,0.0376,6.5,1.852157900636144
19.0,,79.67358928632375,101.07093703600889,,79.4685792535177,33.2097209438939,0.0376,6.5,1.852157900636144
19.5,,,,,,,0.0376,6.5,1.852157900636144
20.0,,139.55387434327432,177.91877311928573,,50.52163309831322,50.2431331954171,0.0376,6.5,1.852157900636144
20.5,,,,,,,0.0376,6.5,1.852157900636144
21.0,,,,,,,0.0376,6.5,1.852157900636144
21.5,,,,,,,0.0376,6.5,1.852157900636144
22.0,,,,,,,0.0376,6.5,1.852157900636144
22.5,,,,,,,0.0376,6.5,1.852157900636144
23.0,,,,,,,0.0376,6.5,1.852157900636144
23.5,,,,,,,0.0376,6.5,1.852157900636144
24.0,,,,,,,0.0376,6.5,1.852157900636144
24.5,,,,,,,0.0376,6.5,1.852157900636144
25.0,,,,,,,0.0376,6.5,1.852157900636144
25.5,,,,,,,0.0376,6.5,1.852157900636144
26.0,,,,,,,0.0376,6.5,1.852157900636144
26.5,,,,,,,0.0376,6.5,1.852157900636144
27.0,,,,,,,0.0376,6.5,1.852157900636144
27.5,,,,,,,0.0376,6.5,1.852157900636144
28.0,,,137.20479645220547,,,33.0310760286436,0.0376,6.5,1.852157900636144
28.5,,,,,,,0.0376,6.5,1.852157900636144
29.0,,,,,,,0.0376,6.5,1.852157900636144
29.5,,,,,,,0.0376,6.5,1.852157900636144
30.0,,,,,,,0.0376,6.5,1.852157900636144
30.5,,,,,,,0.0376,6.5,1.852157900636144
31.0,,74.34881110367485,66.05062074721874,,25.3899944961332,24.9080022815393,0.0376,6.5,1.852157900636144
31.5,,,,,,,0.0376,6.5,1.852157900636144
32.0,,,,,,,0.0376,6.5,1.852157900636144
32.5,,,,,,,0.0376,6.5,1.852157900636144
33.0,,,,,,,0.0376,6.5,1.852157900636144
