relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-124.32000778328691,-108.8036671864318,,23.3449317260709,19.5663243586524,0.0263,14.0,3.5309488809667013
-29.5,,,,,,,0.0263,14.0,3.5309488809667013
-29.0,,,,,,,0.0263,14.0,3.5309488809667013
-28.5,,,,,,,0.0263,14.0,3.5309488809667013
-28.0,,,,,,,0.0263,14.0,3.5309488809667013
-27.5,,,,,,,0.0263,14.0,3.5309488809667013
-27.0,,40.69278679413437,-105.44784098670686,,27.245614536407,18.7617394085492,0.0263,14.0,3.5309488809667013
-26.5,,,,,,,0.0263,14.0,3.5309488809667013
-26.0,,,,,,,0.0263,14.0,3.5309488809667013
-25.5,,,,,,,0.0263,14.0,3.5309488809667013
-25.0,,-73.04874840762888,,,23.2898096872144,,0.0263,14.0,3.5309488809667013
-24.5,,,,,,,0.0263,14.0,3.5309488809667013
-24.0,,-9.86776392998335,60.160492110541895,,22.69819905955692,20.50898016605893,0.0263,14.0,3.5309488809667013
-23.5,,,,,,,0.0263,14.0,3.5309488809667013
-23.0,,15.023668985408387,,,31.2088281670971,,0.0263,14.0,3.5309488809667013
-22.5,,,,,,,0.0263,14.0,3.5309488809667013
-22.0,,37.25818110678701,-25.244819406157706,,23.1049351005058,18.7349843794792,0.0263,14.0,3.5309488809667013
-21.5,,,,,,,0.0263,14.0,3.5309488809667013
-21.0,,-14.969539418142016,-58.92965765285305,,39.41021692515893,28.75982307962441,0.0263,14.0,3.5309488809667013
-20.5,,,,,,,0.0263,14.0,3.5309488809667013
-20.0,,-7.387546763998218,-50.224762772526084,,47.7892777857548,45.8274174171509,0.0263,14.0,3.5309488809667013
-19.5,,,,,,,0.0263,14.0,3.5309488809667013
-19.0,,-118.3790873824425,-109.85883235537453,,53.9309815721081,63.6571005688309,0.0263,14.0,3.5309488809667013
-18.5,,,,,,,0.0263,14.0,3.5309488809667013
-18.0,,-258.66417639151683,-46.42850397937816,,71.7039140443667,78.2367570089138,0.0263,14.0,3.5309488809667013
-17.5,,,,,,,0.0263,14.0,3.5309488809667013
-17.0,,,210.85177275160433,,,94.1652992618084,0.0263,14.0,3.5309488809667013
-16.5,,,,,,,0.0263,14.0,3.5309488809667013
-16.0,,-36.93459186647698,-97.11549582492655,,46.9311938350602,80.01197708466634,0.0263,14.0,3.5309488809667013
-15.5,,,,,,,0.0263,14.0,3.5309488809667013
-15.0,,-0.8775253893502314,2.310281555658996,,42.0032633759801,42.74499368414221,0.0263,14.0,3.5309488809667013
-14.5,,,,,,,0.0263,14.0,3.5309488809667013
-14.0,,-131.26228557188074,6.196300591488561,,39.6773178436339,51.0734429339998,0.0263,14.0,3.5309488809667013
-13.5,,,,,,,0.0263,14.0,3.5309488809667013
-13.0,,140.1124179248068,,,35.9125458130092,,0.0263,14.0,3.5309488809667013
-12.5,,,,,,,0.0263,14.0,3.5309488809667013
-12.0,,,,,,,0.0263,14.0,3.5309488809667013
-11.5,,,,,,,0.0263,14.0,3.5309488809667013
-11.0,,383.38115320800324,,,29.392662848891803,,0.0263,14.0,3.5309488809667013
-10.5,,,,,,,0.0263,14.0,3.5309488809667013
-10.0,,306.04111058329124,,,27.248650578094935,,0.0263,14.0,3.5309488809667013
-9.5,,,,,,,0.0263,14.0,3.5309488809667013
-9.0,,,98.93379585073023,,,21.625302695282972,0.0263,14.0,3.5309488809667013
-8.5,,,,,,,0.0263,14.0,3.5309488809667013
-8.0,,133.03765989508184,,,23.676492981719232,,0.0263,14.0,3.5309488809667013
-7.5,,,,,,,0.0263,14.0,3.5309488809667013
-7.0,,302.3056074133132,115.83520723397314,,23.6218112647004,20.192989535815915,0.0263,14.0,3.5309488809667013
-6.5,,,,,,,0.0263,14.0,3.5309488809667013
-6.0,,,,,,,0.0263,14.0,3.5309488809667013
-5.5,,,,,,,0.0263,14.0,3.5309488809667013
-5.0,,,,,,,0.0263,14.0,3.5309488809667013
-4.5,,,,,,,0.0263,14.0,3.5309488809667013
-4.0,,,,,,,0.0263,14.0,3.5309488809667013
-3.5,,,,,,,0.0263,14.0,3.5309488809667013
-3.0,,428.7863551482636,286.4861466691333,,25.00119658037984,24.266095840510715,0.0263,14.0,3.5309488809667013
-2.5,,,,,,,0.0263,14.0,3.5309488809667013
-2.0,,431.7640334709213,192.03601684507805,,25.730436497372025,29.057986466940367,0.0263,14.0,3.5309488809667013
-1.5,,,,,,,0.0263,14.0,3.5309488809667013
-1.0,,,,,,,0.0263,14.0,3.5309488809667013
-0.5,,,,,,,0.0263,14.0,3.5309488809667013
0.0,,682.6746346028154,336.13390189901753,,25.7258623572915,23.475582453677895,0.0263,14.0,3.5309488809667013
0.5,,,,,,,0.0263,14.0,3.5309488809667013
1.0,,805.6480700601455,398.8178834866285,,27.1245267582262,23.11172191957833,0.0263,14.0,3.5309488809667013
1.5,,,,,,,0.0263,14.0,3.5309488809667013
2.0,,810.3855615089377,513.9426776987862,,27.74798757366224,22.632449246014204,0.0263,14.0,3.5309488809667013
2.5,,,,,,,0.0263,14.0,3.5309488809667013
3.0,,845.2462993437298,610.3837554888812,,27.659829504936525,24.616768097624846,0.0263,14.0,3.5309488809667013
3.5,,,,,,,0.0263,14.0,3.5309488809667013
4.0,,1062.8003111320136,602.7970124351839,,28.69240591503064,22.943314609839117,0.0263,14.0,3.5309488809667013
4.5,,,,,,,0.0263,14.0,3.5309488809667013
5.0,,859.3193786762264,579.738705540268,,34.306974293376655,36.19596840975779,0.0263,14.0,3.5309488809667013
5.5,,,,,,,0.0263,14.0,3.5309488809667013
6.0,,430.95783345543515,284.7319692827344,,40.60800652344796,34.92400805849209,0.0263,14.0,3.5309488809667013
6.5,,,,,,,0.0263,14.0,3.5309488809667013
7.0,,1030.9431123729607,743.0993777028622,,39.5030617378078,29.05588676973193,0.0263,14.0,3.5309488809667013
7.5,,,,,,,0.0263,14.0,3.5309488809667013
8.0,,,195.85664314504447,,,50.68128593337449,0.0263,14.0,3.5309488809667013
8.5,,,,,,,0.0263,14.0,3.5309488809667013
9.0,,,,,,,0.0263,14.0,3.5309488809667013
9.5,,,,,,,0.0263,14.0,3.5309488809667013
10.0,,1250.8154525215464,822.6406652003982,,54.9341703897749,61.7376887840016,0.0263,14.0,3.5309488809667013
10.5,,,,,,,0.0263,14.0,3.5309488809667013
11.0,,,999.5863073498656,,,82.6882308587261,0.0263,14.0,3.5309488809667013
11.5,,,,,,,0.0263,14.0,3.5309488809667013
12.0,,,,,,,0.0263,14.0,3.5309488809667013
12.5,,,,,,,0.0263,14.0,3.5309488809667013
13.0,,,,,,,0.0263,14.0,3.5309488809667013
13.5,,,,,,,0.0263,14.0,3.5309488809667013
14.0,,,,,,,0.0263,14.0,3.5309488809667013
14.5,,,,,,,0.0263,14.0,3.5309488809667013
15.0,,1216.5029645457803,,,50.1694639711228,,0.0263,14.0,3.5309488809667013
15.5,,,,,,,0.0263,14.0,3.5309488809667013
16.0,,,,,,,0.0263,14.0,3.5309488809667013
16.5,,,,,,,0.0263,14.0,3.5309488809667013
17.0,,1066.4727445765518,581.7757503083767,,29.7981521151146,22.5995526330824,0.0263,14.0,3.5309488809667013
17.5,,,,,,,0.0263,14.0,3.5309488809667013
18.0,,,587.3529309755492,,,23.5055343978917,0.0263,14.0,3.5309488809667013
18.5,,,,,,,0.0263,14.0,3.5309488809667013
19.0,,,,,,,0.0263,14.0,3.5309488809667013
19.5,,,,,,,0.0263,14.0,3.5309488809667013
20.0,,1001.7973880327198,433.54926257647634,,31.7063616785019,24.6034204534584,0.0263,14.0,3.5309488809667013
20.5,,,,,,,0.0263,14.0,3.5309488809667013
21.0,,,497.2905387319902,,,25.3882270483765,0.0263,14.0,3.5309488809667013
21.5,,,,,,,0.0263,14.0,3.5309488809667013
22.0,,690.4318848402814,279.93216671048606,,33.7013886573436,21.7702357011289,0.0263,14.0,3.5309488809667013
22.5,,,,,,,0.0263,14.0,3.5309488809667013
23.0,,722.7035291481078,,,23.977454339077,,0.0263,14.0,3.5309488809667013
23.5,,,,,,,0.0263,14.0,3.5309488809667013
24.0,,684.4406333931275,365.9680086242174,,26.4390912441076,24.2985539653529,0.0263,14.0,3.5309488809667013
24.5,,,,,,,0.0263,14.0,3.5309488809667013
25.0,,,,,,,0.0263,14.0,3.5309488809667013
25.5,,,,,,,0.0263,14.0,3.5309488809667013
26.0,,707.1428705529222,311.3365109494913,,26.1394551233809,21.787517076933,0.0263,14.0,3.5309488809667013
26.5,,,,,,,0.0263,14.0,3.5309488809667013
27.0,,,,,,,0.0263,14.0,3.5309488809667013
27.5,,,,,,,0.0263,14.0,3.5309488809667013
28.0,,575.6953958291806,256.4841187921126,,25.2486282583316,23.335773721335,0.0263,14.0,3.5309488809667013
28.5,,,,,,,0.0263,14.0,3.5309488809667013
29.0,,645.002139919409,211.9807341860349,,26.4244644493776,23.134571600134,0.0263,14.0,3.5309488809667013
29.5,,,,,,,0.0263,14.0,3.5309488809667013
30.0,,415.3319372833161,162.88980699722413,,27.442276385609,23.7067602043253,0.0263,14.0,3.5309488809667013
30.5,,,,,,,0.0263,14.0,3.5309488809667013
31.0,,415.45768126022483,132.43802937836605,,29.199459493344,26.4123968929824,0.0263,14.0,3.5309488809667013
31.5,,,,,,,0.0263,14.0,3.5309488809667013
32.0,,491.331762164937,188.4610908396433,,39.4372462609352,28.4914324514091,0.0263,14.0,3.5309488809667013
32.5,,,,,,,0.0263,14.0,3.5309488809667013
33.0,,499.9533064304822,114.63859923308998,,37.2012101201777,34.439356675588,0.0263,14.0,3.5309488809667013
33.5,,,,,,,0.0263,14.0,3.5309488809667013
34.0,,435.63380192234945,191.74599019423425,,36.2998939104152,32.3995827670294,0.0263,14.0,3.5309488809667013
34.5,,,,,,,0.0263,14.0,3.5309488809667013
35.0,,,,,,,0.0263,14.0,3.5309488809667013
35.5,,,,,,,0.0263,14.0,3.5309488809667013
36.0,,,212.80739149721313,,,48.7930762415748,0.0263,14.0,3.5309488809667013
36.5,,,,,,,0.0263,14.0,3.5309488809667013
37.0,,471.71570635374775,34.13184912815332,,43.2487116495231,47.2604136747501,0.0263,14.0,3.5309488809667013
37.5,,,,,,,0.0263,14.0,3.5309488809667013
