relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-95.8218263366451,-18.63293363897303,,40.02759553136785,19.4723265645924,0.0432,12.0,3.7054554375946815
-29.5,,,,,,,0.0432,12.0,3.7054554375946815
-29.0,,,,,,,0.0432,12.0,3.7054554375946815
-28.5,,,,,,,0.0432,12.0,3.7054554375946815
-28.0,,,,,,,0.0432,12.0,3.7054554375946815
-27.5,,,,,,,0.0432,12.0,3.7054554375946815
-27.0,,2.4488768111792396,54.74781207919751,,50.95344953928834,18.0523872401374,0.0432,12.0,3.7054554375946815
-26.5,,,,,,,0.0432,12.0,3.7054554375946815
-26.0,,-86.31489082981017,,,36.96322897040809,,0.0432,12.0,3.7054554375946815
-25.5,,,,,,,0.0432,12.0,3.7054554375946815
-25.0,,-95.06701488770636,,,42.18676591955543,,0.0432,12.0,3.7054554375946815
-24.5,,,,,,,0.0432,12.0,3.7054554375946815
-24.0,,-123.38284031993416,44.902248793570806,,43.0451560025716,19.34903158656562,0.0432,12.0,3.7054554375946815
-23.5,,,,,,,0.0432,12.0,3.7054554375946815
-23.0,,-160.71537724797795,,,60.7624853818102,,0.0432,12.0,3.7054554375946815
-22.5,,,,,,,0.0432,12.0,3.7054554375946815
-22.0,,-104.90930066864219,17.236843370272226,,42.8697732000628,20.1418222170079,0.0432,12.0,3.7054554375946815
-21.5,,,,,,,0.0432,12.0,3.7054554375946815
-21.0,,-63.80034838368811,1.953482328872104,,71.71723763985888,30.017472097553327,0.0432,12.0,3.7054554375946815
-20.5,,,,,,,0.0432,12.0,3.7054554375946815
-20.0,,-15.064188214534777,76.06499058190143,,80.17843167952853,44.553483224398,0.0432,12.0,3.7054554375946815
-19.5,,,,,,,0.0432,12.0,3.7054554375946815
-19.0,,36.61877505874325,5.7652846378104945,,92.58110677464872,65.2604257553424,0.0432,12.0,3.7054554375946815
-18.5,,,,,,,0.0432,12.0,3.7054554375946815
-18.0,,,8.417198989243083,,,77.67159503563367,0.0432,12.0,3.7054554375946815
-17.5,,,,,,,0.0432,12.0,3.7054554375946815
-17.0,,,,,,,0.0432,12.0,3.7054554375946815
-16.5,,,,,,,0.0432,12.0,3.7054554375946815
-16.0,,-142.00412075208206,46.521837429017864,,85.85489308579191,65.8485985117621,0.0432,12.0,3.7054554375946815
-15.5,,,,,,,0.0432,12.0,3.7054554375946815
-15.0,,-44.33083129458189,24.073991773166885,,70.00299942661137,48.28445045213459,0.0432,12.0,3.7054554375946815
-14.5,,,,,,,0.0432,12.0,3.7054554375946815
-14.0,,-50.47461698270163,0.45064958304732516,,80.59018514715655,44.8306469911134,0.0432,12.0,3.7054554375946815
-13.5,,,,,,,0.0432,12.0,3.7054554375946815
-13.0,,-32.19409565881152,,,53.57530492351977,,0.0432,12.0,3.7054554375946815
-12.5,,,,,,,0.0432,12.0,3.7054554375946815
-12.0,,,,,,,0.0432,12.0,3.7054554375946815
-11.5,-287.4414528564489,,,149.99927098275035,,,0.0432,12.0,3.7054554375946815
-11.0,87.68880578544614,-89.94484984256081,,197.8640161929279,42.764572158109715,,0.0432,12.0,3.7054554375946815
-10.5,-11.053063164975015,,,237.66371842140373,,,0.0432,12.0,3.7054554375946815
-10.0,257.5331282788119,-86.9905594894733,,258.75497210997116,39.13641686164521,,0.0432,12.0,3.7054554375946815
-9.5,311.17881561498996,,,233.5559433661659,,,0.0432,12.0,3.7054554375946815
-9.0,381.0872828415992,,68.32729320306629,250.21747616865667,,23.76913396130275,0.0432,12.0,3.7054554375946815
-8.5,557.180841193941,,,224.95945179031747,,,0.0432,12.0,3.7054554375946815
-8.0,563.3753723905174,-71.8330824742485,,229.92282900908572,35.96438171793059,,0.0432,12.0,3.7054554375946815
-7.5,310.07057780527805,,,213.11734298810617,,,0.0432,12.0,3.7054554375946815
-7.0,399.5630018469726,-105.99362434934591,9.15659594032417,203.06754452076524,37.28977165233805,16.51204843835814,0.0432,12.0,3.7054554375946815
-6.5,173.83454166015116,,,179.2839960893166,,,0.0432,12.0,3.7054554375946815
-6.0,115.65606407478076,,,178.0989085765723,,,0.0432,12.0,3.7054554375946815
-5.5,-284.1658301789702,,,169.9500071600551,,,0.0432,12.0,3.7054554375946815
-5.0,-401.22863073709124,,,166.74473920388422,,,0.0432,12.0,3.7054554375946815
-4.5,-219.6715357034031,,,167.01576038851522,,,0.0432,12.0,3.7054554375946815
-4.0,-189.5739956020533,,,165.914362619263,,,0.0432,12.0,3.7054554375946815
-3.5,-378.46053063057315,,,153.8225158375246,,,0.0432,12.0,3.7054554375946815
-3.0,-446.7714913917047,-42.6648584871477,80.32310960434424,157.36954986150045,47.20530488192499,23.360506524693125,0.0432,12.0,3.7054554375946815
-2.5,-552.9339540475257,,,156.0905611272957,,,0.0432,12.0,3.7054554375946815
-2.0,-524.4700755868178,-67.66307534488166,-8.883884408258716,154.8498600480287,40.57224367947085,26.536371920443376,0.0432,12.0,3.7054554375946815
-1.5,-290.50821629280404,,,146.0928534414829,,,0.0432,12.0,3.7054554375946815
-1.0,-455.73273227908004,,,152.74223087956227,,,0.0432,12.0,3.7054554375946815
-0.5,-197.64536283976912,,,153.95171966193482,,,0.0432,12.0,3.7054554375946815
0.0,271.6711436371034,307.56567646051775,509.7302607625385,151.63668271835195,40.26126928931405,22.978869451859637,0.0432,12.0,3.7054554375946815
0.5,536.9413959042434,,,137.6978161584609,,,0.0432,12.0,3.7054554375946815
1.0,,810.6326080471252,878.1102825465728,,45.52503958822335,22.77260424780706,0.0432,12.0,3.7054554375946815
1.5,,,,,,,0.0432,12.0,3.7054554375946815
2.0,1254.523840731706,1343.6426647717199,1598.087101232391,175.94931204827967,50.90527494312336,26.883385066814405,0.0432,12.0,3.7054554375946815
2.5,1771.1719368138192,,,209.0300567775597,,,0.0432,12.0,3.7054554375946815
3.0,1717.0905265572112,2069.5342152016083,2401.2425663516824,237.10950393456284,53.089680433997216,32.20567938396009,0.0432,12.0,3.7054554375946815
3.5,2117.3826533842307,,,229.49033304102403,,,0.0432,12.0,3.7054554375946815
4.0,2729.9711198276686,2621.4929911131194,3102.037853178568,236.5652636429025,59.27420181715523,32.974823221985275,0.0432,12.0,3.7054554375946815
4.5,2713.964065430548,,,210.97356213929245,,,0.0432,12.0,3.7054554375946815
5.0,3055.698581525864,2828.4514341899,3327.2045894062903,218.29599043489173,68.43437378380956,42.374731312784206,0.0432,12.0,3.7054554375946815
5.5,3080.810593706901,,,213.90651842770595,,,0.0432,12.0,3.7054554375946815
6.0,3209.4269177911037,1555.249713027294,1716.3584548903898,209.90762659359987,69.21767640708556,38.808833994550554,0.0432,12.0,3.7054554375946815
6.5,3395.5311231030687,,,191.77586898044493,,,0.0432,12.0,3.7054554375946815
7.0,3392.2811139632317,3928.4197473542085,4036.7245707042875,192.9765765063512,80.2324101284965,39.37397788605948,0.0432,12.0,3.7054554375946815
7.5,3406.091736635697,,,176.66660434487147,,,0.0432,12.0,3.7054554375946815
8.0,3457.7740297473183,,1173.4389626564134,173.1899345508894,,52.0777245061171,0.0432,12.0,3.7054554375946815
8.5,3546.605877875626,,,174.0306743543669,,,0.0432,12.0,3.7054554375946815
9.0,3539.128005922115,,,180.21598818708932,,,0.0432,12.0,3.7054554375946815
9.5,3930.6234118143,,,163.563606871676,,,0.0432,12.0,3.7054554375946815
10.0,4261.426372475218,4376.8195412442465,3959.3490240962324,162.35222907994688,112.56583349356411,78.8657396214066,0.0432,12.0,3.7054554375946815
10.5,4075.344966519918,,,155.783033830338,,,0.0432,12.0,3.7054554375946815
11.0,4181.631073095992,,3808.406657310319,159.08386858067414,,82.1567695516066,0.0432,12.0,3.7054554375946815
11.5,3989.0750577538925,,,156.16997851859486,,,0.0432,12.0,3.7054554375946815
12.0,4061.9515452180926,,,155.79311925832602,,,0.0432,12.0,3.7054554375946815
12.5,3912.9221110026065,,,154.0064199898537,,,0.0432,12.0,3.7054554375946815
13.0,3950.159813592956,,,155.0096905684252,,,0.0432,12.0,3.7054554375946815
13.5,4417.502904401971,,,148.68702932109284,,,0.0432,12.0,3.7054554375946815
14.0,4283.70425978937,,,135.20527029422928,,,0.0432,12.0,3.7054554375946815
14.5,4197.615546658472,,,137.86673338524344,,,0.0432,12.0,3.7054554375946815
15.0,,3790.286305590922,,,90.92635217075264,,0.0432,12.0,3.7054554375946815
15.5,,,,,,,0.0432,12.0,3.7054554375946815
16.0,,,,,,,0.0432,12.0,3.7054554375946815
16.5,,,,,,,0.0432,12.0,3.7054554375946815
17.0,,3539.770225967889,1857.05986748698,,63.63773144076519,28.3197967319984,0.0432,12.0,3.7054554375946815
17.5,,,,,,,0.0432,12.0,3.7054554375946815
18.0,,,1818.8540005237683,,,27.8606857712222,0.0432,12.0,3.7054554375946815
18.5,,,,,,,0.0432,12.0,3.7054554375946815
19.0,,3179.42590244327,,,65.88553707765763,,0.0432,12.0,3.7054554375946815
19.5,,,,,,,0.0432,12.0,3.7054554375946815
20.0,,2996.1890396385775,1414.8089753762586,,65.19319192352631,26.5292113582465,0.0432,12.0,3.7054554375946815
20.5,,,,,,,0.0432,12.0,3.7054554375946815
21.0,,2662.721353928566,1265.4811334665305,,63.6540767874398,28.6592303910649,0.0432,12.0,3.7054554375946815
21.5,,,,,,,0.0432,12.0,3.7054554375946815
22.0,,1840.8501953828536,1025.993108968726,,64.52082971312561,24.8700880093248,0.0432,12.0,3.7054554375946815
22.5,,,,,,,0.0432,12.0,3.7054554375946815
23.0,,2379.1625262201696,,,54.47484239994618,,0.0432,12.0,3.7054554375946815
23.5,,,,,,,0.0432,12.0,3.7054554375946815
24.0,,2317.4471821863776,985.5585185509134,,58.30944739031199,26.0580679144037,0.0432,12.0,3.7054554375946815
24.5,,,,,,,0.0432,12.0,3.7054554375946815
25.0,,,,,,,0.0432,12.0,3.7054554375946815
25.5,,,,,,,0.0432,12.0,3.7054554375946815
26.0,,1955.9042201209797,918.3878478247187,,54.26730107602343,23.9350157340191,0.0432,12.0,3.7054554375946815
26.5,,,,,,,0.0432,12.0,3.7054554375946815
27.0,,,,,,,0.0432,12.0,3.7054554375946815
27.5,,,,,,,0.0432,12.0,3.7054554375946815
28.0,,1776.2341875824459,751.0447916247424,,50.90721619955106,25.3085246345338,0.0432,12.0,3.7054554375946815
28.5,,,,,,,0.0432,12.0,3.7054554375946815
29.0,,1560.2811697719014,750.1732391679523,,51.53883963839092,24.5022138800676,0.0432,12.0,3.7054554375946815
29.5,,,,,,,0.0432,12.0,3.7054554375946815
30.0,,1469.912336307596,561.7040522281773,,50.08122536524601,23.8379784738813,0.0432,12.0,3.7054554375946815
30.5,,,,,,,0.0432,12.0,3.7054554375946815
31.0,,896.7856791622567,567.6493681478231,,48.50470433822235,22.3725461116678,0.0432,12.0,3.7054554375946815
31.5,,,,,,,0.0432,12.0,3.7054554375946815
32.0,,1047.7625367511475,563.0892087005755,,56.15187250063487,25.2523794983384,0.0432,12.0,3.7054554375946815
32.5,,,,,,,0.0432,12.0,3.7054554375946815
33.0,,1001.0755217770684,548.2839152107479,,55.76538025557216,28.4309405576913,0.0432,12.0,3.7054554375946815
33.5,,,,,,,0.0432,12.0,3.7054554375946815
34.0,,1060.8425533040072,508.8811468043455,,56.08804378473907,24.9431954128824,0.0432,12.0,3.7054554375946815
34.5,,,,,,,0.0432,12.0,3.7054554375946815
35.0,,,,,,,0.0432,12.0,3.7054554375946815
35.5,,,,,,,0.0432,12.0,3.7054554375946815
36.0,,,428.743194155459,,,34.6536788839172,0.0432,12.0,3.7054554375946815
36.5,,,,,,,0.0432,12.0,3.7054554375946815
