relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-242.1411146814268,-119.5766415102349,,34.011209316745976,18.8323282441552,0.0154,14.0,4.08326666612244
-29.5,,,,,,,0.0154,14.0,4.08326666612244
-29.0,,-214.9945078325242,-78.71134849286084,,24.390004051857705,18.4744900536663,0.0154,14.0,4.08326666612244
-28.5,,,,,,,0.0154,14.0,4.08326666612244
-28.0,,-92.06488825144015,,,32.93814185487659,,0.0154,14.0,4.08326666612244
-27.5,,,,,,,0.0154,14.0,4.08326666612244
-27.0,,-269.41915275720487,-178.8545559578082,,29.125572973063832,17.45380132594069,0.0154,14.0,4.08326666612244
-26.5,,,,,,,0.0154,14.0,4.08326666612244
-26.0,,-157.91631784747608,-87.25070743401257,,32.79058878582717,19.35586662855584,0.0154,14.0,4.08326666612244
-25.5,,,,,,,0.0154,14.0,4.08326666612244
-25.0,,-164.84375595474825,-179.161938934807,,45.01993817745663,19.012981957293736,0.0154,14.0,4.08326666612244
-24.5,,,,,,,0.0154,14.0,4.08326666612244
-24.0,,-72.68007819511891,-75.9018335781535,,57.98866795364371,36.93240889153943,0.0154,14.0,4.08326666612244
-23.5,,,,,,,0.0154,14.0,4.08326666612244
-23.0,,-132.33377212741487,7.983328179962374,,64.08221122296251,44.20942805650996,0.0154,14.0,4.08326666612244
-22.5,,,,,,,0.0154,14.0,4.08326666612244
-22.0,,-110.4444633625878,,,66.56346303351225,,0.0154,14.0,4.08326666612244
-21.5,,,,,,,0.0154,14.0,4.08326666612244
-21.0,,-178.80698918621337,28.645027665487174,,104.12468385969996,71.31419640423677,0.0154,14.0,4.08326666612244
-20.5,,,,,,,0.0154,14.0,4.08326666612244
-20.0,,-133.0947187431995,,,86.37702996403827,,0.0154,14.0,4.08326666612244
-19.5,,,,,,,0.0154,14.0,4.08326666612244
-19.0,,-148.44688357302482,6.752291669553285,,69.11758492131803,60.32957837713359,0.0154,14.0,4.08326666612244
-18.5,,,,,,,0.0154,14.0,4.08326666612244
-18.0,,-91.54456299086719,-55.208287924949424,,54.21523583602444,41.79867731682199,0.0154,14.0,4.08326666612244
-17.5,,,,,,,0.0154,14.0,4.08326666612244
-17.0,,-134.39933605892026,-3.7173373755152426,,43.17974396604783,43.06177944925705,0.0154,14.0,4.08326666612244
-16.5,,,,,,,0.0154,14.0,4.08326666612244
-16.0,,-203.3591891835713,-131.64318112877385,,43.04275348505326,27.365123080780158,0.0154,14.0,4.08326666612244
-15.5,,,,,,,0.0154,14.0,4.08326666612244
-15.0,,,,,,,0.0154,14.0,4.08326666612244
-14.5,,,,,,,0.0154,14.0,4.08326666612244
-14.0,,,,,,,0.0154,14.0,4.08326666612244
-13.5,,,,,,,0.0154,14.0,4.08326666612244
-13.0,,-101.97513015230608,-89.2816377500096,,28.97320818673634,67.998278951367,0.0154,14.0,4.08326666612244
-12.5,,,,,,,0.0154,14.0,4.08326666612244
-12.0,,-199.37956600217979,-42.80692082882684,,27.281815289281166,19.21508636880226,0.0154,14.0,4.08326666612244
-11.5,,,,,,,0.0154,14.0,4.08326666612244
-11.0,,-200.11408827569724,-61.89633707557785,,28.08218212916984,17.116178036376947,0.0154,14.0,4.08326666612244
-10.5,,,,,,,0.0154,14.0,4.08326666612244
-10.0,,-117.69828001086815,-132.4638786666484,,24.61323529752403,16.23005367159964,0.0154,14.0,4.08326666612244
-9.5,,,,,,,0.0154,14.0,4.08326666612244
-9.0,,,,,,,0.0154,14.0,4.08326666612244
-8.5,,,,,,,0.0154,14.0,4.08326666612244
-8.0,,,,,,,0.0154,14.0,4.08326666612244
-7.5,,,,,,,0.0154,14.0,4.08326666612244
-7.0,,,,,,,0.0154,14.0,4.08326666612244
-6.5,,,,,,,0.0154,14.0,4.08326666612244
-6.0,,-212.14975346132906,-148.06122415888328,,35.76410007129231,18.299645884352373,0.0154,14.0,4.08326666612244
-5.5,,,,,,,0.0154,14.0,4.08326666612244
-5.0,,-232.55180928051158,-103.53779405057979,,25.766303124146607,18.636501597384694,0.0154,14.0,4.08326666612244
-4.5,,,,,,,0.0154,14.0,4.08326666612244
