relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-8.813812944090266,5.971187647093064,,47.821549793039416,64.51369965007461,0.0204,11.5,5.290598579871028
-29.5,,,,,,,0.0204,11.5,5.290598579871028
-29.0,,12.601046553462275,18.43514295433258,,39.36577906755958,37.64506641823971,0.0204,11.5,5.290598579871028
-28.5,,,,,,,0.0204,11.5,5.290598579871028
-28.0,,-0.23298016028469348,-13.477544523343575,,34.013729545763496,51.483375526963464,0.0204,11.5,5.290598579871028
-27.5,,,,,,,0.0204,11.5,5.290598579871028
-27.0,,7.543257110090145,-0.29970668413842816,,37.65719251895035,32.15917802208733,0.0204,11.5,5.290598579871028
-26.5,,,,,,,0.0204,11.5,5.290598579871028
-26.0,,,,,,,0.0204,11.5,5.290598579871028
-25.5,,,,,,,0.0204,11.5,5.290598579871028
-25.0,,,,,,,0.0204,11.5,5.290598579871028
-24.5,,,,,,,0.0204,11.5,5.290598579871028
-24.0,,,,,,,0.0204,11.5,5.290598579871028
-23.5,,,,,,,0.0204,11.5,5.290598579871028
-23.0,,16.476103621656844,-11.118167322648642,,24.302702051380702,23.402506058764793,0.0204,11.5,5.290598579871028
-22.5,,,,,,,0.0204,11.5,5.290598579871028
-22.0,,16.085373891854722,12.467206493737507,,23.166028345186415,21.549542009643844,0.0204,11.5,5.290598579871028
-21.5,,,,,,,0.0204,11.5,5.290598579871028
-21.0,,-25.559471515747195,11.533405802848106,,20.205446308538473,16.00673075510115,0.0204,11.5,5.290598579871028
-20.5,,,,,,,0.0204,11.5,5.290598579871028
-20.0,,,,,,,0.0204,11.5,5.290598579871028
-19.5,,,,,,,0.0204,11.5,5.290598579871028
-19.0,,,,,,,0.0204,11.5,5.290598579871028
-18.5,,,,,,,0.0204,11.5,5.290598579871028
-18.0,,,,,,,0.0204,11.5,5.290598579871028
-17.5,,,,,,,0.0204,11.5,5.290598579871028
