relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-29.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-29.0,,16.37036417742171,,,24.183303720918,,0.0323,1.2999999999999972,3.1978742939646643
-28.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-28.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-27.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-27.0,,8.408293812332161,-24.715029889077993,,23.233120565441187,19.0388026981178,0.0323,1.2999999999999972,3.1978742939646643
-26.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-26.0,,-24.822480178998802,6.206306543279572,,20.1601497714305,16.9252499146664,0.0323,1.2999999999999972,3.1978742939646643
-25.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-25.0,,-12.817981045445416,-1.7117937281579103,,18.7718658434311,15.491464952989,0.0323,1.2999999999999972,3.1978742939646643
-24.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-24.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-23.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-23.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-22.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-22.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-21.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-21.0,,9.064621863225627,-2.8065886994399474,,21.7412729030845,19.3450461377333,0.0323,1.2999999999999972,3.1978742939646643
-20.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-20.0,,0.5403410209943282,13.427142242290351,,21.2485926180155,19.8728495284357,0.0323,1.2999999999999972,3.1978742939646643
-19.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-19.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-18.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-18.0,,,-2.836756021361243,,,24.497181557464,0.0323,1.2999999999999972,3.1978742939646643
-17.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-17.0,,-18.405592572281456,-7.923845948342643,,17.5040818208187,19.2110517494501,0.0323,1.2999999999999972,3.1978742939646643
-16.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-16.0,,-32.411458588215794,-20.462848286783114,,21.6430437140561,15.8915986890855,0.0323,1.2999999999999972,3.1978742939646643
-15.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-15.0,,-18.750750642372203,-2.021530705404185,,22.3470329070014,16.3586234541875,0.0323,1.2999999999999972,3.1978742939646643
-14.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-14.0,,-17.874824626385102,17.74372630092612,,19.2874477520907,14.7961497770897,0.0323,1.2999999999999972,3.1978742939646643
-13.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-13.0,,-3.3627770417076155,-55.20887602203206,,24.9578780341634,27.7573584869368,0.0323,1.2999999999999972,3.1978742939646643
-12.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-12.0,,-13.49211516781166,-22.577827477524522,,37.3558334225734,30.7247136135619,0.0323,1.2999999999999972,3.1978742939646643
-11.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-11.0,,-6.089523994362244,-10.323951766623106,,20.8856415412688,21.592643422183,0.0323,1.2999999999999972,3.1978742939646643
-10.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-10.0,,,-30.832961464477595,,,26.1007370597389,0.0323,1.2999999999999972,3.1978742939646643
-9.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-9.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-8.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-8.0,,4.940973090479774,,,41.245339694711,,0.0323,1.2999999999999972,3.1978742939646643
-7.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-7.0,,,-48.842838585049876,,,80.0743090324097,0.0323,1.2999999999999972,3.1978742939646643
-6.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-6.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-5.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-5.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-4.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-4.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-3.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-3.0,,72.07378401377235,148.29290696363424,,39.599802026329,44.6138373116756,0.0323,1.2999999999999972,3.1978742939646643
-2.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-2.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-1.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
-1.0,,301.941581181018,410.34311964432413,,28.5418464188176,22.0134787066871,0.0323,1.2999999999999972,3.1978742939646643
-0.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
0.0,,438.6143792666243,520.1071531682751,,26.4924521607716,21.649894321742,0.0323,1.2999999999999972,3.1978742939646643
0.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
1.0,,461.0805680234313,583.3633812684211,,22.532625424033,25.3930409071358,0.0323,1.2999999999999972,3.1978742939646643
1.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
2.0,,486.39453736616446,607.785605712595,,26.3197883117688,22.8271597578481,0.0323,1.2999999999999972,3.1978742939646643
2.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
3.0,,435.6413955328804,,,21.9391870949947,,0.0323,1.2999999999999972,3.1978742939646643
3.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
4.0,,245.489320673454,362.1190260724688,,29.5448344851509,19.913355708631,0.0323,1.2999999999999972,3.1978742939646643
4.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
5.0,,,505.5531752312136,,,18.3569844311719,0.0323,1.2999999999999972,3.1978742939646643
5.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
6.0,,,487.7257511398018,,,18.0329409752833,0.0323,1.2999999999999972,3.1978742939646643
6.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
7.0,,411.6940888926778,450.86676528234256,,19.9654338114462,19.9536959918148,0.0323,1.2999999999999972,3.1978742939646643
7.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
8.0,,405.46643743372033,404.323345877024,,20.6047873907714,18.6900502798293,0.0323,1.2999999999999972,3.1978742939646643
8.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
9.0,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
9.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
10.0,,359.3345467350197,314.42426663847607,,21.3608474709423,18.0466171188223,0.0323,1.2999999999999972,3.1978742939646643
10.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
11.0,,350.65978786745933,315.8919150691749,,21.4715906855644,19.9692999115761,0.0323,1.2999999999999972,3.1978742939646643
11.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
12.0,,332.92316071187713,263.2711522096535,,24.2663805754567,19.2202866163775,0.0323,1.2999999999999972,3.1978742939646643
12.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
13.0,,356.70000178873073,301.5874236787019,,19.8255335208116,17.9908680906797,0.0323,1.2999999999999972,3.1978742939646643
13.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
14.0,,206.69985407417462,256.5920340130228,,36.7414982105356,19.6375800165029,0.0323,1.2999999999999972,3.1978742939646643
14.5,,,,,,,0.0323,1.2999999999999972,3.1978742939646643
15.0,,273.4722671018947,221.18238322635165,,23.6543001162694,22.2981004744621,0.0323,1.2999999999999972,3.1978742939646643
