relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0803,12.1,2.406204941858075
-29.5,,,,,,,0.0803,12.1,2.406204941858075
-29.0,,-20.72033377105716,-26.558725443565493,,51.1343702501771,51.0903011098249,0.0803,12.1,2.406204941858075
-28.5,,,,,,,0.0803,12.1,2.406204941858075
-28.0,,,,,,,0.0803,12.1,2.406204941858075
-27.5,,,,,,,0.0803,12.1,2.406204941858075
-27.0,,-3.8982465651936145,-72.40108815152138,,25.3953368587414,20.4296569254254,0.0803,12.1,2.406204941858075
-26.5,,,,,,,0.0803,12.1,2.406204941858075
-26.0,,4.460755203684186,-29.811432298462172,,17.1880675156164,23.1480760372307,0.0803,12.1,2.406204941858075
-25.5,,,,,,,0.0803,12.1,2.406204941858075
-25.0,,,,,,,0.0803,12.1,2.406204941858075
-24.5,,,,,,,0.0803,12.1,2.406204941858075
-24.0,,4.589530834915649,26.708629454314785,,24.3017525897621,18.6356462660213,0.0803,12.1,2.406204941858075
-23.5,,,,,,,0.0803,12.1,2.406204941858075
-23.0,,-3.7594083122877193,-65.98337774947666,,24.515117594498,23.1001604899529,0.0803,12.1,2.406204941858075
-22.5,,,,,,,0.0803,12.1,2.406204941858075
-22.0,,16.7650379394115,,,26.7103381814171,,0.0803,12.1,2.406204941858075
-21.5,,,,,,,0.0803,12.1,2.406204941858075
-21.0,,-21.25273783221138,,,20.2389742984236,,0.0803,12.1,2.406204941858075
-20.5,,,,,,,0.0803,12.1,2.406204941858075
-20.0,,-4.080178619855009,42.065183098388005,,18.1493790593904,19.8400297934015,0.0803,12.1,2.406204941858075
-19.5,,,,,,,0.0803,12.1,2.406204941858075
-19.0,,-17.558575045322975,-15.917797660012225,,19.992208904172745,21.4469904584243,0.0803,12.1,2.406204941858075
-18.5,,,,,,,0.0803,12.1,2.406204941858075
-18.0,,4.563834104881049,-32.398599132979264,,22.055380030967,20.2905930184421,0.0803,12.1,2.406204941858075
-17.5,,,,,,,0.0803,12.1,2.406204941858075
-17.0,,,,,,,0.0803,12.1,2.406204941858075
-16.5,,,,,,,0.0803,12.1,2.406204941858075
-16.0,,-53.31274040555603,-27.2550398866199,,20.8268014671552,22.037890840506,0.0803,12.1,2.406204941858075
-15.5,,,,,,,0.0803,12.1,2.406204941858075
-15.0,,26.726897991536028,-12.240067500160963,,19.416062503122,21.8997596460246,0.0803,12.1,2.406204941858075
-14.5,,,,,,,0.0803,12.1,2.406204941858075
-14.0,,57.853542382765106,-40.51992525336502,,20.0261440119559,20.3831607465211,0.0803,12.1,2.406204941858075
-13.5,,,,,,,0.0803,12.1,2.406204941858075
-13.0,,-32.9506864193736,15.972732269057566,,28.0725657326248,28.2808797901648,0.0803,12.1,2.406204941858075
-12.5,,,,,,,0.0803,12.1,2.406204941858075
-12.0,,-14.77950272084509,20.586856041834896,,46.4731968370338,28.7385551428134,0.0803,12.1,2.406204941858075
-11.5,,,,,,,0.0803,12.1,2.406204941858075
-11.0,,-24.45154846490414,-32.74138277646457,,39.2613474719417,37.4490621197564,0.0803,12.1,2.406204941858075
-10.5,,,,,,,0.0803,12.1,2.406204941858075
-10.0,,-57.103986471391764,46.17357488315492,,37.1431350394917,40.035412865516,0.0803,12.1,2.406204941858075
-9.5,,,,,,,0.0803,12.1,2.406204941858075
-9.0,,,72.79777449980489,,,68.6763604902818,0.0803,12.1,2.406204941858075
-8.5,,,,,,,0.0803,12.1,2.406204941858075
-8.0,,,-26.886583233549143,,,45.1926521459088,0.0803,12.1,2.406204941858075
-7.5,,,,,,,0.0803,12.1,2.406204941858075
-7.0,,85.48065939709598,99.95168433199503,,35.9647053953632,51.7013519581284,0.0803,12.1,2.406204941858075
-6.5,,,,,,,0.0803,12.1,2.406204941858075
-6.0,,136.12136828385152,195.61674730645416,,48.8284739747345,55.052220167948,0.0803,12.1,2.406204941858075
-5.5,,,,,,,0.0803,12.1,2.406204941858075
-5.0,,,222.67962550652962,,,78.1079990849415,0.0803,12.1,2.406204941858075
-4.5,,,,,,,0.0803,12.1,2.406204941858075
-4.0,,336.6115366763617,382.0391924982031,,52.15864379869,88.0811864131977,0.0803,12.1,2.406204941858075
-3.5,,,,,,,0.0803,12.1,2.406204941858075
-3.0,,272.2848724240425,432.0359192667183,,74.6308845119834,96.5380136631891,0.0803,12.1,2.406204941858075
-2.5,,,,,,,0.0803,12.1,2.406204941858075
-2.0,,,,,,,0.0803,12.1,2.406204941858075
-1.5,,,,,,,0.0803,12.1,2.406204941858075
-1.0,,,,,,,0.0803,12.1,2.406204941858075
-0.5,,,,,,,0.0803,12.1,2.406204941858075
0.0,,927.5894176947359,743.1741477537576,,40.4169054301432,51.767658965118,0.0803,12.1,2.406204941858075
0.5,,,,,,,0.0803,12.1,2.406204941858075
1.0,,1099.5430935151737,,,31.8102554167626,,0.0803,12.1,2.406204941858075
1.5,,,,,,,0.0803,12.1,2.406204941858075
2.0,,,,,,,0.0803,12.1,2.406204941858075
2.5,,,,,,,0.0803,12.1,2.406204941858075
3.0,,,1269.18488631203,,,27.3400356951582,0.0803,12.1,2.406204941858075
3.5,,,,,,,0.0803,12.1,2.406204941858075
4.0,,,,,,,0.0803,12.1,2.406204941858075
4.5,,,,,,,0.0803,12.1,2.406204941858075
5.0,,,,,,,0.0803,12.1,2.406204941858075
5.5,,,,,,,0.0803,12.1,2.406204941858075
6.0,,1788.3810216427084,1873.5365016333926,,32.9122644043181,33.2592709668184,0.0803,12.1,2.406204941858075
6.5,,,,,,,0.0803,12.1,2.406204941858075
7.0,,,1905.7287323393555,,,30.3597933072563,0.0803,12.1,2.406204941858075
7.5,,,,,,,0.0803,12.1,2.406204941858075
8.0,,,,,,,0.0803,12.1,2.406204941858075
8.5,,,,,,,0.0803,12.1,2.406204941858075
9.0,,1986.4525101097163,2086.3761378954114,,29.2150885705076,29.5294022963498,0.0803,12.1,2.406204941858075
9.5,,,,,,,0.0803,12.1,2.406204941858075
10.0,,,,,,,0.0803,12.1,2.406204941858075
10.5,,,,,,,0.0803,12.1,2.406204941858075
11.0,,,,,,,0.0803,12.1,2.406204941858075
11.5,,,,,,,0.0803,12.1,2.406204941858075
12.0,,,1907.5316234756242,,,35.8503410312234,0.0803,12.1,2.406204941858075
12.5,,,,,,,0.0803,12.1,2.406204941858075
13.0,,,,,,,0.0803,12.1,2.406204941858075
13.5,,,,,,,0.0803,12.1,2.406204941858075
14.0,,,,,,,0.0803,12.1,2.406204941858075
14.5,,,,,,,0.0803,12.1,2.406204941858075
15.0,,2048.332036538701,1824.971213398655,,29.5357956350497,28.3467213507364,0.0803,12.1,2.406204941858075
15.5,,,,,,,0.0803,12.1,2.406204941858075
16.0,,,,,,,0.0803,12.1,2.406204941858075
16.5,,,,,,,0.0803,12.1,2.406204941858075
17.0,,,,,,,0.0803,12.1,2.406204941858075
17.5,,,,,,,0.0803,12.1,2.406204941858075
18.0,,1605.7135654511767,1558.3224026048792,,37.9809348346141,34.8436604723954,0.0803,12.1,2.406204941858075
18.5,,,,,,,0.0803,12.1,2.406204941858075
19.0,,,,,,,0.0803,12.1,2.406204941858075
19.5,,,,,,,0.0803,12.1,2.406204941858075
20.0,,,,,,,0.0803,12.1,2.406204941858075
20.5,,,,,,,0.0803,12.1,2.406204941858075
21.0,,,,,,,0.0803,12.1,2.406204941858075
21.5,,,,,,,0.0803,12.1,2.406204941858075
22.0,,,,,,,0.0803,12.1,2.406204941858075
22.5,,,,,,,0.0803,12.1,2.406204941858075
23.0,,,1190.3983644729378,,,49.07459311631644,0.0803,12.1,2.406204941858075
23.5,,,,,,,0.0803,12.1,2.406204941858075
24.0,,,,,,,0.0803,12.1,2.406204941858075
24.5,,,,,,,0.0803,12.1,2.406204941858075
25.0,,1172.599513720637,904.0009970871054,,49.8444636664476,76.3301075552267,0.0803,12.1,2.406204941858075
25.5,,,,,,,0.0803,12.1,2.406204941858075
26.0,,,,,,,0.0803,12.1,2.406204941858075
26.5,,,,,,,0.0803,12.1,2.406204941858075
27.0,,,718.0054633634821,,,81.0249313495366,0.0803,12.1,2.406204941858075
27.5,,,,,,,0.0803,12.1,2.406204941858075
28.0,,1209.8900476410872,674.7283997416839,,45.9882585919812,72.4753855196092,0.0803,12.1,2.406204941858075
28.5,,,,,,,0.0803,12.1,2.406204941858075
29.0,,,,,,,0.0803,12.1,2.406204941858075
29.5,,,,,,,0.0803,12.1,2.406204941858075
30.0,,,,,,,0.0803,12.1,2.406204941858075
30.5,,,,,,,0.0803,12.1,2.406204941858075
31.0,,1167.6757003104708,542.9527810159644,,28.0011831640107,23.7821192935188,0.0803,12.1,2.406204941858075
31.5,,,,,,,0.0803,12.1,2.406204941858075
32.0,,,,,,,0.0803,12.1,2.406204941858075
32.5,,,,,,,0.0803,12.1,2.406204941858075
33.0,,,,,,,0.0803,12.1,2.406204941858075
33.5,,,,,,,0.0803,12.1,2.406204941858075
34.0,,,376.2997507926617,,,25.7751916997136,0.0803,12.1,2.406204941858075
34.5,,,,,,,0.0803,12.1,2.406204941858075
35.0,,,,,,,0.0803,12.1,2.406204941858075
35.5,,,,,,,0.0803,12.1,2.406204941858075
36.0,,,,,,,0.0803,12.1,2.406204941858075
36.5,,,,,,,0.0803,12.1,2.406204941858075
37.0,,878.6066748330644,273.0900408998462,,28.5626435054895,22.6700012865506,0.0803,12.1,2.406204941858075
37.5,,,,,,,0.0803,12.1,2.406204941858075
38.0,,,,,,,0.0803,12.1,2.406204941858075
38.5,,,,,,,0.0803,12.1,2.406204941858075
39.0,,,,,,,0.0803,12.1,2.406204941858075
39.5,,,,,,,0.0803,12.1,2.406204941858075
