relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0285,6.0,2.4677902846248685
-29.5,,,,,,,0.0285,6.0,2.4677902846248685
-29.0,,38.921502087983136,49.418353713986505,,50.03372556325465,67.74941970126022,0.0285,6.0,2.4677902846248685
-28.5,,,,,,,0.0285,6.0,2.4677902846248685
-28.0,,47.70258846456015,-47.05220172627739,,52.74083642633161,75.09772763628574,0.0285,6.0,2.4677902846248685
-27.5,,,,,,,0.0285,6.0,2.4677902846248685
-27.0,,,,,,,0.0285,6.0,2.4677902846248685
-26.5,,,,,,,0.0285,6.0,2.4677902846248685
-26.0,,,,,,,0.0285,6.0,2.4677902846248685
-25.5,,,,,,,0.0285,6.0,2.4677902846248685
-25.0,,59.741575029148805,-116.13095258778992,,54.931315361893304,100.214352548032,0.0285,6.0,2.4677902846248685
-24.5,,,,,,,0.0285,6.0,2.4677902846248685
-24.0,,-41.42558698654266,49.360075162486346,,50.430278780210635,56.63330361080217,0.0285,6.0,2.4677902846248685
-23.5,,,,,,,0.0285,6.0,2.4677902846248685
-23.0,,,-65.07183313632707,,,48.2632494496949,0.0285,6.0,2.4677902846248685
-22.5,,,,,,,0.0285,6.0,2.4677902846248685
-22.0,,-4.730336897139026,-21.31302325075139,,30.878637102749206,29.65009916400558,0.0285,6.0,2.4677902846248685
-21.5,,,,,,,0.0285,6.0,2.4677902846248685
-21.0,,-20.058903056671518,38.28124797717416,,25.84821518004949,28.67155918092772,0.0285,6.0,2.4677902846248685
-20.5,,,,,,,0.0285,6.0,2.4677902846248685
-20.0,,4.7426763340752185,10.829667797127485,,30.3811570404365,32.40949609922776,0.0285,6.0,2.4677902846248685
-19.5,,,,,,,0.0285,6.0,2.4677902846248685
-19.0,,-8.436983033767307,-0.20087039024990894,,32.39610936600866,29.948986898331032,0.0285,6.0,2.4677902846248685
-18.5,,,,,,,0.0285,6.0,2.4677902846248685
-18.0,,14.470580024066367,2.240824495573146,,29.1336616378366,30.482020560933798,0.0285,6.0,2.4677902846248685
-17.5,,,,,,,0.0285,6.0,2.4677902846248685
-17.0,,45.52399967441559,16.90158842869775,,39.3147339141046,27.49541503859488,0.0285,6.0,2.4677902846248685
-16.5,,,,,,,0.0285,6.0,2.4677902846248685
-16.0,,-10.645104219693067,11.999640292036773,,26.972605582517463,26.17044126160922,0.0285,6.0,2.4677902846248685
-15.5,,,,,,,0.0285,6.0,2.4677902846248685
-15.0,,-99.34653433432074,-2.9462351711160863,,32.4715187301715,29.533659478013618,0.0285,6.0,2.4677902846248685
