relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.05,-4.95,3.9727893922980058
-29.5,,,,,,,0.05,-4.95,3.9727893922980058
-29.0,,,,,,,0.05,-4.95,3.9727893922980058
-28.5,,,,,,,0.05,-4.95,3.9727893922980058
-28.0,,,,,,,0.05,-4.95,3.9727893922980058
-27.5,,,,,,,0.05,-4.95,3.9727893922980058
-27.0,,,,,,,0.05,-4.95,3.9727893922980058
-26.5,,,,,,,0.05,-4.95,3.9727893922980058
-26.0,,,,,,,0.05,-4.95,3.9727893922980058
-25.5,,,,,,,0.05,-4.95,3.9727893922980058
-25.0,,,,,,,0.05,-4.95,3.9727893922980058
-24.5,,,,,,,0.05,-4.95,3.9727893922980058
-24.0,,,,,,,0.05,-4.95,3.9727893922980058
-23.5,,,,,,,0.05,-4.95,3.9727893922980058
-23.0,,,,,,,0.05,-4.95,3.9727893922980058
-22.5,,,,,,,0.05,-4.95,3.9727893922980058
-22.0,,,,,,,0.05,-4.95,3.9727893922980058
-21.5,,,,,,,0.05,-4.95,3.9727893922980058
-21.0,,,,,,,0.05,-4.95,3.9727893922980058
-20.5,,,,,,,0.05,-4.95,3.9727893922980058
-20.0,,,,,,,0.05,-4.95,3.9727893922980058
-19.5,,,,,,,0.05,-4.95,3.9727893922980058
-19.0,,,,,,,0.05,-4.95,3.9727893922980058
-18.5,,,,,,,0.05,-4.95,3.9727893922980058
-18.0,,,,,,,0.05,-4.95,3.9727893922980058
-17.5,,,,,,,0.05,-4.95,3.9727893922980058
-17.0,,,,,,,0.05,-4.95,3.9727893922980058
-16.5,,,,,,,0.05,-4.95,3.9727893922980058
-16.0,,,,,,,0.05,-4.95,3.9727893922980058
-15.5,,,,,,,0.05,-4.95,3.9727893922980058
-15.0,,,,,,,0.05,-4.95,3.9727893922980058
-14.5,,,,,,,0.05,-4.95,3.9727893922980058
-14.0,,,,,,,0.05,-4.95,3.9727893922980058
-13.5,,,,,,,0.05,-4.95,3.9727893922980058
-13.0,,,,,,,0.05,-4.95,3.9727893922980058
-12.5,,,,,,,0.05,-4.95,3.9727893922980058
-12.0,,,,,,,0.05,-4.95,3.9727893922980058
-11.5,,,,,,,0.05,-4.95,3.9727893922980058
-11.0,,,,,,,0.05,-4.95,3.9727893922980058
-10.5,,,,,,,0.05,-4.95,3.9727893922980058
-10.0,,,,,,,0.05,-4.95,3.9727893922980058
-9.5,,,,,,,0.05,-4.95,3.9727893922980058
-9.0,,,,,,,0.05,-4.95,3.9727893922980058
-8.5,,,,,,,0.05,-4.95,3.9727893922980058
-8.0,,,,,,,0.05,-4.95,3.9727893922980058
-7.5,,,,,,,0.05,-4.95,3.9727893922980058
-7.0,,,,,,,0.05,-4.95,3.9727893922980058
-6.5,,,,,,,0.05,-4.95,3.9727893922980058
-6.0,,,,,,,0.05,-4.95,3.9727893922980058
-5.5,,,,,,,0.05,-4.95,3.9727893922980058
-5.0,,,,,,,0.05,-4.95,3.9727893922980058
-4.5,3175.2205646300504,,,37.90849953065655,,,0.05,-4.95,3.9727893922980058
-4.0,3525.3630425626384,,,38.02256343168999,,,0.05,-4.95,3.9727893922980058
-3.5,3533.995760377055,,,38.03687293587916,,,0.05,-4.95,3.9727893922980058
-3.0,3435.4830076842404,,,38.09305933053682,,,0.05,-4.95,3.9727893922980058
-2.5,3367.5058343230053,,,38.40651248270607,,,0.05,-4.95,3.9727893922980058
-2.0,3307.1966512220038,,,38.696247979316595,,,0.05,-4.95,3.9727893922980058
-1.5,3267.6978902506667,,,38.77275485610964,,,0.05,-4.95,3.9727893922980058
-1.0,3217.9884150038843,,,38.97757032587652,,,0.05,-4.95,3.9727893922980058
-0.5,3206.669561662317,,,39.068234091880385,,,0.05,-4.95,3.9727893922980058
0.0,3194.1586561547656,5081.240528908298,7000.693134101181,39.45727868730492,55.2954506535857,83.0370581174422,0.05,-4.95,3.9727893922980058
0.5,3159.6167539858566,,,39.54046308303526,,,0.05,-4.95,3.9727893922980058
1.0,3146.092302974876,,,40.4329135332093,,,0.05,-4.95,3.9727893922980058
1.5,3091.6011605630683,,,40.644319201543745,,,0.05,-4.95,3.9727893922980058
2.0,2994.727316500678,,,41.58379673113279,,,0.05,-4.95,3.9727893922980058
2.5,2974.5844031197685,,,41.40420644115455,,,0.05,-4.95,3.9727893922980058
3.0,2866.1057498087625,3246.9411434947415,3986.6640569601404,43.1871062470463,43.9680534081318,45.1218830906956,0.05,-4.95,3.9727893922980058
3.5,2833.0922416905755,,,43.241588387607386,,,0.05,-4.95,3.9727893922980058
4.0,2828.6137696910546,,,45.44355430586841,,,0.05,-4.95,3.9727893922980058
4.5,2808.666593714114,,,45.44154040467063,,,0.05,-4.95,3.9727893922980058
5.0,2804.5235632873123,,,48.33131890559307,,,0.05,-4.95,3.9727893922980058
5.5,2767.18124090569,,,47.57380824238724,,,0.05,-4.95,3.9727893922980058
6.0,2776.1214388890066,,,50.06184258468329,,,0.05,-4.95,3.9727893922980058
6.5,2729.4991586440224,,,47.47018080925197,,,0.05,-4.95,3.9727893922980058
7.0,2746.49475288344,,,46.9076187437708,,,0.05,-4.95,3.9727893922980058
7.5,2775.9019592670275,,,39.88912436624186,,,0.05,-4.95,3.9727893922980058
8.0,,1905.7100728914081,,,40.742538581939,,0.05,-4.95,3.9727893922980058
8.5,2670.110393310859,,,38.44124456102849,,,0.05,-4.95,3.9727893922980058
9.0,2665.582999183782,,,38.56525210593752,,,0.05,-4.95,3.9727893922980058
9.5,2611.3512368188062,,,38.57888407951165,,,0.05,-4.95,3.9727893922980058
10.0,2540.3665647569605,,,38.531431830260885,,,0.05,-4.95,3.9727893922980058
10.5,2465.319892789378,,,38.79975040439124,,,0.05,-4.95,3.9727893922980058
11.0,2399.2272824580245,131.31001601851386,,39.12509289277995,35.1510689662271,,0.05,-4.95,3.9727893922980058
11.5,2400.6292395708765,,,39.21030935372891,,,0.05,-4.95,3.9727893922980058
12.0,2405.257707521162,,,39.57845715062696,,,0.05,-4.95,3.9727893922980058
12.5,2397.267805053437,,,39.73801357351021,,,0.05,-4.95,3.9727893922980058
13.0,2417.023627759316,,,40.27359871210964,,,0.05,-4.95,3.9727893922980058
13.5,2399.9551002400503,,,40.40299164983677,,,0.05,-4.95,3.9727893922980058
14.0,2439.626002602826,,,41.007325893411846,,,0.05,-4.95,3.9727893922980058
14.5,2448.2070604838477,,,40.98695106474543,,,0.05,-4.95,3.9727893922980058
15.0,2415.1134430843335,,,42.17468624736543,,,0.05,-4.95,3.9727893922980058
15.5,2460.228416871672,,,42.200949663350194,,,0.05,-4.95,3.9727893922980058
16.0,2507.151340636307,,,44.15585102833568,,,0.05,-4.95,3.9727893922980058
16.5,2427.269990564087,,,44.31932866013872,,,0.05,-4.95,3.9727893922980058
17.0,2411.071237708728,,,47.19664315995977,,,0.05,-4.95,3.9727893922980058
17.5,2386.515382322673,,,47.443880978959015,,,0.05,-4.95,3.9727893922980058
18.0,2397.446938314097,,,50.3125221189975,,,0.05,-4.95,3.9727893922980058
18.5,2393.6777681609506,,,49.83178822208797,,,0.05,-4.95,3.9727893922980058
19.0,2446.590465535901,,,50.48630749483624,,,0.05,-4.95,3.9727893922980058
19.5,2419.574358743615,,,49.646214119374704,,,0.05,-4.95,3.9727893922980058
20.0,2366.9918335326365,,,49.75213180180737,,,0.05,-4.95,3.9727893922980058
20.5,,,,,,,0.05,-4.95,3.9727893922980058
21.0,,,,,,,0.05,-4.95,3.9727893922980058
21.5,,,,,,,0.05,-4.95,3.9727893922980058
22.0,,,,,,,0.05,-4.95,3.9727893922980058
22.5,,,,,,,0.05,-4.95,3.9727893922980058
23.0,,,,,,,0.05,-4.95,3.9727893922980058
23.5,,,,,,,0.05,-4.95,3.9727893922980058
24.0,,,,,,,0.05,-4.95,3.9727893922980058
24.5,,,,,,,0.05,-4.95,3.9727893922980058
25.0,,,,,,,0.05,-4.95,3.9727893922980058
25.5,,,,,,,0.05,-4.95,3.9727893922980058
26.0,,,,,,,0.05,-4.95,3.9727893922980058
26.5,,,,,,,0.05,-4.95,3.9727893922980058
27.0,,,,,,,0.05,-4.95,3.9727893922980058
27.5,,,,,,,0.05,-4.95,3.9727893922980058
28.0,,,,,,,0.05,-4.95,3.9727893922980058
28.5,,,,,,,0.05,-4.95,3.9727893922980058
29.0,,,,,,,0.05,-4.95,3.9727893922980058
29.5,,,,,,,0.05,-4.95,3.9727893922980058
30.0,,,,,,,0.05,-4.95,3.9727893922980058
