relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-53.37140113004708,-16.386806973798734,,24.6285717124642,18.5549010290168,0.0365,10.0,3.0599110371962706
-29.5,,,,,,,0.0365,10.0,3.0599110371962706
-29.0,,-59.17805905276016,8.935081927250385,,22.1293086302659,21.7536465891552,0.0365,10.0,3.0599110371962706
-28.5,,,,,,,0.0365,10.0,3.0599110371962706
-28.0,,-39.597672796708295,-1.9111542132288806,,25.5173016342731,24.4004665467287,0.0365,10.0,3.0599110371962706
-27.5,,,,,,,0.0365,10.0,3.0599110371962706
-27.0,,-40.67315294127075,61.211692403181665,,23.381747977534,19.8595922260437,0.0365,10.0,3.0599110371962706
-26.5,,,,,,,0.0365,10.0,3.0599110371962706
-26.0,,-39.5176125454308,,,22.571420390644,,0.0365,10.0,3.0599110371962706
-25.5,,,,,,,0.0365,10.0,3.0599110371962706
-25.0,,-2.360074959107123,37.05934164458518,,29.1041600147761,23.2192637418495,0.0365,10.0,3.0599110371962706
-24.5,,,,,,,0.0365,10.0,3.0599110371962706
-24.0,,-37.426161229114896,-0.5605926897111168,,21.8492632124695,16.7835507924327,0.0365,10.0,3.0599110371962706
-23.5,,,,,,,0.0365,10.0,3.0599110371962706
-23.0,,-95.30461068911038,40.03878879624363,,22.1636153633897,17.1695882267807,0.0365,10.0,3.0599110371962706
-22.5,,,,,,,0.0365,10.0,3.0599110371962706
-22.0,,-27.969091454299775,39.907354592542355,,18.8062155931548,18.0084194155237,0.0365,10.0,3.0599110371962706
-21.5,,,,,,,0.0365,10.0,3.0599110371962706
-21.0,,-102.29776920753258,62.61054031936181,,19.069495440204,18.1953504168959,0.0365,10.0,3.0599110371962706
-20.5,,,,,,,0.0365,10.0,3.0599110371962706
-20.0,,,,,,,0.0365,10.0,3.0599110371962706
-19.5,,,,,,,0.0365,10.0,3.0599110371962706
-19.0,,-100.38877817287253,18.174528627757766,,19.8220255026531,19.2735278980949,0.0365,10.0,3.0599110371962706
-18.5,,,,,,,0.0365,10.0,3.0599110371962706
-18.0,,-41.29037684349699,19.55430529830222,,20.1057307227649,22.602228504111,0.0365,10.0,3.0599110371962706
-17.5,,,,,,,0.0365,10.0,3.0599110371962706
-17.0,,-65.51387374246053,-0.9026358497588297,,21.8749872277795,17.1091110293013,0.0365,10.0,3.0599110371962706
-16.5,,,,,,,0.0365,10.0,3.0599110371962706
-16.0,,-70.84088128642875,5.140515161135602,,25.0042562557128,22.8864971596545,0.0365,10.0,3.0599110371962706
-15.5,,,,,,,0.0365,10.0,3.0599110371962706
-15.0,,-3.673615731305198,32.900835133940674,,30.3754956938517,23.0422701133054,0.0365,10.0,3.0599110371962706
-14.5,,,,,,,0.0365,10.0,3.0599110371962706
-14.0,,-80.80813389023503,-20.869779398110808,,31.1207043130476,32.4865424852861,0.0365,10.0,3.0599110371962706
-13.5,,,,,,,0.0365,10.0,3.0599110371962706
-13.0,,8.151759614928384,36.89866315254012,,35.0859132247021,27.7780537952131,0.0365,10.0,3.0599110371962706
-12.5,,,,,,,0.0365,10.0,3.0599110371962706
-12.0,,,5.913386126956869,,,82.7091151161586,0.0365,10.0,3.0599110371962706
-11.5,,,,,,,0.0365,10.0,3.0599110371962706
-11.0,,,54.962350533758574,,,36.0950308873681,0.0365,10.0,3.0599110371962706
-10.5,,,,,,,0.0365,10.0,3.0599110371962706
-10.0,,-28.55794682355725,-56.01214867344892,,39.8556950431977,47.4155821868611,0.0365,10.0,3.0599110371962706
-9.5,,,,,,,0.0365,10.0,3.0599110371962706
-9.0,,-53.58518985630545,73.62851479582795,,36.51763309630256,41.4497527831758,0.0365,10.0,3.0599110371962706
-8.5,,,,,,,0.0365,10.0,3.0599110371962706
-8.0,,-95.20694517332895,87.32526183332126,,46.9090341015318,52.9769070401652,0.0365,10.0,3.0599110371962706
-7.5,,,,,,,0.0365,10.0,3.0599110371962706
-7.0,,9.229201518724656,65.24380789840876,,49.908116128857515,67.8020306158188,0.0365,10.0,3.0599110371962706
-6.5,,,,,,,0.0365,10.0,3.0599110371962706
-6.0,,-51.711806274207404,88.77215908472587,,63.5017137291215,73.1951121771556,0.0365,10.0,3.0599110371962706
-5.5,,,,,,,0.0365,10.0,3.0599110371962706
-5.0,,,,,,,0.0365,10.0,3.0599110371962706
-4.5,,,,,,,0.0365,10.0,3.0599110371962706
-4.0,,135.08390191798654,,,44.736475154592,,0.0365,10.0,3.0599110371962706
-3.5,,,,,,,0.0365,10.0,3.0599110371962706
-3.0,,136.16504937896627,287.98134772383855,,44.21902424111211,41.6668734784535,0.0365,10.0,3.0599110371962706
-2.5,,,,,,,0.0365,10.0,3.0599110371962706
-2.0,,,,,,,0.0365,10.0,3.0599110371962706
-1.5,,,,,,,0.0365,10.0,3.0599110371962706
-1.0,,,,,,,0.0365,10.0,3.0599110371962706
-0.5,,,,,,,0.0365,10.0,3.0599110371962706
0.0,,275.2933462179506,434.51868306164306,,22.0886338338882,22.8008184507388,0.0365,10.0,3.0599110371962706
0.5,,,,,,,0.0365,10.0,3.0599110371962706
1.0,,,,,,,0.0365,10.0,3.0599110371962706
1.5,,,,,,,0.0365,10.0,3.0599110371962706
2.0,,,,,,,0.0365,10.0,3.0599110371962706
2.5,,,,,,,0.0365,10.0,3.0599110371962706
3.0,,408.5744111665785,589.84851808345,,24.9662115471611,24.4489227911431,0.0365,10.0,3.0599110371962706
3.5,,,,,,,0.0365,10.0,3.0599110371962706
4.0,,,,,,,0.0365,10.0,3.0599110371962706
4.5,,,,,,,0.0365,10.0,3.0599110371962706
5.0,,,,,,,0.0365,10.0,3.0599110371962706
5.5,,,,,,,0.0365,10.0,3.0599110371962706
6.0,,493.25882199642217,677.2822269246262,,24.2961341276514,22.2008184857848,0.0365,10.0,3.0599110371962706
6.5,,,,,,,0.0365,10.0,3.0599110371962706
7.0,,,,,,,0.0365,10.0,3.0599110371962706
7.5,,,,,,,0.0365,10.0,3.0599110371962706
8.0,,,,,,,0.0365,10.0,3.0599110371962706
8.5,,,,,,,0.0365,10.0,3.0599110371962706
9.0,,527.060010083122,751.7305462339338,,27.7509974535952,29.4963530758268,0.0365,10.0,3.0599110371962706
