relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,47.77789842395903,32.344115735977496,,38.16587040753824,31.0063161255166,0.1436,8.0,2.7343168962080617
-29.5,,,,,,,0.1436,8.0,2.7343168962080617
-29.0,,10.69404651307619,,,31.582981004198583,,0.1436,8.0,2.7343168962080617
-28.5,,,,,,,0.1436,8.0,2.7343168962080617
-28.0,,62.37536994516513,29.748318857470174,,44.3908015271274,28.295989437499237,0.1436,8.0,2.7343168962080617
-27.5,,,,,,,0.1436,8.0,2.7343168962080617
-27.0,,47.022357785997656,41.06577658923834,,29.7142340840851,24.18032017294262,0.1436,8.0,2.7343168962080617
-26.5,,,,,,,0.1436,8.0,2.7343168962080617
-26.0,,,23.17669265314726,,,28.748747444415997,0.1436,8.0,2.7343168962080617
-25.5,,,,,,,0.1436,8.0,2.7343168962080617
-25.0,,-14.846742396072141,37.091532707610654,,27.92801846660454,25.633619934727836,0.1436,8.0,2.7343168962080617
-24.5,,,,,,,0.1436,8.0,2.7343168962080617
-24.0,,68.04873668361864,40.25187507051533,,29.265263096466953,24.3306879527385,0.1436,8.0,2.7343168962080617
-23.5,,,,,,,0.1436,8.0,2.7343168962080617
-23.0,,,,,,,0.1436,8.0,2.7343168962080617
-22.5,,,,,,,0.1436,8.0,2.7343168962080617
-22.0,,18.927183609484963,-11.665611552900998,,30.552338993751437,29.5485706158789,0.1436,8.0,2.7343168962080617
-21.5,,,,,,,0.1436,8.0,2.7343168962080617
-21.0,,10.872077757072436,11.560306103859741,,28.354008440459754,27.175690680638446,0.1436,8.0,2.7343168962080617
-20.5,,,,,,,0.1436,8.0,2.7343168962080617
-20.0,,-2.238783158440084,1.8126400644414637,,27.8819842358371,28.243707387080104,0.1436,8.0,2.7343168962080617
-19.5,,,,,,,0.1436,8.0,2.7343168962080617
-19.0,,-18.29490085339527,55.68296158293211,,36.26674659173292,32.21860840569273,0.1436,8.0,2.7343168962080617
-18.5,,,,,,,0.1436,8.0,2.7343168962080617
-18.0,,65.92594271149561,46.9259467455402,,54.585149869806074,39.2162925354214,0.1436,8.0,2.7343168962080617
-17.5,,,,,,,0.1436,8.0,2.7343168962080617
-17.0,,-46.919697730615944,25.197067081333266,,38.23241071888178,36.829953885656124,0.1436,8.0,2.7343168962080617
-16.5,,,,,,,0.1436,8.0,2.7343168962080617
-16.0,,47.349183358931974,,,46.67999408489107,,0.1436,8.0,2.7343168962080617
-15.5,,,,,,,0.1436,8.0,2.7343168962080617
-15.0,,,-19.506732743801876,,,70.87440005672218,0.1436,8.0,2.7343168962080617
-14.5,,,,,,,0.1436,8.0,2.7343168962080617
-14.0,,,-12.654398324408874,,,65.46876535371919,0.1436,8.0,2.7343168962080617
-13.5,,,,,,,0.1436,8.0,2.7343168962080617
-13.0,,-0.04462305793105337,-7.855615930583873,,48.285815805332014,55.026755258878296,0.1436,8.0,2.7343168962080617
-12.5,,,,,,,0.1436,8.0,2.7343168962080617
-12.0,,66.51538606978326,20.10022370653999,,51.91935547306155,47.49399601570796,0.1436,8.0,2.7343168962080617
-11.5,,,,,,,0.1436,8.0,2.7343168962080617
-11.0,,5.437479179065095,-92.29967444819476,,56.1913870945035,82.7087790248354,0.1436,8.0,2.7343168962080617
-10.5,,,,,,,0.1436,8.0,2.7343168962080617
-10.0,,102.7391607645575,-63.41234214011524,,58.98746970486107,83.51622550736501,0.1436,8.0,2.7343168962080617
-9.5,,,,,,,0.1436,8.0,2.7343168962080617
