relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0165,16.5,4.080276406759174
-29.5,,,,,,,0.0165,16.5,4.080276406759174
-29.0,,,,,,,0.0165,16.5,4.080276406759174
-28.5,,,,,,,0.0165,16.5,4.080276406759174
-28.0,,,,,,,0.0165,16.5,4.080276406759174
-27.5,,,,,,,0.0165,16.5,4.080276406759174
-27.0,,,-11.525319735021155,,,42.77100840417455,0.0165,16.5,4.080276406759174
-26.5,,,,,,,0.0165,16.5,4.080276406759174
-26.0,,,-10.259509043138499,,,59.02195576784128,0.0165,16.5,4.080276406759174
-25.5,,,,,,,0.0165,16.5,4.080276406759174
-25.0,,,,,,,0.0165,16.5,4.080276406759174
-24.5,,,,,,,0.0165,16.5,4.080276406759174
-24.0,,,42.46700417228482,,,123.913093320809,0.0165,16.5,4.080276406759174
-23.5,,,,,,,0.0165,16.5,4.080276406759174
-23.0,,,,,,,0.0165,16.5,4.080276406759174
-22.5,,,,,,,0.0165,16.5,4.080276406759174
-22.0,,-34.823704177370516,,,93.3645637911226,,0.0165,16.5,4.080276406759174
-21.5,,,,,,,0.0165,16.5,4.080276406759174
-21.0,,,,,,,0.0165,16.5,4.080276406759174
-20.5,,,,,,,0.0165,16.5,4.080276406759174
-20.0,,,,,,,0.0165,16.5,4.080276406759174
-19.5,,,,,,,0.0165,16.5,4.080276406759174
-19.0,,,-92.93023266624353,,,92.4316668163898,0.0165,16.5,4.080276406759174
-18.5,,,,,,,0.0165,16.5,4.080276406759174
-18.0,,,,,,,0.0165,16.5,4.080276406759174
-17.5,,,,,,,0.0165,16.5,4.080276406759174
-17.0,,,,,,,0.0165,16.5,4.080276406759174
-16.5,,,,,,,0.0165,16.5,4.080276406759174
-16.0,,,,,,,0.0165,16.5,4.080276406759174
-15.5,,,,,,,0.0165,16.5,4.080276406759174
-15.0,,,,,,,0.0165,16.5,4.080276406759174
-14.5,,,,,,,0.0165,16.5,4.080276406759174
-14.0,,,,,,,0.0165,16.5,4.080276406759174
-13.5,,,,,,,0.0165,16.5,4.080276406759174
-13.0,,,,,,,0.0165,16.5,4.080276406759174
-12.5,,,,,,,0.0165,16.5,4.080276406759174
-12.0,,,,,,,0.0165,16.5,4.080276406759174
-11.5,,,,,,,0.0165,16.5,4.080276406759174
-11.0,,,,,,,0.0165,16.5,4.080276406759174
-10.5,,,,,,,0.0165,16.5,4.080276406759174
-10.0,,-10.463151328756307,24.567163566762886,,36.28045797106,21.6956086127605,0.0165,16.5,4.080276406759174
-9.5,,,,,,,0.0165,16.5,4.080276406759174
-9.0,,,,,,,0.0165,16.5,4.080276406759174
-8.5,,,,,,,0.0165,16.5,4.080276406759174
-8.0,,,,,,,0.0165,16.5,4.080276406759174
-7.5,,,,,,,0.0165,16.5,4.080276406759174
-7.0,,26.124444586613823,7.57255897655414,,30.5268344943101,24.2836702716316,0.0165,16.5,4.080276406759174
-6.5,,,,,,,0.0165,16.5,4.080276406759174
-6.0,,,,,,,0.0165,16.5,4.080276406759174
-5.5,,,,,,,0.0165,16.5,4.080276406759174
-5.0,,,,,,,0.0165,16.5,4.080276406759174
-4.5,,,,,,,0.0165,16.5,4.080276406759174
-4.0,,41.59629240651072,47.19618208965321,,22.4064274373369,24.3575195289381,0.0165,16.5,4.080276406759174
-3.5,,,,,,,0.0165,16.5,4.080276406759174
-3.0,-69.6221704863757,32.73996263030191,99.247150159759,304.38314288827604,33.5661548796072,27.6000990479409,0.0165,16.5,4.080276406759174
-2.5,-43.14985865908682,,,304.2993135868095,,,0.0165,16.5,4.080276406759174
-2.0,-16.37381703653898,59.38727272147491,118.18014779246876,304.97893899400367,28.6753083905265,26.3908445257963,0.0165,16.5,4.080276406759174
-1.5,113.08848989089802,,,301.72725154527024,,,0.0165,16.5,4.080276406759174
-1.0,105.65127038937192,,,302.98068864174894,,,0.0165,16.5,4.080276406759174
-0.5,55.022955724658175,,,303.6389588875728,,,0.0165,16.5,4.080276406759174
0.0,105.83617695467672,184.82024597886675,202.7847045859492,301.90050223424413,32.059036697297174,22.5094999343858,0.0165,16.5,4.080276406759174
0.5,205.18486319499561,,,303.5490314652647,,,0.0165,16.5,4.080276406759174
1.0,195.89378478019617,,,302.59589193229243,,,0.0165,16.5,4.080276406759174
1.5,272.5184675278363,,,303.46725668599527,,,0.0165,16.5,4.080276406759174
2.0,168.9076006025055,,403.24626468663485,303.2593255736646,,60.0605101434642,0.0165,16.5,4.080276406759174
2.5,269.8905950937236,,,303.34699364561135,,,0.0165,16.5,4.080276406759174
3.0,402.17530420485735,,,302.55951526275857,,,0.0165,16.5,4.080276406759174
3.5,334.3979122252988,,,301.87121930108026,,,0.0165,16.5,4.080276406759174
4.0,359.9405515218331,,,301.4918001589398,,,0.0165,16.5,4.080276406759174
4.5,507.1198037940364,,,302.53060783105667,,,0.0165,16.5,4.080276406759174
5.0,603.3078142942938,,,302.74990474892957,,,0.0165,16.5,4.080276406759174
5.5,493.3832424731549,,,303.10006289570384,,,0.0165,16.5,4.080276406759174
6.0,554.7973016491184,,,305.5902075325713,,,0.0165,16.5,4.080276406759174
6.5,630.9757394047276,,,308.73159535247294,,,0.0165,16.5,4.080276406759174
7.0,,,653.9523389791017,,,110.963757036638,0.0165,16.5,4.080276406759174
7.5,,,,,,,0.0165,16.5,4.080276406759174
8.0,,770.3254364689496,748.671163099353,,89.21562511809336,101.01448370216667,0.0165,16.5,4.080276406759174
8.5,,,,,,,0.0165,16.5,4.080276406759174
9.0,,,,,,,0.0165,16.5,4.080276406759174
9.5,,,,,,,0.0165,16.5,4.080276406759174
10.0,,469.00338040873834,728.969649532615,,79.18316011544417,69.35321149874676,0.0165,16.5,4.080276406759174
10.5,,,,,,,0.0165,16.5,4.080276406759174
11.0,,741.3540755004456,901.9345175185808,,41.348905769431,46.768847580918774,0.0165,16.5,4.080276406759174
11.5,760.66254140056,,,306.0128258251198,,,0.0165,16.5,4.080276406759174
12.0,752.950648664608,784.6745132220422,902.8810061481399,304.8027092901092,34.399629473803486,42.84081716474487,0.0165,16.5,4.080276406759174
12.5,811.9514858388341,,,305.5050980219913,,,0.0165,16.5,4.080276406759174
13.0,714.4870575206448,,,304.66402367417567,,,0.0165,16.5,4.080276406759174
13.5,729.5517197831248,,,304.46781187885546,,,0.0165,16.5,4.080276406759174
14.0,746.5339230042498,,,306.9603680687075,,,0.0165,16.5,4.080276406759174
14.5,737.1418136239752,,,304.55304217890404,,,0.0165,16.5,4.080276406759174
15.0,745.9793209554618,,,304.30283146609673,,,0.0165,16.5,4.080276406759174
15.5,733.486324027951,,,304.70078499416894,,,0.0165,16.5,4.080276406759174
16.0,756.7370292811225,796.9601367850548,828.1612220276763,304.65900704949803,40.859240889662935,33.186841070737245,0.0165,16.5,4.080276406759174
16.5,810.347388464844,,,303.8215538419426,,,0.0165,16.5,4.080276406759174
17.0,773.7506494705376,866.8208212679541,883.631717951158,304.46743485242825,35.3060692623661,27.285680233096855,0.0165,16.5,4.080276406759174
17.5,725.0197440851032,,,305.0105810270744,,,0.0165,16.5,4.080276406759174
18.0,721.9777354993616,,891.1020000673934,301.5025731958224,,29.99563892233924,0.0165,16.5,4.080276406759174
18.5,722.2109650745081,,,301.8126048444519,,,0.0165,16.5,4.080276406759174
19.0,718.8583764829475,725.5220083051399,375.50002134151237,301.53728834110933,30.744884124154712,31.748782601349,0.0165,16.5,4.080276406759174
19.5,689.7834459140772,,,301.60575527013356,,,0.0165,16.5,4.080276406759174
20.0,614.8117608839362,747.0499736388606,723.629513483015,301.52177921816235,34.88471994021687,37.54394512213235,0.0165,16.5,4.080276406759174
20.5,651.7397843048798,,,301.6080007496484,,,0.0165,16.5,4.080276406759174
21.0,680.6770993984362,659.2723763388414,397.723875934997,300.3396488339568,29.747293607916923,33.955797212722,0.0165,16.5,4.080276406759174
21.5,632.784710298956,,,301.7470082675735,,,0.0165,16.5,4.080276406759174
22.0,1297.0049812399202,757.3834239647341,756.2108394599799,309.06163118869875,34.284504393617425,27.78664809319775,0.0165,16.5,4.080276406759174
22.5,,,,,,,0.0165,16.5,4.080276406759174
23.0,,572.693252850962,687.4111654225949,,31.356661411402136,25.20907210243631,0.0165,16.5,4.080276406759174
23.5,,,,,,,0.0165,16.5,4.080276406759174
24.0,,,683.6813655728738,,,29.91384997730401,0.0165,16.5,4.080276406759174
24.5,,,,,,,0.0165,16.5,4.080276406759174
25.0,,648.4138456286963,,,24.78550691840387,,0.0165,16.5,4.080276406759174
25.5,,,,,,,0.0165,16.5,4.080276406759174
26.0,,,593.3855255554055,,,21.056825902745835,0.0165,16.5,4.080276406759174
26.5,,,,,,,0.0165,16.5,4.080276406759174
27.0,,,589.8713480364851,,,30.68237483497109,0.0165,16.5,4.080276406759174
27.5,,,,,,,0.0165,16.5,4.080276406759174
28.0,,490.3774433546098,,,49.91097539505972,,0.0165,16.5,4.080276406759174
28.5,,,,,,,0.0165,16.5,4.080276406759174
29.0,,587.3533874890426,,,74.38334665546148,,0.0165,16.5,4.080276406759174
29.5,,,,,,,0.0165,16.5,4.080276406759174
30.0,,,,,,,0.0165,16.5,4.080276406759174
30.5,,,,,,,0.0165,16.5,4.080276406759174
31.0,,638.7997894290152,321.08510870763274,,103.17311475772475,97.19435996771276,0.0165,16.5,4.080276406759174
31.5,,,,,,,0.0165,16.5,4.080276406759174
32.0,,642.7392695443547,363.8138978312051,,74.64934796138601,93.2638471866246,0.0165,16.5,4.080276406759174
32.5,,,,,,,0.0165,16.5,4.080276406759174
33.0,,,,,,,0.0165,16.5,4.080276406759174
33.5,,,,,,,0.0165,16.5,4.080276406759174
34.0,,595.4606468972265,454.76878588071526,,106.328492241269,111.136627167833,0.0165,16.5,4.080276406759174
34.5,,,,,,,0.0165,16.5,4.080276406759174
35.0,,670.3692623883396,460.3610432479645,,109.640691328442,113.81374245181652,0.0165,16.5,4.080276406759174
35.5,,,,,,,0.0165,16.5,4.080276406759174
36.0,,,,,,,0.0165,16.5,4.080276406759174
36.5,,,,,,,0.0165,16.5,4.080276406759174
37.0,,663.4146278017583,303.34701402493437,,68.9719501812348,104.171815639455,0.0165,16.5,4.080276406759174
37.5,,,,,,,0.0165,16.5,4.080276406759174
38.0,,,,,,,0.0165,16.5,4.080276406759174
38.5,,,,,,,0.0165,16.5,4.080276406759174
39.0,,441.6216929546246,,,48.017778836734,,0.0165,16.5,4.080276406759174
