relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0259,16.4,6.700746227100382
-29.5,,,,,,,0.0259,16.4,6.700746227100382
-29.0,,,,,,,0.0259,16.4,6.700746227100382
-28.5,,,,,,,0.0259,16.4,6.700746227100382
-28.0,,,,,,,0.0259,16.4,6.700746227100382
-27.5,,,,,,,0.0259,16.4,6.700746227100382
-27.0,,,,,,,0.0259,16.4,6.700746227100382
-26.5,,,,,,,0.0259,16.4,6.700746227100382
-26.0,,1.2176855369006983,,,43.5402735430867,,0.0259,16.4,6.700746227100382
-25.5,,,,,,,0.0259,16.4,6.700746227100382
-25.0,,,,,,,0.0259,16.4,6.700746227100382
-24.5,,,,,,,0.0259,16.4,6.700746227100382
-24.0,,34.006406036732244,3.6604812985382846,,27.74545185165,22.2594090831008,0.0259,16.4,6.700746227100382
-23.5,,,,,,,0.0259,16.4,6.700746227100382
-23.0,,8.183815090605268,35.70032776759087,,28.031625749302,20.4509611458293,0.0259,16.4,6.700746227100382
-22.5,,,,,,,0.0259,16.4,6.700746227100382
-22.0,,18.099394778130975,47.848903469783174,,30.4251498704851,22.2658001521485,0.0259,16.4,6.700746227100382
-21.5,,,,,,,0.0259,16.4,6.700746227100382
-21.0,,65.1862522044985,-26.441183978104362,,40.3403587294248,23.5377126619916,0.0259,16.4,6.700746227100382
-20.5,,,,,,,0.0259,16.4,6.700746227100382
-20.0,,-12.28751452106405,-27.638553482899624,,34.2910363097649,28.1559979365961,0.0259,16.4,6.700746227100382
-19.5,,,,,,,0.0259,16.4,6.700746227100382
-19.0,,61.16661692736627,1.6800492622145071,,31.6118157977725,25.2689735381478,0.0259,16.4,6.700746227100382
-18.5,,,,,,,0.0259,16.4,6.700746227100382
-18.0,,,8.201540943872713,,,22.3757056837877,0.0259,16.4,6.700746227100382
-17.5,,,,,,,0.0259,16.4,6.700746227100382
-17.0,,21.591816313042937,14.844820376121392,,29.4061594878026,21.8052955697902,0.0259,16.4,6.700746227100382
-16.5,,,,,,,0.0259,16.4,6.700746227100382
-16.0,,4.790050209879692,6.919672582321951,,27.0071375218286,23.2157976406168,0.0259,16.4,6.700746227100382
-15.5,,,,,,,0.0259,16.4,6.700746227100382
-15.0,-30.985815865481083,-8.032816395447501,,179.11771010320413,35.03863802107072,,0.0259,16.4,6.700746227100382
-14.5,59.77607924689708,,,179.53125222095397,,,0.0259,16.4,6.700746227100382
-14.0,4.689294832544697,44.08247140711099,12.170377032068176,179.92939066562633,27.3661974897276,22.5513844964454,0.0259,16.4,6.700746227100382
-13.5,22.893515648328382,,,179.68437260515782,,,0.0259,16.4,6.700746227100382
-13.0,-19.090481457862357,60.1098442342705,,177.48454000627189,26.4652094466762,,0.0259,16.4,6.700746227100382
-12.5,11.122415672088882,,,178.84534437761997,,,0.0259,16.4,6.700746227100382
-12.0,-12.483499078157678,-14.491016813181758,,178.21243695425053,37.12078013448184,,0.0259,16.4,6.700746227100382
-11.5,48.68051465171084,,,178.15865313770595,,,0.0259,16.4,6.700746227100382
-11.0,18.928599495227196,,,177.99040768583782,,,0.0259,16.4,6.700746227100382
-10.5,-6.144464897123633,,,178.81449645152733,,,0.0259,16.4,6.700746227100382
-10.0,47.203767363435944,,62.06038255960975,175.9993723250722,,76.9612809975175,0.0259,16.4,6.700746227100382
-9.5,-28.964297342153774,,,178.06440352983202,,,0.0259,16.4,6.700746227100382
