relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0314,14.200000000000005,4.538967087589667
-29.5,,,,,,,0.0314,14.200000000000005,4.538967087589667
-29.0,,,,,,,0.0314,14.200000000000005,4.538967087589667
-28.5,,,,,,,0.0314,14.200000000000005,4.538967087589667
-28.0,,,-131.60704960101924,,,22.6393468873767,0.0314,14.200000000000005,4.538967087589667
-27.5,,,,,,,0.0314,14.200000000000005,4.538967087589667
-27.0,,,,,,,0.0314,14.200000000000005,4.538967087589667
-26.5,,,,,,,0.0314,14.200000000000005,4.538967087589667
-26.0,,,,,,,0.0314,14.200000000000005,4.538967087589667
-25.5,,,,,,,0.0314,14.200000000000005,4.538967087589667
-25.0,,-76.08275423262653,-119.33601891434326,,27.7329289318683,25.4423199896724,0.0314,14.200000000000005,4.538967087589667
-24.5,,,,,,,0.0314,14.200000000000005,4.538967087589667
-24.0,,,,,,,0.0314,14.200000000000005,4.538967087589667
-23.5,,,,,,,0.0314,14.200000000000005,4.538967087589667
-23.0,,,,,,,0.0314,14.200000000000005,4.538967087589667
-22.5,,,,,,,0.0314,14.200000000000005,4.538967087589667
-22.0,,-170.4776133072482,,,22.9963811011404,,0.0314,14.200000000000005,4.538967087589667
-21.5,,,,,,,0.0314,14.200000000000005,4.538967087589667
-21.0,32.2033287247403,-82.03444549737333,,228.10505463667792,33.8286862227675,,0.0314,14.200000000000005,4.538967087589667
-20.5,-65.00469852390755,,,227.85992519304185,,,0.0314,14.200000000000005,4.538967087589667
-20.0,-27.652078847017634,-74.72353937401661,-95.88426147078204,226.88085662947006,27.3967647788912,24.5498739533726,0.0314,14.200000000000005,4.538967087589667
-19.5,-53.00503206226292,,,226.91837952718026,,,0.0314,14.200000000000005,4.538967087589667
-19.0,10.404555410767433,-126.35219669691081,-89.8031057517158,226.64609959370097,26.1731245542082,23.9980314856846,0.0314,14.200000000000005,4.538967087589667
-18.5,12.483429764251078,,,226.04845521318148,,,0.0314,14.200000000000005,4.538967087589667
-18.0,-35.46027069990844,,-143.0529834276776,227.4469338671495,,23.6190371650072,0.0314,14.200000000000005,4.538967087589667
