relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,22.1313892007198,,,27.2650494423535,,0.0469,11.4,3.799976608115137
-29.5,,,,,,,0.0469,11.4,3.799976608115137
-29.0,,,,,,,0.0469,11.4,3.799976608115137
-28.5,,,,,,,0.0469,11.4,3.799976608115137
-28.0,,,,,,,0.0469,11.4,3.799976608115137
-27.5,,,,,,,0.0469,11.4,3.799976608115137
-27.0,,-10.99662260427761,-3.8915312849735804,,25.1990030862878,25.1257961118475,0.0469,11.4,3.799976608115137
-26.5,,,,,,,0.0469,11.4,3.799976608115137
-26.0,,,,,,,0.0469,11.4,3.799976608115137
-25.5,,,,,,,0.0469,11.4,3.799976608115137
-25.0,,-19.117131039081325,,,23.2340452673773,,0.0469,11.4,3.799976608115137
-24.5,,,,,,,0.0469,11.4,3.799976608115137
-24.0,,-4.377573585260628,-30.066305841043388,,25.4047722492407,23.1533204030033,0.0469,11.4,3.799976608115137
-23.5,,,,,,,0.0469,11.4,3.799976608115137
-23.0,9.628000563258713,-31.969441980820708,47.52500007183617,182.3002203843732,29.551416727910603,29.6936497449681,0.0469,11.4,3.799976608115137
-22.5,39.97076492810629,,,186.5854333763194,,,0.0469,11.4,3.799976608115137
-22.0,12.048700413736457,1.8500001305372091,-18.53479606925416,187.57066785319333,27.18515900907179,27.2271911110797,0.0469,11.4,3.799976608115137
-21.5,8.411683714949794,,,184.68314442195214,,,0.0469,11.4,3.799976608115137
-21.0,22.282833575840915,-21.367088008350418,7.381420992239349,185.32802099268517,24.8749268801404,21.11500725373,0.0469,11.4,3.799976608115137
-20.5,60.60809798013266,,,185.4876047847139,,,0.0469,11.4,3.799976608115137
-20.0,-28.135589318937072,22.002496099934625,,184.89871169958764,34.23093589522222,,0.0469,11.4,3.799976608115137
-19.5,4.426369639353662,,,182.95118782572044,,,0.0469,11.4,3.799976608115137
-19.0,25.204063772758257,0.7646006951138103,-21.513186972702236,188.41494060163464,36.5386940970919,43.2487224183975,0.0469,11.4,3.799976608115137
-18.5,-10.834991411728033,,,188.1362390614677,,,0.0469,11.4,3.799976608115137
-18.0,-1.5684362786250956,82.93778862594392,37.12215410403461,188.88170915266343,54.7208818428192,57.01312028501197,0.0469,11.4,3.799976608115137
-17.5,-10.601421328688838,,,189.776505533343,,,0.0469,11.4,3.799976608115137
-17.0,32.725542141159245,,34.5279303803072,187.2210597792869,,77.46905873470597,0.0469,11.4,3.799976608115137
-16.5,55.719942147744945,,,185.83924227081926,,,0.0469,11.4,3.799976608115137
-16.0,38.29295913237507,,84.13519299288463,185.68799089817654,,108.3603167991446,0.0469,11.4,3.799976608115137
-15.5,5.2961522201735995,,,187.46977406520745,,,0.0469,11.4,3.799976608115137
-15.0,-100.4838658758713,,,187.2518749001061,,,0.0469,11.4,3.799976608115137
-14.5,41.35836432235755,,,188.92541778642027,,,0.0469,11.4,3.799976608115137
-14.0,40.626763929910894,,,190.87983221175583,,,0.0469,11.4,3.799976608115137
-13.5,18.34206458688505,,,190.55620085052303,,,0.0469,11.4,3.799976608115137
-13.0,15.843779702598548,,,191.33775057068635,,,0.0469,11.4,3.799976608115137
-12.5,-40.55246464078321,,,195.09069145440105,,,0.0469,11.4,3.799976608115137
-12.0,,30.00675582605094,,,82.2661392965828,,0.0469,11.4,3.799976608115137
-11.5,,,,,,,0.0469,11.4,3.799976608115137
-11.0,,,,,,,0.0469,11.4,3.799976608115137
-10.5,,,,,,,0.0469,11.4,3.799976608115137
-10.0,,-39.567942802294084,43.43590944885035,,65.61768254805102,58.71786591062666,0.0469,11.4,3.799976608115137
-9.5,,,,,,,0.0469,11.4,3.799976608115137
-9.0,,,27.362593843921115,,,42.264846860609545,0.0469,11.4,3.799976608115137
-8.5,49.00388148325869,,,192.8477881742175,,,0.0469,11.4,3.799976608115137
-8.0,-65.28449881300408,8.75125951329188,-15.327567728792058,187.21584702085192,28.819988790951275,37.0004196561038,0.0469,11.4,3.799976608115137
-7.5,-40.83910687148707,,,185.71908437188978,,,0.0469,11.4,3.799976608115137
-7.0,12.175290478894478,,-12.964646753049388,186.7834407647397,,45.13834153055061,0.0469,11.4,3.799976608115137
-6.5,6.4425838833702525,,,185.39419309722888,,,0.0469,11.4,3.799976608115137
-6.0,133.68950554279118,,,184.93577785428903,,,0.0469,11.4,3.799976608115137
-5.5,24.531512595903482,,,185.2368440753056,,,0.0469,11.4,3.799976608115137
-5.0,92.27178086134268,,,186.30121997435833,,,0.0469,11.4,3.799976608115137
-4.5,11.498751719760683,,,187.04082559731214,,,0.0469,11.4,3.799976608115137
