relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
-29.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-29.0,,24.203870816705653,5.326217736479115,,28.5118826347202,18.5528335177932,0.0388,17.299999999999997,4.785546526318133
-28.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-28.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
-27.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-27.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
-26.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-26.0,,,12.081146208027256,,,22.0833316490457,0.0388,17.299999999999997,4.785546526318133
-25.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-25.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
-24.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-24.0,,24.436910730599777,,,22.514873917051254,,0.0388,17.299999999999997,4.785546526318133
-23.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-23.0,,16.455396794179894,-1.626545841870886,,26.374839598148483,21.0726927786282,0.0388,17.299999999999997,4.785546526318133
-22.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-22.0,,-28.48772499262799,,,20.5491832686071,,0.0388,17.299999999999997,4.785546526318133
-21.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-21.0,,25.1800670730303,15.125762685736378,,26.57524843507128,20.6416608203755,0.0388,17.299999999999997,4.785546526318133
-20.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-20.0,,-25.973634179279916,-77.92926043013968,,24.779046009218664,21.2787486913974,0.0388,17.299999999999997,4.785546526318133
-19.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-19.0,,38.521671097959555,-25.624808391136405,,23.6921328980555,19.9897607029874,0.0388,17.299999999999997,4.785546526318133
-18.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-18.0,,-11.795143792304042,10.981360996229391,,33.46517830376823,23.0633738110549,0.0388,17.299999999999997,4.785546526318133
-17.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-17.0,,38.90787579768334,-79.79251549617577,,32.4365872405504,40.9706962767691,0.0388,17.299999999999997,4.785546526318133
-16.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-16.0,,-4.4355773766371,15.182558331923321,,40.5927108383422,50.289002716170565,0.0388,17.299999999999997,4.785546526318133
-15.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-15.0,,,35.49755877221336,,,65.0706631815809,0.0388,17.299999999999997,4.785546526318133
-14.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-14.0,,,48.11737303095297,,,96.95759506134648,0.0388,17.299999999999997,4.785546526318133
-13.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-13.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
-12.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-12.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
-11.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-11.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
-10.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-10.0,,-57.08227884940047,-71.55139961386513,,93.2151705959981,108.1817807812968,0.0388,17.299999999999997,4.785546526318133
-9.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-9.0,,-113.34532998170785,161.80561697416178,,75.1882858192277,107.271661669359,0.0388,17.299999999999997,4.785546526318133
-8.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-8.0,,8.48908836456783,21.42754268616318,,59.94246487063359,63.92229688613513,0.0388,17.299999999999997,4.785546526318133
-7.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-7.0,,42.196611740814205,41.47150827289129,,40.2656707750202,42.13541243287746,0.0388,17.299999999999997,4.785546526318133
-6.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-6.0,,89.9341259542222,24.425206876369643,,29.416311357549887,37.07130647029718,0.0388,17.299999999999997,4.785546526318133
-5.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-5.0,,,63.90214743146292,,,38.71968669325899,0.0388,17.299999999999997,4.785546526318133
-4.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-4.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
-3.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-3.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
-2.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-2.0,,147.07970268076855,106.04156554328439,,30.045302395325134,28.20349570021358,0.0388,17.299999999999997,4.785546526318133
-1.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
-1.0,,176.60101188435326,138.87403833947988,,26.9026254762792,21.259494120324124,0.0388,17.299999999999997,4.785546526318133
-0.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
0.0,,136.67380253417392,169.69296066559667,,27.020857896427895,21.345830703487266,0.0388,17.299999999999997,4.785546526318133
0.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
1.0,,209.5913976900049,147.70834371117923,,25.9726503303135,26.3816049122369,0.0388,17.299999999999997,4.785546526318133
1.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
2.0,,200.8433247478263,172.0297018907419,,29.970004006855135,28.872288329761332,0.0388,17.299999999999997,4.785546526318133
2.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
3.0,,207.79264367646175,124.74257984039362,,25.2874813226297,25.9437255944267,0.0388,17.299999999999997,4.785546526318133
3.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
4.0,,220.09955133066597,260.2903770319567,,27.41325276366692,23.548351373426385,0.0388,17.299999999999997,4.785546526318133
4.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
5.0,,156.73824793234306,293.90236510768096,,26.8262231248258,23.221837089465,0.0388,17.299999999999997,4.785546526318133
5.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
6.0,,,284.9151799166933,,,24.63498996169512,0.0388,17.299999999999997,4.785546526318133
6.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
7.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
7.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
8.0,,263.0093684775428,,,22.9207228564392,,0.0388,17.299999999999997,4.785546526318133
8.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
9.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
9.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
10.0,,,61.943192652775444,,,27.2581309679019,0.0388,17.299999999999997,4.785546526318133
10.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
11.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
11.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
12.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
12.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
13.0,,294.61480494452576,251.60238447891578,,74.4811013939539,75.7054985360129,0.0388,17.299999999999997,4.785546526318133
13.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
14.0,,286.1375442333817,284.34208268085183,,64.6348914538007,88.0801651886487,0.0388,17.299999999999997,4.785546526318133
14.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
15.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
15.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
16.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
16.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
17.0,,,,,,,0.0388,17.299999999999997,4.785546526318133
17.5,,,,,,,0.0388,17.299999999999997,4.785546526318133
