relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-29.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-29.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-28.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-28.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-27.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-27.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-26.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-26.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-25.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-25.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-24.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-24.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-23.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-23.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-22.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-22.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-21.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-21.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-20.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-20.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-19.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-19.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-18.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-18.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-17.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-17.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-16.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-16.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-15.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-15.0,,-6.866535074554369,-26.93606965545939,,90.32392625114774,136.0972555040819,0.0138,11.950000000000005,2.61459790832591
-14.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-14.0,,,-82.99187576649575,,,100.558385841138,0.0138,11.950000000000005,2.61459790832591
-13.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-13.0,,18.942818896720887,22.70786088802515,,77.20252829312052,90.90141273021845,0.0138,11.950000000000005,2.61459790832591
-12.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-12.0,,-111.60069936324277,,,91.1825622220049,,0.0138,11.950000000000005,2.61459790832591
-11.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-11.0,,-25.693774299941147,-4.625612024913632,,87.16011443074095,83.56905534930512,0.0138,11.950000000000005,2.61459790832591
-10.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-10.0,,,4.968510419981237,,,49.24915755142757,0.0138,11.950000000000005,2.61459790832591
-9.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-9.0,,10.46691919219495,25.581824762383185,,38.9644722814818,42.2562947678197,0.0138,11.950000000000005,2.61459790832591
-8.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-8.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-7.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-7.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-6.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-6.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-5.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-5.0,,35.81191036906571,45.66491160042792,,49.86387902292454,39.480950145188515,0.0138,11.950000000000005,2.61459790832591
-4.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-4.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-3.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-3.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-2.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-2.0,,96.84237186680696,144.2736272432448,,31.256020469796365,31.5664309534511,0.0138,11.950000000000005,2.61459790832591
-1.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
-1.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
-0.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
0.0,,122.2056803213024,,,31.4846185099705,,0.0138,11.950000000000005,2.61459790832591
0.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
1.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
1.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
2.0,,217.32884538924765,221.4986184537495,,37.2437004606551,28.13454919737123,0.0138,11.950000000000005,2.61459790832591
2.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
3.0,,284.7741883713373,290.0743765165601,,34.5679746006487,30.3482496583384,0.0138,11.950000000000005,2.61459790832591
3.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
4.0,,306.9937068792158,373.2342463438071,,27.2891252281831,27.3259578318987,0.0138,11.950000000000005,2.61459790832591
4.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
5.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
5.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
6.0,,363.1319502171871,,,25.0533171444688,,0.0138,11.950000000000005,2.61459790832591
6.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
7.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
7.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
8.0,,352.2832896531533,,,72.912768442662,,0.0138,11.950000000000005,2.61459790832591
8.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
9.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
9.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
10.0,,364.24353521098334,453.8448021703142,,80.1013564691082,107.81183702452844,0.0138,11.950000000000005,2.61459790832591
10.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
11.0,,410.41294794959566,,,76.689501897414,,0.0138,11.950000000000005,2.61459790832591
11.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
12.0,,486.0240213604354,546.5662757001702,,92.9881429282314,107.19750117414374,0.0138,11.950000000000005,2.61459790832591
12.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
13.0,,203.17047666304026,304.23612559562264,,114.108826974017,141.078224086811,0.0138,11.950000000000005,2.61459790832591
13.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
14.0,,448.7614409272366,252.82029082504528,,110.60889654370696,145.33915688829,0.0138,11.950000000000005,2.61459790832591
14.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
15.0,,,512.7173099608577,,,109.80791130172491,0.0138,11.950000000000005,2.61459790832591
15.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
16.0,,520.7567606468295,385.23342534015416,,75.5630961015168,106.012889303715,0.0138,11.950000000000005,2.61459790832591
16.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
17.0,,321.121551494723,367.778049203194,,56.4858053573577,76.76930756920567,0.0138,11.950000000000005,2.61459790832591
17.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
18.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
18.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
19.0,,308.39542510403976,359.6330885596591,,75.32148464385367,82.3251111493055,0.0138,11.950000000000005,2.61459790832591
19.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
20.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
20.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
21.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
21.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
22.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
22.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
23.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
23.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
24.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
24.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
25.0,,,218.4176544843403,,,43.3790070931745,0.0138,11.950000000000005,2.61459790832591
25.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
26.0,,288.22388511131686,,,34.7155656417601,,0.0138,11.950000000000005,2.61459790832591
26.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
27.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
27.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
28.0,,170.88292756095188,,,56.8758619400491,,0.0138,11.950000000000005,2.61459790832591
28.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
29.0,,151.86535890006448,165.96173890782842,,37.437388050433,28.1236316700999,0.0138,11.950000000000005,2.61459790832591
29.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
30.0,,231.08605426023604,234.48594374342397,,43.9836817852297,41.1074721797443,0.0138,11.950000000000005,2.61459790832591
30.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
31.0,,111.12124946512068,163.66037907146958,,40.5854770340805,36.1785469003476,0.0138,11.950000000000005,2.61459790832591
31.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
32.0,,83.83740246656323,138.4253018627746,,42.2115149058333,34.9256067131989,0.0138,11.950000000000005,2.61459790832591
32.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
33.0,,286.8637561655086,,,39.04065241235445,,0.0138,11.950000000000005,2.61459790832591
33.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
34.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
34.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
35.0,,55.31087317351825,96.29620386299793,,54.0697387643596,44.612656680385,0.0138,11.950000000000005,2.61459790832591
35.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
36.0,,,154.12759714442774,,,59.8505872981498,0.0138,11.950000000000005,2.61459790832591
36.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
37.0,,149.5474402551055,79.78468326520544,,58.887850804500886,68.11058679935518,0.0138,11.950000000000005,2.61459790832591
37.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
38.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
38.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
39.0,,90.967319404656,,,52.8095683715085,,0.0138,11.950000000000005,2.61459790832591
39.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
40.0,,,42.78704040461447,,,83.4745403339276,0.0138,11.950000000000005,2.61459790832591
40.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
41.0,,,,,,,0.0138,11.950000000000005,2.61459790832591
41.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
42.0,,,19.61113199162355,,,110.09145149966271,0.0138,11.950000000000005,2.61459790832591
42.5,,,,,,,0.0138,11.950000000000005,2.61459790832591
43.0,,,96.91374849331032,,,107.11908862835172,0.0138,11.950000000000005,2.61459790832591
