relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0101,13.5,2.494925961938661
-29.5,,,,,,,0.0101,13.5,2.494925961938661
-29.0,,,,,,,0.0101,13.5,2.494925961938661
-28.5,,,,,,,0.0101,13.5,2.494925961938661
-28.0,,,,,,,0.0101,13.5,2.494925961938661
-27.5,,,,,,,0.0101,13.5,2.494925961938661
-27.0,,,,,,,0.0101,13.5,2.494925961938661
-26.5,,,,,,,0.0101,13.5,2.494925961938661
-26.0,,,,,,,0.0101,13.5,2.494925961938661
-25.5,,,,,,,0.0101,13.5,2.494925961938661
-25.0,,,,,,,0.0101,13.5,2.494925961938661
-24.5,,,,,,,0.0101,13.5,2.494925961938661
-24.0,,,,,,,0.0101,13.5,2.494925961938661
-23.5,,,,,,,0.0101,13.5,2.494925961938661
-23.0,,,,,,,0.0101,13.5,2.494925961938661
-22.5,,,,,,,0.0101,13.5,2.494925961938661
-22.0,,,,,,,0.0101,13.5,2.494925961938661
-21.5,,,,,,,0.0101,13.5,2.494925961938661
-21.0,,,,,,,0.0101,13.5,2.494925961938661
-20.5,,,,,,,0.0101,13.5,2.494925961938661
-20.0,,,,,,,0.0101,13.5,2.494925961938661
-19.5,,,,,,,0.0101,13.5,2.494925961938661
-19.0,,,,,,,0.0101,13.5,2.494925961938661
-18.5,,,,,,,0.0101,13.5,2.494925961938661
-18.0,,,,,,,0.0101,13.5,2.494925961938661
-17.5,,,,,,,0.0101,13.5,2.494925961938661
-17.0,,63.49988145639696,161.2645888526469,,86.8017318510134,133.303237301395,0.0101,13.5,2.494925961938661
-16.5,,,,,,,0.0101,13.5,2.494925961938661
-16.0,,,110.6975098486604,,,99.88900041304143,0.0101,13.5,2.494925961938661
-15.5,,,,,,,0.0101,13.5,2.494925961938661
-15.0,,,,,,,0.0101,13.5,2.494925961938661
-14.5,,,,,,,0.0101,13.5,2.494925961938661
-14.0,,69.01794266036775,22.275716894819478,,75.46485962278244,68.57733405886174,0.0101,13.5,2.494925961938661
-13.5,,,,,,,0.0101,13.5,2.494925961938661
-13.0,,,6.801307911333435,,,42.95745852216997,0.0101,13.5,2.494925961938661
-12.5,,,,,,,0.0101,13.5,2.494925961938661
-12.0,,-39.81990947651499,74.74228854269046,,34.51060070509492,48.7593196461387,0.0101,13.5,2.494925961938661
-11.5,,,,,,,0.0101,13.5,2.494925961938661
-11.0,,,,,,,0.0101,13.5,2.494925961938661
-10.5,,,,,,,0.0101,13.5,2.494925961938661
-10.0,,,,,,,0.0101,13.5,2.494925961938661
-9.5,,,,,,,0.0101,13.5,2.494925961938661
-9.0,,,,,,,0.0101,13.5,2.494925961938661
-8.5,,,,,,,0.0101,13.5,2.494925961938661
-8.0,,-5.716652186868827,-2.679432978705889,,49.8283488381028,41.2170236943552,0.0101,13.5,2.494925961938661
-7.5,,,,,,,0.0101,13.5,2.494925961938661
-7.0,,-15.360039414832158,58.97512584922723,,34.9027674971577,23.50119096734701,0.0101,13.5,2.494925961938661
-6.5,,,,,,,0.0101,13.5,2.494925961938661
-6.0,,,49.6951184367483,,,27.128397911290644,0.0101,13.5,2.494925961938661
-5.5,,,,,,,0.0101,13.5,2.494925961938661
