relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0117,20.5,3.09780567498996
-29.5,,,,,,,0.0117,20.5,3.09780567498996
-29.0,,,,,,,0.0117,20.5,3.09780567498996
-28.5,,,,,,,0.0117,20.5,3.09780567498996
-28.0,,,,,,,0.0117,20.5,3.09780567498996
-27.5,,,,,,,0.0117,20.5,3.09780567498996
-27.0,,,,,,,0.0117,20.5,3.09780567498996
-26.5,,,,,,,0.0117,20.5,3.09780567498996
-26.0,,,,,,,0.0117,20.5,3.09780567498996
-25.5,,,,,,,0.0117,20.5,3.09780567498996
-25.0,,,,,,,0.0117,20.5,3.09780567498996
-24.5,,,,,,,0.0117,20.5,3.09780567498996
-24.0,,,,,,,0.0117,20.5,3.09780567498996
-23.5,,,,,,,0.0117,20.5,3.09780567498996
-23.0,,,,,,,0.0117,20.5,3.09780567498996
-22.5,,,,,,,0.0117,20.5,3.09780567498996
-22.0,,,,,,,0.0117,20.5,3.09780567498996
-21.5,,,,,,,0.0117,20.5,3.09780567498996
-21.0,,,,,,,0.0117,20.5,3.09780567498996
-20.5,,,,,,,0.0117,20.5,3.09780567498996
-20.0,,,,,,,0.0117,20.5,3.09780567498996
-19.5,,,,,,,0.0117,20.5,3.09780567498996
-19.0,,,,,,,0.0117,20.5,3.09780567498996
-18.5,,,,,,,0.0117,20.5,3.09780567498996
-18.0,,,,,,,0.0117,20.5,3.09780567498996
-17.5,,,,,,,0.0117,20.5,3.09780567498996
-17.0,,2.2166662651514777,74.11527286452642,,460.7817523823629,203.37367289313062,0.0117,20.5,3.09780567498996
-16.5,,,,,,,0.0117,20.5,3.09780567498996
-16.0,,,208.29682623302278,,,147.64049164380495,0.0117,20.5,3.09780567498996
-15.5,,,,,,,0.0117,20.5,3.09780567498996
-15.0,,-103.76287835468122,64.13588281530403,,386.69065984804985,135.55596461276357,0.0117,20.5,3.09780567498996
-14.5,,,,,,,0.0117,20.5,3.09780567498996
-14.0,,-3.3822255840176063,,,454.8489952891314,,0.0117,20.5,3.09780567498996
-13.5,,,,,,,0.0117,20.5,3.09780567498996
-13.0,,42.913258740815664,-17.003376808956435,,359.7280502385596,107.45945004984662,0.0117,20.5,3.09780567498996
-12.5,,,,,,,0.0117,20.5,3.09780567498996
