relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-31.962422062516904,,,86.2180244893132,,0.0173,2.0,4.698315300899533
-29.5,,,,,,,0.0173,2.0,4.698315300899533
-29.0,,,,,,,0.0173,2.0,4.698315300899533
-28.5,,,,,,,0.0173,2.0,4.698315300899533
-28.0,,-122.06310283418513,-35.9850276048684,,91.1913435795108,87.52685053818759,0.0173,2.0,4.698315300899533
-27.5,,,,,,,0.0173,2.0,4.698315300899533
-27.0,,,-54.4542953092409,,,47.51917890293968,0.0173,2.0,4.698315300899533
-26.5,,,,,,,0.0173,2.0,4.698315300899533
-26.0,,12.046498032104498,21.535418588302733,,40.9117334686414,47.405146696893766,0.0173,2.0,4.698315300899533
-25.5,,,,,,,0.0173,2.0,4.698315300899533
-25.0,,,,,,,0.0173,2.0,4.698315300899533
-24.5,,,,,,,0.0173,2.0,4.698315300899533
-24.0,,,,,,,0.0173,2.0,4.698315300899533
-23.5,,,,,,,0.0173,2.0,4.698315300899533
-23.0,,,,,,,0.0173,2.0,4.698315300899533
-22.5,,,,,,,0.0173,2.0,4.698315300899533
-22.0,,59.295815673882956,,,52.288995687548,,0.0173,2.0,4.698315300899533
-21.5,,,,,,,0.0173,2.0,4.698315300899533
-21.0,,,,,,,0.0173,2.0,4.698315300899533
-20.5,,,,,,,0.0173,2.0,4.698315300899533
-20.0,,,-3.40999071797309,,,28.812385298361146,0.0173,2.0,4.698315300899533
-19.5,,,,,,,0.0173,2.0,4.698315300899533
-19.0,,-84.36433444073947,,,28.67137652809173,,0.0173,2.0,4.698315300899533
-18.5,,,,,,,0.0173,2.0,4.698315300899533
-18.0,,62.519831579414905,,,36.4594543969943,,0.0173,2.0,4.698315300899533
-17.5,,,,,,,0.0173,2.0,4.698315300899533
-17.0,,5.5151801797676985,,,28.290337881122287,,0.0173,2.0,4.698315300899533
-16.5,,,,,,,0.0173,2.0,4.698315300899533
-16.0,,,-1.6026538153981527,,,30.02904470556014,0.0173,2.0,4.698315300899533
-15.5,,,,,,,0.0173,2.0,4.698315300899533
-15.0,,,-15.771874773660187,,,27.39051485717331,0.0173,2.0,4.698315300899533
-14.5,,,,,,,0.0173,2.0,4.698315300899533
-14.0,,,78.84365635947482,,,25.3449920228596,0.0173,2.0,4.698315300899533
-13.5,,,,,,,0.0173,2.0,4.698315300899533
-13.0,,,,,,,0.0173,2.0,4.698315300899533
-12.5,,,,,,,0.0173,2.0,4.698315300899533
-12.0,,168.70898660187015,39.29475704191062,,23.5922020020166,18.42242756137336,0.0173,2.0,4.698315300899533
-11.5,,,,,,,0.0173,2.0,4.698315300899533
-11.0,,,37.72084914502116,,,26.777563328660072,0.0173,2.0,4.698315300899533
-10.5,,,,,,,0.0173,2.0,4.698315300899533
-10.0,,83.09878799832855,,,55.29704334834827,,0.0173,2.0,4.698315300899533
-9.5,,,,,,,0.0173,2.0,4.698315300899533
-9.0,,-35.673156236729895,,,101.32878118534,,0.0173,2.0,4.698315300899533
-8.5,,,,,,,0.0173,2.0,4.698315300899533
-8.0,,,,,,,0.0173,2.0,4.698315300899533
-7.5,,,,,,,0.0173,2.0,4.698315300899533
-7.0,,,251.01641799390757,,,115.03186172827601,0.0173,2.0,4.698315300899533
-6.5,,,,,,,0.0173,2.0,4.698315300899533
-6.0,,,-31.53813216772023,,,92.201225154305,0.0173,2.0,4.698315300899533
-5.5,,,,,,,0.0173,2.0,4.698315300899533
-5.0,,291.04188257963494,302.64104659219447,,82.0544975726735,104.0295732883901,0.0173,2.0,4.698315300899533
-4.5,,,,,,,0.0173,2.0,4.698315300899533
-4.0,,467.9378974766794,73.08562437807471,,87.2895227232982,124.629686113716,0.0173,2.0,4.698315300899533
-3.5,,,,,,,0.0173,2.0,4.698315300899533
-3.0,,421.66869320125807,185.35306946717722,,100.02549997058318,132.43785433294,0.0173,2.0,4.698315300899533
-2.5,,,,,,,0.0173,2.0,4.698315300899533
-2.0,,,425.4172802099612,,,119.54611128647178,0.0173,2.0,4.698315300899533
-1.5,,,,,,,0.0173,2.0,4.698315300899533
-1.0,,,401.9605351926465,,,84.6085827724371,0.0173,2.0,4.698315300899533
-0.5,,,,,,,0.0173,2.0,4.698315300899533
0.0,,517.9858584852602,353.7803957846011,,58.96277335926971,71.51251963296053,0.0173,2.0,4.698315300899533
0.5,,,,,,,0.0173,2.0,4.698315300899533
1.0,,,,,,,0.0173,2.0,4.698315300899533
1.5,,,,,,,0.0173,2.0,4.698315300899533
2.0,,355.2016590564992,328.76472455199564,,76.67632792509346,77.87942634786688,0.0173,2.0,4.698315300899533
2.5,,,,,,,0.0173,2.0,4.698315300899533
