relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,18.45605448199299,24.432116221518008,,34.6750774202592,47.35417496478563,0.0342,11.0,4.057501968233931
-29.5,,,,,,,0.0342,11.0,4.057501968233931
-29.0,,,-165.43021357066496,,,62.9072508351693,0.0342,11.0,4.057501968233931
-28.5,,,,,,,0.0342,11.0,4.057501968233931
-28.0,,,-77.25465741130579,,,82.9450539204112,0.0342,11.0,4.057501968233931
-27.5,,,,,,,0.0342,11.0,4.057501968233931
-27.0,,74.22389729488516,,,103.891891041877,,0.0342,11.0,4.057501968233931
-26.5,,,,,,,0.0342,11.0,4.057501968233931
-26.0,,,,,,,0.0342,11.0,4.057501968233931
-25.5,,,,,,,0.0342,11.0,4.057501968233931
-25.0,,,,,,,0.0342,11.0,4.057501968233931
-24.5,,,,,,,0.0342,11.0,4.057501968233931
-24.0,,,,,,,0.0342,11.0,4.057501968233931
-23.5,,,,,,,0.0342,11.0,4.057501968233931
-23.0,,,,,,,0.0342,11.0,4.057501968233931
-22.5,,,,,,,0.0342,11.0,4.057501968233931
-22.0,,60.10756340017126,,,90.6886512250993,,0.0342,11.0,4.057501968233931
-21.5,,,,,,,0.0342,11.0,4.057501968233931
-21.0,,,,,,,0.0342,11.0,4.057501968233931
-20.5,,,,,,,0.0342,11.0,4.057501968233931
-20.0,,-67.68251336006074,-30.41918920250607,,32.8119050696502,45.6417675501935,0.0342,11.0,4.057501968233931
-19.5,,,,,,,0.0342,11.0,4.057501968233931
-19.0,,,,,,,0.0342,11.0,4.057501968233931
-18.5,,,,,,,0.0342,11.0,4.057501968233931
-18.0,,,,,,,0.0342,11.0,4.057501968233931
-17.5,,,,,,,0.0342,11.0,4.057501968233931
-17.0,,,,,,,0.0342,11.0,4.057501968233931
-16.5,,,,,,,0.0342,11.0,4.057501968233931
-16.0,,-30.143906203925535,-9.021004835814184,,31.2474419916985,26.6034382842698,0.0342,11.0,4.057501968233931
-15.5,,,,,,,0.0342,11.0,4.057501968233931
-15.0,,,,,,,0.0342,11.0,4.057501968233931
-14.5,,,,,,,0.0342,11.0,4.057501968233931
-14.0,,12.882012351798087,6.532202924735601,,29.5786976439742,24.2678603621707,0.0342,11.0,4.057501968233931
-13.5,,,,,,,0.0342,11.0,4.057501968233931
-13.0,,,,,,,0.0342,11.0,4.057501968233931
-12.5,,,,,,,0.0342,11.0,4.057501968233931
