relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,-118.81851022987829,,,100.212544571803,0.1128,10.0,2.8269712886173197
-29.5,,,,,,,0.1128,10.0,2.8269712886173197
-29.0,,,,,,,0.1128,10.0,2.8269712886173197
-28.5,,,,,,,0.1128,10.0,2.8269712886173197
-28.0,,8.576973062140135,81.03006837961671,,32.8507064646218,38.5782959698095,0.1128,10.0,2.8269712886173197
-27.5,,,,,,,0.1128,10.0,2.8269712886173197
-27.0,,,,,,,0.1128,10.0,2.8269712886173197
-26.5,,,,,,,0.1128,10.0,2.8269712886173197
-26.0,,,,,,,0.1128,10.0,2.8269712886173197
-25.5,,,,,,,0.1128,10.0,2.8269712886173197
-25.0,,,,,,,0.1128,10.0,2.8269712886173197
-24.5,,,,,,,0.1128,10.0,2.8269712886173197
-24.0,,-47.21589473059158,,,32.1055363156953,,0.1128,10.0,2.8269712886173197
-23.5,,,,,,,0.1128,10.0,2.8269712886173197
-23.0,,,,,,,0.1128,10.0,2.8269712886173197
-22.5,,,,,,,0.1128,10.0,2.8269712886173197
-22.0,,16.16274953922893,-31.1855123760268,,31.5372988874734,21.194451711124,0.1128,10.0,2.8269712886173197
-21.5,,,,,,,0.1128,10.0,2.8269712886173197
-21.0,,,,,,,0.1128,10.0,2.8269712886173197
-20.5,,,,,,,0.1128,10.0,2.8269712886173197
-20.0,,-8.892744837184384,,,32.0124065599119,,0.1128,10.0,2.8269712886173197
-19.5,,,,,,,0.1128,10.0,2.8269712886173197
-19.0,,,,,,,0.1128,10.0,2.8269712886173197
-18.5,,,,,,,0.1128,10.0,2.8269712886173197
-18.0,,-6.603261655260742,-24.357099351575563,,24.2899889352586,26.1471000974545,0.1128,10.0,2.8269712886173197
-17.5,,,,,,,0.1128,10.0,2.8269712886173197
-17.0,,,,,,,0.1128,10.0,2.8269712886173197
-16.5,,,,,,,0.1128,10.0,2.8269712886173197
-16.0,,-21.116997827020477,3.733103874091697,,24.2561275666266,21.7980580096282,0.1128,10.0,2.8269712886173197
-15.5,,,,,,,0.1128,10.0,2.8269712886173197
-15.0,,3.8732458284605458,-15.64575154716625,,28.1968759276739,19.70726417638,0.1128,10.0,2.8269712886173197
-14.5,27.38964421936744,,,292.0832228057847,,,0.1128,10.0,2.8269712886173197
-14.0,-404.72664096853134,-31.583921687414318,4.128247572721555,309.81591399949866,21.259679978932052,16.54776068022913,0.1128,10.0,2.8269712886173197
-13.5,-280.2539904698033,,,303.9722329537592,,,0.1128,10.0,2.8269712886173197
-13.0,-92.64416822894201,-32.70840661312912,,307.6973498984856,20.0226847739666,,0.1128,10.0,2.8269712886173197
-12.5,-259.33389825558993,,,317.0222231977701,,,0.1128,10.0,2.8269712886173197
-12.0,-232.65909147889315,25.729903546968863,-11.892464890428249,312.76241658615635,29.989291158507726,22.706159335340107,0.1128,10.0,2.8269712886173197
-11.5,-192.31399737137127,,,316.5941149593636,,,0.1128,10.0,2.8269712886173197
-11.0,-32.93468575708844,,,321.20691053429067,,,0.1128,10.0,2.8269712886173197
-10.5,-273.58022169184864,,,318.2202863019526,,,0.1128,10.0,2.8269712886173197
-10.0,-277.56277471639163,,,318.45315125008796,,,0.1128,10.0,2.8269712886173197
-9.5,-84.80235175286042,,,317.44093922286294,,,0.1128,10.0,2.8269712886173197
-9.0,172.38369119737789,-53.96840762018115,13.649098558228886,323.35789641828836,48.8524270382004,48.0119124781059,0.1128,10.0,2.8269712886173197
-8.5,-86.27853159315859,,,323.530576024867,,,0.1128,10.0,2.8269712886173197
-8.0,132.20634130544957,90.32719008570837,168.72553072812894,323.38645495849124,58.460458910589516,58.633755166160896,0.1128,10.0,2.8269712886173197
-7.5,67.43785463792187,,,320.0319470158809,,,0.1128,10.0,2.8269712886173197
-7.0,176.6759676993513,49.700792544950296,63.17886979914392,322.5530379370037,63.8287677628975,73.5616266713458,0.1128,10.0,2.8269712886173197
-6.5,385.6884138218234,,,321.08303192292334,,,0.1128,10.0,2.8269712886173197
-6.0,323.3560928305531,229.0726056164085,326.54989520121126,323.4164781209501,91.1487402374205,105.346395127663,0.1128,10.0,2.8269712886173197
-5.5,689.1423697037513,,,322.18854306169004,,,0.1128,10.0,2.8269712886173197
-5.0,743.6226131557139,,,323.5092672662717,,,0.1128,10.0,2.8269712886173197
-4.5,743.3918056718516,,,324.662076702869,,,0.1128,10.0,2.8269712886173197
-4.0,1036.151207313878,,,325.14233892368793,,,0.1128,10.0,2.8269712886173197
-3.5,1296.8214157660816,,,332.3325542781677,,,0.1128,10.0,2.8269712886173197
-3.0,1334.300543231194,,,331.21455608368444,,,0.1128,10.0,2.8269712886173197
-2.5,,,,,,,0.1128,10.0,2.8269712886173197
-2.0,,725.1185633557828,788.0044245283831,,84.54550450008972,81.6477364283436,0.1128,10.0,2.8269712886173197
-1.5,,,,,,,0.1128,10.0,2.8269712886173197
-1.0,,782.2208007915602,865.5516715028342,,66.0941281542397,67.911020976034,0.1128,10.0,2.8269712886173197
-0.5,,,,,,,0.1128,10.0,2.8269712886173197
0.0,1292.9119942209306,925.105301370255,1157.0487389222867,327.3522025712149,54.61221810258913,50.55015252336042,0.1128,10.0,2.8269712886173197
0.5,1234.8551952192056,,,326.4200994635175,,,0.1128,10.0,2.8269712886173197
1.0,1421.1788756736676,,,324.74446567318495,,,0.1128,10.0,2.8269712886173197
1.5,1443.4010159728025,,,320.01987548248667,,,0.1128,10.0,2.8269712886173197
2.0,1509.6941113461285,,,313.1556499378866,,,0.1128,10.0,2.8269712886173197
2.5,1424.9841612666828,,,314.49732616618684,,,0.1128,10.0,2.8269712886173197
3.0,1379.7093034462384,,,315.49186158936567,,,0.1128,10.0,2.8269712886173197
3.5,1406.5256956648611,,,309.8159245676676,,,0.1128,10.0,2.8269712886173197
4.0,1577.9471572924704,,,307.10868576822367,,,0.1128,10.0,2.8269712886173197
4.5,1301.0307934214477,,,302.92271799174995,,,0.1128,10.0,2.8269712886173197
5.0,1405.0288333015671,,,300.82349359447755,,,0.1128,10.0,2.8269712886173197
5.5,1544.8024046615424,,,294.4016694778039,,,0.1128,10.0,2.8269712886173197
6.0,1787.1056596141154,1653.097884210386,2024.521172915279,306.55149829904235,41.3287068762696,36.2260656900156,0.1128,10.0,2.8269712886173197
6.5,1669.7673130008461,,,307.73073455763506,,,0.1128,10.0,2.8269712886173197
7.0,1678.9230307070586,1831.6493832238207,2144.4984715212713,291.68163004234526,31.361183417636344,28.857030717213494,0.1128,10.0,2.8269712886173197
7.5,1554.7166516005302,,,290.19552686220976,,,0.1128,10.0,2.8269712886173197
8.0,1621.845544658104,,,310.25170454664146,,,0.1128,10.0,2.8269712886173197
8.5,1612.217111223119,,,306.0510762679831,,,0.1128,10.0,2.8269712886173197
9.0,1569.6748885504119,1809.1959883614845,1359.9162011643048,314.29924152482687,39.06253781705465,36.997441758370904,0.1128,10.0,2.8269712886173197
9.5,1600.224653569512,,,300.8053633954357,,,0.1128,10.0,2.8269712886173197
10.0,1738.3878974060397,1926.6046501511535,2162.7181496894364,299.91850461380255,41.9575788848642,31.5060550283697,0.1128,10.0,2.8269712886173197
10.5,1660.1626284878678,,,305.2375832193624,,,0.1128,10.0,2.8269712886173197
11.0,1871.693418863968,1793.0436820454247,2076.79279825322,307.6376890612958,37.73381866931992,32.989686258697795,0.1128,10.0,2.8269712886173197
11.5,,,,,,,0.1128,10.0,2.8269712886173197
12.0,,1811.6822933084825,2032.563715467466,,35.098574378718,29.8224235350746,0.1128,10.0,2.8269712886173197
12.5,,,,,,,0.1128,10.0,2.8269712886173197
13.0,,1720.6118852073496,1376.3375478860264,,34.5850348441845,27.49885889279795,0.1128,10.0,2.8269712886173197
13.5,,,,,,,0.1128,10.0,2.8269712886173197
14.0,,,,,,,0.1128,10.0,2.8269712886173197
